1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0900000069B6BF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:18:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 22:18:01 PDT 2020
Total Mission Samples:  7485
Total Device Samples:  13942
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 10:18:01 PM,F,60.064
8/29/20, 11:18:01 PM,F,56.458
8/30/20, 12:18:01 AM,F,53.753
8/30/20, 1:18:01 AM,F,52.852
8/30/20, 2:18:01 AM,F,52.852
8/30/20, 3:18:01 AM,F,53.753
8/30/20, 4:18:01 AM,F,52.852
8/30/20, 5:18:01 AM,F,49.244
8/30/20, 6:18:01 AM,F,52.852
8/30/20, 7:18:01 AM,F,54.655
8/30/20, 8:18:01 AM,F,76.276
8/30/20, 9:18:01 AM,F,89.769
8/30/20, 10:18:01 AM,F,99.654
8/30/20, 11:18:01 AM,F,108.633
8/30/20, 12:18:01 PM,F,101.45
8/30/20, 1:18:01 PM,F,106.838
8/30/20, 2:18:01 PM,F,101.45
8/30/20, 3:18:01 PM,F,96.959
8/30/20, 4:18:01 PM,F,89.769
8/30/20, 5:18:01 PM,F,82.574
8/30/20, 6:18:01 PM,F,77.176
8/30/20, 7:18:01 PM,F,70.874
8/30/20, 8:18:01 PM,F,65.47
8/30/20, 9:18:01 PM,F,62.767
8/30/20, 10:18:01 PM,F,59.163
8/30/20, 11:18:01 PM,F,58.261
8/31/20, 12:18:01 AM,F,54.655
8/31/20, 1:18:01 AM,F,52.852
8/31/20, 2:18:01 AM,F,52.852
8/31/20, 3:18:01 AM,F,52.852
8/31/20, 4:18:01 AM,F,50.146
8/31/20, 5:18:01 AM,F,48.342
8/31/20, 6:18:01 AM,F,47.44
8/31/20, 7:18:01 AM,F,63.668
8/31/20, 8:18:01 AM,F,78.976
8/31/20, 9:18:01 AM,F,90.668
8/31/20, 10:18:01 AM,F,102.348
8/31/20, 11:18:01 AM,F,103.246
8/31/20, 12:18:01 PM,F,104.144
8/31/20, 1:18:01 PM,F,105.94
8/31/20, 2:18:01 PM,F,102.348
8/31/20, 3:18:01 PM,F,100.552
8/31/20, 4:18:01 PM,F,91.567
8/31/20, 5:18:01 PM,F,82.574
8/31/20, 6:18:01 PM,F,76.276
8/31/20, 7:18:01 PM,F,69.974
8/31/20, 8:18:01 PM,F,64.569
8/31/20, 9:18:01 PM,F,61.866
8/31/20, 10:18:01 PM,F,60.064
8/31/20, 11:18:01 PM,F,58.261
9/1/20, 12:18:01 AM,F,56.458
9/1/20, 1:18:01 AM,F,55.557
9/1/20, 2:18:01 AM,F,57.36
9/1/20, 3:18:01 AM,F,57.36
9/1/20, 4:18:01 AM,F,57.36
9/1/20, 5:18:01 AM,F,56.458
9/1/20, 6:18:01 AM,F,54.655
9/1/20, 7:18:01 AM,F,56.458
9/1/20, 8:18:01 AM,F,76.276
9/1/20, 9:18:01 AM,F,88.87
9/1/20, 10:18:01 AM,F,98.756
9/1/20, 11:18:01 AM,F,100.552
9/1/20, 12:18:01 PM,F,98.756
9/1/20, 1:18:01 PM,F,98.756
9/1/20, 2:18:01 PM,F,98.756
9/1/20, 3:18:01 PM,F,96.959
9/1/20, 4:18:01 PM,F,87.071
9/1/20, 5:18:01 PM,F,81.675
9/1/20, 6:18:01 PM,F,76.276
9/1/20, 7:18:01 PM,F,70.874
9/1/20, 8:18:01 PM,F,66.371
9/1/20, 9:18:01 PM,F,62.767
9/1/20, 10:18:01 PM,F,60.965
9/1/20, 11:18:01 PM,F,58.261
9/2/20, 12:18:01 AM,F,58.261
9/2/20, 1:18:01 AM,F,57.36
9/2/20, 2:18:01 AM,F,54.655
9/2/20, 3:18:01 AM,F,52.852
9/2/20, 4:18:01 AM,F,52.852
9/2/20, 5:18:01 AM,F,52.852
9/2/20, 6:18:01 AM,F,52.852
9/2/20, 7:18:01 AM,F,65.47
9/2/20, 8:18:01 AM,F,84.373
9/2/20, 9:18:01 AM,F,92.466
9/2/20, 10:18:01 AM,F,102.348
9/2/20, 11:18:01 AM,F,112.223
9/2/20, 12:18:01 PM,F,108.633
9/2/20, 1:18:01 PM,F,104.144
9/2/20, 2:18:01 PM,F,102.348
9/2/20, 3:18:01 PM,F,95.162
9/2/20, 4:18:01 PM,F,86.172
9/2/20, 5:18:01 PM,F,79.875
9/2/20, 6:18:01 PM,F,76.276
9/2/20, 7:18:01 PM,F,72.675
9/2/20, 8:18:01 PM,F,68.173
9/2/20, 9:18:01 PM,F,65.47
9/2/20, 10:18:01 PM,F,61.866
9/2/20, 11:18:01 PM,F,60.965
9/3/20, 12:18:01 AM,F,60.064
9/3/20, 1:18:01 AM,F,60.064
9/3/20, 2:18:01 AM,F,58.261
9/3/20, 3:18:01 AM,F,56.458
9/3/20, 4:18:01 AM,F,56.458
9/3/20, 5:18:01 AM,F,55.557
9/3/20, 6:18:01 AM,F,54.655
9/3/20, 7:18:01 AM,F,66.371
9/3/20, 8:18:01 AM,F,88.87
9/3/20, 9:18:01 AM,F,101.45
9/3/20, 10:18:01 AM,F,107.736
9/3/20, 11:18:01 AM,F,111.326
9/3/20, 12:18:01 PM,F,110.428
9/3/20, 1:18:01 PM,F,114.017
9/3/20, 2:18:01 PM,F,105.042
9/3/20, 3:18:01 PM,F,98.756
9/3/20, 4:18:01 PM,F,90.668
9/3/20, 5:18:01 PM,F,85.273
9/3/20, 6:18:01 PM,F,81.675
9/3/20, 7:18:01 PM,F,76.276
9/3/20, 8:18:01 PM,F,70.874
9/3/20, 9:18:01 PM,F,69.073
9/3/20, 10:18:01 PM,F,65.47
9/3/20, 11:18:01 PM,F,64.569
9/4/20, 12:18:01 AM,F,63.668
9/4/20, 1:18:01 AM,F,63.668
9/4/20, 2:18:01 AM,F,62.767
9/4/20, 3:18:01 AM,F,61.866
9/4/20, 4:18:01 AM,F,60.064
9/4/20, 5:18:01 AM,F,60.064
9/4/20, 6:18:01 AM,F,60.965
9/4/20, 7:18:01 AM,F,72.675
9/4/20, 8:18:01 AM,F,93.364
9/4/20, 9:18:01 AM,F,105.94
9/4/20, 10:18:01 AM,F,116.709
9/4/20, 11:18:01 AM,F,115.812
9/4/20, 12:18:01 PM,F,115.812
9/4/20, 1:18:01 PM,F,116.709
9/4/20, 2:18:01 PM,F,111.326
9/4/20, 3:18:01 PM,F,106.838
9/4/20, 4:18:01 PM,F,98.756
9/4/20, 5:18:01 PM,F,93.364
9/4/20, 6:18:01 PM,F,87.971
9/4/20, 7:18:01 PM,F,81.675
9/4/20, 8:18:01 PM,F,77.176
9/4/20, 9:18:01 PM,F,72.675
9/4/20, 10:18:01 PM,F,70.874
9/4/20, 11:18:01 PM,F,69.974
9/5/20, 12:18:01 AM,F,73.575
9/5/20, 1:18:01 AM,F,71.775
9/5/20, 2:18:01 AM,F,69.974
9/5/20, 3:18:01 AM,F,70.874
9/5/20, 4:18:01 AM,F,70.874
9/5/20, 5:18:01 AM,F,68.173
9/5/20, 6:18:01 AM,F,71.775
9/5/20, 7:18:01 AM,F,84.373
9/5/20, 8:18:01 AM,F,104.144
9/5/20, 9:18:01 AM,F,118.503
9/5/20, 10:18:01 AM,F,128.364
9/5/20, 11:18:01 AM,F,134.635
9/5/20, 12:18:01 PM,F,135.53
9/5/20, 1:18:01 PM,F,134.635
9/5/20, 2:18:01 PM,F,125.675
9/5/20, 3:18:01 PM,F,122.089
9/5/20, 4:18:01 PM,F,113.12
9/5/20, 5:18:01 PM,F,106.838
9/5/20, 6:18:01 PM,F,102.348
9/5/20, 7:18:01 PM,F,96.06
9/5/20, 8:18:01 PM,F,87.071
9/5/20, 9:18:01 PM,F,87.971
9/5/20, 10:18:01 PM,F,85.273
9/5/20, 11:18:01 PM,F,83.474
9/6/20, 12:18:01 AM,F,81.675
9/6/20, 1:18:01 AM,F,79.875
9/6/20, 2:18:01 AM,F,78.976
9/6/20, 3:18:01 AM,F,77.176
9/6/20, 4:18:01 AM,F,80.775
9/6/20, 5:18:01 AM,F,80.775
9/6/20, 6:18:01 AM,F,79.875
9/6/20, 7:18:01 AM,F,88.87
9/6/20, 8:18:01 AM,F,107.736
9/6/20, 9:18:01 AM,F,119.399
9/6/20, 10:18:01 AM,F,130.156
9/6/20, 11:18:01 AM,F,137.321
9/6/20, 12:18:01 PM,F,132.843
9/6/20, 1:18:01 PM,F,134.635
9/6/20, 2:18:01 PM,F,133.739
9/6/20, 3:18:01 PM,F,126.571
9/6/20, 4:18:01 PM,F,117.606
9/6/20, 5:18:01 PM,F,111.326
9/6/20, 6:18:01 PM,F,103.246
9/6/20, 7:18:01 PM,F,95.162
9/6/20, 8:18:01 PM,F,94.263
9/6/20, 9:18:01 PM,F,87.071
9/6/20, 10:18:01 PM,F,92.466
9/6/20, 11:18:01 PM,F,91.567
9/7/20, 12:18:01 AM,F,93.364
9/7/20, 1:18:01 AM,F,87.071
9/7/20, 2:18:01 AM,F,87.971
9/7/20, 3:18:01 AM,F,79.875
9/7/20, 4:18:01 AM,F,77.176
9/7/20, 5:18:01 AM,F,76.276
9/7/20, 6:18:01 AM,F,75.376
9/7/20, 7:18:01 AM,F,80.775
9/7/20, 8:18:01 AM,F,96.06
9/7/20, 9:18:01 AM,F,110.428
9/7/20, 10:18:01 AM,F,123.882
9/7/20, 11:18:01 AM,F,131.052
9/7/20, 12:18:01 PM,F,127.467
9/7/20, 1:18:01 PM,F,121.193
9/7/20, 2:18:01 PM,F,121.193
9/7/20, 3:18:01 PM,F,104.144
9/7/20, 4:18:01 PM,F,97.857
9/7/20, 5:18:01 PM,F,93.364
9/7/20, 6:18:01 PM,F,87.071
9/7/20, 7:18:01 PM,F,79.875
9/7/20, 8:18:01 PM,F,73.575
9/7/20, 9:18:01 PM,F,70.874
9/7/20, 10:18:01 PM,F,69.073
9/7/20, 11:18:01 PM,F,67.272
9/8/20, 12:18:01 AM,F,66.371
9/8/20, 1:18:01 AM,F,65.47
9/8/20, 2:18:01 AM,F,63.668
9/8/20, 3:18:01 AM,F,65.47
9/8/20, 4:18:01 AM,F,64.569
9/8/20, 5:18:01 AM,F,65.47
9/8/20, 6:18:01 AM,F,64.569
9/8/20, 7:18:01 AM,F,65.47
9/8/20, 8:18:01 AM,F,67.272
9/8/20, 9:18:01 AM,F,69.073
9/8/20, 10:18:01 AM,F,87.971
9/8/20, 11:18:01 AM,F,93.364
9/8/20, 12:18:01 PM,F,95.162
9/8/20, 1:18:01 PM,F,98.756
9/8/20, 2:18:01 PM,F,94.263
9/8/20, 3:18:01 PM,F,91.567
9/8/20, 4:18:01 PM,F,87.971
9/8/20, 5:18:01 PM,F,82.574
9/8/20, 6:18:01 PM,F,78.076
9/8/20, 7:18:01 PM,F,71.775
9/8/20, 8:18:01 PM,F,66.371
9/8/20, 9:18:01 PM,F,63.668
9/8/20, 10:18:01 PM,F,63.668
9/8/20, 11:18:01 PM,F,60.965
9/9/20, 12:18:01 AM,F,67.272
9/9/20, 1:18:01 AM,F,70.874
9/9/20, 2:18:01 AM,F,73.575
9/9/20, 3:18:01 AM,F,69.974
9/9/20, 4:18:01 AM,F,71.775
9/9/20, 5:18:01 AM,F,71.775
9/9/20, 6:18:01 AM,F,68.173
9/9/20, 7:18:01 AM,F,69.974
9/9/20, 8:18:01 AM,F,80.775
9/9/20, 9:18:01 AM,F,88.87
9/9/20, 10:18:01 AM,F,93.364
9/9/20, 11:18:01 AM,F,97.857
9/9/20, 12:18:01 PM,F,105.94
9/9/20, 1:18:01 PM,F,104.144
9/9/20, 2:18:01 PM,F,103.246
9/9/20, 3:18:01 PM,F,100.552
9/9/20, 4:18:01 PM,F,95.162
9/9/20, 5:18:01 PM,F,84.373
9/9/20, 6:18:01 PM,F,78.976
9/9/20, 7:18:01 PM,F,73.575
9/9/20, 8:18:01 PM,F,64.569
9/9/20, 9:18:01 PM,F,63.668
9/9/20, 10:18:01 PM,F,60.064
9/9/20, 11:18:01 PM,F,59.163
9/10/20, 12:18:01 AM,F,61.866
9/10/20, 1:18:01 AM,F,57.36
9/10/20, 2:18:01 AM,F,60.965
9/10/20, 3:18:01 AM,F,57.36
9/10/20, 4:18:01 AM,F,56.458
9/10/20, 5:18:01 AM,F,60.965
9/10/20, 6:18:01 AM,F,56.458
9/10/20, 7:18:01 AM,F,60.965
9/10/20, 8:18:01 AM,F,67.272
9/10/20, 9:18:01 AM,F,75.376
9/10/20, 10:18:01 AM,F,83.474
9/10/20, 11:18:01 AM,F,90.668
9/10/20, 12:18:01 PM,F,91.567
9/10/20, 1:18:01 PM,F,93.364
9/10/20, 2:18:01 PM,F,93.364
9/10/20, 3:18:01 PM,F,88.87
9/10/20, 4:18:01 PM,F,82.574
9/10/20, 5:18:01 PM,F,77.176
9/10/20, 6:18:01 PM,F,70.874
9/10/20, 7:18:01 PM,F,64.569
9/10/20, 8:18:01 PM,F,61.866
9/10/20, 9:18:01 PM,F,60.064
9/10/20, 10:18:01 PM,F,58.261
9/10/20, 11:18:01 PM,F,60.064
9/11/20, 12:18:01 AM,F,58.261
9/11/20, 1:18:01 AM,F,58.261
9/11/20, 2:18:01 AM,F,58.261
9/11/20, 3:18:01 AM,F,58.261
9/11/20, 4:18:01 AM,F,57.36
9/11/20, 5:18:01 AM,F,56.458
9/11/20, 6:18:01 AM,F,55.557
9/11/20, 7:18:01 AM,F,58.261
9/11/20, 8:18:01 AM,F,71.775
9/11/20, 9:18:01 AM,F,83.474
9/11/20, 10:18:01 AM,F,96.06
9/11/20, 11:18:01 AM,F,109.531
9/11/20, 12:18:01 PM,F,109.531
9/11/20, 1:18:01 PM,F,109.531
9/11/20, 2:18:01 PM,F,103.246
9/11/20, 3:18:01 PM,F,96.959
9/11/20, 4:18:01 PM,F,89.769
9/11/20, 5:18:01 PM,F,84.373
9/11/20, 6:18:01 PM,F,77.176
9/11/20, 7:18:01 PM,F,69.073
9/11/20, 8:18:01 PM,F,64.569
9/11/20, 9:18:01 PM,F,63.668
9/11/20, 10:18:01 PM,F,63.668
9/11/20, 11:18:01 PM,F,59.163
9/12/20, 12:18:01 AM,F,59.163
9/12/20, 1:18:01 AM,F,57.36
9/12/20, 2:18:01 AM,F,58.261
9/12/20, 3:18:01 AM,F,56.458
9/12/20, 4:18:01 AM,F,56.458
9/12/20, 5:18:01 AM,F,57.36
9/12/20, 6:18:01 AM,F,59.163
9/12/20, 7:18:01 AM,F,60.965
9/12/20, 8:18:01 AM,F,69.974
9/12/20, 9:18:01 AM,F,80.775
9/12/20, 10:18:01 AM,F,89.769
9/12/20, 11:18:01 AM,F,100.552
9/12/20, 12:18:01 PM,F,105.94
9/12/20, 1:18:01 PM,F,105.042
9/12/20, 2:18:01 PM,F,102.348
9/12/20, 3:18:01 PM,F,96.959
9/12/20, 4:18:01 PM,F,90.668
9/12/20, 5:18:01 PM,F,82.574
9/12/20, 6:18:01 PM,F,77.176
9/12/20, 7:18:01 PM,F,69.974
9/12/20, 8:18:01 PM,F,66.371
9/12/20, 9:18:01 PM,F,61.866
9/12/20, 10:18:01 PM,F,60.965
9/12/20, 11:18:01 PM,F,60.965
9/13/20, 12:18:01 AM,F,58.261
9/13/20, 1:18:01 AM,F,60.064
9/13/20, 2:18:01 AM,F,60.064
9/13/20, 3:18:01 AM,F,60.965
9/13/20, 4:18:01 AM,F,61.866
9/13/20, 5:18:01 AM,F,59.163
9/13/20, 6:18:01 AM,F,59.163
9/13/20, 7:18:01 AM,F,60.064
9/13/20, 8:18:01 AM,F,80.775
9/13/20, 9:18:01 AM,F,94.263
9/13/20, 10:18:01 AM,F,100.552
9/13/20, 11:18:01 AM,F,107.736
9/13/20, 12:18:01 PM,F,105.94
9/13/20, 1:18:01 PM,F,105.94
9/13/20, 2:18:01 PM,F,102.348
9/13/20, 3:18:01 PM,F,99.654
9/13/20, 4:18:01 PM,F,91.567
9/13/20, 5:18:01 PM,F,84.373
9/13/20, 6:18:01 PM,F,78.076
9/13/20, 7:18:01 PM,F,71.775
9/13/20, 8:18:01 PM,F,65.47
9/13/20, 9:18:01 PM,F,62.767
9/13/20, 10:18:01 PM,F,61.866
9/13/20, 11:18:01 PM,F,60.064
9/14/20, 12:18:01 AM,F,59.163
9/14/20, 1:18:01 AM,F,60.064
9/14/20, 2:18:01 AM,F,59.163
9/14/20, 3:18:01 AM,F,62.767
9/14/20, 4:18:01 AM,F,60.965
9/14/20, 5:18:01 AM,F,59.163
9/14/20, 6:18:01 AM,F,60.064
9/14/20, 7:18:01 AM,F,63.668
9/14/20, 8:18:01 AM,F,82.574
9/14/20, 9:18:01 AM,F,97.857
9/14/20, 10:18:01 AM,F,107.736
9/14/20, 11:18:01 AM,F,109.531
9/14/20, 12:18:01 PM,F,107.736
9/14/20, 1:18:01 PM,F,108.633
9/14/20, 2:18:01 PM,F,107.736
9/14/20, 3:18:01 PM,F,106.838
9/14/20, 4:18:01 PM,F,96.959
9/14/20, 5:18:01 PM,F,89.769
9/14/20, 6:18:01 PM,F,83.474
9/14/20, 7:18:01 PM,F,76.276
9/14/20, 8:18:01 PM,F,69.073
9/14/20, 9:18:01 PM,F,68.173
9/14/20, 10:18:01 PM,F,66.371
9/14/20, 11:18:01 PM,F,66.371
9/15/20, 12:18:01 AM,F,64.569
9/15/20, 1:18:01 AM,F,66.371
9/15/20, 2:18:01 AM,F,62.767
9/15/20, 3:18:01 AM,F,62.767
9/15/20, 4:18:01 AM,F,62.767
9/15/20, 5:18:01 AM,F,61.866
9/15/20, 6:18:01 AM,F,59.163
9/15/20, 7:18:01 AM,F,62.767
9/15/20, 8:18:01 AM,F,77.176
9/15/20, 9:18:01 AM,F,91.567
9/15/20, 10:18:01 AM,F,101.45
9/15/20, 11:18:01 AM,F,106.838
9/15/20, 12:18:01 PM,F,111.326
9/15/20, 1:18:01 PM,F,110.428
9/15/20, 2:18:01 PM,F,106.838
9/15/20, 3:18:01 PM,F,102.348
9/15/20, 4:18:01 PM,F,95.162
9/15/20, 5:18:01 PM,F,88.87
9/15/20, 6:18:01 PM,F,81.675
9/15/20, 7:18:01 PM,F,75.376
9/15/20, 8:18:01 PM,F,69.974
9/15/20, 9:18:01 PM,F,63.668
9/15/20, 10:18:01 PM,F,62.767
9/15/20, 11:18:01 PM,F,62.767
9/16/20, 12:18:01 AM,F,59.163
9/16/20, 1:18:01 AM,F,62.767
9/16/20, 2:18:01 AM,F,61.866
9/16/20, 3:18:01 AM,F,58.261
9/16/20, 4:18:01 AM,F,57.36
9/16/20, 5:18:01 AM,F,55.557
9/16/20, 6:18:01 AM,F,60.965
9/16/20, 7:18:01 AM,F,62.767
9/16/20, 8:18:01 AM,F,80.775
9/16/20, 9:18:01 AM,F,97.857
9/16/20, 10:18:01 AM,F,109.531
9/16/20, 11:18:01 AM,F,115.812
9/16/20, 12:18:01 PM,F,117.606
9/16/20, 1:18:01 PM,F,115.812
9/16/20, 2:18:01 PM,F,111.326
9/16/20, 3:18:01 PM,F,104.144
9/16/20, 4:18:01 PM,F,96.959
9/16/20, 5:18:01 PM,F,88.87
9/16/20, 6:18:01 PM,F,83.474
9/16/20, 7:18:01 PM,F,76.276
9/16/20, 8:18:01 PM,F,67.272
9/16/20, 9:18:01 PM,F,64.569
9/16/20, 10:18:01 PM,F,65.47
9/16/20, 11:18:01 PM,F,65.47
9/17/20, 12:18:01 AM,F,60.064
9/17/20, 1:18:01 AM,F,59.163
9/17/20, 2:18:01 AM,F,59.163
9/17/20, 3:18:01 AM,F,60.965
9/17/20, 4:18:01 AM,F,60.064
9/17/20, 5:18:01 AM,F,59.163
9/17/20, 6:18:01 AM,F,60.064
9/17/20, 7:18:01 AM,F,62.767
9/17/20, 8:18:01 AM,F,82.574
9/17/20, 9:18:01 AM,F,96.06
9/17/20, 10:18:01 AM,F,98.756
9/17/20, 11:18:01 AM,F,110.428
9/17/20, 12:18:01 PM,F,117.606
9/17/20, 1:18:01 PM,F,115.812
9/17/20, 2:18:01 PM,F,110.428
9/17/20, 3:18:01 PM,F,105.042
9/17/20, 4:18:01 PM,F,95.162
9/17/20, 5:18:01 PM,F,91.567
9/17/20, 6:18:01 PM,F,82.574
9/17/20, 7:18:01 PM,F,74.476
9/17/20, 8:18:01 PM,F,68.173
9/17/20, 9:18:01 PM,F,68.173
9/17/20, 10:18:01 PM,F,65.47
9/17/20, 11:18:01 PM,F,64.569
9/18/20, 12:18:01 AM,F,65.47
9/18/20, 1:18:01 AM,F,65.47
9/18/20, 2:18:01 AM,F,64.569
9/18/20, 3:18:01 AM,F,62.767
9/18/20, 4:18:01 AM,F,63.668
9/18/20, 5:18:01 AM,F,61.866
9/18/20, 6:18:01 AM,F,61.866
9/18/20, 7:18:01 AM,F,69.073
9/18/20, 8:18:01 AM,F,78.076
9/18/20, 9:18:01 AM,F,100.552
9/18/20, 10:18:01 AM,F,105.94
9/18/20, 11:18:01 AM,F,117.606
9/18/20, 12:18:01 PM,F,119.399
9/18/20, 1:18:01 PM,F,113.12
9/18/20, 2:18:01 PM,F,109.531
9/18/20, 3:18:01 PM,F,105.042
9/18/20, 4:18:01 PM,F,96.06
9/18/20, 5:18:01 PM,F,89.769
9/18/20, 6:18:01 PM,F,85.273
9/18/20, 7:18:01 PM,F,78.976
9/18/20, 8:18:01 PM,F,74.476
9/18/20, 9:18:01 PM,F,69.073
9/18/20, 10:18:01 PM,F,67.272
9/18/20, 11:18:01 PM,F,65.47
9/19/20, 12:18:01 AM,F,66.371
9/19/20, 1:18:01 AM,F,62.767
9/19/20, 2:18:01 AM,F,63.668
9/19/20, 3:18:01 AM,F,61.866
9/19/20, 4:18:01 AM,F,61.866
9/19/20, 5:18:01 AM,F,63.668
9/19/20, 6:18:01 AM,F,65.47
9/19/20, 7:18:01 AM,F,68.173
9/19/20, 8:18:01 AM,F,91.567
9/19/20, 9:18:01 AM,F,102.348
9/19/20, 10:18:01 AM,F,114.915
9/19/20, 11:18:01 AM,F,116.709
9/19/20, 12:18:01 PM,F,115.812
9/19/20, 1:18:01 PM,F,113.12
9/19/20, 2:18:01 PM,F,107.736
9/19/20, 3:18:01 PM,F,104.144
9/19/20, 4:18:01 PM,F,92.466
9/19/20, 5:18:01 PM,F,86.172
9/19/20, 6:18:01 PM,F,78.976
9/19/20, 7:18:01 PM,F,72.675
9/19/20, 8:18:01 PM,F,67.272
9/19/20, 9:18:01 PM,F,60.965
9/19/20, 10:18:01 PM,F,60.064
9/19/20, 11:18:01 PM,F,60.064
9/20/20, 12:18:01 AM,F,60.064
9/20/20, 1:18:01 AM,F,60.965
9/20/20, 2:18:01 AM,F,60.965
9/20/20, 3:18:01 AM,F,59.163
9/20/20, 4:18:01 AM,F,57.36
9/20/20, 5:18:01 AM,F,53.753
9/20/20, 6:18:01 AM,F,53.753
9/20/20, 7:18:01 AM,F,57.36
9/20/20, 8:18:01 AM,F,90.668
9/20/20, 9:18:01 AM,F,102.348
9/20/20, 10:18:01 AM,F,112.223
9/20/20, 11:18:01 AM,F,114.017
9/20/20, 12:18:01 PM,F,111.326
9/20/20, 1:18:01 PM,F,116.709
9/20/20, 2:18:01 PM,F,109.531
9/20/20, 3:18:01 PM,F,102.348
9/20/20, 4:18:01 PM,F,91.567
9/20/20, 5:18:01 PM,F,86.172
9/20/20, 6:18:01 PM,F,78.076
9/20/20, 7:18:01 PM,F,70.874
9/20/20, 8:18:01 PM,F,65.47
9/20/20, 9:18:01 PM,F,59.163
9/20/20, 10:18:01 PM,F,58.261
9/20/20, 11:18:01 PM,F,59.163
9/21/20, 12:18:01 AM,F,57.36
9/21/20, 1:18:01 AM,F,56.458
9/21/20, 2:18:01 AM,F,54.655
9/21/20, 3:18:01 AM,F,55.557
9/21/20, 4:18:01 AM,F,55.557
9/21/20, 5:18:01 AM,F,55.557
9/21/20, 6:18:01 AM,F,53.753
9/21/20, 7:18:01 AM,F,55.557
9/21/20, 8:18:01 AM,F,87.971
9/21/20, 9:18:01 AM,F,98.756
9/21/20, 10:18:01 AM,F,105.042
9/21/20, 11:18:01 AM,F,112.223
9/21/20, 12:18:01 PM,F,112.223
9/21/20, 1:18:01 PM,F,107.736
9/21/20, 2:18:01 PM,F,105.042
9/21/20, 3:18:01 PM,F,100.552
9/21/20, 4:18:01 PM,F,90.668
9/21/20, 5:18:01 PM,F,86.172
9/21/20, 6:18:01 PM,F,77.176
9/21/20, 7:18:01 PM,F,69.974
9/21/20, 8:18:01 PM,F,64.569
9/21/20, 9:18:01 PM,F,61.866
9/21/20, 10:18:01 PM,F,58.261
9/21/20, 11:18:01 PM,F,57.36
9/22/20, 12:18:01 AM,F,57.36
9/22/20, 1:18:01 AM,F,55.557
9/22/20, 2:18:01 AM,F,54.655
9/22/20, 3:18:01 AM,F,54.655
9/22/20, 4:18:01 AM,F,56.458
9/22/20, 5:18:01 AM,F,53.753
9/22/20, 6:18:01 AM,F,54.655
9/22/20, 7:18:01 AM,F,57.36
9/22/20, 8:18:01 AM,F,87.071
9/22/20, 9:18:01 AM,F,101.45
9/22/20, 10:18:01 AM,F,105.94
9/22/20, 11:18:01 AM,F,116.709
9/22/20, 12:18:01 PM,F,111.326
