1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000697C7541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:13:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 21:13:01 PDT 2020
Total Mission Samples:  7484
Total Device Samples:  13966
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 9:13:01 PM,F,60.952
8/29/20, 10:13:01 PM,F,59.148
8/29/20, 11:13:01 PM,F,55.539
8/30/20, 12:13:01 AM,F,54.636
8/30/20, 1:13:01 AM,F,52.83
8/30/20, 2:13:01 AM,F,52.83
8/30/20, 3:13:01 AM,F,51.025
8/30/20, 4:13:01 AM,F,49.218
8/30/20, 5:13:01 AM,F,49.218
8/30/20, 6:13:01 AM,F,51.025
8/30/20, 7:13:01 AM,F,53.733
8/30/20, 8:13:01 AM,F,80.768
8/30/20, 9:13:01 AM,F,102.326
8/30/20, 10:13:01 AM,F,117.559
8/30/20, 11:13:01 AM,F,127.4
8/30/20, 12:13:01 PM,F,128.294
8/30/20, 1:13:01 PM,F,135.441
8/30/20, 2:13:01 PM,F,131.868
8/30/20, 3:13:01 PM,F,127.4
8/30/20, 4:13:01 PM,F,117.559
8/30/20, 5:13:01 PM,F,102.326
8/30/20, 6:13:01 PM,F,81.667
8/30/20, 7:13:01 PM,F,72.668
8/30/20, 8:13:01 PM,F,65.46
8/30/20, 9:13:01 PM,F,60.952
8/30/20, 10:13:01 PM,F,58.246
8/30/20, 11:13:01 PM,F,56.441
8/31/20, 12:13:01 AM,F,54.636
8/31/20, 1:13:01 AM,F,52.83
8/31/20, 2:13:01 AM,F,52.83
8/31/20, 3:13:01 AM,F,51.928
8/31/20, 4:13:01 AM,F,49.218
8/31/20, 5:13:01 AM,F,48.315
8/31/20, 6:13:01 AM,F,47.411
8/31/20, 7:13:01 AM,F,52.83
8/31/20, 8:13:01 AM,F,85.264
8/31/20, 9:13:01 AM,F,103.223
8/31/20, 10:13:01 AM,F,119.349
8/31/20, 11:13:01 AM,F,129.187
8/31/20, 12:13:01 PM,F,131.868
8/31/20, 1:13:01 PM,F,132.762
8/31/20, 2:13:01 PM,F,131.868
8/31/20, 3:13:01 PM,F,127.4
8/31/20, 4:13:01 PM,F,115.769
8/31/20, 5:13:01 PM,F,98.737
8/31/20, 6:13:01 PM,F,80.768
8/31/20, 7:13:01 PM,F,71.767
8/31/20, 8:13:01 PM,F,65.46
8/31/20, 9:13:01 PM,F,61.854
8/31/20, 10:13:01 PM,F,59.148
8/31/20, 11:13:01 PM,F,57.343
9/1/20, 12:13:01 AM,F,55.539
9/1/20, 1:13:01 AM,F,53.733
9/1/20, 2:13:01 AM,F,60.05
9/1/20, 3:13:01 AM,F,60.05
9/1/20, 4:13:01 AM,F,60.05
9/1/20, 5:13:01 AM,F,56.441
9/1/20, 6:13:01 AM,F,53.733
9/1/20, 7:13:01 AM,F,53.733
9/1/20, 8:13:01 AM,F,81.667
