1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 21:42:01 PDT 2020
Total Mission Samples:  9153
Total Device Samples:  17195
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 9:42:01 PM,F,60.086
8/29/20, 10:42:01 PM,F,57.382
8/29/20, 11:42:01 PM,F,54.676
8/30/20, 12:42:01 AM,F,51.971
8/30/20, 1:42:01 AM,F,51.068
8/30/20, 2:42:01 AM,F,50.166
8/30/20, 3:42:01 AM,F,52.873
8/30/20, 4:42:01 AM,F,49.264
8/30/20, 5:42:01 AM,F,47.459
8/30/20, 6:42:01 AM,F,53.775
8/30/20, 7:42:01 AM,F,60.086
8/30/20, 8:42:01 AM,F,80.8
8/30/20, 9:42:01 AM,F,97.883
8/30/20, 10:42:01 AM,F,103.273
8/30/20, 11:42:01 AM,F,100.578
8/30/20, 12:42:01 PM,F,98.782
8/30/20, 1:42:01 PM,F,99.68
8/30/20, 2:42:01 PM,F,99.68
8/30/20, 3:42:01 PM,F,96.985
8/30/20, 4:42:01 PM,F,88.895
8/30/20, 5:42:01 PM,F,81.7
8/30/20, 6:42:01 PM,F,77.2
8/30/20, 7:42:01 PM,F,69.097
8/30/20, 8:42:01 PM,F,63.691
8/30/20, 9:42:01 PM,F,61.889
8/30/20, 10:42:01 PM,F,57.382
8/30/20, 11:42:01 PM,F,55.578
8/31/20, 12:42:01 AM,F,53.775
8/31/20, 1:42:01 AM,F,53.775
8/31/20, 2:42:01 AM,F,51.068
8/31/20, 3:42:01 AM,F,51.068
8/31/20, 4:42:01 AM,F,48.362
8/31/20, 5:42:01 AM,F,48.362
8/31/20, 6:42:01 AM,F,46.557
8/31/20, 7:42:01 AM,F,67.295
8/31/20, 8:42:01 AM,F,87.097
8/31/20, 9:42:01 AM,F,96.086
8/31/20, 10:42:01 AM,F,103.273
8/31/20, 11:42:01 AM,F,105.069
8/31/20, 12:42:01 PM,F,99.68
8/31/20, 1:42:01 PM,F,100.578
8/31/20, 2:42:01 PM,F,101.476
8/31/20, 3:42:01 PM,F,100.578
8/31/20, 4:42:01 PM,F,91.592
8/31/20, 5:42:01 PM,F,81.7
8/31/20, 6:42:01 PM,F,74.5
8/31/20, 7:42:01 PM,F,68.196
8/31/20, 8:42:01 PM,F,63.691
8/31/20, 9:42:01 PM,F,60.988
8/31/20, 10:42:01 PM,F,58.283
8/31/20, 11:42:01 PM,F,56.48
9/1/20, 12:42:01 AM,F,55.578
9/1/20, 1:42:01 AM,F,57.382
9/1/20, 2:42:01 AM,F,58.283
9/1/20, 3:42:01 AM,F,58.283
9/1/20, 4:42:01 AM,F,57.382
9/1/20, 5:42:01 AM,F,56.48
9/1/20, 6:42:01 AM,F,53.775
9/1/20, 7:42:01 AM,F,65.493
9/1/20, 8:42:01 AM,F,84.399
9/1/20, 9:42:01 AM,F,90.693
9/1/20, 10:42:01 AM,F,96.985
9/1/20, 11:42:01 AM,F,98.782
9/1/20, 12:42:01 PM,F,96.086
