1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E00000006D9B6E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:47:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 21:47:01 PDT 2020
Total Mission Samples:  9153
Total Device Samples:  17971
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 9:47:01 PM,F,54.646
8/29/20, 10:47:01 PM,F,52.841
8/29/20, 11:47:01 PM,F,50.133
8/30/20, 12:47:01 AM,F,49.23
8/30/20, 1:47:01 AM,F,48.327
8/30/20, 2:47:01 AM,F,45.617
8/30/20, 3:47:01 AM,F,48.327
8/30/20, 4:47:01 AM,F,45.617
8/30/20, 5:47:01 AM,F,43.809
8/30/20, 6:47:01 AM,F,51.036
8/30/20, 7:47:01 AM,F,64.568
8/30/20, 8:47:01 AM,F,89.772
8/30/20, 9:47:01 AM,F,102.345
8/30/20, 10:47:01 AM,F,108.625
8/30/20, 11:47:01 AM,F,106.831
8/30/20, 12:47:01 PM,F,104.14
8/30/20, 1:47:01 PM,F,105.934
8/30/20, 2:47:01 PM,F,101.448
8/30/20, 3:47:01 PM,F,96.959
8/30/20, 4:47:01 PM,F,87.075
8/30/20, 5:47:01 PM,F,79.879
8/30/20, 6:47:01 PM,F,74.478
8/30/20, 7:47:01 PM,F,66.371
8/30/20, 8:47:01 PM,F,61.863
8/30/20, 9:47:01 PM,F,59.158
8/30/20, 10:47:01 PM,F,54.646
8/30/20, 11:47:01 PM,F,51.036
8/31/20, 12:47:01 AM,F,51.036
8/31/20, 1:47:01 AM,F,48.327
8/31/20, 2:47:01 AM,F,47.423
8/31/20, 3:47:01 AM,F,45.617
8/31/20, 4:47:01 AM,F,44.713
8/31/20, 5:47:01 AM,F,42.002
8/31/20, 6:47:01 AM,F,44.713
8/31/20, 7:47:01 AM,F,75.379
8/31/20, 8:47:01 AM,F,93.366
8/31/20, 9:47:01 AM,F,102.345
8/31/20, 10:47:01 AM,F,105.934
8/31/20, 11:47:01 AM,F,105.037
8/31/20, 12:47:01 PM,F,100.55
8/31/20, 1:47:01 PM,F,105.934
8/31/20, 2:47:01 PM,F,102.345
8/31/20, 3:47:01 PM,F,98.755
8/31/20, 4:47:01 PM,F,88.873
8/31/20, 5:47:01 PM,F,79.879
8/31/20, 6:47:01 PM,F,72.677
8/31/20, 7:47:01 PM,F,65.47
8/31/20, 8:47:01 PM,F,61.863
8/31/20, 9:47:01 PM,F,58.256
8/31/20, 10:47:01 PM,F,56.451
8/31/20, 11:47:01 PM,F,52.841
9/1/20, 12:47:01 AM,F,51.036
9/1/20, 1:47:01 AM,F,56.451
9/1/20, 2:47:01 AM,F,57.353
9/1/20, 3:47:01 AM,F,57.353
9/1/20, 4:47:01 AM,F,56.451
9/1/20, 5:47:01 AM,F,54.646
9/1/20, 6:47:01 AM,F,50.133
9/1/20, 7:47:01 AM,F,69.975
9/1/20, 8:47:01 AM,F,87.974
9/1/20, 9:47:01 AM,F,94.264
9/1/20, 10:47:01 AM,F,98.755
9/1/20, 11:47:01 AM,F,102.345
9/1/20, 12:47:01 PM,F,96.061
9/1/20, 1:47:01 PM,F,100.55
9/1/20, 2:47:01 PM,F,100.55
9/1/20, 3:47:01 PM,F,95.163
