1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FA0000006CB64F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:52:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:52:01 PDT 2020
Total Mission Samples:  9152
Total Device Samples:  17231
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:52:01 PM,F,63.785
8/29/20, 9:52:01 PM,F,59.279
8/29/20, 10:52:01 PM,F,56.574
8/29/20, 11:52:01 PM,F,56.574
8/30/20, 12:52:01 AM,F,54.77
8/30/20, 1:52:01 AM,F,54.77
8/30/20, 2:52:01 AM,F,53.868
8/30/20, 3:52:01 AM,F,51.162
8/30/20, 4:52:01 AM,F,51.162
8/30/20, 5:52:01 AM,F,50.259
8/30/20, 6:52:01 AM,F,52.064
8/30/20, 7:52:01 AM,F,70.092
8/30/20, 8:52:01 AM,F,95.283
8/30/20, 9:52:01 AM,F,113.242
8/30/20, 10:52:01 AM,F,124.004
8/30/20, 11:52:01 AM,F,121.314
8/30/20, 12:52:01 PM,F,120.418
8/30/20, 1:52:01 PM,F,120.418
8/30/20, 2:52:01 PM,F,115.933
8/30/20, 3:52:01 PM,F,102.47
8/30/20, 4:52:01 PM,F,87.192
8/30/20, 5:52:01 PM,F,80.895
8/30/20, 6:52:01 PM,F,74.595
8/30/20, 7:52:01 PM,F,67.39
8/30/20, 8:52:01 PM,F,63.785
8/30/20, 9:52:01 PM,F,61.082
8/30/20, 10:52:01 PM,F,59.279
8/30/20, 11:52:01 PM,F,56.574
8/31/20, 12:52:01 AM,F,55.672
8/31/20, 1:52:01 AM,F,53.868
8/31/20, 2:52:01 AM,F,53.868
8/31/20, 3:52:01 AM,F,52.064
8/31/20, 4:52:01 AM,F,51.162
8/31/20, 5:52:01 AM,F,49.357
8/31/20, 6:52:01 AM,F,50.259
8/31/20, 7:52:01 AM,F,76.395
8/31/20, 8:52:01 AM,F,97.979
8/31/20, 9:52:01 AM,F,113.242
8/31/20, 10:52:01 AM,F,122.211
8/31/20, 11:52:01 AM,F,123.107
8/31/20, 12:52:01 PM,F,121.314
8/31/20, 1:52:01 PM,F,118.624
8/31/20, 2:52:01 PM,F,116.83
