1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000069B5FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:10:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:10:01 PDT 2020
Total Mission Samples:  7483
Total Device Samples:  14021
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:10:01 PM,F,64.532
8/29/20, 9:10:01 PM,F,54.621
8/29/20, 10:10:01 PM,F,55.522
8/29/20, 11:10:01 PM,F,51.015
8/30/20, 12:10:01 AM,F,49.212
8/30/20, 1:10:01 AM,F,50.113
8/30/20, 2:10:01 AM,F,49.212
8/30/20, 3:10:01 AM,F,48.31
8/30/20, 4:10:01 AM,F,45.605
8/30/20, 5:10:01 AM,F,47.408
8/30/20, 6:10:01 AM,F,51.015
8/30/20, 7:10:01 AM,F,58.226
8/30/20, 8:10:01 AM,F,76.237
8/30/20, 9:10:01 AM,F,89.732
8/30/20, 10:10:01 AM,F,103.214
8/30/20, 11:10:01 AM,F,112.195
8/30/20, 12:10:01 PM,F,110.399
8/30/20, 1:10:01 PM,F,113.991
8/30/20, 2:10:01 PM,F,112.195
8/30/20, 3:10:01 PM,F,108.603
8/30/20, 4:10:01 PM,F,103.214
8/30/20, 5:10:01 PM,F,93.328
8/30/20, 6:10:01 PM,F,78.937
8/30/20, 7:10:01 PM,F,70.836
8/30/20, 8:10:01 PM,F,62.731
8/30/20, 9:10:01 PM,F,55.522
8/30/20, 10:10:01 PM,F,54.621
8/30/20, 11:10:01 PM,F,53.719
8/31/20, 12:10:01 AM,F,51.917
8/31/20, 1:10:01 AM,F,50.113
8/31/20, 2:10:01 AM,F,52.818
8/31/20, 3:10:01 AM,F,50.113
8/31/20, 4:10:01 AM,F,45.605
8/31/20, 5:10:01 AM,F,43.801
8/31/20, 6:10:01 AM,F,43.801
8/31/20, 7:10:01 AM,F,57.324
8/31/20, 8:10:01 AM,F,84.335
8/31/20, 9:10:01 AM,F,93.328
8/31/20, 10:10:01 AM,F,102.315
8/31/20, 11:10:01 AM,F,109.501
8/31/20, 12:10:01 PM,F,113.991
8/31/20, 1:10:01 PM,F,110.399
8/31/20, 2:10:01 PM,F,110.399
8/31/20, 3:10:01 PM,F,107.705
8/31/20, 4:10:01 PM,F,102.315
8/31/20, 5:10:01 PM,F,91.53
8/31/20, 6:10:01 PM,F,77.137
8/31/20, 7:10:01 PM,F,69.035
8/31/20, 8:10:01 PM,F,63.631
8/31/20, 9:10:01 PM,F,59.127
8/31/20, 10:10:01 PM,F,57.324
8/31/20, 11:10:01 PM,F,55.522
9/1/20, 12:10:01 AM,F,54.621
9/1/20, 1:10:01 AM,F,51.917
9/1/20, 2:10:01 AM,F,53.719
9/1/20, 3:10:01 AM,F,56.423
9/1/20, 4:10:01 AM,F,55.522
9/1/20, 5:10:01 AM,F,51.917
9/1/20, 6:10:01 AM,F,48.31
9/1/20, 7:10:01 AM,F,55.522
9/1/20, 8:10:01 AM,F,75.337
9/1/20, 9:10:01 AM,F,85.235
9/1/20, 10:10:01 AM,F,96.924
9/1/20, 11:10:01 AM,F,104.112
9/1/20, 12:10:01 PM,F,109.501
9/1/20, 1:10:01 PM,F,106.807
9/1/20, 2:10:01 PM,F,105.909
9/1/20, 3:10:01 PM,F,106.807
9/1/20, 4:10:01 PM,F,97.822
9/1/20, 5:10:01 PM,F,91.53
9/1/20, 6:10:01 PM,F,78.037
9/1/20, 7:10:01 PM,F,70.836
9/1/20, 8:10:01 PM,F,65.433
9/1/20, 9:10:01 PM,F,60.929
9/1/20, 10:10:01 PM,F,57.324
9/1/20, 11:10:01 PM,F,53.719
9/2/20, 12:10:01 AM,F,53.719
9/2/20, 1:10:01 AM,F,53.719
9/2/20, 2:10:01 AM,F,50.113
9/2/20, 3:10:01 AM,F,51.917
9/2/20, 4:10:01 AM,F,49.212
9/2/20, 5:10:01 AM,F,51.015
9/2/20, 6:10:01 AM,F,51.015
9/2/20, 7:10:01 AM,F,59.127
9/2/20, 8:10:01 AM,F,81.636
9/2/20, 9:10:01 AM,F,94.227
9/2/20, 10:10:01 AM,F,105.909
9/2/20, 11:10:01 AM,F,116.684
9/2/20, 12:10:01 PM,F,115.786
9/2/20, 1:10:01 PM,F,113.991
9/2/20, 2:10:01 PM,F,108.603
9/2/20, 3:10:01 PM,F,105.909
9/2/20, 4:10:01 PM,F,96.924
9/2/20, 5:10:01 PM,F,88.832
9/2/20, 6:10:01 PM,F,78.037
9/2/20, 7:10:01 PM,F,72.637
9/2/20, 8:10:01 PM,F,66.333
9/2/20, 9:10:01 PM,F,61.83
9/2/20, 10:10:01 PM,F,60.929
9/2/20, 11:10:01 PM,F,60.028
9/3/20, 12:10:01 AM,F,58.226
9/3/20, 1:10:01 AM,F,57.324
9/3/20, 2:10:01 AM,F,55.522
9/3/20, 3:10:01 AM,F,54.621
9/3/20, 4:10:01 AM,F,53.719
9/3/20, 5:10:01 AM,F,53.719
9/3/20, 6:10:01 AM,F,52.818
9/3/20, 7:10:01 AM,F,61.83
9/3/20, 8:10:01 AM,F,84.335
9/3/20, 9:10:01 AM,F,100.518
9/3/20, 10:10:01 AM,F,115.786
9/3/20, 11:10:01 AM,F,118.479
9/3/20, 12:10:01 PM,F,121.171
9/3/20, 1:10:01 PM,F,119.377
9/3/20, 2:10:01 PM,F,113.093
9/3/20, 3:10:01 PM,F,108.603
9/3/20, 4:10:01 PM,F,100.518
9/3/20, 5:10:01 PM,F,95.126
9/3/20, 6:10:01 PM,F,83.436
9/3/20, 7:10:01 PM,F,75.337
9/3/20, 8:10:01 PM,F,68.135
9/3/20, 9:10:01 PM,F,64.532
9/3/20, 10:10:01 PM,F,62.731
9/3/20, 11:10:01 PM,F,61.83
9/4/20, 12:10:01 AM,F,62.731
9/4/20, 1:10:01 AM,F,60.929
9/4/20, 2:10:01 AM,F,60.028
9/4/20, 3:10:01 AM,F,59.127
9/4/20, 4:10:01 AM,F,57.324
9/4/20, 5:10:01 AM,F,57.324
9/4/20, 6:10:01 AM,F,57.324
9/4/20, 7:10:01 AM,F,65.433
9/4/20, 8:10:01 AM,F,93.328
9/4/20, 9:10:01 AM,F,107.705
9/4/20, 10:10:01 AM,F,120.274
9/4/20, 11:10:01 AM,F,123.863
9/4/20, 12:10:01 PM,F,125.657
9/4/20, 1:10:01 PM,F,123.863
9/4/20, 2:10:01 PM,F,119.377
9/4/20, 3:10:01 PM,F,115.786
9/4/20, 4:10:01 PM,F,110.399
9/4/20, 5:10:01 PM,F,101.417
9/4/20, 6:10:01 PM,F,88.832
9/4/20, 7:10:01 PM,F,81.636
9/4/20, 8:10:01 PM,F,75.337
9/4/20, 9:10:01 PM,F,69.035
9/4/20, 10:10:01 PM,F,68.135
9/4/20, 11:10:01 PM,F,67.234
9/5/20, 12:10:01 AM,F,67.234
9/5/20, 1:10:01 AM,F,67.234
9/5/20, 2:10:01 AM,F,66.333
9/5/20, 3:10:01 AM,F,67.234
9/5/20, 4:10:01 AM,F,67.234
9/5/20, 5:10:01 AM,F,66.333
9/5/20, 6:10:01 AM,F,69.936
9/5/20, 7:10:01 AM,F,79.837
9/5/20, 8:10:01 AM,F,96.924
9/5/20, 9:10:01 AM,F,112.195
9/5/20, 10:10:01 AM,F,131.936
9/5/20, 11:10:01 AM,F,142.692
9/5/20, 12:10:01 PM,F,143.588
9/5/20, 1:10:01 PM,F,143.588
9/5/20, 2:10:01 PM,F,132.832
9/5/20, 3:10:01 PM,F,133.729
9/5/20, 4:10:01 PM,F,128.348
9/5/20, 5:10:01 PM,F,119.377
9/5/20, 6:10:01 PM,F,105.011
9/5/20, 7:10:01 PM,F,94.227
9/5/20, 8:10:01 PM,F,86.134
9/5/20, 9:10:01 PM,F,84.335
9/5/20, 10:10:01 PM,F,83.436
9/5/20, 11:10:01 PM,F,81.636
9/6/20, 12:10:01 AM,F,79.837
9/6/20, 1:10:01 AM,F,78.037
9/6/20, 2:10:01 AM,F,78.937
9/6/20, 3:10:01 AM,F,77.137
9/6/20, 4:10:01 AM,F,74.437
9/6/20, 5:10:01 AM,F,74.437
9/6/20, 6:10:01 AM,F,75.337
9/6/20, 7:10:01 AM,F,82.536
9/6/20, 8:10:01 AM,F,105.011
9/6/20, 9:10:01 AM,F,115.786
9/6/20, 10:10:01 AM,F,127.451
9/6/20, 11:10:01 AM,F,134.625
9/6/20, 12:10:01 PM,F,140.9
9/6/20, 1:10:01 PM,F,137.315
9/6/20, 2:10:01 PM,F,139.107
9/6/20, 3:10:01 PM,F,131.936
9/6/20, 4:10:01 PM,F,129.245
9/6/20, 5:10:01 PM,F,122.069
9/6/20, 6:10:01 PM,F,106.807
9/6/20, 7:10:01 PM,F,98.721
9/6/20, 8:10:01 PM,F,92.429
9/6/20, 9:10:01 PM,F,85.235
9/6/20, 10:10:01 PM,F,93.328
9/6/20, 11:10:01 PM,F,91.53
9/7/20, 12:10:01 AM,F,92.429
9/7/20, 1:10:01 AM,F,92.429
9/7/20, 2:10:01 AM,F,86.134
9/7/20, 3:10:01 AM,F,85.235
9/7/20, 4:10:01 AM,F,84.335
9/7/20, 5:10:01 AM,F,80.737
9/7/20, 6:10:01 AM,F,80.737
9/7/20, 7:10:01 AM,F,85.235
9/7/20, 8:10:01 AM,F,96.025
9/7/20, 9:10:01 AM,F,108.603
9/7/20, 10:10:01 AM,F,124.76
9/7/20, 11:10:01 AM,F,121.171
9/7/20, 12:10:01 PM,F,123.863
9/7/20, 1:10:01 PM,F,123.863
9/7/20, 2:10:01 PM,F,121.171
9/7/20, 3:10:01 PM,F,112.195
9/7/20, 4:10:01 PM,F,105.909
9/7/20, 5:10:01 PM,F,98.721
9/7/20, 6:10:01 PM,F,87.933
9/7/20, 7:10:01 PM,F,80.737
9/7/20, 8:10:01 PM,F,69.936
9/7/20, 9:10:01 PM,F,68.135
9/7/20, 10:10:01 PM,F,68.135
9/7/20, 11:10:01 PM,F,66.333
9/8/20, 12:10:01 AM,F,64.532
9/8/20, 1:10:01 AM,F,62.731
9/8/20, 2:10:01 AM,F,61.83
9/8/20, 3:10:01 AM,F,63.631
9/8/20, 4:10:01 AM,F,63.631
9/8/20, 5:10:01 AM,F,62.731
9/8/20, 6:10:01 AM,F,63.631
9/8/20, 7:10:01 AM,F,63.631
9/8/20, 8:10:01 AM,F,65.433
9/8/20, 9:10:01 AM,F,69.936
9/8/20, 10:10:01 AM,F,81.636
9/8/20, 11:10:01 AM,F,96.025
9/8/20, 12:10:01 PM,F,102.315
9/8/20, 1:10:01 PM,F,105.909
9/8/20, 2:10:01 PM,F,102.315
9/8/20, 3:10:01 PM,F,99.62
9/8/20, 4:10:01 PM,F,95.126
9/8/20, 5:10:01 PM,F,87.933
9/8/20, 6:10:01 PM,F,78.937
9/8/20, 7:10:01 PM,F,71.736
9/8/20, 8:10:01 PM,F,63.631
9/8/20, 9:10:01 PM,F,62.731
9/8/20, 10:10:01 PM,F,62.731
9/8/20, 11:10:01 PM,F,64.532
9/9/20, 12:10:01 AM,F,69.035
9/9/20, 1:10:01 AM,F,67.234
9/9/20, 2:10:01 AM,F,72.637
9/9/20, 3:10:01 AM,F,71.736
9/9/20, 4:10:01 AM,F,69.936
9/9/20, 5:10:01 AM,F,72.637
9/9/20, 6:10:01 AM,F,68.135
9/9/20, 7:10:01 AM,F,70.836
9/9/20, 8:10:01 AM,F,78.937
9/9/20, 9:10:01 AM,F,84.335
9/9/20, 10:10:01 AM,F,92.429
9/9/20, 11:10:01 AM,F,97.822
9/9/20, 12:10:01 PM,F,105.909
9/9/20, 1:10:01 PM,F,106.807
9/9/20, 2:10:01 PM,F,106.807
9/9/20, 3:10:01 PM,F,113.093
