1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E0000006D97D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:05:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 29 20:05:01 PDT 2020
Total Mission Samples:  9151
Total Device Samples:  16786
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/29/20, 8:05:01 PM,F,66.445
8/29/20, 9:05:01 PM,F,57.427
8/29/20, 10:05:01 PM,F,56.525
8/29/20, 11:05:01 PM,F,52.914
8/30/20, 12:05:01 AM,F,52.914
8/30/20, 1:05:01 AM,F,51.108
8/30/20, 2:05:01 AM,F,50.205
8/30/20, 3:05:01 AM,F,52.914
8/30/20, 4:05:01 AM,F,49.302
8/30/20, 5:05:01 AM,F,49.302
8/30/20, 6:05:01 AM,F,51.108
8/30/20, 7:05:01 AM,F,51.108
8/30/20, 8:05:01 AM,F,74.553
8/30/20, 9:05:01 AM,F,87.147
8/30/20, 10:05:01 AM,F,99.721
8/30/20, 11:05:01 AM,F,109.587
8/30/20, 12:05:01 PM,F,103.31
8/30/20, 1:05:01 PM,F,106.897
8/30/20, 2:05:01 PM,F,106.001
8/30/20, 3:05:01 PM,F,100.619
8/30/20, 4:05:01 PM,F,96.131
8/30/20, 5:05:01 PM,F,89.843
8/30/20, 6:05:01 PM,F,79.953
8/30/20, 7:05:01 PM,F,72.752
8/30/20, 8:05:01 PM,F,64.642
8/30/20, 9:05:01 PM,F,57.427
8/30/20, 10:05:01 PM,F,56.525
8/30/20, 11:05:01 PM,F,55.622
8/31/20, 12:05:01 AM,F,53.817
8/31/20, 1:05:01 AM,F,52.011
8/31/20, 2:05:01 AM,F,54.72
8/31/20, 3:05:01 AM,F,50.205
8/31/20, 4:05:01 AM,F,49.302
8/31/20, 5:05:01 AM,F,46.592
8/31/20, 6:05:01 AM,F,47.495
8/31/20, 7:05:01 AM,F,51.108
8/31/20, 8:05:01 AM,F,78.153
8/31/20, 9:05:01 AM,F,89.843
8/31/20, 10:05:01 AM,F,99.721
8/31/20, 11:05:01 AM,F,104.207
8/31/20, 12:05:01 PM,F,108.69
8/31/20, 1:05:01 PM,F,105.104
8/31/20, 2:05:01 PM,F,106.897
8/31/20, 3:05:01 PM,F,101.516
8/31/20, 4:05:01 PM,F,97.029
8/31/20, 5:05:01 PM,F,88.945
8/31/20, 6:05:01 PM,F,79.953
8/31/20, 7:05:01 PM,F,70.95
8/31/20, 8:05:01 PM,F,63.741
8/31/20, 9:05:01 PM,F,60.134
8/31/20, 10:05:01 PM,F,58.329
8/31/20, 11:05:01 PM,F,55.622
9/1/20, 12:05:01 AM,F,52.914
9/1/20, 1:05:01 AM,F,52.914
9/1/20, 2:05:01 AM,F,50.205
9/1/20, 3:05:01 AM,F,55.622
9/1/20, 4:05:01 AM,F,54.72
9/1/20, 5:05:01 AM,F,51.108
9/1/20, 6:05:01 AM,F,49.302
9/1/20, 7:05:01 AM,F,52.011
9/1/20, 8:05:01 AM,F,70.95
9/1/20, 9:05:01 AM,F,84.45
9/1/20, 10:05:01 AM,F,95.233
9/1/20, 11:05:01 AM,F,99.721
9/1/20, 12:05:01 PM,F,102.413
9/1/20, 1:05:01 PM,F,102.413
9/1/20, 2:05:01 PM,F,101.516
9/1/20, 3:05:01 PM,F,99.721
9/1/20, 4:05:01 PM,F,93.437
9/1/20, 5:05:01 PM,F,88.046
9/1/20, 6:05:01 PM,F,79.053
9/1/20, 7:05:01 PM,F,72.752
9/1/20, 8:05:01 PM,F,66.445
9/1/20, 9:05:01 PM,F,61.938
9/1/20, 10:05:01 PM,F,58.329
9/1/20, 11:05:01 PM,F,55.622
9/2/20, 12:05:01 AM,F,53.817
9/2/20, 1:05:01 AM,F,53.817
9/2/20, 2:05:01 AM,F,52.914
9/2/20, 3:05:01 AM,F,53.817
9/2/20, 4:05:01 AM,F,51.108
9/2/20, 5:05:01 AM,F,51.108
9/2/20, 6:05:01 AM,F,51.108
9/2/20, 7:05:01 AM,F,55.622
9/2/20, 8:05:01 AM,F,79.053
9/2/20, 9:05:01 AM,F,90.742
9/2/20, 10:05:01 AM,F,101.516
9/2/20, 11:05:01 AM,F,109.587
9/2/20, 12:05:01 PM,F,107.794
9/2/20, 1:05:01 PM,F,109.587
9/2/20, 2:05:01 PM,F,106.001
9/2/20, 3:05:01 PM,F,99.721
9/2/20, 4:05:01 PM,F,90.742
9/2/20, 5:05:01 PM,F,87.147
9/2/20, 6:05:01 PM,F,79.053
9/2/20, 7:05:01 PM,F,73.652
9/2/20, 8:05:01 PM,F,68.248
9/2/20, 9:05:01 PM,F,61.938
9/2/20, 10:05:01 PM,F,61.938
9/2/20, 11:05:01 PM,F,60.134
9/3/20, 12:05:01 AM,F,60.134
9/3/20, 1:05:01 AM,F,60.134
9/3/20, 2:05:01 AM,F,57.427
9/3/20, 3:05:01 AM,F,56.525
9/3/20, 4:05:01 AM,F,55.622
