Date/Time,Unit,Value
2/1/2020 3:55,%RH,48.301
2/1/2020 4:55,%RH,48.371
2/1/2020 5:55,%RH,62.387
2/1/2020 6:55,%RH,58.314
2/1/2020 7:55,%RH,33.184
2/1/2020 8:55,%RH,24.472
2/1/2020 9:55,%RH,18.83
2/1/2020 10:55,%RH,17.566
2/1/2020 11:55,%RH,19.588
2/1/2020 12:55,%RH,16.24
2/1/2020 13:55,%RH,14.609
2/1/2020 14:55,%RH,15.269
2/1/2020 15:55,%RH,26.315
2/1/2020 16:55,%RH,41.179
2/1/2020 17:55,%RH,57.648
2/1/2020 18:55,%RH,51.888
2/1/2020 19:55,%RH,61.137
2/1/2020 20:55,%RH,58.634
2/1/2020 21:55,%RH,61.396
2/1/2020 22:55,%RH,63.152
2/1/2020 23:55,%RH,63.735
2/2/2020 0:55,%RH,69.245
2/2/2020 1:55,%RH,80.059
2/2/2020 2:55,%RH,76.891
2/2/2020 3:55,%RH,64.716
2/2/2020 4:55,%RH,68.054
2/2/2020 5:55,%RH,76.256
2/2/2020 6:55,%RH,83.682
2/2/2020 7:55,%RH,35.652
2/2/2020 8:55,%RH,24.891
2/2/2020 9:55,%RH,19.22
2/2/2020 10:55,%RH,23.359
2/2/2020 11:55,%RH,23.197
2/2/2020 12:55,%RH,21.861
2/2/2020 13:55,%RH,21.807
2/2/2020 14:55,%RH,35.334
2/2/2020 15:55,%RH,56.435
2/2/2020 16:55,%RH,63.489
2/2/2020 17:55,%RH,83.802
2/2/2020 18:55,%RH,84.058
2/2/2020 19:55,%RH,64.853
2/2/2020 20:55,%RH,42.159
2/2/2020 21:55,%RH,26.916
2/2/2020 22:55,%RH,29.966
2/2/2020 23:55,%RH,27.369
2/3/2020 0:55,%RH,32.022
2/3/2020 1:55,%RH,45.84
2/3/2020 2:55,%RH,49.018
2/3/2020 3:55,%RH,53.864
2/3/2020 4:55,%RH,56.826
2/3/2020 5:55,%RH,57.425
2/3/2020 6:55,%RH,58.023
2/3/2020 7:55,%RH,55.68
2/3/2020 8:55,%RH,42.653
2/3/2020 9:55,%RH,29.077
2/3/2020 10:55,%RH,25.852
2/3/2020 11:55,%RH,24.422
2/3/2020 12:55,%RH,26.108
2/3/2020 13:55,%RH,20.356
2/3/2020 14:55,%RH,17.204
2/3/2020 15:55,%RH,28.634
2/3/2020 16:55,%RH,30.488
2/3/2020 17:55,%RH,27.68
2/3/2020 18:55,%RH,25.134
2/3/2020 19:55,%RH,32.332
2/3/2020 20:55,%RH,36.193
2/3/2020 21:55,%RH,36.777
2/3/2020 22:55,%RH,36.516
2/3/2020 23:55,%RH,40.151
2/4/2020 0:55,%RH,36.852
2/4/2020 1:55,%RH,41.205
2/4/2020 2:55,%RH,40.677
2/4/2020 3:55,%RH,49.243
2/4/2020 4:55,%RH,55.919
2/4/2020 5:55,%RH,58.951
2/4/2020 6:55,%RH,39.447
2/4/2020 7:55,%RH,19.591
2/4/2020 8:55,%RH,15.07
2/4/2020 9:55,%RH,7.698
2/4/2020 10:55,%RH,7.996
2/4/2020 11:55,%RH,5.488
2/4/2020 12:55,%RH,7.445
2/4/2020 13:55,%RH,8.72
2/4/2020 14:55,%RH,8.484
2/4/2020 15:55,%RH,14.042
2/4/2020 16:55,%RH,20.294
2/4/2020 17:55,%RH,36.2
2/4/2020 18:55,%RH,38.801
2/4/2020 19:55,%RH,33.639
2/4/2020 20:55,%RH,38.092
2/4/2020 21:55,%RH,33.574
2/4/2020 22:55,%RH,34.953
2/4/2020 23:55,%RH,29.195
2/5/2020 0:55,%RH,29.726
2/5/2020 1:55,%RH,34.953
2/5/2020 2:55,%RH,44.93
2/5/2020 3:55,%RH,48.085
2/5/2020 4:55,%RH,48.759
2/5/2020 5:55,%RH,47.506
2/5/2020 6:55,%RH,52.436
2/5/2020 7:55,%RH,32.752
2/5/2020 8:55,%RH,21.483
2/5/2020 9:55,%RH,13.199
2/5/2020 10:55,%RH,10.368
2/5/2020 11:55,%RH,11.088
2/5/2020 12:55,%RH,11.291
2/5/2020 13:55,%RH,12.471
2/5/2020 14:55,%RH,14.24
2/5/2020 15:55,%RH,24.354
2/5/2020 16:55,%RH,33.256
2/5/2020 17:55,%RH,52.095
2/5/2020 18:55,%RH,60.345
2/5/2020 19:55,%RH,72.25
2/5/2020 20:55,%RH,74.961
2/5/2020 21:55,%RH,81.438
2/5/2020 22:55,%RH,84.076
2/5/2020 23:55,%RH,86.682
2/6/2020 0:55,%RH,88.742
2/6/2020 1:55,%RH,92.296
2/6/2020 2:55,%RH,92.805
2/6/2020 3:55,%RH,91.8
2/6/2020 4:55,%RH,93.315
2/6/2020 5:55,%RH,95.804
2/6/2020 6:55,%RH,95.318
2/6/2020 7:55,%RH,53.498
2/6/2020 8:55,%RH,38.596
2/6/2020 9:55,%RH,21.967
2/6/2020 10:55,%RH,17.496
2/6/2020 11:55,%RH,17.602
2/6/2020 12:55,%RH,18.148
2/6/2020 13:55,%RH,20.79
2/6/2020 14:55,%RH,25.206
2/6/2020 15:55,%RH,48.412
2/6/2020 16:55,%RH,59.577
2/6/2020 17:55,%RH,73.462
2/6/2020 18:55,%RH,86.614
2/6/2020 19:55,%RH,93.5
2/6/2020 20:55,%RH,98.36
2/6/2020 21:55,%RH,99.731
2/6/2020 22:55,%RH,101.176
2/6/2020 23:55,%RH,101.161
2/7/2020 0:55,%RH,101.637
2/7/2020 1:55,%RH,102.11
2/7/2020 2:55,%RH,101.167
2/7/2020 3:55,%RH,102.583
2/7/2020 4:55,%RH,102.584
2/7/2020 5:55,%RH,102.583
2/7/2020 6:55,%RH,102.583
2/7/2020 7:55,%RH,97.892
2/7/2020 8:55,%RH,47.704
2/7/2020 9:55,%RH,26.371
2/7/2020 10:55,%RH,22.449
2/7/2020 11:55,%RH,21.324
2/7/2020 12:55,%RH,23.889
2/7/2020 13:55,%RH,24.364
2/7/2020 14:55,%RH,31.533
2/7/2020 15:55,%RH,55.789
2/7/2020 16:55,%RH,67.461
2/7/2020 17:55,%RH,79.733
2/7/2020 18:55,%RH,92.771
2/7/2020 19:55,%RH,98.018
2/7/2020 20:55,%RH,99.373
2/7/2020 21:55,%RH,100.357
2/7/2020 22:55,%RH,101.281
2/7/2020 23:55,%RH,102.135
2/8/2020 0:55,%RH,102.117
2/8/2020 1:55,%RH,101.662
2/8/2020 2:55,%RH,102.135
2/8/2020 3:55,%RH,102.11
2/8/2020 4:55,%RH,102.607
2/8/2020 5:55,%RH,99.767
2/8/2020 6:55,%RH,95.899
2/8/2020 7:55,%RH,64.853
2/8/2020 8:55,%RH,38.904
2/8/2020 9:55,%RH,23.62
2/8/2020 10:55,%RH,20.029
2/8/2020 11:55,%RH,20.677
2/8/2020 12:55,%RH,22.449
2/8/2020 13:55,%RH,24.31
2/8/2020 14:55,%RH,27.684
2/8/2020 15:55,%RH,52.057
2/8/2020 16:55,%RH,67.184
2/8/2020 17:55,%RH,78.248
2/8/2020 18:55,%RH,91.974
2/8/2020 19:55,%RH,97.084
2/8/2020 20:55,%RH,99.852
2/8/2020 21:55,%RH,100.782
2/8/2020 22:55,%RH,100.782
2/8/2020 23:55,%RH,101.201
2/9/2020 0:55,%RH,102.135
2/9/2020 1:55,%RH,102.125
2/9/2020 2:55,%RH,101.691
2/9/2020 3:55,%RH,100.967
2/9/2020 4:55,%RH,100.491
2/9/2020 5:55,%RH,99.14
2/9/2020 6:55,%RH,98.177
2/9/2020 7:55,%RH,85.837
2/9/2020 8:55,%RH,36.883
2/9/2020 9:55,%RH,46.248
2/9/2020 10:55,%RH,27.681
2/9/2020 11:55,%RH,17.882
2/9/2020 12:55,%RH,22.554
2/9/2020 13:55,%RH,15.216
2/9/2020 14:55,%RH,19.009
2/9/2020 15:55,%RH,20.892
2/9/2020 16:55,%RH,22.92
2/9/2020 17:55,%RH,25.337
2/9/2020 18:55,%RH,23.984
2/9/2020 19:55,%RH,27.952
2/9/2020 20:55,%RH,28.473
2/9/2020 21:55,%RH,34.135
2/9/2020 22:55,%RH,47.03
2/9/2020 23:55,%RH,49.576
2/10/2020 0:55,%RH,34.648
2/10/2020 1:55,%RH,36.601
2/10/2020 2:55,%RH,31.648
2/10/2020 3:55,%RH,28.328
2/10/2020 4:55,%RH,29.067
2/10/2020 5:55,%RH,30.397
2/10/2020 6:55,%RH,31.132
2/10/2020 7:55,%RH,26.488
2/10/2020 8:55,%RH,23.572
2/10/2020 9:55,%RH,15.872
2/10/2020 10:55,%RH,13.238
2/10/2020 11:55,%RH,17.391
2/10/2020 12:55,%RH,14.453
2/10/2020 13:55,%RH,14.506
2/10/2020 14:55,%RH,13.742
2/10/2020 15:55,%RH,21.644
2/10/2020 16:55,%RH,22.234
2/10/2020 17:55,%RH,22.772
2/10/2020 18:55,%RH,20.183
2/10/2020 19:55,%RH,20.109
2/10/2020 20:55,%RH,19.813
2/10/2020 21:55,%RH,20.963
2/10/2020 22:55,%RH,26.098
2/10/2020 23:55,%RH,19.516
