Date/Time,Unit,Value
2/1/2020 3:52,%RH,71.425
2/1/2020 4:52,%RH,72.328
2/1/2020 5:52,%RH,74.213
2/1/2020 6:52,%RH,75.03
2/1/2020 7:52,%RH,39.264
2/1/2020 8:52,%RH,41.056
2/1/2020 9:52,%RH,48.693
2/1/2020 10:52,%RH,27.08
2/1/2020 11:52,%RH,-47.078
2/1/2020 12:52,%RH,-48.052
2/1/2020 13:52,%RH,-47.945
2/1/2020 14:52,%RH,15.994
2/1/2020 15:52,%RH,25.045
2/1/2020 16:52,%RH,48.937
2/1/2020 17:52,%RH,62.127
2/1/2020 18:52,%RH,65.708
2/1/2020 19:52,%RH,65.565
2/1/2020 20:52,%RH,70.792
2/1/2020 21:52,%RH,72.801
2/1/2020 22:52,%RH,73.026
2/1/2020 23:52,%RH,73.466
2/2/2020 0:52,%RH,74.973
2/2/2020 1:52,%RH,76.528
2/2/2020 2:52,%RH,76.528
2/2/2020 3:52,%RH,77.433
2/2/2020 4:52,%RH,78.274
2/2/2020 5:52,%RH,78.853
2/2/2020 6:52,%RH,79.359
2/2/2020 7:52,%RH,41.507
2/2/2020 8:52,%RH,41.854
2/2/2020 9:52,%RH,49.295
2/2/2020 10:52,%RH,40.487
2/2/2020 11:52,%RH,-33.4
2/2/2020 12:52,%RH,-29.392
2/2/2020 13:52,%RH,-42.2
2/2/2020 14:52,%RH,24.116
2/2/2020 15:52,%RH,46.903
2/2/2020 16:52,%RH,61.922
2/2/2020 17:52,%RH,77.494
2/2/2020 18:52,%RH,79.459
2/2/2020 19:52,%RH,69.941
2/2/2020 20:52,%RH,48.69
2/2/2020 21:52,%RH,28.923
2/2/2020 22:52,%RH,33.404
2/2/2020 23:52,%RH,31.429
2/3/2020 0:52,%RH,35.475
2/3/2020 1:52,%RH,51.796
2/3/2020 2:52,%RH,53.359
2/3/2020 3:52,%RH,58.672
2/3/2020 4:52,%RH,57.319
2/3/2020 5:52,%RH,60.481
2/3/2020 6:52,%RH,61.357
2/3/2020 7:52,%RH,60.698
2/3/2020 8:52,%RH,50.85
2/3/2020 9:52,%RH,51.868
2/3/2020 10:52,%RH,-29.697
2/3/2020 11:52,%RH,42.615
2/3/2020 12:52,%RH,44.236
2/3/2020 13:52,%RH,32.314
2/3/2020 14:52,%RH,27.456
2/3/2020 15:52,%RH,23.559
2/3/2020 16:52,%RH,31.975
2/3/2020 17:52,%RH,29.128
2/3/2020 18:52,%RH,25.622
2/3/2020 19:52,%RH,35.136
2/3/2020 20:52,%RH,49.962
2/3/2020 21:52,%RH,46.096
2/3/2020 22:52,%RH,48.809
2/3/2020 23:52,%RH,49.252
2/4/2020 0:52,%RH,46.388
2/4/2020 1:52,%RH,42.914
2/4/2020 2:52,%RH,55.813
2/4/2020 3:52,%RH,47.474
2/4/2020 4:52,%RH,60.829
2/4/2020 5:52,%RH,61.263
2/4/2020 6:52,%RH,55.277
2/4/2020 7:52,%RH,27.889
2/4/2020 8:52,%RH,10.55
2/4/2020 9:52,%RH,-48.072
2/4/2020 10:52,%RH,-6.565
2/4/2020 11:52,%RH,35.14
2/4/2020 12:52,%RH,-48.072
2/4/2020 13:52,%RH,38.877
2/4/2020 14:52,%RH,28.66
2/4/2020 15:52,%RH,16.102
2/4/2020 16:52,%RH,17.711
2/4/2020 17:52,%RH,48.365
2/4/2020 18:52,%RH,48.809
2/4/2020 19:52,%RH,38.956
2/4/2020 20:52,%RH,51.413
2/4/2020 21:52,%RH,38.192
2/4/2020 22:52,%RH,38.065
2/4/2020 23:52,%RH,47.581
2/5/2020 0:52,%RH,54.963
2/5/2020 1:52,%RH,60.506
2/5/2020 2:52,%RH,64.638
2/5/2020 3:52,%RH,64.994
2/5/2020 4:52,%RH,67.92
2/5/2020 5:52,%RH,69.613
2/5/2020 6:52,%RH,66.846
2/5/2020 7:52,%RH,30.285
2/5/2020 8:52,%RH,35.64
2/5/2020 9:52,%RH,-9.63
2/5/2020 10:52,%RH,-28.255
2/5/2020 11:52,%RH,37.447
2/5/2020 12:52,%RH,49.516
2/5/2020 13:52,%RH,41.056
2/5/2020 14:52,%RH,30.546
2/5/2020 15:52,%RH,23.387
2/5/2020 16:52,%RH,35.597
2/5/2020 17:52,%RH,40.323
2/5/2020 18:52,%RH,62.059
2/5/2020 19:52,%RH,66.79
2/5/2020 20:52,%RH,72.208
2/5/2020 21:52,%RH,74.292
2/5/2020 22:52,%RH,75.494
2/5/2020 23:52,%RH,75.941
2/6/2020 0:52,%RH,77.283
2/6/2020 1:52,%RH,77.785
2/6/2020 2:52,%RH,78.433
2/6/2020 3:52,%RH,79.231
2/6/2020 4:52,%RH,78.973
2/6/2020 5:52,%RH,79.659
2/6/2020 6:52,%RH,79.887
2/6/2020 7:52,%RH,46.005
2/6/2020 8:52,%RH,28.82
2/6/2020 9:52,%RH,-39.078
2/6/2020 10:52,%RH,-22.921
2/6/2020 11:52,%RH,-4.226
2/6/2020 12:52,%RH,53.51
2/6/2020 13:52,%RH,45.908
2/6/2020 14:52,%RH,36.638
2/6/2020 15:52,%RH,39.705
2/6/2020 16:52,%RH,58.341
2/6/2020 17:52,%RH,67.702
2/6/2020 18:52,%RH,75.332
2/6/2020 19:52,%RH,79.141
2/6/2020 20:52,%RH,79.529
2/6/2020 21:52,%RH,80.438
2/6/2020 22:52,%RH,80.702
2/6/2020 23:52,%RH,80.811
2/7/2020 0:52,%RH,80.848
2/7/2020 1:52,%RH,80.869
2/7/2020 2:52,%RH,80.917
2/7/2020 3:52,%RH,80.884
2/7/2020 4:52,%RH,80.86
2/7/2020 5:52,%RH,80.892
2/7/2020 6:52,%RH,80.881
2/7/2020 7:52,%RH,56.355
2/7/2020 8:52,%RH,22.411
2/7/2020 9:52,%RH,-44.461
2/7/2020 10:52,%RH,-31.261
2/7/2020 11:52,%RH,20.965
2/7/2020 12:52,%RH,20.165
