Date/Time,Value
1/31/2020 14:45,73.4
1/31/2020 15:45,72.5
1/31/2020 16:45,58.1
1/31/2020 17:45,47.3
1/31/2020 18:45,45.5
1/31/2020 19:45,42.8
1/31/2020 20:45,47.3
1/31/2020 21:45,41.9
1/31/2020 22:45,43.7
1/31/2020 23:45,47.3
2/1/2020 0:45,45.5
2/1/2020 1:45,41.9
2/1/2020 2:45,48.2
2/1/2020 3:45,45.5
2/1/2020 4:45,44.6
2/1/2020 5:45,41.9
2/1/2020 6:45,43.7
2/1/2020 7:45,59
2/1/2020 8:45,91.4
2/1/2020 9:45,104
2/1/2020 10:45,110.3
2/1/2020 11:45,112.1
2/1/2020 12:45,97.7
2/1/2020 13:45,79.7
2/1/2020 14:45,70.7
2/1/2020 15:45,67.1
2/1/2020 16:45,55.4
2/1/2020 17:45,47.3
2/1/2020 18:45,48.2
2/1/2020 19:45,45.5
2/1/2020 20:45,50
2/1/2020 21:45,42.8
2/1/2020 22:45,43.7
2/1/2020 23:45,44.6
2/2/2020 0:45,40.1
2/2/2020 1:45,39.2
2/2/2020 2:45,41.9
2/2/2020 3:45,40.1
2/2/2020 4:45,38.3
2/2/2020 5:45,37.4
2/2/2020 6:45,34.7
2/2/2020 7:45,59
2/2/2020 8:45,78.8
2/2/2020 9:45,89.6
2/2/2020 10:45,96.8
2/2/2020 11:45,94.1
2/2/2020 12:45,91.4
2/2/2020 13:45,73.4
2/2/2020 14:45,65.3
2/2/2020 15:45,61.7
2/2/2020 16:45,57.2
2/2/2020 17:45,45.5
2/2/2020 18:45,45.5
2/2/2020 19:45,47.3
2/2/2020 20:45,48.2
2/2/2020 21:45,44.6
2/2/2020 22:45,41.9
2/2/2020 23:45,42.8
2/3/2020 0:45,42.8
2/3/2020 1:45,39.2
2/3/2020 2:45,39.2
2/3/2020 3:45,39.2
2/3/2020 4:45,39.2
2/3/2020 5:45,38.3
2/3/2020 6:45,38.3
2/3/2020 7:45,39.2
2/3/2020 8:45,44.6
2/3/2020 9:45,64.4
2/3/2020 10:45,68
2/3/2020 11:45,67.1
2/3/2020 12:45,65.3
2/3/2020 13:45,54.5
2/3/2020 14:45,44.6
2/3/2020 15:45,41
2/3/2020 16:45,40.1
2/3/2020 17:45,37.4
2/3/2020 18:45,38.3
2/3/2020 19:45,37.4
2/3/2020 20:45,36.5
2/3/2020 21:45,36.5
2/3/2020 22:45,32
2/3/2020 23:45,28.4
2/4/2020 0:45,27.5
2/4/2020 1:45,24.8
2/4/2020 2:45,22.1
2/4/2020 3:45,24.8
2/4/2020 4:45,23
2/4/2020 5:45,21.2
2/4/2020 6:45,24.8
2/4/2020 7:45,43.7
2/4/2020 8:45,61.7
2/4/2020 9:45,73.4
2/4/2020 10:45,77
