1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E6000000545AA921
Is Mission Active?  true
Mission Start:  Sat Feb 01 03:16:00 PST 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1663
Total Samples:  1663
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2/1/20 3:16:00 AM,C,8.5
2/1/20 4:16:00 AM,C,6.5
2/1/20 5:16:00 AM,C,6.5
2/1/20 6:16:00 AM,C,7
2/1/20 7:16:00 AM,C,6.5
2/1/20 8:16:00 AM,C,24.5
2/1/20 9:16:00 AM,C,31
2/1/20 10:16:00 AM,C,35.5
2/1/20 11:16:00 AM,C,36.5
2/1/20 12:16:00 PM,C,39
2/1/20 1:16:00 PM,C,36.5
2/1/20 2:16:00 PM,C,29
2/1/20 3:16:00 PM,C,24.5
2/1/20 4:16:00 PM,C,21
2/1/20 5:16:00 PM,C,14.5
2/1/20 6:16:00 PM,C,10.5
2/1/20 7:16:00 PM,C,10.5
2/1/20 8:16:00 PM,C,9.5
2/1/20 9:16:00 PM,C,8.5
2/1/20 10:16:00 PM,C,8
2/1/20 11:16:00 PM,C,6.5
2/2/20 12:16:00 AM,C,6.5
2/2/20 1:16:00 AM,C,6
2/2/20 2:16:00 AM,C,5
2/2/20 3:16:00 AM,C,5.5
2/2/20 4:16:00 AM,C,4.5
2/2/20 5:16:00 AM,C,4
2/2/20 6:16:00 AM,C,3.5
2/2/20 7:16:00 AM,C,4
2/2/20 8:16:00 AM,C,24.5
2/2/20 9:16:00 AM,C,31.5
2/2/20 10:16:00 AM,C,31.5
2/2/20 11:16:00 AM,C,32
2/2/20 12:16:00 PM,C,31
2/2/20 1:16:00 PM,C,28
2/2/20 2:16:00 PM,C,23.5
2/2/20 3:16:00 PM,C,19
2/2/20 4:16:00 PM,C,16
2/2/20 5:16:00 PM,C,10
2/2/20 6:16:00 PM,C,7.5
2/2/20 7:16:00 PM,C,8.5
2/2/20 8:16:00 PM,C,9.5
2/2/20 9:16:00 PM,C,7.5
2/2/20 10:16:00 PM,C,6
2/2/20 11:16:00 PM,C,5.5
2/3/20 12:16:00 AM,C,6
2/3/20 1:16:00 AM,C,4.5
2/3/20 2:16:00 AM,C,4
2/3/20 3:16:00 AM,C,4
2/3/20 4:16:00 AM,C,4
2/3/20 5:16:00 AM,C,3.5
2/3/20 6:16:00 AM,C,3.5
2/3/20 7:16:00 AM,C,3.5
2/3/20 8:16:00 AM,C,5.5
2/3/20 9:16:00 AM,C,19.5
2/3/20 10:16:00 AM,C,23
2/3/20 11:16:00 AM,C,16.5
2/3/20 12:16:00 PM,C,20.5
2/3/20 1:16:00 PM,C,19
2/3/20 2:16:00 PM,C,16
2/3/20 3:16:00 PM,C,8
2/3/20 4:16:00 PM,C,5
2/3/20 5:16:00 PM,C,3.5
2/3/20 6:16:00 PM,C,3
2/3/20 7:16:00 PM,C,4
2/3/20 8:16:00 PM,C,3
2/3/20 9:16:00 PM,C,3
2/3/20 10:16:00 PM,C,2
2/3/20 11:16:00 PM,C,0
2/4/20 12:16:00 AM,C,1
2/4/20 1:16:00 AM,C,-0.5
2/4/20 2:16:00 AM,C,-2.5
2/4/20 3:16:00 AM,C,-3
2/4/20 4:16:00 AM,C,-4
2/4/20 5:16:00 AM,C,-4.5
2/4/20 6:16:00 AM,C,-5
2/4/20 7:16:00 AM,C,-2
2/4/20 8:16:00 AM,C,18.5
2/4/20 9:16:00 AM,C,24.5
2/4/20 10:16:00 AM,C,27.5
2/4/20 11:16:00 AM,C,22
2/4/20 12:16:00 PM,C,23.5
2/4/20 1:16:00 PM,C,24
2/4/20 2:16:00 PM,C,19.5
2/4/20 3:16:00 PM,C,9
