1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000006D9ABD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:53:01 PST 2020
Mission Sample Count:  1668
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:53:01 PST 2020
Total Mission Samples:  1668
Total Device Samples:  10511
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:53:01 AM,C,10.623
2/1/20 4:53:01 AM,C,10.623
2/1/20 5:53:01 AM,C,9.619
2/1/20 6:53:01 AM,C,10.121
2/1/20 7:53:01 AM,C,24.15
2/1/20 8:53:01 AM,C,27.65
2/1/20 9:53:01 AM,C,30.148
2/1/20 10:53:01 AM,C,32.645
2/1/20 11:53:01 AM,C,33.643
2/1/20 12:53:01 PM,C,29.649
2/1/20 1:53:01 PM,C,23.65
2/1/20 2:53:01 PM,C,23.15
2/1/20 3:53:01 PM,C,21.648
2/1/20 4:53:01 PM,C,16.139
2/1/20 5:53:01 PM,C,13.633
2/1/20 6:53:01 PM,C,13.131
2/1/20 7:53:01 PM,C,12.128
2/1/20 8:53:01 PM,C,12.128
2/1/20 9:53:01 PM,C,11.124
2/1/20 10:53:01 PM,C,10.121
2/1/20 11:53:01 PM,C,11.124
2/2/20 12:53:01 AM,C,8.113
2/2/20 1:53:01 AM,C,9.117
2/2/20 2:53:01 AM,C,7.61
2/2/20 3:53:01 AM,C,8.615
2/2/20 4:53:01 AM,C,7.108
2/2/20 5:53:01 AM,C,6.104
2/2/20 6:53:01 AM,C,5.601
2/2/20 7:53:01 AM,C,20.147
2/2/20 8:53:01 AM,C,23.15
2/2/20 9:53:01 AM,C,26.15
2/2/20 10:53:01 AM,C,29.649
2/2/20 11:53:01 AM,C,30.148
2/2/20 12:53:01 PM,C,24.65
2/2/20 1:53:01 PM,C,20.147
2/2/20 2:53:01 PM,C,18.143
2/2/20 3:53:01 PM,C,16.139
2/2/20 4:53:01 PM,C,12.629
2/2/20 5:53:01 PM,C,9.117
2/2/20 6:53:01 PM,C,9.619
2/2/20 7:53:01 PM,C,13.131
2/2/20 8:53:01 PM,C,11.124
2/2/20 9:53:01 PM,C,9.117
2/2/20 10:53:01 PM,C,7.108
2/2/20 11:53:01 PM,C,8.615
2/3/20 12:53:01 AM,C,8.113
2/3/20 1:53:01 AM,C,7.108
2/3/20 2:53:01 AM,C,6.104
2/3/20 3:53:01 AM,C,5.601
2/3/20 4:53:01 AM,C,5.099
2/3/20 5:53:01 AM,C,5.099
2/3/20 6:53:01 AM,C,4.596
2/3/20 7:53:01 AM,C,5.099
2/3/20 8:53:01 AM,C,10.623
2/3/20 9:53:01 AM,C,14.134
2/3/20 10:53:01 AM,C,12.128
2/3/20 11:53:01 AM,C,11.124
2/3/20 12:53:01 PM,C,11.626
2/3/20 1:53:01 PM,C,8.615
2/3/20 2:53:01 PM,C,8.113
2/3/20 3:53:01 PM,C,7.61
2/3/20 4:53:01 PM,C,7.108
2/3/20 5:53:01 PM,C,5.601
2/3/20 6:53:01 PM,C,5.601
2/3/20 7:53:01 PM,C,6.104
2/3/20 8:53:01 PM,C,6.104
2/3/20 9:53:01 PM,C,5.099
2/3/20 10:53:01 PM,C,4.093
2/3/20 11:53:01 PM,C,2.585
2/4/20 12:53:01 AM,C,0.07
2/4/20 1:53:01 AM,C,0.07
2/4/20 2:53:01 AM,C,2.082
2/4/20 3:53:01 AM,C,-1.439
2/4/20 4:53:01 AM,C,-1.439
2/4/20 5:53:01 AM,C,-3.453
2/4/20 6:53:01 AM,C,3.088
2/4/20 7:53:01 AM,C,9.619
2/4/20 8:53:01 AM,C,14.635
2/4/20 9:53:01 AM,C,17.642
2/4/20 10:53:01 AM,C,15.638
2/4/20 11:53:01 AM,C,17.642
2/4/20 12:53:01 PM,C,15.638
2/4/20 1:53:01 PM,C,11.124
2/4/20 2:53:01 PM,C,10.623
2/4/20 3:53:01 PM,C,10.121
2/4/20 4:53:01 PM,C,7.61
2/4/20 5:53:01 PM,C,2.082
2/4/20 6:53:01 PM,C,4.596
2/4/20 7:53:01 PM,C,3.591
2/4/20 8:53:01 PM,C,3.591
2/4/20 9:53:01 PM,C,2.082
2/4/20 10:53:01 PM,C,2.585
2/4/20 11:53:01 PM,C,4.596
2/5/20 12:53:01 AM,C,3.591
2/5/20 1:53:01 AM,C,2.082
2/5/20 2:53:01 AM,C,0.573
2/5/20 3:53:01 AM,C,1.077
2/5/20 4:53:01 AM,C,1.077
2/5/20 5:53:01 AM,C,1.579
2/5/20 6:53:01 AM,C,1.077
2/5/20 7:53:01 AM,C,7.108
2/5/20 8:53:01 AM,C,15.137
2/5/20 9:53:01 AM,C,18.644
2/5/20 10:53:01 AM,C,24.15
2/5/20 11:53:01 AM,C,26.15
2/5/20 12:53:01 PM,C,26.65
2/5/20 1:53:01 PM,C,17.642
2/5/20 2:53:01 PM,C,15.137
2/5/20 3:53:01 PM,C,13.633
2/5/20 4:53:01 PM,C,10.623
2/5/20 5:53:01 PM,C,6.104
2/5/20 6:53:01 PM,C,4.596
2/5/20 7:53:01 PM,C,3.591
2/5/20 8:53:01 PM,C,3.591
2/5/20 9:53:01 PM,C,1.579
2/5/20 10:53:01 PM,C,2.585
2/5/20 11:53:01 PM,C,2.585
2/6/20 12:53:01 AM,C,2.585
2/6/20 1:53:01 AM,C,0.573
2/6/20 2:53:01 AM,C,1.077
2/6/20 3:53:01 AM,C,2.585
2/6/20 4:53:01 AM,C,1.579
2/6/20 5:53:01 AM,C,0.07
2/6/20 6:53:01 AM,C,2.585
2/6/20 7:53:01 AM,C,13.131
2/6/20 8:53:01 AM,C,18.143
2/6/20 9:53:01 AM,C,25.15
2/6/20 10:53:01 AM,C,30.647
2/6/20 11:53:01 AM,C,30.148
2/6/20 12:53:01 PM,C,26.65
2/6/20 1:53:01 PM,C,16.64
2/6/20 2:53:01 PM,C,15.137
2/6/20 3:53:01 PM,C,13.633
2/6/20 4:53:01 PM,C,11.124
2/6/20 5:53:01 PM,C,8.113
2/6/20 6:53:01 PM,C,6.104
2/6/20 7:53:01 PM,C,5.099
2/6/20 8:53:01 PM,C,3.591
2/6/20 9:53:01 PM,C,3.591
2/6/20 10:53:01 PM,C,3.088
2/6/20 11:53:01 PM,C,2.585
2/7/20 12:53:01 AM,C,2.082
2/7/20 1:53:01 AM,C,2.082
2/7/20 2:53:01 AM,C,3.088
2/7/20 3:53:01 AM,C,2.082
2/7/20 4:53:01 AM,C,1.077
2/7/20 5:53:01 AM,C,2.082
2/7/20 6:53:01 AM,C,2.082
2/7/20 7:53:01 AM,C,14.134
2/7/20 8:53:01 AM,C,22.649
2/7/20 9:53:01 AM,C,29.649
2/7/20 10:53:01 AM,C,31.646
2/7/20 11:53:01 AM,C,32.645
2/7/20 12:53:01 PM,C,27.65
2/7/20 1:53:01 PM,C,18.644
2/7/20 2:53:01 PM,C,17.141
2/7/20 3:53:01 PM,C,16.139
2/7/20 4:53:01 PM,C,13.131
2/7/20 5:53:01 PM,C,10.121
2/7/20 6:53:01 PM,C,8.113
2/7/20 7:53:01 PM,C,7.108
2/7/20 8:53:01 PM,C,6.104
2/7/20 9:53:01 PM,C,5.099
2/7/20 10:53:01 PM,C,6.606
2/7/20 11:53:01 PM,C,4.596
2/8/20 12:53:01 AM,C,3.591
2/8/20 1:53:01 AM,C,3.591
2/8/20 2:53:01 AM,C,3.591
2/8/20 3:53:01 AM,C,3.088
2/8/20 4:53:01 AM,C,5.099
2/8/20 5:53:01 AM,C,4.093
2/8/20 6:53:01 AM,C,5.099
2/8/20 7:53:01 AM,C,17.141
2/8/20 8:53:01 AM,C,23.15
2/8/20 9:53:01 AM,C,27.15
2/8/20 10:53:01 AM,C,33.144
2/8/20 11:53:01 AM,C,31.646
2/8/20 12:53:01 PM,C,26.65
2/8/20 1:53:01 PM,C,18.644
2/8/20 2:53:01 PM,C,17.642
2/8/20 3:53:01 PM,C,16.139
2/8/20 4:53:01 PM,C,13.633
2/8/20 5:53:01 PM,C,10.623
2/8/20 6:53:01 PM,C,7.61
2/8/20 7:53:01 PM,C,6.606
2/8/20 8:53:01 PM,C,6.104
2/8/20 9:53:01 PM,C,5.601
2/8/20 10:53:01 PM,C,4.596
2/8/20 11:53:01 PM,C,4.596
2/9/20 12:53:01 AM,C,4.093
2/9/20 1:53:01 AM,C,2.585
2/9/20 2:53:01 AM,C,3.591
2/9/20 3:53:01 AM,C,5.601
2/9/20 4:53:01 AM,C,6.104
2/9/20 5:53:01 AM,C,6.606
2/9/20 6:53:01 AM,C,6.606
2/9/20 7:53:01 AM,C,8.615
2/9/20 8:53:01 AM,C,18.143
2/9/20 9:53:01 AM,C,14.134
2/9/20 10:53:01 AM,C,20.647
2/9/20 11:53:01 AM,C,22.149
2/9/20 12:53:01 PM,C,16.139
2/9/20 1:53:01 PM,C,18.143
2/9/20 2:53:01 PM,C,15.137
2/9/20 3:53:01 PM,C,15.638
2/9/20 4:53:01 PM,C,14.134
2/9/20 5:53:01 PM,C,12.629
2/9/20 6:53:01 PM,C,13.131
