1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  1668
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:42:01 PST 2020
Total Mission Samples:  1668
Total Device Samples:  9709
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:42:01 AM,C,9.09
2/1/20 4:42:01 AM,C,9.09
2/1/20 5:42:01 AM,C,7.084
2/1/20 6:42:01 AM,C,8.589
2/1/20 7:42:01 AM,C,20.609
2/1/20 8:42:01 AM,C,30.11
2/1/20 9:42:01 AM,C,40.095
2/1/20 10:42:01 AM,C,45.58
2/1/20 11:42:01 AM,C,47.075
2/1/20 12:42:01 PM,C,42.09
2/1/20 1:42:01 PM,C,34.106
2/1/20 2:42:01 PM,C,29.61
2/1/20 3:42:01 PM,C,22.11
2/1/20 4:42:01 PM,C,17.106
2/1/20 5:42:01 PM,C,11.095
2/1/20 6:42:01 PM,C,11.596
2/1/20 7:42:01 PM,C,9.591
2/1/20 8:42:01 PM,C,11.095
2/1/20 9:42:01 PM,C,8.087
2/1/20 10:42:01 PM,C,8.087
2/1/20 11:42:01 PM,C,7.586
2/2/20 12:42:01 AM,C,6.583
2/2/20 1:42:01 AM,C,6.081
2/2/20 2:42:01 AM,C,6.081
2/2/20 3:42:01 AM,C,5.58
2/2/20 4:42:01 AM,C,5.58
2/2/20 5:42:01 AM,C,5.078
2/2/20 6:42:01 AM,C,3.071
2/2/20 7:42:01 AM,C,15.603
2/2/20 8:42:01 AM,C,25.611
2/2/20 9:42:01 AM,C,37.6
2/2/20 10:42:01 AM,C,42.09
2/2/20 11:42:01 AM,C,37.6
2/2/20 12:42:01 PM,C,33.606
2/2/20 1:42:01 PM,C,26.611
2/2/20 2:42:01 PM,C,25.111
2/2/20 3:42:01 PM,C,17.606
2/2/20 4:42:01 PM,C,15.103
2/2/20 5:42:01 PM,C,9.09
2/2/20 6:42:01 PM,C,10.092
2/2/20 7:42:01 PM,C,10.092
2/2/20 8:42:01 PM,C,10.594
2/2/20 9:42:01 PM,C,8.087
2/2/20 10:42:01 PM,C,7.586
2/2/20 11:42:01 PM,C,6.583
2/3/20 12:42:01 AM,C,7.084
2/3/20 1:42:01 AM,C,5.078
2/3/20 2:42:01 AM,C,5.078
2/3/20 3:42:01 AM,C,4.577
2/3/20 4:42:01 AM,C,4.577
2/3/20 5:42:01 AM,C,4.075
2/3/20 6:42:01 AM,C,4.577
2/3/20 7:42:01 AM,C,5.078
2/3/20 8:42:01 AM,C,8.087
2/3/20 9:42:01 AM,C,20.609
2/3/20 10:42:01 AM,C,25.611
2/3/20 11:42:01 AM,C,23.111
2/3/20 12:42:01 PM,C,21.11
2/3/20 1:42:01 PM,C,15.103
2/3/20 2:42:01 PM,C,11.596
2/3/20 3:42:01 PM,C,6.583
2/3/20 4:42:01 PM,C,5.58
2/3/20 5:42:01 PM,C,5.078
2/3/20 6:42:01 PM,C,5.078
2/3/20 7:42:01 PM,C,3.573
2/3/20 8:42:01 PM,C,3.573
2/3/20 9:42:01 PM,C,3.573
2/3/20 10:42:01 PM,C,2.068
2/3/20 11:42:01 PM,C,-0.442
2/4/20 12:42:01 AM,C,0.06
2/4/20 1:42:01 AM,C,-1.948
2/4/20 2:42:01 AM,C,-2.953
2/4/20 3:42:01 AM,C,-1.948
2/4/20 4:42:01 AM,C,-2.953
2/4/20 5:42:01 AM,C,-4.962
2/4/20 6:42:01 AM,C,-0.944
2/4/20 7:42:01 AM,C,8.589
2/4/20 8:42:01 AM,C,20.109
2/4/20 9:42:01 AM,C,27.611
2/4/20 10:42:01 AM,C,29.61
2/4/20 11:42:01 AM,C,30.609
2/4/20 12:42:01 PM,C,23.611
2/4/20 1:42:01 PM,C,19.608
2/4/20 2:42:01 PM,C,14.602
2/4/20 3:42:01 PM,C,9.09
2/4/20 4:42:01 PM,C,7.084
2/4/20 5:42:01 PM,C,1.566
2/4/20 6:42:01 PM,C,1.064
2/4/20 7:42:01 PM,C,1.566
