1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7A0000006D9B0D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:55:01 PST 2020
Mission Sample Count:  1668
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:55:01 PST 2020
Total Mission Samples:  1668
Total Device Samples:  10463
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:55:01 AM,%RH,55.882
2/1/20 4:55:01 AM,%RH,60.939
2/1/20 5:55:01 AM,%RH,67.243
2/1/20 6:55:01 AM,%RH,67.243
2/1/20 7:55:01 AM,%RH,43.377
2/1/20 8:55:01 AM,%RH,43.101
2/1/20 9:55:01 AM,%RH,28.987
2/1/20 10:55:01 AM,%RH,25.504
2/1/20 11:55:01 AM,%RH,20.47
2/1/20 12:55:01 PM,%RH,19.62
2/1/20 1:55:01 PM,%RH,22.932
2/1/20 2:55:01 PM,%RH,22.633
2/1/20 3:55:01 PM,%RH,37.726
2/1/20 4:55:01 PM,%RH,67.435
2/1/20 5:55:01 PM,%RH,79.954
2/1/20 6:55:01 PM,%RH,64.048
2/1/20 7:55:01 PM,%RH,67.089
2/1/20 8:55:01 PM,%RH,55.202
2/1/20 9:55:01 PM,%RH,67.359
2/1/20 10:55:01 PM,%RH,68.393
2/1/20 11:55:01 PM,%RH,60.025
2/2/20 12:55:01 AM,%RH,78.75
2/2/20 1:55:01 AM,%RH,79.167
2/2/20 2:55:01 AM,%RH,82.232
2/2/20 3:55:01 AM,%RH,76.936
2/2/20 4:55:01 AM,%RH,78.708
2/2/20 5:55:01 AM,%RH,87.269
2/2/20 6:55:01 AM,%RH,91.578
2/2/20 7:55:01 AM,%RH,48.456
2/2/20 8:55:01 AM,%RH,37.014
2/2/20 9:55:01 AM,%RH,29.244
2/2/20 10:55:01 AM,%RH,26.489
2/2/20 11:55:01 AM,%RH,27.147
2/2/20 12:55:01 PM,%RH,31.665
2/2/20 1:55:01 PM,%RH,28.764
2/2/20 2:55:01 PM,%RH,43.377
2/2/20 3:55:01 PM,%RH,63.257
2/2/20 4:55:01 PM,%RH,70.667
2/2/20 5:55:01 PM,%RH,93.11
2/2/20 6:55:01 PM,%RH,88.856
2/2/20 7:55:01 PM,%RH,67.435
2/2/20 8:55:01 PM,%RH,43.695
2/2/20 9:55:01 PM,%RH,27.642
2/2/20 10:55:01 PM,%RH,30.765
2/2/20 11:55:01 PM,%RH,26.808
2/3/20 12:55:01 AM,%RH,32.182
2/3/20 1:55:01 AM,%RH,44.888
2/3/20 2:55:01 AM,%RH,47.348
2/3/20 3:55:01 AM,%RH,53.786
2/3/20 4:55:01 AM,%RH,56.666
2/3/20 5:55:01 AM,%RH,56.666
2/3/20 6:55:01 AM,%RH,57.745
2/3/20 7:55:01 AM,%RH,55.579
2/3/20 8:55:01 AM,%RH,46.516
2/3/20 9:55:01 AM,%RH,30.577
2/3/20 10:55:01 AM,%RH,26.536
2/3/20 11:55:01 AM,%RH,25.673
2/3/20 12:55:01 PM,%RH,25.928
