1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 430000006D9D2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:46:01 PST 2020
Mission Sample Count:  1664
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:46:01 PST 2020
Total Mission Samples:  1664
Total Device Samples:  10465
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:46:01 AM,%RH,54.289
2/1/20 4:46:01 AM,%RH,53.752
2/1/20 5:46:01 AM,%RH,62.437
2/1/20 6:46:01 AM,%RH,56.749
2/1/20 7:46:01 AM,%RH,28.676
2/1/20 8:46:01 AM,%RH,18.571
2/1/20 9:46:01 AM,%RH,18.385
2/1/20 10:46:01 AM,%RH,14.48
2/1/20 11:46:01 AM,%RH,11.921
2/1/20 12:46:01 PM,%RH,12.006
2/1/20 1:46:01 PM,%RH,13.12
2/1/20 2:46:01 PM,%RH,13.519
2/1/20 3:46:01 PM,%RH,13.849
2/1/20 4:46:01 PM,%RH,29.676
2/1/20 5:46:01 PM,%RH,67.966
2/1/20 6:46:01 PM,%RH,61.143
2/1/20 7:46:01 PM,%RH,64.417
2/1/20 8:46:01 PM,%RH,64.417
2/1/20 9:46:01 PM,%RH,72.065
2/1/20 10:46:01 PM,%RH,66.517
2/1/20 11:46:01 PM,%RH,77.308
2/2/20 12:46:01 AM,%RH,73.555
2/2/20 1:46:01 AM,%RH,76.278
2/2/20 2:46:01 AM,%RH,78.868
2/2/20 3:46:01 AM,%RH,83.482
2/2/20 4:46:01 AM,%RH,82.962
2/2/20 5:46:01 AM,%RH,84.45
2/2/20 6:46:01 AM,%RH,91.975
2/2/20 7:46:01 AM,%RH,34.424
2/2/20 8:46:01 AM,%RH,22.343
2/2/20 9:46:01 AM,%RH,18.781
2/2/20 10:46:01 AM,%RH,17.113
2/2/20 11:46:01 AM,%RH,19.697
2/2/20 12:46:01 PM,%RH,15.73
2/2/20 1:46:01 PM,%RH,21.379
2/2/20 2:46:01 PM,%RH,31.177
2/2/20 3:46:01 PM,%RH,35.534
2/2/20 4:46:01 PM,%RH,58.211
2/2/20 5:46:01 PM,%RH,80.993
2/2/20 6:46:01 PM,%RH,87.64
2/2/20 7:46:01 PM,%RH,65.26
2/2/20 8:46:01 PM,%RH,45.356
2/2/20 9:46:01 PM,%RH,27.001
2/2/20 10:46:01 PM,%RH,28.79
2/2/20 11:46:01 PM,%RH,27.382
2/3/20 12:46:01 AM,%RH,31.961
2/3/20 1:46:01 AM,%RH,46.442
