1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0F0000006CB83541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:43:01 PST 2020
Mission Sample Count:  2167
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Feb 01 03:43:01 PST 2020
Total Mission Samples:  2167
Total Device Samples:  9770
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/1/20 3:43:01 AM,%RH,50.342
2/1/20 4:43:01 AM,%RH,49.787
2/1/20 5:43:01 AM,%RH,55.74
2/1/20 6:43:01 AM,%RH,54.722
2/1/20 7:43:01 AM,%RH,38.288
2/1/20 8:43:01 AM,%RH,32.68
2/1/20 9:43:01 AM,%RH,29.933
2/1/20 10:43:01 AM,%RH,29.635
2/1/20 11:43:01 AM,%RH,26.993
2/1/20 12:43:01 PM,%RH,17.27
2/1/20 1:43:01 PM,%RH,22.135
2/1/20 2:43:01 PM,%RH,21.975
2/1/20 3:43:01 PM,%RH,26.12
2/1/20 4:43:01 PM,%RH,43.926
2/1/20 5:43:01 PM,%RH,55.682
2/1/20 6:43:01 PM,%RH,50.214
2/1/20 7:43:01 PM,%RH,55.538
2/1/20 8:43:01 PM,%RH,49.516
2/1/20 9:43:01 PM,%RH,60.661
2/1/20 10:43:01 PM,%RH,57.748
2/1/20 11:43:01 PM,%RH,59.41
2/2/20 12:43:01 AM,%RH,65.665
2/2/20 1:43:01 AM,%RH,66.755
2/2/20 2:43:01 AM,%RH,63.408
2/2/20 3:43:01 AM,%RH,62.764
2/2/20 4:43:01 AM,%RH,67.787
2/2/20 5:43:01 AM,%RH,71.117
2/2/20 6:43:01 AM,%RH,74.886
2/2/20 7:43:01 AM,%RH,46.54
2/2/20 8:43:01 AM,%RH,31.787
2/2/20 9:43:01 AM,%RH,30.188
2/2/20 10:43:01 AM,%RH,29.293
2/2/20 11:43:01 AM,%RH,21.56
2/2/20 12:43:01 PM,%RH,28.318
2/2/20 1:43:01 PM,%RH,33.644
2/2/20 2:43:01 PM,%RH,47.377
2/2/20 3:43:01 PM,%RH,53.011
2/2/20 4:43:01 PM,%RH,61.531
2/2/20 5:43:01 PM,%RH,85.933
2/2/20 6:43:01 PM,%RH,92.317
2/2/20 7:43:01 PM,%RH,69.029
2/2/20 8:43:01 PM,%RH,45.583
2/2/20 9:43:01 PM,%RH,27.431
2/2/20 10:43:01 PM,%RH,27.9
2/2/20 11:43:01 PM,%RH,25.909
2/3/20 12:43:01 AM,%RH,28.585
2/3/20 1:43:01 AM,%RH,41.689
2/3/20 2:43:01 AM,%RH,44.84
2/3/20 3:43:01 AM,%RH,50.453
2/3/20 4:43:01 AM,%RH,52.928
2/3/20 5:43:01 AM,%RH,55.924
2/3/20 6:43:01 AM,%RH,57.133
2/3/20 7:43:01 AM,%RH,53.543
2/3/20 8:43:01 AM,%RH,45.034
2/3/20 9:43:01 AM,%RH,30.217
2/3/20 10:43:01 AM,%RH,25.553
2/3/20 11:43:01 AM,%RH,26.913
2/3/20 12:43:01 PM,%RH,25.333
2/3/20 1:43:01 PM,%RH,30.163
2/3/20 2:43:01 PM,%RH,26.598
2/3/20 3:43:01 PM,%RH,29.196
2/3/20 4:43:01 PM,%RH,27.07
2/3/20 5:43:01 PM,%RH,26.237
2/3/20 6:43:01 PM,%RH,23.462
2/3/20 7:43:01 PM,%RH,30.952
2/3/20 8:43:01 PM,%RH,33.58
2/3/20 9:43:01 PM,%RH,34.249
2/3/20 10:43:01 PM,%RH,32.772
2/3/20 11:43:01 PM,%RH,40.288
2/4/20 12:43:01 AM,%RH,31.76
2/4/20 1:43:01 AM,%RH,34.325
2/4/20 2:43:01 AM,%RH,42.611
2/4/20 3:43:01 AM,%RH,39.455
2/4/20 4:43:01 AM,%RH,39.339
2/4/20 5:43:01 AM,%RH,43.854
2/4/20 6:43:01 AM,%RH,38.256
2/4/20 7:43:01 AM,%RH,19.916
2/4/20 8:43:01 AM,%RH,13.145
2/4/20 9:43:01 AM,%RH,9.343
2/4/20 10:43:01 AM,%RH,9.285
2/4/20 11:43:01 AM,%RH,7.788
2/4/20 12:43:01 PM,%RH,7.422
2/4/20 1:43:01 PM,%RH,8.605
2/4/20 2:43:01 PM,%RH,9.847
2/4/20 3:43:01 PM,%RH,9.847
2/4/20 4:43:01 PM,%RH,13.257
2/4/20 5:43:01 PM,%RH,27.874
2/4/20 6:43:01 PM,%RH,29.858
2/4/20 7:43:01 PM,%RH,27.116
2/4/20 8:43:01 PM,%RH,32.37
2/4/20 9:43:01 PM,%RH,25.04
2/4/20 10:43:01 PM,%RH,26.497
2/4/20 11:43:01 PM,%RH,24.49
2/5/20 12:43:01 AM,%RH,25.112
2/5/20 1:43:01 AM,%RH,33.588
2/5/20 2:43:01 AM,%RH,33.045
2/5/20 3:43:01 AM,%RH,36.994
2/5/20 4:43:01 AM,%RH,43.96
2/5/20 5:43:01 AM,%RH,38.976
2/5/20 6:43:01 AM,%RH,49.016
2/5/20 7:43:01 AM,%RH,33.324
2/5/20 8:43:01 AM,%RH,21.114
2/5/20 9:43:01 AM,%RH,15.197
2/5/20 10:43:01 AM,%RH,12.595
2/5/20 11:43:01 AM,%RH,14.231
2/5/20 12:43:01 PM,%RH,11.282
2/5/20 1:43:01 PM,%RH,14.913
2/5/20 2:43:01 PM,%RH,18.947
2/5/20 3:43:01 PM,%RH,20.582
2/5/20 4:43:01 PM,%RH,31.352
2/5/20 5:43:01 PM,%RH,44.461
2/5/20 6:43:01 PM,%RH,60.662
2/5/20 7:43:01 PM,%RH,69.761
2/5/20 8:43:01 PM,%RH,74.72
2/5/20 9:43:01 PM,%RH,79.505
2/5/20 10:43:01 PM,%RH,79.475
2/5/20 11:43:01 PM,%RH,69.197
2/6/20 12:43:01 AM,%RH,83.646
2/6/20 1:43:01 AM,%RH,82.583
2/6/20 2:43:01 AM,%RH,83.646
2/6/20 3:43:01 AM,%RH,82.607
2/6/20 4:43:01 AM,%RH,82.085
2/6/20 5:43:01 AM,%RH,84.655
2/6/20 6:43:01 AM,%RH,84.677
2/6/20 7:43:01 AM,%RH,54.32
2/6/20 8:43:01 AM,%RH,35.313
2/6/20 9:43:01 AM,%RH,26.926
2/6/20 10:43:01 AM,%RH,20.812
2/6/20 11:43:01 AM,%RH,20.201
2/6/20 12:43:01 PM,%RH,22.688
2/6/20 1:43:01 PM,%RH,31.149
2/6/20 2:43:01 PM,%RH,38.526
2/6/20 3:43:01 PM,%RH,44.185
2/6/20 4:43:01 PM,%RH,58.171
2/6/20 5:43:01 PM,%RH,69.392
2/6/20 6:43:01 PM,%RH,87.129
2/6/20 7:43:01 PM,%RH,91.418
2/6/20 8:43:01 PM,%RH,95.666
2/6/20 9:43:01 PM,%RH,98.435
2/6/20 10:43:01 PM,%RH,97.51
2/6/20 11:43:01 PM,%RH,98.871
2/7/20 12:43:01 AM,%RH,98.851
2/7/20 1:43:01 AM,%RH,100.656
2/7/20 2:43:01 AM,%RH,101.108
2/7/20 3:43:01 AM,%RH,101.108
2/7/20 4:43:01 AM,%RH,101.094
2/7/20 5:43:01 AM,%RH,101.108
2/7/20 6:43:01 AM,%RH,100.656
2/7/20 7:43:01 AM,%RH,74.114
2/7/20 8:43:01 AM,%RH,44.208
2/7/20 9:43:01 AM,%RH,30.615
2/7/20 10:43:01 AM,%RH,23.275
2/7/20 11:43:01 AM,%RH,22.724
2/7/20 12:43:01 PM,%RH,23.825
2/7/20 1:43:01 PM,%RH,38.242
2/7/20 2:43:01 PM,%RH,49.231
2/7/20 3:43:01 PM,%RH,54.862
2/7/20 4:43:01 PM,%RH,63.221
2/7/20 5:43:01 PM,%RH,82.007
2/7/20 6:43:01 PM,%RH,93.173
2/7/20 7:43:01 PM,%RH,96.351
2/7/20 8:43:01 PM,%RH,98.627
2/7/20 9:43:01 PM,%RH,99.923
2/7/20 10:43:01 PM,%RH,99.923
2/7/20 11:43:01 PM,%RH,98.52
2/8/20 12:43:01 AM,%RH,99.833
2/8/20 1:43:01 AM,%RH,100.262
2/8/20 2:43:01 AM,%RH,100.287
2/8/20 3:43:01 AM,%RH,97.95
2/8/20 4:43:01 AM,%RH,90.44
2/8/20 5:43:01 AM,%RH,91.32
