1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1A00000069B6B141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:17:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:17:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19754
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:17:01 AM,%RH,107.264
4/27/21, 1:17:01 AM,%RH,106.93
4/27/21, 2:17:01 AM,%RH,108.196
4/27/21, 3:17:01 AM,%RH,108.132
4/27/21, 4:17:01 AM,%RH,107.67
4/27/21, 5:17:01 AM,%RH,108.004
4/27/21, 6:17:01 AM,%RH,107.985
4/27/21, 7:17:01 AM,%RH,107.622
4/27/21, 8:17:01 AM,%RH,107.107
4/27/21, 9:17:01 AM,%RH,108.799
4/27/21, 10:17:01 AM,%RH,76.303
4/27/21, 11:17:01 AM,%RH,37.377
4/27/21, 12:17:01 PM,%RH,28.741
4/27/21, 1:17:01 PM,%RH,23.871
4/27/21, 2:17:01 PM,%RH,21.651
4/27/21, 3:17:01 PM,%RH,21.437
4/27/21, 4:17:01 PM,%RH,23.12
4/27/21, 5:17:01 PM,%RH,27.469
4/27/21, 6:17:01 PM,%RH,39.334
4/27/21, 7:17:01 PM,%RH,45.774
4/27/21, 8:17:01 PM,%RH,47.115
4/27/21, 9:17:01 PM,%RH,45.782
4/27/21, 10:17:01 PM,%RH,41.469
4/27/21, 11:17:01 PM,%RH,40.825
4/28/21, 12:17:01 AM,%RH,47.041
4/28/21, 1:17:01 AM,%RH,53.63
4/28/21, 2:17:01 AM,%RH,65.216
4/28/21, 3:17:01 AM,%RH,59.712
4/28/21, 4:17:01 AM,%RH,46.084
4/28/21, 5:17:01 AM,%RH,49.067
4/28/21, 6:17:01 AM,%RH,53.848
4/28/21, 7:17:01 AM,%RH,49.795
4/28/21, 8:17:01 AM,%RH,22.953
4/28/21, 9:17:01 AM,%RH,17.233
4/28/21, 10:17:01 AM,%RH,-10.218
4/28/21, 11:17:01 AM,%RH,13.3
4/28/21, 12:17:01 PM,%RH,21.033
4/28/21, 1:17:01 PM,%RH,13.159
4/28/21, 2:17:01 PM,%RH,12.282
4/28/21, 3:17:01 PM,%RH,11.309
4/28/21, 4:17:01 PM,%RH,11.593
4/28/21, 5:17:01 PM,%RH,12.63
4/28/21, 6:17:01 PM,%RH,20.141
4/28/21, 7:17:01 PM,%RH,21.34
4/28/21, 8:17:01 PM,%RH,29.289
4/28/21, 9:17:01 PM,%RH,20.198
4/28/21, 10:17:01 PM,%RH,20.799
4/28/21, 11:17:01 PM,%RH,16.738
4/29/21, 12:17:01 AM,%RH,40.887
4/29/21, 1:17:01 AM,%RH,35.462
4/29/21, 2:17:01 AM,%RH,50.834
4/29/21, 3:17:01 AM,%RH,63.641
