1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE00000069B68241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:12:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:12:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19784
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:12:01 AM,%RH,102.655
4/27/21, 1:12:01 AM,%RH,103.228
4/27/21, 2:12:01 AM,%RH,102.807
4/27/21, 3:12:01 AM,%RH,102.726
4/27/21, 4:12:01 AM,%RH,104.042
4/27/21, 5:12:01 AM,%RH,103.958
4/27/21, 6:12:01 AM,%RH,103.958
4/27/21, 7:12:01 AM,%RH,102.595
4/27/21, 8:12:01 AM,%RH,103.517
4/27/21, 9:12:01 AM,%RH,103.074
4/27/21, 10:12:01 AM,%RH,97.694
4/27/21, 11:12:01 AM,%RH,43.058
4/27/21, 12:12:01 PM,%RH,29.173
4/27/21, 1:12:01 PM,%RH,24.434
4/27/21, 2:12:01 PM,%RH,20.422
4/27/21, 3:12:01 PM,%RH,21.713
4/27/21, 4:12:01 PM,%RH,20.589
4/27/21, 5:12:01 PM,%RH,22.883
4/27/21, 6:12:01 PM,%RH,29.299
4/27/21, 7:12:01 PM,%RH,38.829
4/27/21, 8:12:01 PM,%RH,43.005
4/27/21, 9:12:01 PM,%RH,41.583
4/27/21, 10:12:01 PM,%RH,36.595
4/27/21, 11:12:01 PM,%RH,36.724
4/28/21, 12:12:01 AM,%RH,40.383
4/28/21, 1:12:01 AM,%RH,41.022
4/28/21, 2:12:01 AM,%RH,46.473
4/28/21, 3:12:01 AM,%RH,51.415
4/28/21, 4:12:01 AM,%RH,41.403
