1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000697C7541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:13:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 01:13:01 PDT 2021
Total Mission Samples:  13248
Total Device Samples:  19730
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 1:13:01 AM,%RH,106.544
4/27/21, 2:13:01 AM,%RH,106.544
4/27/21, 3:13:01 AM,%RH,106.432
4/27/21, 4:13:01 AM,%RH,106.432
4/27/21, 5:13:01 AM,%RH,106.345
4/27/21, 6:13:01 AM,%RH,106.705
4/27/21, 7:13:01 AM,%RH,106.804
4/27/21, 8:13:01 AM,%RH,105.536
4/27/21, 9:13:01 AM,%RH,104.646
4/27/21, 10:13:01 AM,%RH,90.722
4/27/21, 11:13:01 AM,%RH,43.707
4/27/21, 12:13:01 PM,%RH,31.439
4/27/21, 1:13:01 PM,%RH,24.779
4/27/21, 2:13:01 PM,%RH,21.441
4/27/21, 3:13:01 PM,%RH,18.511
4/27/21, 4:13:01 PM,%RH,16.983
4/27/21, 5:13:01 PM,%RH,18.829
4/27/21, 6:13:01 PM,%RH,22.374
4/27/21, 7:13:01 PM,%RH,39.378
4/27/21, 8:13:01 PM,%RH,42.31
4/27/21, 9:13:01 PM,%RH,39.705
4/27/21, 10:13:01 PM,%RH,35.813
4/27/21, 11:13:01 PM,%RH,36.48
4/28/21, 12:13:01 AM,%RH,40.359
4/28/21, 1:13:01 AM,%RH,40.936
4/28/21, 2:13:01 AM,%RH,46.643
4/28/21, 3:13:01 AM,%RH,47.982
4/28/21, 4:13:01 AM,%RH,42.671
4/28/21, 5:13:01 AM,%RH,43.033
4/28/21, 6:13:01 AM,%RH,45.523
4/28/21, 7:13:01 AM,%RH,42.671
4/28/21, 8:13:01 AM,%RH,29.934
4/28/21, 9:13:01 AM,%RH,21.363
4/28/21, 10:13:01 AM,%RH,17.414
4/28/21, 11:13:01 AM,%RH,14.705
4/28/21, 12:13:01 PM,%RH,11.942
4/28/21, 1:13:01 PM,%RH,10.819
4/28/21, 2:13:01 PM,%RH,10.093
4/28/21, 3:13:01 PM,%RH,9.637
4/28/21, 4:13:01 PM,%RH,9.323
4/28/21, 5:13:01 PM,%RH,9.074
4/28/21, 6:13:01 PM,%RH,12.068
4/28/21, 7:13:01 PM,%RH,19.112
4/28/21, 8:13:01 PM,%RH,22.344
4/28/21, 9:13:01 PM,%RH,14.382
4/28/21, 10:13:01 PM,%RH,13.467
4/28/21, 11:13:01 PM,%RH,15.006
4/29/21, 12:13:01 AM,%RH,18.957
4/29/21, 1:13:01 AM,%RH,20.633
4/29/21, 2:13:01 AM,%RH,23.964
4/29/21, 3:13:01 AM,%RH,25.909
4/29/21, 4:13:01 AM,%RH,25.213
4/29/21, 5:13:01 AM,%RH,34.864
4/29/21, 6:13:01 AM,%RH,31.644
4/29/21, 7:13:01 AM,%RH,29.357
4/29/21, 8:13:01 AM,%RH,17.305
4/29/21, 9:13:01 AM,%RH,14.506
4/29/21, 10:13:01 AM,%RH,11.409
4/29/21, 11:13:01 AM,%RH,9.323
4/29/21, 12:13:01 PM,%RH,9.482
4/29/21, 1:13:01 PM,%RH,7.359
4/29/21, 2:13:01 PM,%RH,7.426
4/29/21, 3:13:01 PM,%RH,7.62
4/29/21, 4:13:01 PM,%RH,9.824
4/29/21, 5:13:01 PM,%RH,14.052
4/29/21, 6:13:01 PM,%RH,16.729
4/29/21, 7:13:01 PM,%RH,29.934
4/29/21, 8:13:01 PM,%RH,38.961
4/29/21, 9:13:01 PM,%RH,42.206
4/29/21, 10:13:01 PM,%RH,42.085
4/29/21, 11:13:01 PM,%RH,45.267
4/30/21, 12:13:01 AM,%RH,37.271
4/30/21, 1:13:01 AM,%RH,32.474
4/30/21, 2:13:01 AM,%RH,27.221
4/30/21, 3:13:01 AM,%RH,29.783
4/30/21, 4:13:01 AM,%RH,32.378
4/30/21, 5:13:01 AM,%RH,34.25
4/30/21, 6:13:01 AM,%RH,38.604
4/30/21, 7:13:01 AM,%RH,31.872
4/30/21, 8:13:01 AM,%RH,21.203
4/30/21, 9:13:01 AM,%RH,15.45
4/30/21, 10:13:01 AM,%RH,12.348
4/30/21, 11:13:01 AM,%RH,10.904
4/30/21, 12:13:01 PM,%RH,10.297
4/30/21, 1:13:01 PM,%RH,10.416
4/30/21, 2:13:01 PM,%RH,10.416
4/30/21, 3:13:01 PM,%RH,11.07
4/30/21, 4:13:01 PM,%RH,11.111
4/30/21, 5:13:01 PM,%RH,12.348
4/30/21, 6:13:01 PM,%RH,13.811
4/30/21, 7:13:01 PM,%RH,22.32
4/30/21, 8:13:01 PM,%RH,29.728
4/30/21, 9:13:01 PM,%RH,36.355
4/30/21, 10:13:01 PM,%RH,42.008
4/30/21, 11:13:01 PM,%RH,44.321
5/1/21, 12:13:01 AM,%RH,44.885
5/1/21, 1:13:01 AM,%RH,44.809
5/1/21, 2:13:01 AM,%RH,44.168
5/1/21, 3:13:01 AM,%RH,43.526
5/1/21, 4:13:01 AM,%RH,44.018
5/1/21, 5:13:01 AM,%RH,50.809
5/1/21, 6:13:01 AM,%RH,54.958
5/1/21, 7:13:01 AM,%RH,49.157
5/1/21, 8:13:01 AM,%RH,36.014
5/1/21, 9:13:01 AM,%RH,23.735
5/1/21, 10:13:01 AM,%RH,21.173
5/1/21, 11:13:01 AM,%RH,22.06
5/1/21, 12:13:01 PM,%RH,22.222
5/1/21, 1:13:01 PM,%RH,20.085
5/1/21, 2:13:01 PM,%RH,20.711
5/1/21, 3:13:01 PM,%RH,23.397
5/1/21, 4:13:01 PM,%RH,26.585
5/1/21, 5:13:01 PM,%RH,24.283
5/1/21, 6:13:01 PM,%RH,32.435
5/1/21, 7:13:01 PM,%RH,53.858
5/1/21, 8:13:01 PM,%RH,62.867
5/1/21, 9:13:01 PM,%RH,67.614
5/1/21, 10:13:01 PM,%RH,76.324
5/1/21, 11:13:01 PM,%RH,78.028
5/2/21, 12:13:01 AM,%RH,80.632
5/2/21, 1:13:01 AM,%RH,85.019
5/2/21, 2:13:01 AM,%RH,91.861
5/2/21, 3:13:01 AM,%RH,92.691
5/2/21, 4:13:01 AM,%RH,95.409
5/2/21, 5:13:01 AM,%RH,101.078
5/2/21, 6:13:01 AM,%RH,103.204
5/2/21, 7:13:01 AM,%RH,93.175
5/2/21, 8:13:01 AM,%RH,64.222
5/2/21, 9:13:01 AM,%RH,51.764
5/2/21, 10:13:01 AM,%RH,40.457
5/2/21, 11:13:01 AM,%RH,33.343
5/2/21, 12:13:01 PM,%RH,28.813
5/2/21, 1:13:01 PM,%RH,24.835
5/2/21, 2:13:01 PM,%RH,25.606
5/2/21, 3:13:01 PM,%RH,28.336
5/2/21, 4:13:01 PM,%RH,27.629
5/2/21, 5:13:01 PM,%RH,30.8
5/2/21, 6:13:01 PM,%RH,42.745
5/2/21, 7:13:01 PM,%RH,62.892
5/2/21, 8:13:01 PM,%RH,72.773
5/2/21, 9:13:01 PM,%RH,78.966
5/2/21, 10:13:01 PM,%RH,83.452
5/2/21, 11:13:01 PM,%RH,83.452
5/3/21, 12:13:01 AM,%RH,77.915
5/3/21, 1:13:01 AM,%RH,86.876
