1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C00000069B9B241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:22:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:22:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19796
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:22:01 AM,%RH,101.554
4/27/21, 1:22:01 AM,%RH,102.152
4/27/21, 2:22:01 AM,%RH,102.596
4/27/21, 3:22:01 AM,%RH,102.445
4/27/21, 4:22:01 AM,%RH,102.479
4/27/21, 5:22:01 AM,%RH,103.711
4/27/21, 6:22:01 AM,%RH,103.245
4/27/21, 7:22:01 AM,%RH,103.299
4/27/21, 8:22:01 AM,%RH,90.387
4/27/21, 9:22:01 AM,%RH,89.401
4/27/21, 10:22:01 AM,%RH,70.649
4/27/21, 11:22:01 AM,%RH,33.183
4/27/21, 12:22:01 PM,%RH,29.159
4/27/21, 1:22:01 PM,%RH,23.768
4/27/21, 2:22:01 PM,%RH,21.764
4/27/21, 3:22:01 PM,%RH,24.201
4/27/21, 4:22:01 PM,%RH,25.069
4/27/21, 5:22:01 PM,%RH,28.92
4/27/21, 6:22:01 PM,%RH,37.592
4/27/21, 7:22:01 PM,%RH,42.1
4/27/21, 8:22:01 PM,%RH,43.662
4/27/21, 9:22:01 PM,%RH,40.458
4/27/21, 10:22:01 PM,%RH,38.092
4/27/21, 11:22:01 PM,%RH,39.163
4/28/21, 12:22:01 AM,%RH,42.949
4/28/21, 1:22:01 AM,%RH,46.597
4/28/21, 2:22:01 AM,%RH,52.641
4/28/21, 3:22:01 AM,%RH,51.638
4/28/21, 4:22:01 AM,%RH,42.138
4/28/21, 5:22:01 AM,%RH,44.024
4/28/21, 6:22:01 AM,%RH,46.9
4/28/21, 7:22:01 AM,%RH,47.898
4/28/21, 8:22:01 AM,%RH,27.889
4/28/21, 9:22:01 AM,%RH,20.347
4/28/21, 10:22:01 AM,%RH,18.471
4/28/21, 11:22:01 AM,%RH,17.087
4/28/21, 12:22:01 PM,%RH,12.249
4/28/21, 1:22:01 PM,%RH,11.752
4/28/21, 2:22:01 PM,%RH,10.542
4/28/21, 3:22:01 PM,%RH,10.777
4/28/21, 4:22:01 PM,%RH,13.052
4/28/21, 5:22:01 PM,%RH,12.839
4/28/21, 6:22:01 PM,%RH,18.334
4/28/21, 7:22:01 PM,%RH,21.014
4/28/21, 8:22:01 PM,%RH,27.539
4/28/21, 9:22:01 PM,%RH,19.872
4/28/21, 10:22:01 PM,%RH,17.561
4/28/21, 11:22:01 PM,%RH,15.742
4/29/21, 12:22:01 AM,%RH,23.037
4/29/21, 1:22:01 AM,%RH,27.955
4/29/21, 2:22:01 AM,%RH,31.102
4/29/21, 3:22:01 AM,%RH,40.443
4/29/21, 4:22:01 AM,%RH,34.794
4/29/21, 5:22:01 AM,%RH,40.303
4/29/21, 6:22:01 AM,%RH,33.989
4/29/21, 7:22:01 AM,%RH,36.911
4/29/21, 8:22:01 AM,%RH,18.155
