1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2B0000006D986941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:50:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:50:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22574
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:50:01 AM,%RH,104.119
4/27/21, 1:50:01 AM,%RH,104.298
4/27/21, 2:50:01 AM,%RH,103.845
4/27/21, 3:50:01 AM,%RH,104.044
4/27/21, 4:50:01 AM,%RH,104.044
4/27/21, 5:50:01 AM,%RH,104.93
4/27/21, 6:50:01 AM,%RH,104.9
4/27/21, 7:50:01 AM,%RH,104.67
4/27/21, 8:50:01 AM,%RH,90.897
4/27/21, 9:50:01 AM,%RH,73.956
4/27/21, 10:50:01 AM,%RH,62.163
4/27/21, 11:50:01 AM,%RH,37.484
4/27/21, 12:50:01 PM,%RH,25.186
4/27/21, 1:50:01 PM,%RH,21.204
4/27/21, 2:50:01 PM,%RH,20.938
4/27/21, 3:50:01 PM,%RH,18.453
4/27/21, 4:50:01 PM,%RH,20.193
4/27/21, 5:50:01 PM,%RH,27.903
4/27/21, 6:50:01 PM,%RH,41.915
4/27/21, 7:50:01 PM,%RH,43.14
4/27/21, 8:50:01 PM,%RH,46.973
4/27/21, 9:50:01 PM,%RH,39.601
4/27/21, 10:50:01 PM,%RH,37.742
4/27/21, 11:50:01 PM,%RH,42.16
4/28/21, 12:50:01 AM,%RH,46.424
4/28/21, 1:50:01 AM,%RH,57.581
4/28/21, 2:50:01 AM,%RH,61.123
4/28/21, 3:50:01 AM,%RH,45.115
4/28/21, 4:50:01 AM,%RH,41.302
4/28/21, 5:50:01 AM,%RH,49.529
4/28/21, 6:50:01 AM,%RH,46.652
4/28/21, 7:50:01 AM,%RH,36.585
4/28/21, 8:50:01 AM,%RH,20.127
4/28/21, 9:50:01 AM,%RH,15.605
4/28/21, 10:50:01 AM,%RH,13.485
4/28/21, 11:50:01 AM,%RH,12.572
4/28/21, 12:50:01 PM,%RH,11.748
4/28/21, 1:50:01 PM,%RH,10.394
4/28/21, 2:50:01 PM,%RH,11.01
4/28/21, 3:50:01 PM,%RH,10.572
4/28/21, 4:50:01 PM,%RH,12.427
4/28/21, 5:50:01 PM,%RH,15.459
4/28/21, 6:50:01 PM,%RH,22.395
4/28/21, 7:50:01 PM,%RH,24.21
4/28/21, 8:50:01 PM,%RH,29.296
4/28/21, 9:50:01 PM,%RH,19.759
4/28/21, 10:50:01 PM,%RH,18.35
4/28/21, 11:50:01 PM,%RH,25.715
4/29/21, 12:50:01 AM,%RH,30.96
4/29/21, 1:50:01 AM,%RH,28.443
4/29/21, 2:50:01 AM,%RH,38.369
4/29/21, 3:50:01 AM,%RH,46.962
4/29/21, 4:50:01 AM,%RH,52.918
4/29/21, 5:50:01 AM,%RH,49.99
4/29/21, 6:50:01 AM,%RH,60.091
4/29/21, 7:50:01 AM,%RH,25.798
4/29/21, 8:50:01 AM,%RH,14.738
4/29/21, 9:50:01 AM,%RH,11.876
4/29/21, 10:50:01 AM,%RH,10.475
4/29/21, 11:50:01 AM,%RH,9.349
4/29/21, 12:50:01 PM,%RH,10.071
4/29/21, 1:50:01 PM,%RH,9.205
4/29/21, 2:50:01 PM,%RH,9.883
4/29/21, 3:50:01 PM,%RH,9.807
4/29/21, 4:50:01 PM,%RH,13.86
4/29/21, 5:50:01 PM,%RH,20.725
4/29/21, 6:50:01 PM,%RH,31.396
4/29/21, 7:50:01 PM,%RH,40.293
4/29/21, 8:50:01 PM,%RH,46.581
4/29/21, 9:50:01 PM,%RH,51.532
4/29/21, 10:50:01 PM,%RH,60.967
4/29/21, 11:50:01 PM,%RH,70.352
4/30/21, 12:50:01 AM,%RH,63.52
4/30/21, 1:50:01 AM,%RH,56.528
4/30/21, 2:50:01 AM,%RH,56.528
4/30/21, 3:50:01 AM,%RH,52.911
4/30/21, 4:50:01 AM,%RH,60.403
4/30/21, 5:50:01 AM,%RH,62.55
4/30/21, 6:50:01 AM,%RH,66.132
4/30/21, 7:50:01 AM,%RH,33.258
4/30/21, 8:50:01 AM,%RH,15.753
4/30/21, 9:50:01 AM,%RH,12.83
4/30/21, 10:50:01 AM,%RH,10.425
4/30/21, 11:50:01 AM,%RH,10.75
4/30/21, 12:50:01 PM,%RH,10.864
4/30/21, 1:50:01 PM,%RH,10.251
4/30/21, 2:50:01 PM,%RH,11.501
4/30/21, 3:50:01 PM,%RH,12.484
4/30/21, 4:50:01 PM,%RH,14.211
4/30/21, 5:50:01 PM,%RH,17.955
4/30/21, 6:50:01 PM,%RH,23.462
4/30/21, 7:50:01 PM,%RH,31.816
4/30/21, 8:50:01 PM,%RH,40.858
4/30/21, 9:50:01 PM,%RH,58.166
4/30/21, 10:50:01 PM,%RH,68.805
4/30/21, 11:50:01 PM,%RH,61.478
5/1/21, 12:50:01 AM,%RH,67.034
5/1/21, 1:50:01 AM,%RH,65.963
5/1/21, 2:50:01 AM,%RH,70.778
5/1/21, 3:50:01 AM,%RH,62.572
5/1/21, 4:50:01 AM,%RH,75.614
5/1/21, 5:50:01 AM,%RH,77.181
5/1/21, 6:50:01 AM,%RH,81.098
5/1/21, 7:50:01 AM,%RH,59.624
5/1/21, 8:50:01 AM,%RH,25.601
5/1/21, 9:50:01 AM,%RH,16.572
5/1/21, 10:50:01 AM,%RH,18.626
5/1/21, 11:50:01 AM,%RH,15.975
5/1/21, 12:50:01 PM,%RH,15.097
5/1/21, 1:50:01 PM,%RH,19.737
5/1/21, 2:50:01 PM,%RH,19.548
5/1/21, 3:50:01 PM,%RH,22.504
5/1/21, 4:50:01 PM,%RH,25.712
5/1/21, 5:50:01 PM,%RH,36.435
5/1/21, 6:50:01 PM,%RH,53.573
5/1/21, 7:50:01 PM,%RH,65.467
5/1/21, 8:50:01 PM,%RH,74.041
5/1/21, 9:50:01 PM,%RH,86.937
5/1/21, 10:50:01 PM,%RH,90.225
5/1/21, 11:50:01 PM,%RH,93.575
5/2/21, 12:50:01 AM,%RH,97.858
5/2/21, 1:50:01 AM,%RH,99.274
5/2/21, 2:50:01 AM,%RH,100.548
5/2/21, 3:50:01 AM,%RH,102.018
5/2/21, 4:50:01 AM,%RH,102.477
5/2/21, 5:50:01 AM,%RH,103.349
5/2/21, 6:50:01 AM,%RH,103.239
5/2/21, 7:50:01 AM,%RH,85.397
5/2/21, 8:50:01 AM,%RH,36.159
5/2/21, 9:50:01 AM,%RH,24.35
5/2/21, 10:50:01 AM,%RH,18.619
5/2/21, 11:50:01 AM,%RH,19.704
5/2/21, 12:50:01 PM,%RH,18.985
5/2/21, 1:50:01 PM,%RH,19.652
5/2/21, 2:50:01 PM,%RH,21.527
5/2/21, 3:50:01 PM,%RH,24.713
5/2/21, 4:50:01 PM,%RH,29.718
5/2/21, 5:50:01 PM,%RH,40.219
5/2/21, 6:50:01 PM,%RH,60.198
5/2/21, 7:50:01 PM,%RH,71.506
5/2/21, 8:50:01 PM,%RH,81.436
5/2/21, 9:50:01 PM,%RH,87.954
5/2/21, 10:50:01 PM,%RH,86.426
5/2/21, 11:50:01 PM,%RH,88.527
5/3/21, 12:50:01 AM,%RH,87.513
5/3/21, 1:50:01 AM,%RH,84.433
5/3/21, 2:50:01 AM,%RH,94.285
5/3/21, 3:50:01 AM,%RH,97.061
5/3/21, 4:50:01 AM,%RH,97.958
5/3/21, 5:50:01 AM,%RH,97.007
5/3/21, 6:50:01 AM,%RH,100.675
5/3/21, 7:50:01 AM,%RH,74.29
5/3/21, 8:50:01 AM,%RH,21.098
5/3/21, 9:50:01 AM,%RH,16.285
5/3/21, 10:50:01 AM,%RH,15.006
5/3/21, 11:50:01 AM,%RH,14.268
5/3/21, 12:50:01 PM,%RH,13.703
5/3/21, 1:50:01 PM,%RH,12.999
5/3/21, 2:50:01 PM,%RH,14.868
5/3/21, 3:50:01 PM,%RH,15.46
5/3/21, 4:50:01 PM,%RH,16.523
5/3/21, 5:50:01 PM,%RH,17.903
5/3/21, 6:50:01 PM,%RH,34.643
5/3/21, 7:50:01 PM,%RH,46.062
5/3/21, 8:50:01 PM,%RH,58.297
5/3/21, 9:50:01 PM,%RH,64.114
5/3/21, 10:50:01 PM,%RH,74.779
5/3/21, 11:50:01 PM,%RH,70.844
5/4/21, 12:50:01 AM,%RH,79.326
5/4/21, 1:50:01 AM,%RH,80.755
5/4/21, 2:50:01 AM,%RH,79.013
5/4/21, 3:50:01 AM,%RH,75.283
5/4/21, 4:50:01 AM,%RH,79.949
5/4/21, 5:50:01 AM,%RH,82.026
5/4/21, 6:50:01 AM,%RH,78.968
5/4/21, 7:50:01 AM,%RH,31.916
5/4/21, 8:50:01 AM,%RH,16.324
5/4/21, 9:50:01 AM,%RH,11.58
5/4/21, 10:50:01 AM,%RH,11.05
5/4/21, 11:50:01 AM,%RH,10.321
5/4/21, 12:50:01 PM,%RH,13.248
5/4/21, 1:50:01 PM,%RH,12.83
5/4/21, 2:50:01 PM,%RH,10.672
5/4/21, 3:50:01 PM,%RH,14.043
5/4/21, 4:50:01 PM,%RH,13.581
5/4/21, 5:50:01 PM,%RH,21.48
5/4/21, 6:50:01 PM,%RH,38.758
5/4/21, 7:50:01 PM,%RH,49.865
5/4/21, 8:50:01 PM,%RH,63.67
5/4/21, 9:50:01 PM,%RH,81.892
5/4/21, 10:50:01 PM,%RH,82.804
5/4/21, 11:50:01 PM,%RH,78.17
5/5/21, 12:50:01 AM,%RH,77.966
5/5/21, 1:50:01 AM,%RH,75.738
5/5/21, 2:50:01 AM,%RH,80.447
5/5/21, 3:50:01 AM,%RH,80.447
5/5/21, 4:50:01 AM,%RH,81.972
5/5/21, 5:50:01 AM,%RH,86.015
5/5/21, 6:50:01 AM,%RH,86.579
5/5/21, 7:50:01 AM,%RH,38.659
5/5/21, 8:50:01 AM,%RH,19.895
5/5/21, 9:50:01 AM,%RH,14.086
5/5/21, 10:50:01 AM,%RH,11.23
5/5/21, 11:50:01 AM,%RH,11.887
5/5/21, 12:50:01 PM,%RH,13.207
5/5/21, 1:50:01 PM,%RH,12.372
5/5/21, 2:50:01 PM,%RH,14.491
5/5/21, 3:50:01 PM,%RH,12.702
5/5/21, 4:50:01 PM,%RH,14.401
5/5/21, 5:50:01 PM,%RH,21.533
5/5/21, 6:50:01 PM,%RH,37.444
5/5/21, 7:50:01 PM,%RH,49.316
5/5/21, 8:50:01 PM,%RH,65.448
5/5/21, 9:50:01 PM,%RH,78.39
5/5/21, 10:50:01 PM,%RH,84.055
5/5/21, 11:50:01 PM,%RH,92.76
5/6/21, 12:50:01 AM,%RH,95.38
5/6/21, 1:50:01 AM,%RH,97.712
5/6/21, 2:50:01 AM,%RH,101.196
5/6/21, 3:50:01 AM,%RH,95.515
5/6/21, 4:50:01 AM,%RH,96.343
5/6/21, 5:50:01 AM,%RH,99.145
5/6/21, 6:50:01 AM,%RH,99.654
5/6/21, 7:50:01 AM,%RH,65.182
5/6/21, 8:50:01 AM,%RH,27.375
5/6/21, 9:50:01 AM,%RH,21.354
5/6/21, 10:50:01 AM,%RH,20.688
5/6/21, 11:50:01 AM,%RH,21.299
5/6/21, 12:50:01 PM,%RH,17.356
5/6/21, 1:50:01 PM,%RH,18.569
5/6/21, 2:50:01 PM,%RH,20.422
5/6/21, 3:50:01 PM,%RH,22.886
5/6/21, 4:50:01 PM,%RH,34.331
5/6/21, 5:50:01 PM,%RH,44.746
5/6/21, 6:50:01 PM,%RH,62.684
5/6/21, 7:50:01 PM,%RH,75.26
5/6/21, 8:50:01 PM,%RH,85.317
5/6/21, 9:50:01 PM,%RH,93.57
