1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A90000006D9F9141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:03:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 01:03:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  23746
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 1:03:01 AM,%RH,101.137
4/27/21, 2:03:01 AM,%RH,101.381
4/27/21, 3:03:01 AM,%RH,101.381
4/27/21, 4:03:01 AM,%RH,103.045
4/27/21, 5:03:01 AM,%RH,102.014
4/27/21, 6:03:01 AM,%RH,102.014
4/27/21, 7:03:01 AM,%RH,102.976
4/27/21, 8:03:01 AM,%RH,102.232
4/27/21, 9:03:01 AM,%RH,101.363
4/27/21, 10:03:01 AM,%RH,99.819
4/27/21, 11:03:01 AM,%RH,96.777
4/27/21, 12:03:01 PM,%RH,94.187
4/27/21, 1:03:01 PM,%RH,74.604
4/27/21, 2:03:01 PM,%RH,25.007
4/27/21, 3:03:01 PM,%RH,26.197
4/27/21, 4:03:01 PM,%RH,18.741
4/27/21, 5:03:01 PM,%RH,23.056
4/27/21, 6:03:01 PM,%RH,34.104
4/27/21, 7:03:01 PM,%RH,45.645
4/27/21, 8:03:01 PM,%RH,47.031
4/27/21, 9:03:01 PM,%RH,46.956
4/27/21, 10:03:01 PM,%RH,42.575
4/27/21, 11:03:01 PM,%RH,36.998
4/28/21, 12:03:01 AM,%RH,45.636
4/28/21, 1:03:01 AM,%RH,51.125
4/28/21, 2:03:01 AM,%RH,66.191
4/28/21, 3:03:01 AM,%RH,71.85
4/28/21, 4:03:01 AM,%RH,45.938
4/28/21, 5:03:01 AM,%RH,45.313
4/28/21, 6:03:01 AM,%RH,55.378
4/28/21, 7:03:01 AM,%RH,53.029
4/28/21, 8:03:01 AM,%RH,43.474
4/28/21, 9:03:01 AM,%RH,28.401
4/28/21, 10:03:01 AM,%RH,21.384
4/28/21, 11:03:01 AM,%RH,18.032
4/28/21, 12:03:01 PM,%RH,12.461
4/28/21, 1:03:01 PM,%RH,13.358
4/28/21, 2:03:01 PM,%RH,12.164
4/28/21, 3:03:01 PM,%RH,12.924
4/28/21, 4:03:01 PM,%RH,13.923
4/28/21, 5:03:01 PM,%RH,16.873
4/28/21, 6:03:01 PM,%RH,19.371
4/28/21, 7:03:01 PM,%RH,21.841
4/28/21, 8:03:01 PM,%RH,28.92
4/28/21, 9:03:01 PM,%RH,28.724
4/28/21, 10:03:01 PM,%RH,17.219
4/28/21, 11:03:01 PM,%RH,25.346
4/29/21, 12:03:01 AM,%RH,41.579
4/29/21, 1:03:01 AM,%RH,51.994
4/29/21, 2:03:01 AM,%RH,46.383
4/29/21, 3:03:01 AM,%RH,60.504
4/29/21, 4:03:01 AM,%RH,62.274
4/29/21, 5:03:01 AM,%RH,65.724
4/29/21, 6:03:01 AM,%RH,40.875
4/29/21, 7:03:01 AM,%RH,59.618
4/29/21, 8:03:01 AM,%RH,32.303
4/29/21, 9:03:01 AM,%RH,29.23
4/29/21, 10:03:01 AM,%RH,17.619
4/29/21, 11:03:01 AM,%RH,14.677
4/29/21, 12:03:01 PM,%RH,9.457
4/29/21, 1:03:01 PM,%RH,10.774
4/29/21, 2:03:01 PM,%RH,11.109
4/29/21, 3:03:01 PM,%RH,11.109
4/29/21, 4:03:01 PM,%RH,13.147
4/29/21, 5:03:01 PM,%RH,15.985
4/29/21, 6:03:01 PM,%RH,24.414
4/29/21, 7:03:01 PM,%RH,32.135
4/29/21, 8:03:01 PM,%RH,47.623
4/29/21, 9:03:01 PM,%RH,44.628
4/29/21, 10:03:01 PM,%RH,52.036
4/29/21, 11:03:01 PM,%RH,69.703
4/30/21, 12:03:01 AM,%RH,78.487
4/30/21, 1:03:01 AM,%RH,78.925
4/30/21, 2:03:01 AM,%RH,77.879
4/30/21, 3:03:01 AM,%RH,76.275
4/30/21, 4:03:01 AM,%RH,79.421
4/30/21, 5:03:01 AM,%RH,82.096
4/30/21, 6:03:01 AM,%RH,83.084
4/30/21, 7:03:01 AM,%RH,85.955
4/30/21, 8:03:01 AM,%RH,58.295
4/30/21, 9:03:01 AM,%RH,30.672
4/30/21, 10:03:01 AM,%RH,24.657
4/30/21, 11:03:01 AM,%RH,14.822
4/30/21, 12:03:01 PM,%RH,14.303
4/30/21, 1:03:01 PM,%RH,10.303
4/30/21, 2:03:01 PM,%RH,11.109
4/30/21, 3:03:01 PM,%RH,15.061
4/30/21, 4:03:01 PM,%RH,14.067
4/30/21, 5:03:01 PM,%RH,15.684
4/30/21, 6:03:01 PM,%RH,19.799
4/30/21, 7:03:01 PM,%RH,25.553
4/30/21, 8:03:01 PM,%RH,32.546
4/30/21, 9:03:01 PM,%RH,42.707
4/30/21, 10:03:01 PM,%RH,62.448
4/30/21, 11:03:01 PM,%RH,68.559
5/1/21, 12:03:01 AM,%RH,64.134
5/1/21, 1:03:01 AM,%RH,71.284
5/1/21, 2:03:01 AM,%RH,64.648
5/1/21, 3:03:01 AM,%RH,75.778
5/1/21, 4:03:01 AM,%RH,73.603
5/1/21, 5:03:01 AM,%RH,79.969
5/1/21, 6:03:01 AM,%RH,83.716
5/1/21, 7:03:01 AM,%RH,81.339
5/1/21, 8:03:01 AM,%RH,64.953
5/1/21, 9:03:01 AM,%RH,35.74
5/1/21, 10:03:01 AM,%RH,24.898
5/1/21, 11:03:01 AM,%RH,28.944
5/1/21, 12:03:01 PM,%RH,20.17
5/1/21, 1:03:01 PM,%RH,20.223
5/1/21, 2:03:01 PM,%RH,21.759
5/1/21, 3:03:01 PM,%RH,23.128
5/1/21, 4:03:01 PM,%RH,29.502
5/1/21, 5:03:01 PM,%RH,33.216
5/1/21, 6:03:01 PM,%RH,45.519
5/1/21, 7:03:01 PM,%RH,55.328
5/1/21, 8:03:01 PM,%RH,62.483
5/1/21, 9:03:01 PM,%RH,68.187
5/1/21, 10:03:01 PM,%RH,79.036
5/1/21, 11:03:01 PM,%RH,89.176
5/2/21, 12:03:01 AM,%RH,86.967
5/2/21, 1:03:01 AM,%RH,92.07
5/2/21, 2:03:01 AM,%RH,89.99
5/2/21, 3:03:01 AM,%RH,93.028
5/2/21, 4:03:01 AM,%RH,93.064
5/2/21, 5:03:01 AM,%RH,93.543
5/2/21, 6:03:01 AM,%RH,91.513
5/2/21, 7:03:01 AM,%RH,97.111
5/2/21, 8:03:01 AM,%RH,90.405
5/2/21, 9:03:01 AM,%RH,59.823
5/2/21, 10:03:01 AM,%RH,39.16
5/2/21, 11:03:01 AM,%RH,32.829
5/2/21, 12:03:01 PM,%RH,28.384
5/2/21, 1:03:01 PM,%RH,25.962
5/2/21, 2:03:01 PM,%RH,22.661
5/2/21, 3:03:01 PM,%RH,27.204
5/2/21, 4:03:01 PM,%RH,31.005
5/2/21, 5:03:01 PM,%RH,37.699
5/2/21, 6:03:01 PM,%RH,51.062
5/2/21, 7:03:01 PM,%RH,61.302
5/2/21, 8:03:01 PM,%RH,68.969
5/2/21, 9:03:01 PM,%RH,70.616
5/2/21, 10:03:01 PM,%RH,78.934
5/2/21, 11:03:01 PM,%RH,82.208
5/3/21, 12:03:01 AM,%RH,82.749
5/3/21, 1:03:01 AM,%RH,82.749
5/3/21, 2:03:01 AM,%RH,82.208
5/3/21, 3:03:01 AM,%RH,87.952
5/3/21, 4:03:01 AM,%RH,89.402
5/3/21, 5:03:01 AM,%RH,92.005
5/3/21, 6:03:01 AM,%RH,86.437
5/3/21, 7:03:01 AM,%RH,92.248
5/3/21, 8:03:01 AM,%RH,79.375
5/3/21, 9:03:01 AM,%RH,31.947
5/3/21, 10:03:01 AM,%RH,23.128
5/3/21, 11:03:01 AM,%RH,20.703
5/3/21, 12:03:01 PM,%RH,14.918
5/3/21, 1:03:01 PM,%RH,13.865
5/3/21, 2:03:01 PM,%RH,13.683
5/3/21, 3:03:01 PM,%RH,19.528
5/3/21, 4:03:01 PM,%RH,18.084
5/3/21, 5:03:01 PM,%RH,21.705
5/3/21, 6:03:01 PM,%RH,20.272
5/3/21, 7:03:01 PM,%RH,34.624
5/3/21, 8:03:01 PM,%RH,44.114
5/3/21, 9:03:01 PM,%RH,53.371
5/3/21, 10:03:01 PM,%RH,58.158
5/3/21, 11:03:01 PM,%RH,67.978
5/4/21, 12:03:01 AM,%RH,69.577
5/4/21, 1:03:01 AM,%RH,77.117
5/4/21, 2:03:01 AM,%RH,80.871
5/4/21, 3:03:01 AM,%RH,81.333
5/4/21, 4:03:01 AM,%RH,79.104
5/4/21, 5:03:01 AM,%RH,83.903
5/4/21, 6:03:01 AM,%RH,83.903
5/4/21, 7:03:01 AM,%RH,87.208
5/4/21, 8:03:01 AM,%RH,57.013
5/4/21, 9:03:01 AM,%RH,27.22
5/4/21, 10:03:01 AM,%RH,18.26
5/4/21, 11:03:01 AM,%RH,15.184
5/4/21, 12:03:01 PM,%RH,13.452
5/4/21, 1:03:01 PM,%RH,15.771
5/4/21, 2:03:01 PM,%RH,14.966
5/4/21, 3:03:01 PM,%RH,13.452
5/4/21, 4:03:01 PM,%RH,15.985
5/4/21, 5:03:01 PM,%RH,16.28
5/4/21, 6:03:01 PM,%RH,27.113
5/4/21, 7:03:01 PM,%RH,36.738
5/4/21, 8:03:01 PM,%RH,44.201
5/4/21, 9:03:01 PM,%RH,64.788
5/4/21, 10:03:01 PM,%RH,70.842
5/4/21, 11:03:01 PM,%RH,75.221
5/5/21, 12:03:01 AM,%RH,68.051
5/5/21, 1:03:01 AM,%RH,63.035
5/5/21, 2:03:01 AM,%RH,68.051
5/5/21, 3:03:01 AM,%RH,76.109
5/5/21, 4:03:01 AM,%RH,77.271
5/5/21, 5:03:01 AM,%RH,78.772
5/5/21, 6:03:01 AM,%RH,82.544
5/5/21, 7:03:01 AM,%RH,85.372
5/5/21, 8:03:01 AM,%RH,50.398
5/5/21, 9:03:01 AM,%RH,30.727
5/5/21, 10:03:01 AM,%RH,21.34
5/5/21, 11:03:01 AM,%RH,17.538
5/5/21, 12:03:01 PM,%RH,17.74
5/5/21, 1:03:01 PM,%RH,17.087
5/5/21, 2:03:01 PM,%RH,16.479
5/5/21, 3:03:01 PM,%RH,14.822
5/5/21, 4:03:01 PM,%RH,15.382
5/5/21, 5:03:01 PM,%RH,17.775
5/5/21, 6:03:01 PM,%RH,25.873
5/5/21, 7:03:01 PM,%RH,36.738
5/5/21, 8:03:01 PM,%RH,44.201
5/5/21, 9:03:01 PM,%RH,60.384
5/5/21, 10:03:01 PM,%RH,73.635
5/5/21, 11:03:01 PM,%RH,75.613
5/6/21, 12:03:01 AM,%RH,89.595
5/6/21, 1:03:01 AM,%RH,87.424
5/6/21, 2:03:01 AM,%RH,89.139
5/6/21, 3:03:01 AM,%RH,90.778
5/6/21, 4:03:01 AM,%RH,86.57
5/6/21, 5:03:01 AM,%RH,82.071
5/6/21, 6:03:01 AM,%RH,91.118
5/6/21, 7:03:01 AM,%RH,93.231
5/6/21, 8:03:01 AM,%RH,78.26
5/6/21, 9:03:01 AM,%RH,42.761
5/6/21, 10:03:01 AM,%RH,36.721
5/6/21, 11:03:01 AM,%RH,29.781
5/6/21, 12:03:01 PM,%RH,26.809
5/6/21, 1:03:01 PM,%RH,20.863
5/6/21, 2:03:01 PM,%RH,20.916
5/6/21, 3:03:01 PM,%RH,25.45
5/6/21, 4:03:01 PM,%RH,28.552
5/6/21, 5:03:01 PM,%RH,37.209
5/6/21, 6:03:01 PM,%RH,51.765
5/6/21, 7:03:01 PM,%RH,63.162
5/6/21, 8:03:01 PM,%RH,71.924
5/6/21, 9:03:01 PM,%RH,79.858
5/6/21, 10:03:01 PM,%RH,85.044
5/6/21, 11:03:01 PM,%RH,86.499
5/7/21, 12:03:01 AM,%RH,87.491
5/7/21, 1:03:01 AM,%RH,86.707
5/7/21, 2:03:01 AM,%RH,90.33
5/7/21, 3:03:01 AM,%RH,87.703
5/7/21, 4:03:01 AM,%RH,87.174
5/7/21, 5:03:01 AM,%RH,88.231
5/7/21, 6:03:01 AM,%RH,88.231
5/7/21, 7:03:01 AM,%RH,89.283
5/7/21, 8:03:01 AM,%RH,88.383
5/7/21, 9:03:01 AM,%RH,85.476
5/7/21, 10:03:01 AM,%RH,71.47
5/7/21, 11:03:01 AM,%RH,41.968
5/7/21, 12:03:01 PM,%RH,33.113
5/7/21, 1:03:01 PM,%RH,30.507
5/7/21, 2:03:01 PM,%RH,29.224
5/7/21, 3:03:01 PM,%RH,28.384
5/7/21, 4:03:01 PM,%RH,32.278
5/7/21, 5:03:01 PM,%RH,39.052
5/7/21, 6:03:01 PM,%RH,51.807
5/7/21, 7:03:01 PM,%RH,64.953
5/7/21, 8:03:01 PM,%RH,72.489
5/7/21, 9:03:01 PM,%RH,74.64
5/7/21, 10:03:01 PM,%RH,79.28
5/7/21, 11:03:01 PM,%RH,83.563
5/8/21, 12:03:01 AM,%RH,90.33
5/8/21, 1:03:01 AM,%RH,94.169
5/8/21, 2:03:01 AM,%RH,92.512
5/8/21, 3:03:01 AM,%RH,92.994
5/8/21, 4:03:01 AM,%RH,90.993
5/8/21, 5:03:01 AM,%RH,89.029
5/8/21, 6:03:01 AM,%RH,92.934
5/8/21, 7:03:01 AM,%RH,94.641
5/8/21, 8:03:01 AM,%RH,87.666
5/8/21, 9:03:01 AM,%RH,58.044
5/8/21, 10:03:01 AM,%RH,41.045
5/8/21, 11:03:01 AM,%RH,31.061
5/8/21, 12:03:01 PM,%RH,26.696
5/8/21, 1:03:01 PM,%RH,22.19
5/8/21, 2:03:01 PM,%RH,22.408
5/8/21, 3:03:01 PM,%RH,25.562
5/8/21, 4:03:01 PM,%RH,27.935
5/8/21, 5:03:01 PM,%RH,35.411
5/8/21, 6:03:01 PM,%RH,48.183
5/8/21, 7:03:01 PM,%RH,60.848
5/8/21, 8:03:01 PM,%RH,69.042
5/8/21, 9:03:01 PM,%RH,78.215
5/8/21, 10:03:01 PM,%RH,76.032
5/8/21, 11:03:01 PM,%RH,88.292
5/9/21, 12:03:01 AM,%RH,89.229
5/9/21, 1:03:01 AM,%RH,89.388
5/9/21, 2:03:01 AM,%RH,91.476
5/9/21, 3:03:01 AM,%RH,91.476
5/9/21, 4:03:01 AM,%RH,94.505
5/9/21, 5:03:01 AM,%RH,96.064
5/9/21, 6:03:01 AM,%RH,94.451
5/9/21, 7:03:01 AM,%RH,96.248
5/9/21, 8:03:01 AM,%RH,88.751
5/9/21, 9:03:01 AM,%RH,52.075
5/9/21, 10:03:01 AM,%RH,39.863
5/9/21, 11:03:01 AM,%RH,33.055
5/9/21, 12:03:01 PM,%RH,28.666
5/9/21, 1:03:01 PM,%RH,28.106
5/9/21, 2:03:01 PM,%RH,29.952
5/9/21, 3:03:01 PM,%RH,29.952
5/9/21, 4:03:01 PM,%RH,32.998
5/9/21, 5:03:01 PM,%RH,39.808
5/9/21, 6:03:01 PM,%RH,53.752
5/9/21, 7:03:01 PM,%RH,67.35
5/9/21, 8:03:01 PM,%RH,76.529
5/9/21, 9:03:01 PM,%RH,82.583
5/9/21, 10:03:01 PM,%RH,86.186
5/9/21, 11:03:01 PM,%RH,81.464
5/10/21, 12:03:01 AM,%RH,87.707
5/10/21, 1:03:01 AM,%RH,91.164
5/10/21, 2:03:01 AM,%RH,92.408
5/10/21, 3:03:01 AM,%RH,88.91
5/10/21, 4:03:01 AM,%RH,87.935
5/10/21, 5:03:01 AM,%RH,86.875
5/10/21, 6:03:01 AM,%RH,86.875
5/10/21, 7:03:01 AM,%RH,87.487
5/10/21, 8:03:01 AM,%RH,85.51
5/10/21, 9:03:01 AM,%RH,73.179
5/10/21, 10:03:01 AM,%RH,39.441
5/10/21, 11:03:01 AM,%RH,34.378
5/10/21, 12:03:01 PM,%RH,31.842
