1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:42:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22957
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:42:01 AM,%RH,107.169
4/27/21, 1:42:01 AM,%RH,107.323
4/27/21, 2:42:01 AM,%RH,106.475
4/27/21, 3:42:01 AM,%RH,107.56
4/27/21, 4:42:01 AM,%RH,107.952
4/27/21, 5:42:01 AM,%RH,107.981
4/27/21, 6:42:01 AM,%RH,108.324
4/27/21, 7:42:01 AM,%RH,108.164
4/27/21, 8:42:01 AM,%RH,110.44
4/27/21, 9:42:01 AM,%RH,108.35
4/27/21, 10:42:01 AM,%RH,44.968
4/27/21, 11:42:01 AM,%RH,31.396
4/27/21, 12:42:01 PM,%RH,24.854
4/27/21, 1:42:01 PM,%RH,24.418
4/27/21, 2:42:01 PM,%RH,25.606
4/27/21, 3:42:01 PM,%RH,20.919
4/27/21, 4:42:01 PM,%RH,25.801
4/27/21, 5:42:01 PM,%RH,30.768
4/27/21, 6:42:01 PM,%RH,37.293
4/27/21, 7:42:01 PM,%RH,42.427
4/27/21, 8:42:01 PM,%RH,45.148
4/27/21, 9:42:01 PM,%RH,39.577
4/27/21, 10:42:01 PM,%RH,37.562
4/27/21, 11:42:01 PM,%RH,39.577
4/28/21, 12:42:01 AM,%RH,45.148
4/28/21, 1:42:01 AM,%RH,47.571
4/28/21, 2:42:01 AM,%RH,58.7
4/28/21, 3:42:01 AM,%RH,46.264
4/28/21, 4:42:01 AM,%RH,41.2
4/28/21, 5:42:01 AM,%RH,44.04
4/28/21, 6:42:01 AM,%RH,44.335
4/28/21, 7:42:01 AM,%RH,26.388
4/28/21, 8:42:01 AM,%RH,20.587
4/28/21, 9:42:01 AM,%RH,17.639
4/28/21, 10:42:01 AM,%RH,16.617
4/28/21, 11:42:01 AM,%RH,15.073
4/28/21, 12:42:01 PM,%RH,14.498
4/28/21, 1:42:01 PM,%RH,15.223
4/28/21, 2:42:01 PM,%RH,11.767
4/28/21, 3:42:01 PM,%RH,12.071
4/28/21, 4:42:01 PM,%RH,13.121
4/28/21, 5:42:01 PM,%RH,14.807
4/28/21, 6:42:01 PM,%RH,20.224
4/28/21, 7:42:01 PM,%RH,21.414
4/28/21, 8:42:01 PM,%RH,27.15
4/28/21, 9:42:01 PM,%RH,15.522
4/28/21, 10:42:01 PM,%RH,16.182
4/28/21, 11:42:01 PM,%RH,16.783
4/29/21, 12:42:01 AM,%RH,20.875
4/29/21, 1:42:01 AM,%RH,22.929
4/29/21, 2:42:01 AM,%RH,31.946
4/29/21, 3:42:01 AM,%RH,31.873
4/29/21, 4:42:01 AM,%RH,31.8
4/29/21, 5:42:01 AM,%RH,33.122
4/29/21, 6:42:01 AM,%RH,33.636
4/29/21, 7:42:01 AM,%RH,17.93
4/29/21, 8:42:01 AM,%RH,13.771
4/29/21, 9:42:01 AM,%RH,12.868
4/29/21, 10:42:01 AM,%RH,11.474
4/29/21, 11:42:01 AM,%RH,11.517
4/29/21, 12:42:01 PM,%RH,11.256
4/29/21, 1:42:01 PM,%RH,13.788
4/29/21, 2:42:01 PM,%RH,13.047
4/29/21, 3:42:01 PM,%RH,13.421
4/29/21, 4:42:01 PM,%RH,13.868
4/29/21, 5:42:01 PM,%RH,22.97
4/29/21, 6:42:01 PM,%RH,28.127
4/29/21, 7:42:01 PM,%RH,36.474
4/29/21, 8:42:01 PM,%RH,45.882
4/29/21, 9:42:01 PM,%RH,47.118
4/29/21, 10:42:01 PM,%RH,51.363
4/29/21, 11:42:01 PM,%RH,51.496
4/30/21, 12:42:01 AM,%RH,47.799
4/30/21, 1:42:01 AM,%RH,34.627
4/30/21, 2:42:01 AM,%RH,36.543
4/30/21, 3:42:01 AM,%RH,36.458
4/30/21, 4:42:01 AM,%RH,35.533
4/30/21, 5:42:01 AM,%RH,37.986
4/30/21, 6:42:01 AM,%RH,39.845
4/30/21, 7:42:01 AM,%RH,18.746
4/30/21, 8:42:01 AM,%RH,16.145
4/30/21, 9:42:01 AM,%RH,14.934
4/30/21, 10:42:01 AM,%RH,11.893
4/30/21, 11:42:01 AM,%RH,13.18
4/30/21, 12:42:01 PM,%RH,13.136
4/30/21, 1:42:01 PM,%RH,16.24
4/30/21, 2:42:01 PM,%RH,16.442
4/30/21, 3:42:01 PM,%RH,24.346
4/30/21, 4:42:01 PM,%RH,17.899
4/30/21, 5:42:01 PM,%RH,18.799
4/30/21, 6:42:01 PM,%RH,20.706
4/30/21, 7:42:01 PM,%RH,27.283
4/30/21, 8:42:01 PM,%RH,37.607
4/30/21, 9:42:01 PM,%RH,47.08
4/30/21, 10:42:01 PM,%RH,52.611
4/30/21, 11:42:01 PM,%RH,47.575
5/1/21, 12:42:01 AM,%RH,47.177
5/1/21, 1:42:01 AM,%RH,48.178
5/1/21, 2:42:01 AM,%RH,49.502
5/1/21, 3:42:01 AM,%RH,47.177
5/1/21, 4:42:01 AM,%RH,54.752
5/1/21, 5:42:01 AM,%RH,58.841
5/1/21, 6:42:01 AM,%RH,78.708
5/1/21, 7:42:01 AM,%RH,51.6
5/1/21, 8:42:01 AM,%RH,28.614
5/1/21, 9:42:01 AM,%RH,20.196
5/1/21, 10:42:01 AM,%RH,25.551
5/1/21, 11:42:01 AM,%RH,21.939
5/1/21, 12:42:01 PM,%RH,24.712
5/1/21, 1:42:01 PM,%RH,24.211
5/1/21, 2:42:01 PM,%RH,26.47
5/1/21, 3:42:01 PM,%RH,30.376
5/1/21, 4:42:01 PM,%RH,36.377
5/1/21, 5:42:01 PM,%RH,46.269
5/1/21, 6:42:01 PM,%RH,54.767
5/1/21, 7:42:01 PM,%RH,61.257
5/1/21, 8:42:01 PM,%RH,70.722
5/1/21, 9:42:01 PM,%RH,80.555
5/1/21, 10:42:01 PM,%RH,85.611
5/1/21, 11:42:01 PM,%RH,92.302
5/2/21, 12:42:01 AM,%RH,96.899
5/2/21, 1:42:01 AM,%RH,99.138
5/2/21, 2:42:01 AM,%RH,100.841
5/2/21, 3:42:01 AM,%RH,103.013
5/2/21, 4:42:01 AM,%RH,105.62
5/2/21, 5:42:01 AM,%RH,106.048
5/2/21, 6:42:01 AM,%RH,107.155
5/2/21, 7:42:01 AM,%RH,84.723
5/2/21, 8:42:01 AM,%RH,43.518
5/2/21, 9:42:01 AM,%RH,34.268
5/2/21, 10:42:01 AM,%RH,31.001
5/2/21, 11:42:01 AM,%RH,32.749
5/2/21, 12:42:01 PM,%RH,27.629
5/2/21, 1:42:01 PM,%RH,31.001
5/2/21, 2:42:01 PM,%RH,36.825
5/2/21, 3:42:01 PM,%RH,40.722
5/2/21, 4:42:01 PM,%RH,45.977
5/2/21, 5:42:01 PM,%RH,56.029
5/2/21, 6:42:01 PM,%RH,61.315
5/2/21, 7:42:01 PM,%RH,71.634
5/2/21, 8:42:01 PM,%RH,80.181
5/2/21, 9:42:01 PM,%RH,85.037
5/2/21, 10:42:01 PM,%RH,89.03
5/2/21, 11:42:01 PM,%RH,89.17
5/3/21, 12:42:01 AM,%RH,85.178
5/3/21, 1:42:01 AM,%RH,73.936
5/3/21, 2:42:01 AM,%RH,93.323
5/3/21, 3:42:01 AM,%RH,98.739
5/3/21, 4:42:01 AM,%RH,100.944
5/3/21, 5:42:01 AM,%RH,101.446
5/3/21, 6:42:01 AM,%RH,103.109
5/3/21, 7:42:01 AM,%RH,53.921
5/3/21, 8:42:01 AM,%RH,26.414
5/3/21, 9:42:01 AM,%RH,19.185
5/3/21, 10:42:01 AM,%RH,18.516
5/3/21, 11:42:01 AM,%RH,16.491
5/3/21, 12:42:01 PM,%RH,16.244
5/3/21, 1:42:01 PM,%RH,15.712
5/3/21, 2:42:01 PM,%RH,22.594
5/3/21, 3:42:01 PM,%RH,21.776
5/3/21, 4:42:01 PM,%RH,24.745
5/3/21, 5:42:01 PM,%RH,28.287
5/3/21, 6:42:01 PM,%RH,31.319
5/3/21, 7:42:01 PM,%RH,42.278
5/3/21, 8:42:01 PM,%RH,54.592
5/3/21, 9:42:01 PM,%RH,60.005
5/3/21, 10:42:01 PM,%RH,63.293
5/3/21, 11:42:01 PM,%RH,57.52
5/4/21, 12:42:01 AM,%RH,67.404
5/4/21, 1:42:01 AM,%RH,57.59
5/4/21, 2:42:01 AM,%RH,50.221
5/4/21, 3:42:01 AM,%RH,40.486
5/4/21, 4:42:01 AM,%RH,51.174
5/4/21, 5:42:01 AM,%RH,50.563
5/4/21, 6:42:01 AM,%RH,52.995
5/4/21, 7:42:01 AM,%RH,23.989
5/4/21, 8:42:01 AM,%RH,18.509
5/4/21, 9:42:01 AM,%RH,16.096
5/4/21, 10:42:01 AM,%RH,16.294
5/4/21, 11:42:01 AM,%RH,14.741
5/4/21, 12:42:01 PM,%RH,15.076
5/4/21, 1:42:01 PM,%RH,19.237
5/4/21, 2:42:01 PM,%RH,20.78
5/4/21, 3:42:01 PM,%RH,24.825
5/4/21, 4:42:01 PM,%RH,19.221
5/4/21, 5:42:01 PM,%RH,26.28
5/4/21, 6:42:01 PM,%RH,35.5
5/4/21, 7:42:01 PM,%RH,43.57
5/4/21, 8:42:01 PM,%RH,54.659
5/4/21, 9:42:01 PM,%RH,68.187
5/4/21, 10:42:01 PM,%RH,69.452
5/4/21, 11:42:01 PM,%RH,59.955
5/5/21, 12:42:01 AM,%RH,60.896
5/5/21, 1:42:01 AM,%RH,56.77
5/5/21, 2:42:01 AM,%RH,57.733
5/5/21, 3:42:01 AM,%RH,55.425
5/5/21, 4:42:01 AM,%RH,57.661
5/5/21, 5:42:01 AM,%RH,62.201
5/5/21, 6:42:01 AM,%RH,66.139
5/5/21, 7:42:01 AM,%RH,29.025
5/5/21, 8:42:01 AM,%RH,22.918
5/5/21, 9:42:01 AM,%RH,17.793
5/5/21, 10:42:01 AM,%RH,15.905
5/5/21, 11:42:01 AM,%RH,17.219
5/5/21, 12:42:01 PM,%RH,19.393
5/5/21, 1:42:01 PM,%RH,20.061
5/5/21, 2:42:01 PM,%RH,24.289
5/5/21, 3:42:01 PM,%RH,19.081
5/5/21, 4:42:01 PM,%RH,21.944
5/5/21, 5:42:01 PM,%RH,26.334
5/5/21, 6:42:01 PM,%RH,34.833
5/5/21, 7:42:01 PM,%RH,44.258
5/5/21, 8:42:01 PM,%RH,58.284
5/5/21, 9:42:01 PM,%RH,69.53
5/5/21, 10:42:01 PM,%RH,82.26
5/5/21, 11:42:01 PM,%RH,85.683
5/6/21, 12:42:01 AM,%RH,92.912
5/6/21, 1:42:01 AM,%RH,97.545
5/6/21, 2:42:01 AM,%RH,103.771
5/6/21, 3:42:01 AM,%RH,103.529
5/6/21, 4:42:01 AM,%RH,103.899
5/6/21, 5:42:01 AM,%RH,105.284
5/6/21, 6:42:01 AM,%RH,105.714
5/6/21, 7:42:01 AM,%RH,48.802
5/6/21, 8:42:01 AM,%RH,32.018
5/6/21, 9:42:01 AM,%RH,31.176
5/6/21, 10:42:01 AM,%RH,29.179
5/6/21, 11:42:01 AM,%RH,31.176
5/6/21, 12:42:01 PM,%RH,27.279
5/6/21, 1:42:01 PM,%RH,28.95
5/6/21, 2:42:01 PM,%RH,35.908
5/6/21, 3:42:01 PM,%RH,44.736
5/6/21, 4:42:01 PM,%RH,49.72
5/6/21, 5:42:01 PM,%RH,59.133
5/6/21, 6:42:01 PM,%RH,64.301
5/6/21, 7:42:01 PM,%RH,74.473
5/6/21, 8:42:01 PM,%RH,84.976
5/6/21, 9:42:01 PM,%RH,95.891
5/6/21, 10:42:01 PM,%RH,102.071
5/6/21, 11:42:01 PM,%RH,105.137
5/7/21, 12:42:01 AM,%RH,105.447
5/7/21, 1:42:01 AM,%RH,106.558
5/7/21, 2:42:01 AM,%RH,107.054
5/7/21, 3:42:01 AM,%RH,103.599
5/7/21, 4:42:01 AM,%RH,102.275
5/7/21, 5:42:01 AM,%RH,101.313
5/7/21, 6:42:01 AM,%RH,100.415
5/7/21, 7:42:01 AM,%RH,97.436
5/7/21, 8:42:01 AM,%RH,90.539
5/7/21, 9:42:01 AM,%RH,77.813
5/7/21, 10:42:01 AM,%RH,50.398
5/7/21, 11:42:01 AM,%RH,35.057
5/7/21, 12:42:01 PM,%RH,36.218
5/7/21, 1:42:01 PM,%RH,35.609
5/7/21, 2:42:01 PM,%RH,36.883
5/7/21, 3:42:01 PM,%RH,40.246
5/7/21, 4:42:01 PM,%RH,47.146
