1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E00000006D9B6E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:47:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:47:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  23734
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:47:01 AM,%RH,103.173
4/27/21, 1:47:01 AM,%RH,102.826
4/27/21, 2:47:01 AM,%RH,102.826
4/27/21, 3:47:01 AM,%RH,103.544
4/27/21, 4:47:01 AM,%RH,103.519
4/27/21, 5:47:01 AM,%RH,104.033
4/27/21, 6:47:01 AM,%RH,104.859
4/27/21, 7:47:01 AM,%RH,104.171
4/27/21, 8:47:01 AM,%RH,101.039
4/27/21, 9:47:01 AM,%RH,102.111
4/27/21, 10:47:01 AM,%RH,95.216
4/27/21, 11:47:01 AM,%RH,32.044
4/27/21, 12:47:01 PM,%RH,27.829
4/27/21, 1:47:01 PM,%RH,25.058
4/27/21, 2:47:01 PM,%RH,23.824
4/27/21, 3:47:01 PM,%RH,23.017
4/27/21, 4:47:01 PM,%RH,25.223
4/27/21, 5:47:01 PM,%RH,33.64
4/27/21, 6:47:01 PM,%RH,40.203
4/27/21, 7:47:01 PM,%RH,44.034
4/27/21, 8:47:01 PM,%RH,44.875
4/27/21, 9:47:01 PM,%RH,39.812
4/27/21, 10:47:01 PM,%RH,37.279
4/27/21, 11:47:01 PM,%RH,39.812
4/28/21, 12:47:01 AM,%RH,45.435
4/28/21, 1:47:01 AM,%RH,50.236
4/28/21, 2:47:01 AM,%RH,57.435
4/28/21, 3:47:01 AM,%RH,45.988
4/28/21, 4:47:01 AM,%RH,42.142
4/28/21, 5:47:01 AM,%RH,45.586
4/28/21, 6:47:01 AM,%RH,45.028
4/28/21, 7:47:01 AM,%RH,32.77
4/28/21, 8:47:01 AM,%RH,25.058
4/28/21, 9:47:01 AM,%RH,20.961
4/28/21, 10:47:01 AM,%RH,17.833
4/28/21, 11:47:01 AM,%RH,14.338
4/28/21, 12:47:01 PM,%RH,13.084
4/28/21, 1:47:01 PM,%RH,12.306
4/28/21, 2:47:01 PM,%RH,11.814
4/28/21, 3:47:01 PM,%RH,12.158
4/28/21, 4:47:01 PM,%RH,14.491
4/28/21, 5:47:01 PM,%RH,17.696
4/28/21, 6:47:01 PM,%RH,21.728
4/28/21, 7:47:01 PM,%RH,22.27
4/28/21, 8:47:01 PM,%RH,25.399
4/28/21, 9:47:01 PM,%RH,15.658
4/28/21, 10:47:01 PM,%RH,18.407
4/28/21, 11:47:01 PM,%RH,18.295
4/29/21, 12:47:01 AM,%RH,21.136
4/29/21, 1:47:01 AM,%RH,30.943
4/29/21, 2:47:01 AM,%RH,36.543
4/29/21, 3:47:01 AM,%RH,35.373
4/29/21, 4:47:01 AM,%RH,39.661
4/29/21, 5:47:01 AM,%RH,31.538
4/29/21, 6:47:01 AM,%RH,44.021
4/29/21, 7:47:01 AM,%RH,22.377
4/29/21, 8:47:01 AM,%RH,20.361
4/29/21, 9:47:01 AM,%RH,14.637
4/29/21, 10:47:01 AM,%RH,12.688
4/29/21, 11:47:01 AM,%RH,11.398
4/29/21, 12:47:01 PM,%RH,10.613
4/29/21, 1:47:01 PM,%RH,11.487
4/29/21, 2:47:01 PM,%RH,12.182
4/29/21, 3:47:01 PM,%RH,11.907
4/29/21, 4:47:01 PM,%RH,13.91
4/29/21, 5:47:01 PM,%RH,22.369
4/29/21, 6:47:01 PM,%RH,28.938
4/29/21, 7:47:01 PM,%RH,36.038
4/29/21, 8:47:01 PM,%RH,48.136
4/29/21, 9:47:01 PM,%RH,49.946
4/29/21, 10:47:01 PM,%RH,56.06
4/29/21, 11:47:01 PM,%RH,57.723
4/30/21, 12:47:01 AM,%RH,52.239
4/30/21, 1:47:01 AM,%RH,38.21
4/30/21, 2:47:01 AM,%RH,35.443
4/30/21, 3:47:01 AM,%RH,44.015
4/30/21, 4:47:01 AM,%RH,44.506
4/30/21, 5:47:01 AM,%RH,47.595
4/30/21, 6:47:01 AM,%RH,48.918
4/30/21, 7:47:01 AM,%RH,33.497
4/30/21, 8:47:01 AM,%RH,20.024
4/30/21, 9:47:01 AM,%RH,16.336
4/30/21, 10:47:01 AM,%RH,13.011
4/30/21, 11:47:01 AM,%RH,12.874
4/30/21, 12:47:01 PM,%RH,12.92
4/30/21, 1:47:01 PM,%RH,13.011
4/30/21, 2:47:01 PM,%RH,13.373
4/30/21, 3:47:01 PM,%RH,14.784
4/30/21, 4:47:01 PM,%RH,16.502
4/30/21, 5:47:01 PM,%RH,19.599
4/30/21, 6:47:01 PM,%RH,22.209
4/30/21, 7:47:01 PM,%RH,27.405
4/30/21, 8:47:01 PM,%RH,37.897
