1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 480000006D9ED241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Apr 26 23:45:01 PDT 2021
Total Mission Samples:  14915
Total Device Samples:  23735
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/26/21, 11:45:01 PM,%RH,105.131
4/27/21, 12:45:01 AM,%RH,105.521
4/27/21, 1:45:01 AM,%RH,105.635
4/27/21, 2:45:01 AM,%RH,105.216
4/27/21, 3:45:01 AM,%RH,105.95
4/27/21, 4:45:01 AM,%RH,104.967
4/27/21, 5:45:01 AM,%RH,106.38
4/27/21, 6:45:01 AM,%RH,105.869
4/27/21, 7:45:01 AM,%RH,105.556
4/27/21, 8:45:01 AM,%RH,108.349
4/27/21, 9:45:01 AM,%RH,92.503
4/27/21, 10:45:01 AM,%RH,54.518
4/27/21, 11:45:01 AM,%RH,36.27
4/27/21, 12:45:01 PM,%RH,24.86
4/27/21, 1:45:01 PM,%RH,26.288
4/27/21, 2:45:01 PM,%RH,23.173
4/27/21, 3:45:01 PM,%RH,22.315
4/27/21, 4:45:01 PM,%RH,19.8
4/27/21, 5:45:01 PM,%RH,24.627
4/27/21, 6:45:01 PM,%RH,36.591
4/27/21, 7:45:01 PM,%RH,42.351
4/27/21, 8:45:01 PM,%RH,45.105
4/27/21, 9:45:01 PM,%RH,40.116
4/27/21, 10:45:01 PM,%RH,37.547
4/27/21, 11:45:01 PM,%RH,40.754
4/28/21, 12:45:01 AM,%RH,46.205
4/28/21, 1:45:01 AM,%RH,46.754
4/28/21, 2:45:01 AM,%RH,53.441
4/28/21, 3:45:01 AM,%RH,46.174
4/28/21, 4:45:01 AM,%RH,41.702
4/28/21, 5:45:01 AM,%RH,45.808
4/28/21, 6:45:01 AM,%RH,44.858
4/28/21, 7:45:01 AM,%RH,31.906
4/28/21, 8:45:01 AM,%RH,23.738
4/28/21, 9:45:01 AM,%RH,21.777
4/28/21, 10:45:01 AM,%RH,24.727
4/28/21, 11:45:01 AM,%RH,22.973
4/28/21, 12:45:01 PM,%RH,16.75
4/28/21, 1:45:01 PM,%RH,14.545
4/28/21, 2:45:01 PM,%RH,16.848
4/28/21, 3:45:01 PM,%RH,14.592
4/28/21, 4:45:01 PM,%RH,12.73
4/28/21, 5:45:01 PM,%RH,14.332
4/28/21, 6:45:01 PM,%RH,20.389
4/28/21, 7:45:01 PM,%RH,22.884
4/28/21, 8:45:01 PM,%RH,24.629
4/28/21, 9:45:01 PM,%RH,15.056
4/28/21, 10:45:01 PM,%RH,17.586
4/28/21, 11:45:01 PM,%RH,18.931
4/29/21, 12:45:01 AM,%RH,24.265
4/29/21, 1:45:01 AM,%RH,26.274
4/29/21, 2:45:01 AM,%RH,30.651
4/29/21, 3:45:01 AM,%RH,34.364
4/29/21, 4:45:01 AM,%RH,34.942
4/29/21, 5:45:01 AM,%RH,36.741
4/29/21, 6:45:01 AM,%RH,38.671
4/29/21, 7:45:01 AM,%RH,21.826
4/29/21, 8:45:01 AM,%RH,17.756
4/29/21, 9:45:01 AM,%RH,17.518
4/29/21, 10:45:01 AM,%RH,20.209
4/29/21, 11:45:01 AM,%RH,20.904
4/29/21, 12:45:01 PM,%RH,15.102
4/29/21, 1:45:01 PM,%RH,13.548
4/29/21, 2:45:01 PM,%RH,15.738
4/29/21, 3:45:01 PM,%RH,13.592
4/29/21, 4:45:01 PM,%RH,11.953
4/29/21, 5:45:01 PM,%RH,20.118
4/29/21, 6:45:01 PM,%RH,28.188
4/29/21, 7:45:01 PM,%RH,34.516
4/29/21, 8:45:01 PM,%RH,39.528
4/29/21, 9:45:01 PM,%RH,43.237
4/29/21, 10:45:01 PM,%RH,50.612
4/29/21, 11:45:01 PM,%RH,57.127
4/30/21, 12:45:01 AM,%RH,53.441
4/30/21, 1:45:01 AM,%RH,49.233
4/30/21, 2:45:01 AM,%RH,46.828
4/30/21, 3:45:01 AM,%RH,41.874
4/30/21, 4:45:01 AM,%RH,48.944
4/30/21, 5:45:01 AM,%RH,50.036
4/30/21, 6:45:01 AM,%RH,53.157
4/30/21, 7:45:01 AM,%RH,28.496
4/30/21, 8:45:01 AM,%RH,20.656
4/30/21, 9:45:01 AM,%RH,17.671
4/30/21, 10:45:01 AM,%RH,21.512
4/30/21, 11:45:01 AM,%RH,23.768
4/30/21, 12:45:01 PM,%RH,16.019
4/30/21, 1:45:01 PM,%RH,17.387
4/30/21, 2:45:01 PM,%RH,17.915
4/30/21, 3:45:01 PM,%RH,16.177
4/30/21, 4:45:01 PM,%RH,16.552
4/30/21, 5:45:01 PM,%RH,16.607
4/30/21, 6:45:01 PM,%RH,22.2
4/30/21, 7:45:01 PM,%RH,28.6
4/30/21, 8:45:01 PM,%RH,36.301
4/30/21, 9:45:01 PM,%RH,45.681
4/30/21, 10:45:01 PM,%RH,51.381
4/30/21, 11:45:01 PM,%RH,48.919
5/1/21, 12:45:01 AM,%RH,52.299
5/1/21, 1:45:01 AM,%RH,48.765
5/1/21, 2:45:01 AM,%RH,56.981
5/1/21, 3:45:01 AM,%RH,54.047
5/1/21, 4:45:01 AM,%RH,60.92
5/1/21, 5:45:01 AM,%RH,59.289
5/1/21, 6:45:01 AM,%RH,74.178
5/1/21, 7:45:01 AM,%RH,59.344
5/1/21, 8:45:01 AM,%RH,34.323
5/1/21, 9:45:01 AM,%RH,26.584
5/1/21, 10:45:01 AM,%RH,28.845
5/1/21, 11:45:01 AM,%RH,26.637
5/1/21, 12:45:01 PM,%RH,23.786
5/1/21, 1:45:01 PM,%RH,25.026
5/1/21, 2:45:01 PM,%RH,26.684
5/1/21, 3:45:01 PM,%RH,29.635
5/1/21, 4:45:01 PM,%RH,31.487
5/1/21, 5:45:01 PM,%RH,38.768
5/1/21, 6:45:01 PM,%RH,51.594
5/1/21, 7:45:01 PM,%RH,59.403
5/1/21, 8:45:01 PM,%RH,68.794
5/1/21, 9:45:01 PM,%RH,72.878
5/1/21, 10:45:01 PM,%RH,79.709
5/1/21, 11:45:01 PM,%RH,85.281
5/2/21, 12:45:01 AM,%RH,91.275
5/2/21, 1:45:01 AM,%RH,90.942
5/2/21, 2:45:01 AM,%RH,96.154
5/2/21, 3:45:01 AM,%RH,98.69
5/2/21, 4:45:01 AM,%RH,101.088
5/2/21, 5:45:01 AM,%RH,101.513
5/2/21, 6:45:01 AM,%RH,102.144
5/2/21, 7:45:01 AM,%RH,82.682
5/2/21, 8:45:01 AM,%RH,53.093
5/2/21, 9:45:01 AM,%RH,47.126
5/2/21, 10:45:01 AM,%RH,39.439
5/2/21, 11:45:01 AM,%RH,36.636
5/2/21, 12:45:01 PM,%RH,29.363
5/2/21, 1:45:01 PM,%RH,32.197
5/2/21, 2:45:01 PM,%RH,33.06
5/2/21, 3:45:01 PM,%RH,35.317
5/2/21, 4:45:01 PM,%RH,35.317
5/2/21, 5:45:01 PM,%RH,43.788
5/2/21, 6:45:01 PM,%RH,59.434
5/2/21, 7:45:01 PM,%RH,69.394
5/2/21, 8:45:01 PM,%RH,78.307
5/2/21, 9:45:01 PM,%RH,81.924
5/2/21, 10:45:01 PM,%RH,81.463
5/2/21, 11:45:01 PM,%RH,85.546
5/3/21, 12:45:01 AM,%RH,84.569
5/3/21, 1:45:01 AM,%RH,82.986
5/3/21, 2:45:01 AM,%RH,91.574
5/3/21, 3:45:01 AM,%RH,93.456
5/3/21, 4:45:01 AM,%RH,94.947
5/3/21, 5:45:01 AM,%RH,95.441
5/3/21, 6:45:01 AM,%RH,98.69
5/3/21, 7:45:01 AM,%RH,67.759
5/3/21, 8:45:01 AM,%RH,33.213
5/3/21, 9:45:01 AM,%RH,25.492
5/3/21, 10:45:01 AM,%RH,22.806
5/3/21, 11:45:01 AM,%RH,25.538
5/3/21, 12:45:01 PM,%RH,19.359
5/3/21, 1:45:01 PM,%RH,22.396
5/3/21, 2:45:01 PM,%RH,20.05
5/3/21, 3:45:01 PM,%RH,19.292
5/3/21, 4:45:01 PM,%RH,19.945
5/3/21, 5:45:01 PM,%RH,22.099
5/3/21, 6:45:01 PM,%RH,32.062
5/3/21, 7:45:01 PM,%RH,40.319
5/3/21, 8:45:01 PM,%RH,48.969
5/3/21, 9:45:01 PM,%RH,56.294
