1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:54:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:54:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  23706
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:54:01 AM,%RH,108.462
4/27/21, 1:54:01 AM,%RH,109.029
4/27/21, 2:54:01 AM,%RH,108.154
4/27/21, 3:54:01 AM,%RH,109.377
4/27/21, 4:54:01 AM,%RH,109.272
4/27/21, 5:54:01 AM,%RH,108.889
4/27/21, 6:54:01 AM,%RH,108.889
4/27/21, 7:54:01 AM,%RH,109.323
4/27/21, 8:54:01 AM,%RH,106.067
4/27/21, 9:54:01 AM,%RH,79.619
4/27/21, 10:54:01 AM,%RH,43.146
4/27/21, 11:54:01 AM,%RH,30.601
4/27/21, 12:54:01 PM,%RH,-33.252
4/27/21, 1:54:01 PM,%RH,-33.464
4/27/21, 2:54:01 PM,%RH,-33.424
4/27/21, 3:54:01 PM,%RH,16.926
4/27/21, 4:54:01 PM,%RH,27.308
4/27/21, 5:54:01 PM,%RH,34.891
4/27/21, 6:54:01 PM,%RH,41.311
4/27/21, 7:54:01 PM,%RH,46.381
4/27/21, 8:54:01 PM,%RH,44.707
4/27/21, 9:54:01 PM,%RH,40.969
4/27/21, 10:54:01 PM,%RH,38.606
4/27/21, 11:54:01 PM,%RH,43.151
4/28/21, 12:54:01 AM,%RH,44.784
4/28/21, 1:54:01 AM,%RH,49.559
4/28/21, 2:54:01 AM,%RH,53.785
4/28/21, 3:54:01 AM,%RH,45.164
4/28/21, 4:54:01 AM,%RH,42.614
4/28/21, 5:54:01 AM,%RH,47.056
4/28/21, 6:54:01 AM,%RH,47.056
4/28/21, 7:54:01 AM,%RH,30.953
4/28/21, 8:54:01 AM,%RH,25.321
4/28/21, 9:54:01 AM,%RH,23.999
4/28/21, 10:54:01 AM,%RH,23.104
4/28/21, 11:54:01 AM,%RH,-33.17
4/28/21, 12:54:01 PM,%RH,-33.04
4/28/21, 1:54:01 PM,%RH,-33.019
4/28/21, 2:54:01 PM,%RH,-33.068
4/28/21, 3:54:01 PM,%RH,16.082
4/28/21, 4:54:01 PM,%RH,18.383
4/28/21, 5:54:01 PM,%RH,20
4/28/21, 6:54:01 PM,%RH,23.303
4/28/21, 7:54:01 PM,%RH,25.787
4/28/21, 8:54:01 PM,%RH,23.569
4/28/21, 9:54:01 PM,%RH,17.247
4/28/21, 10:54:01 PM,%RH,18.651
4/28/21, 11:54:01 PM,%RH,19.939
4/29/21, 12:54:01 AM,%RH,22.666
4/29/21, 1:54:01 AM,%RH,29.061
4/29/21, 2:54:01 AM,%RH,35.209
4/29/21, 3:54:01 AM,%RH,27.128
4/29/21, 4:54:01 AM,%RH,32.884
4/29/21, 5:54:01 AM,%RH,27.8
4/29/21, 6:54:01 AM,%RH,30.316
4/29/21, 7:54:01 AM,%RH,21.336
4/29/21, 8:54:01 AM,%RH,19.295
4/29/21, 9:54:01 AM,%RH,18.618
4/29/21, 10:54:01 AM,%RH,20.085
4/29/21, 11:54:01 AM,%RH,18.927
4/29/21, 12:54:01 PM,%RH,-32.997
4/29/21, 1:54:01 PM,%RH,-33.029
4/29/21, 2:54:01 PM,%RH,15.536
4/29/21, 3:54:01 PM,%RH,-32.183
4/29/21, 4:54:01 PM,%RH,17.601
4/29/21, 5:54:01 PM,%RH,25.898
4/29/21, 6:54:01 PM,%RH,32.243
4/29/21, 7:54:01 PM,%RH,41.089
4/29/21, 8:54:01 PM,%RH,47.912
4/29/21, 9:54:01 PM,%RH,52.226
4/29/21, 10:54:01 PM,%RH,56.467
4/29/21, 11:54:01 PM,%RH,43.988
4/30/21, 12:54:01 AM,%RH,39.388
4/30/21, 1:54:01 AM,%RH,30.341
4/30/21, 2:54:01 AM,%RH,34.087
4/30/21, 3:54:01 AM,%RH,39.042
4/30/21, 4:54:01 AM,%RH,35.913
4/30/21, 5:54:01 AM,%RH,37.75
4/30/21, 6:54:01 AM,%RH,40.252
4/30/21, 7:54:01 AM,%RH,25.683
4/30/21, 8:54:01 AM,%RH,20.578
4/30/21, 9:54:01 AM,%RH,20.35
4/30/21, 10:54:01 AM,%RH,22.974
4/30/21, 11:54:01 AM,%RH,-33.07
4/30/21, 12:54:01 PM,%RH,-33.107
4/30/21, 1:54:01 PM,%RH,-33.07
4/30/21, 2:54:01 PM,%RH,18.417
4/30/21, 3:54:01 PM,%RH,-32.998
4/30/21, 4:54:01 PM,%RH,19.717
4/30/21, 5:54:01 PM,%RH,22.564
4/30/21, 6:54:01 PM,%RH,25.052
4/30/21, 7:54:01 PM,%RH,32.037
4/30/21, 8:54:01 PM,%RH,41.649
4/30/21, 9:54:01 PM,%RH,53.414
4/30/21, 10:54:01 PM,%RH,57.72
4/30/21, 11:54:01 PM,%RH,45.881
5/1/21, 12:54:01 AM,%RH,54.012
5/1/21, 1:54:01 AM,%RH,47.696
5/1/21, 2:54:01 AM,%RH,49.605
5/1/21, 3:54:01 AM,%RH,48.334
5/1/21, 4:54:01 AM,%RH,59.732
5/1/21, 5:54:01 AM,%RH,62.474
5/1/21, 6:54:01 AM,%RH,73.374
5/1/21, 7:54:01 AM,%RH,49.38
5/1/21, 8:54:01 AM,%RH,30.257
5/1/21, 9:54:01 AM,%RH,27.762
5/1/21, 10:54:01 AM,%RH,32.394
5/1/21, 11:54:01 AM,%RH,-33.011
5/1/21, 12:54:01 PM,%RH,-33.053
5/1/21, 1:54:01 PM,%RH,30.484
5/1/21, 2:54:01 PM,%RH,-14.257
5/1/21, 3:54:01 PM,%RH,34.843
5/1/21, 4:54:01 PM,%RH,38.423
5/1/21, 5:54:01 PM,%RH,50.14
5/1/21, 6:54:01 PM,%RH,57.969
5/1/21, 7:54:01 PM,%RH,66.847
5/1/21, 8:54:01 PM,%RH,75.561
5/1/21, 9:54:01 PM,%RH,86
5/1/21, 10:54:01 PM,%RH,89.963
5/1/21, 11:54:01 PM,%RH,100.276
5/2/21, 12:54:01 AM,%RH,98.327
5/2/21, 1:54:01 AM,%RH,102.149
5/2/21, 2:54:01 AM,%RH,104.856
5/2/21, 3:54:01 AM,%RH,105.836
5/2/21, 4:54:01 AM,%RH,105.753
5/2/21, 5:54:01 AM,%RH,106.26
5/2/21, 6:54:01 AM,%RH,106.152
5/2/21, 7:54:01 AM,%RH,88.552
5/2/21, 8:54:01 AM,%RH,54.12
5/2/21, 9:54:01 AM,%RH,43.963
5/2/21, 10:54:01 AM,%RH,40.181
5/2/21, 11:54:01 AM,%RH,-32.479
5/2/21, 12:54:01 PM,%RH,-33.283
5/2/21, 1:54:01 PM,%RH,-33.252
5/2/21, 2:54:01 PM,%RH,-33.424
5/2/21, 3:54:01 PM,%RH,42.499
5/2/21, 4:54:01 PM,%RH,46.625
5/2/21, 5:54:01 PM,%RH,60.439
5/2/21, 6:54:01 PM,%RH,66.871
5/2/21, 7:54:01 PM,%RH,76.636
5/2/21, 8:54:01 PM,%RH,84.56
5/2/21, 9:54:01 PM,%RH,91.12
5/2/21, 10:54:01 PM,%RH,87.572
5/2/21, 11:54:01 PM,%RH,91.189
5/3/21, 12:54:01 AM,%RH,90.677
5/3/21, 1:54:01 AM,%RH,88.544
5/3/21, 2:54:01 AM,%RH,96.53
5/3/21, 3:54:01 AM,%RH,100.331
5/3/21, 4:54:01 AM,%RH,103.155
5/3/21, 5:54:01 AM,%RH,101.189
5/3/21, 6:54:01 AM,%RH,100.331
5/3/21, 7:54:01 AM,%RH,51.533
5/3/21, 8:54:01 AM,%RH,31.495
5/3/21, 9:54:01 AM,%RH,28.046
5/3/21, 10:54:01 AM,%RH,28.789
5/3/21, 11:54:01 AM,%RH,26.559
5/3/21, 12:54:01 PM,%RH,-33
5/3/21, 1:54:01 PM,%RH,-33.029
5/3/21, 2:54:01 PM,%RH,20.898
5/3/21, 3:54:01 PM,%RH,23.488
5/3/21, 4:54:01 PM,%RH,27.594
5/3/21, 5:54:01 PM,%RH,26.367
5/3/21, 6:54:01 PM,%RH,37.453
5/3/21, 7:54:01 PM,%RH,47.436
5/3/21, 8:54:01 PM,%RH,60.832
5/3/21, 9:54:01 PM,%RH,61.438
5/3/21, 10:54:01 PM,%RH,68.139
5/3/21, 11:54:01 PM,%RH,59.88
5/4/21, 12:54:01 AM,%RH,58.539
5/4/21, 1:54:01 AM,%RH,52.205
5/4/21, 2:54:01 AM,%RH,41.307
5/4/21, 3:54:01 AM,%RH,38.742
5/4/21, 4:54:01 AM,%RH,49.607
5/4/21, 5:54:01 AM,%RH,44.263
5/4/21, 6:54:01 AM,%RH,56.73
5/4/21, 7:54:01 AM,%RH,30.642
5/4/21, 8:54:01 AM,%RH,23.417
5/4/21, 9:54:01 AM,%RH,21.227
5/4/21, 10:54:01 AM,%RH,20.685
5/4/21, 11:54:01 AM,%RH,20.191
5/4/21, 12:54:01 PM,%RH,-32.998
5/4/21, 1:54:01 PM,%RH,8.027
5/4/21, 2:54:01 PM,%RH,20.898
5/4/21, 3:54:01 PM,%RH,-33.053
5/4/21, 4:54:01 PM,%RH,21.497
5/4/21, 5:54:01 PM,%RH,29.871
5/4/21, 6:54:01 PM,%RH,38.869
5/4/21, 7:54:01 PM,%RH,46.929
5/4/21, 8:54:01 PM,%RH,60.886
5/4/21, 9:54:01 PM,%RH,69.363
5/4/21, 10:54:01 PM,%RH,75.406
5/4/21, 11:54:01 PM,%RH,60.76
5/5/21, 12:54:01 AM,%RH,52.789
5/5/21, 1:54:01 AM,%RH,54.605
5/5/21, 2:54:01 AM,%RH,63.787
5/5/21, 3:54:01 AM,%RH,59.732
5/5/21, 4:54:01 AM,%RH,63.131
5/5/21, 5:54:01 AM,%RH,67.636
5/5/21, 6:54:01 AM,%RH,64.371
5/5/21, 7:54:01 AM,%RH,36.845
5/5/21, 8:54:01 AM,%RH,27.078
5/5/21, 9:54:01 AM,%RH,25.747
5/5/21, 10:54:01 AM,%RH,23.823
5/5/21, 11:54:01 AM,%RH,7.332
5/5/21, 12:54:01 PM,%RH,-32.997
5/5/21, 1:54:01 PM,%RH,-32.998
5/5/21, 2:54:01 PM,%RH,22.899
5/5/21, 3:54:01 PM,%RH,-33.019
5/5/21, 4:54:01 PM,%RH,24.271
5/5/21, 5:54:01 PM,%RH,28.571
5/5/21, 6:54:01 PM,%RH,40.125
5/5/21, 7:54:01 PM,%RH,47.522
5/5/21, 8:54:01 PM,%RH,63.298
5/5/21, 9:54:01 PM,%RH,74.774
5/5/21, 10:54:01 PM,%RH,89.648
5/5/21, 11:54:01 PM,%RH,82.817
5/6/21, 12:54:01 AM,%RH,94.098
5/6/21, 1:54:01 AM,%RH,100.814
5/6/21, 2:54:01 AM,%RH,103.929
5/6/21, 3:54:01 AM,%RH,104.215
5/6/21, 4:54:01 AM,%RH,105.046
5/6/21, 5:54:01 AM,%RH,106.349
5/6/21, 6:54:01 AM,%RH,97.4
5/6/21, 7:54:01 AM,%RH,55.129
5/6/21, 8:54:01 AM,%RH,41.201
5/6/21, 9:54:01 AM,%RH,40.42
5/6/21, 10:54:01 AM,%RH,36.583
5/6/21, 11:54:01 AM,%RH,37.848
5/6/21, 12:54:01 PM,%RH,-33.104
5/6/21, 1:54:01 PM,%RH,-33.223
5/6/21, 2:54:01 PM,%RH,15.118
5/6/21, 3:54:01 PM,%RH,40.776
5/6/21, 4:54:01 PM,%RH,52.303
5/6/21, 5:54:01 PM,%RH,63.518
5/6/21, 6:54:01 PM,%RH,69.856
5/6/21, 7:54:01 PM,%RH,80.024
5/6/21, 8:54:01 PM,%RH,90.896
5/6/21, 9:54:01 PM,%RH,98.698
5/6/21, 10:54:01 PM,%RH,103.864
5/6/21, 11:54:01 PM,%RH,105.157
5/7/21, 12:54:01 AM,%RH,105.569
5/7/21, 1:54:01 AM,%RH,105.88
5/7/21, 2:54:01 AM,%RH,105.411
5/7/21, 3:54:01 AM,%RH,104.941
5/7/21, 4:54:01 AM,%RH,103.522
5/7/21, 5:54:01 AM,%RH,103.929
5/7/21, 6:54:01 AM,%RH,102.569
5/7/21, 7:54:01 AM,%RH,98.918
5/7/21, 8:54:01 AM,%RH,93.095
5/7/21, 9:54:01 AM,%RH,80.089
5/7/21, 10:54:01 AM,%RH,49.196
5/7/21, 11:54:01 AM,%RH,42.257
5/7/21, 12:54:01 PM,%RH,42.021
5/7/21, 1:54:01 PM,%RH,-33.386
5/7/21, 2:54:01 PM,%RH,39.526
5/7/21, 3:54:01 PM,%RH,-33.505
5/7/21, 4:54:01 PM,%RH,52.782
5/7/21, 5:54:01 PM,%RH,65.27
5/7/21, 6:54:01 PM,%RH,72.728
5/7/21, 7:54:01 PM,%RH,81.693
5/7/21, 8:54:01 PM,%RH,91.844
5/7/21, 9:54:01 PM,%RH,98.565
5/7/21, 10:54:01 PM,%RH,103.742
5/7/21, 11:54:01 PM,%RH,105.046
5/8/21, 12:54:01 AM,%RH,105.414
5/8/21, 1:54:01 AM,%RH,105.836
5/8/21, 2:54:01 AM,%RH,106.303
5/8/21, 3:54:01 AM,%RH,105.836
5/8/21, 4:54:01 AM,%RH,106.448
5/8/21, 5:54:01 AM,%RH,107.325
5/8/21, 6:54:01 AM,%RH,106.813
5/8/21, 7:54:01 AM,%RH,82.34
5/8/21, 8:54:01 AM,%RH,54.27
5/8/21, 9:54:01 AM,%RH,47.112
5/8/21, 10:54:01 AM,%RH,41.546
5/8/21, 11:54:01 AM,%RH,40.481
5/8/21, 12:54:01 PM,%RH,-33.252
5/8/21, 1:54:01 PM,%RH,-33.196
5/8/21, 2:54:01 PM,%RH,-33.316
5/8/21, 3:54:01 PM,%RH,43.375
5/8/21, 4:54:01 PM,%RH,49.265
5/8/21, 5:54:01 PM,%RH,58.809
5/8/21, 6:54:01 PM,%RH,67.6
