1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000069B5FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:10:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:10:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19785
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:10:01 AM,%RH,104.235
4/27/21, 1:10:01 AM,%RH,103.813
4/27/21, 2:10:01 AM,%RH,104.319
4/27/21, 3:10:01 AM,%RH,103.813
4/27/21, 4:10:01 AM,%RH,104.235
4/27/21, 5:10:01 AM,%RH,104.098
4/27/21, 6:10:01 AM,%RH,104.56
4/27/21, 7:10:01 AM,%RH,105.083
4/27/21, 8:10:01 AM,%RH,103.598
4/27/21, 9:10:01 AM,%RH,98.434
4/27/21, 10:10:01 AM,%RH,94.45
4/27/21, 11:10:01 AM,%RH,29.43
4/27/21, 12:10:01 PM,%RH,31.93
4/27/21, 1:10:01 PM,%RH,25.428
4/27/21, 2:10:01 PM,%RH,22.862
4/27/21, 3:10:01 PM,%RH,22.108
4/27/21, 4:10:01 PM,%RH,21.68
4/27/21, 5:10:01 PM,%RH,24.787
4/27/21, 6:10:01 PM,%RH,32.006
4/27/21, 7:10:01 PM,%RH,41.552
4/27/21, 8:10:01 PM,%RH,44.999
4/27/21, 9:10:01 PM,%RH,43.729
4/27/21, 10:10:01 PM,%RH,39.88
4/27/21, 11:10:01 PM,%RH,38.011
4/28/21, 12:10:01 AM,%RH,43.091
4/28/21, 1:10:01 AM,%RH,44.289
4/28/21, 2:10:01 AM,%RH,50.411
4/28/21, 3:10:01 AM,%RH,49.319
4/28/21, 4:10:01 AM,%RH,45.075
4/28/21, 5:10:01 AM,%RH,44.092
4/28/21, 6:10:01 AM,%RH,45.708
4/28/21, 7:10:01 AM,%RH,38.464
4/28/21, 8:10:01 AM,%RH,24.843
4/28/21, 9:10:01 AM,%RH,15.206
4/28/21, 10:10:01 AM,%RH,11.695
4/28/21, 11:10:01 AM,%RH,14.623
4/28/21, 12:10:01 PM,%RH,12.059
4/28/21, 1:10:01 PM,%RH,14.384
4/28/21, 2:10:01 PM,%RH,11.469
4/28/21, 3:10:01 PM,%RH,10.736
4/28/21, 4:10:01 PM,%RH,10.219
4/28/21, 5:10:01 PM,%RH,13.121
4/28/21, 6:10:01 PM,%RH,17.453
4/28/21, 7:10:01 PM,%RH,20.497
4/28/21, 8:10:01 PM,%RH,23.672
4/28/21, 9:10:01 PM,%RH,18.706
4/28/21, 10:10:01 PM,%RH,17.232
4/28/21, 11:10:01 PM,%RH,16.577
4/29/21, 12:10:01 AM,%RH,21.849
4/29/21, 1:10:01 AM,%RH,24.698
4/29/21, 2:10:01 AM,%RH,30.607
4/29/21, 3:10:01 AM,%RH,33.118
4/29/21, 4:10:01 AM,%RH,29.716
4/29/21, 5:10:01 AM,%RH,41.154
4/29/21, 6:10:01 AM,%RH,37.276
4/29/21, 7:10:01 AM,%RH,33.023
4/29/21, 8:10:01 AM,%RH,14.512
4/29/21, 9:10:01 AM,%RH,12.475
4/29/21, 10:10:01 AM,%RH,8.888
4/29/21, 11:10:01 AM,%RH,10.518
4/29/21, 12:10:01 PM,%RH,10.134
4/29/21, 1:10:01 PM,%RH,10.915
4/29/21, 2:10:01 PM,%RH,8.906
4/29/21, 3:10:01 PM,%RH,9.609
4/29/21, 4:10:01 PM,%RH,10.178
4/29/21, 5:10:01 PM,%RH,15.733
4/29/21, 6:10:01 PM,%RH,20.598
4/29/21, 7:10:01 PM,%RH,30.327
4/29/21, 8:10:01 PM,%RH,36.608
4/29/21, 9:10:01 PM,%RH,39.169
4/29/21, 10:10:01 PM,%RH,41.713
4/29/21, 11:10:01 PM,%RH,42.862
4/30/21, 12:10:01 AM,%RH,42.17
4/30/21, 1:10:01 AM,%RH,37.628
4/30/21, 2:10:01 AM,%RH,33.07
4/30/21, 3:10:01 AM,%RH,31.669
4/30/21, 4:10:01 AM,%RH,36.877
4/30/21, 5:10:01 AM,%RH,38.585
4/30/21, 6:10:01 AM,%RH,42.792
4/30/21, 7:10:01 AM,%RH,32.931
4/30/21, 8:10:01 AM,%RH,14.384
4/30/21, 9:10:01 AM,%RH,12.743
4/30/21, 10:10:01 AM,%RH,11.222
4/30/21, 11:10:01 AM,%RH,10.761
4/30/21, 12:10:01 PM,%RH,11.09
4/30/21, 1:10:01 PM,%RH,11.261
4/30/21, 2:10:01 PM,%RH,10.392
4/30/21, 3:10:01 PM,%RH,10.222
4/30/21, 4:10:01 PM,%RH,13.023
4/30/21, 5:10:01 PM,%RH,14.091
4/30/21, 6:10:01 PM,%RH,17.113
4/30/21, 7:10:01 PM,%RH,22.969
4/30/21, 8:10:01 PM,%RH,29.441
4/30/21, 9:10:01 PM,%RH,35.988
4/30/21, 10:10:01 PM,%RH,42.9
4/30/21, 11:10:01 PM,%RH,46.717
5/1/21, 12:10:01 AM,%RH,46.072
5/1/21, 1:10:01 AM,%RH,48.147
5/1/21, 2:10:01 AM,%RH,46.969
5/1/21, 3:10:01 AM,%RH,46.969
5/1/21, 4:10:01 AM,%RH,45.391
5/1/21, 5:10:01 AM,%RH,51.647
5/1/21, 6:10:01 AM,%RH,54.562
5/1/21, 7:10:01 AM,%RH,49.346
5/1/21, 8:10:01 AM,%RH,27.497
5/1/21, 9:10:01 AM,%RH,16.802
5/1/21, 10:10:01 AM,%RH,15.351
5/1/21, 11:10:01 AM,%RH,20.69
5/1/21, 12:10:01 PM,%RH,21.184
5/1/21, 1:10:01 PM,%RH,22.431
5/1/21, 2:10:01 PM,%RH,21.728
5/1/21, 3:10:01 PM,%RH,25.116
5/1/21, 4:10:01 PM,%RH,30.234
5/1/21, 5:10:01 PM,%RH,34.073
5/1/21, 6:10:01 PM,%RH,40.343
5/1/21, 7:10:01 PM,%RH,54.553
5/1/21, 8:10:01 PM,%RH,61.761
5/1/21, 9:10:01 PM,%RH,62.901
5/1/21, 10:10:01 PM,%RH,64.975
5/1/21, 11:10:01 PM,%RH,69.355
5/2/21, 12:10:01 AM,%RH,73.159
5/2/21, 1:10:01 AM,%RH,71.904
5/2/21, 2:10:01 AM,%RH,75.181
5/2/21, 3:10:01 AM,%RH,77.255
5/2/21, 4:10:01 AM,%RH,89.461
5/2/21, 5:10:01 AM,%RH,86.723
5/2/21, 6:10:01 AM,%RH,81.94
5/2/21, 7:10:01 AM,%RH,85.132
5/2/21, 8:10:01 AM,%RH,47.61
5/2/21, 9:10:01 AM,%RH,25.789
5/2/21, 10:10:01 AM,%RH,24.163
5/2/21, 11:10:01 AM,%RH,33.509
5/2/21, 12:10:01 PM,%RH,31.648
5/2/21, 1:10:01 PM,%RH,28.46
5/2/21, 2:10:01 PM,%RH,28.516
5/2/21, 3:10:01 PM,%RH,32.382
5/2/21, 4:10:01 PM,%RH,33.564
5/2/21, 5:10:01 PM,%RH,38.626
5/2/21, 6:10:01 PM,%RH,49.687
5/2/21, 7:10:01 PM,%RH,64.191
5/2/21, 8:10:01 PM,%RH,70.793
5/2/21, 9:10:01 PM,%RH,77.79
5/2/21, 10:10:01 PM,%RH,80.354
5/2/21, 11:10:01 PM,%RH,82.494
5/3/21, 12:10:01 AM,%RH,83.485
5/3/21, 1:10:01 AM,%RH,79.275
5/3/21, 2:10:01 AM,%RH,81.358
5/3/21, 3:10:01 AM,%RH,91.044
5/3/21, 4:10:01 AM,%RH,92.052
5/3/21, 5:10:01 AM,%RH,92.553
5/3/21, 6:10:01 AM,%RH,90.031
5/3/21, 7:10:01 AM,%RH,74.798
5/3/21, 8:10:01 AM,%RH,24.952
5/3/21, 9:10:01 AM,%RH,19.821
5/3/21, 10:10:01 AM,%RH,16.902
5/3/21, 11:10:01 AM,%RH,17.526
5/3/21, 12:10:01 PM,%RH,17.324
5/3/21, 1:10:01 PM,%RH,14.528
5/3/21, 2:10:01 PM,%RH,14.432
5/3/21, 3:10:01 PM,%RH,15.98
5/3/21, 4:10:01 PM,%RH,17.684
5/3/21, 5:10:01 PM,%RH,21.514
5/3/21, 6:10:01 PM,%RH,20.544
5/3/21, 7:10:01 PM,%RH,34.275
5/3/21, 8:10:01 PM,%RH,41.927
5/3/21, 9:10:01 PM,%RH,53.236
5/3/21, 10:10:01 PM,%RH,51.282
5/3/21, 11:10:01 PM,%RH,48.675
5/4/21, 12:10:01 AM,%RH,48.147
5/4/21, 1:10:01 AM,%RH,46.037
5/4/21, 2:10:01 AM,%RH,43.503
5/4/21, 3:10:01 AM,%RH,43.357
5/4/21, 4:10:01 AM,%RH,44.413
5/4/21, 5:10:01 AM,%RH,51.085
5/4/21, 6:10:01 AM,%RH,45.677
5/4/21, 7:10:01 AM,%RH,41.591
5/4/21, 8:10:01 AM,%RH,16.661
5/4/21, 9:10:01 AM,%RH,12.61
5/4/21, 10:10:01 AM,%RH,11.219
5/4/21, 11:10:01 AM,%RH,15.06
5/4/21, 12:10:01 PM,%RH,12.976
5/4/21, 1:10:01 PM,%RH,16.703
5/4/21, 2:10:01 PM,%RH,14.623
5/4/21, 3:10:01 PM,%RH,14.623
5/4/21, 4:10:01 PM,%RH,12.2
5/4/21, 5:10:01 PM,%RH,16.815
5/4/21, 6:10:01 PM,%RH,26.011
5/4/21, 7:10:01 PM,%RH,35.713
5/4/21, 8:10:01 PM,%RH,46.457
5/4/21, 9:10:01 PM,%RH,50.161
5/4/21, 10:10:01 PM,%RH,53.704
5/4/21, 11:10:01 PM,%RH,59.234
5/5/21, 12:10:01 AM,%RH,51.156
5/5/21, 1:10:01 AM,%RH,51.788
5/5/21, 2:10:01 AM,%RH,51.721
5/5/21, 3:10:01 AM,%RH,53.026
5/5/21, 4:10:01 AM,%RH,55.848
