1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 540000006CB59041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:53:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:53:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22940
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:53:01 AM,C,6.106
4/27/21, 1:53:01 AM,C,6.608
4/27/21, 2:53:01 AM,C,7.11
4/27/21, 3:53:01 AM,C,6.106
4/27/21, 4:53:01 AM,C,5.102
4/27/21, 5:53:01 AM,C,4.6
4/27/21, 6:53:01 AM,C,4.6
4/27/21, 7:53:01 AM,C,8.114
4/27/21, 8:53:01 AM,C,15.634
4/27/21, 9:53:01 AM,C,16.635
4/27/21, 10:53:01 AM,C,22.642
4/27/21, 11:53:01 AM,C,25.143
4/27/21, 12:53:01 PM,C,26.142
4/27/21, 1:53:01 PM,C,24.143
4/27/21, 2:53:01 PM,C,26.142
4/27/21, 3:53:01 PM,C,24.143
4/27/21, 4:53:01 PM,C,22.142
4/27/21, 5:53:01 PM,C,18.638
4/27/21, 6:53:01 PM,C,17.136
4/27/21, 7:53:01 PM,C,15.634
4/27/21, 8:53:01 PM,C,15.133
4/27/21, 9:53:01 PM,C,15.133
4/27/21, 10:53:01 PM,C,16.635
4/27/21, 11:53:01 PM,C,14.632
4/28/21, 12:53:01 AM,C,15.133
4/28/21, 1:53:01 AM,C,13.128
4/28/21, 2:53:01 AM,C,13.629
4/28/21, 3:53:01 AM,C,17.136
4/28/21, 4:53:01 AM,C,17.637
4/28/21, 5:53:01 AM,C,16.135
4/28/21, 6:53:01 AM,C,16.635
4/28/21, 7:53:01 AM,C,28.142
4/28/21, 8:53:01 AM,C,28.641
4/28/21, 9:53:01 AM,C,30.14
4/28/21, 10:53:01 AM,C,32.637
4/28/21, 11:53:01 AM,C,31.139
4/28/21, 12:53:01 PM,C,31.638
4/28/21, 1:53:01 PM,C,32.637
