1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0F0000006CB83541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:43:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:43:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  22519
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:43:01 AM,C,5.055
4/27/21, 1:43:01 AM,C,6.559
4/27/21, 2:43:01 AM,C,6.559
4/27/21, 3:43:01 AM,C,4.052
4/27/21, 4:43:01 AM,C,3.551
4/27/21, 5:43:01 AM,C,4.052
4/27/21, 6:43:01 AM,C,3.049
4/27/21, 7:43:01 AM,C,7.562
4/27/21, 8:43:01 AM,C,16.078
4/27/21, 9:43:01 AM,C,18.581
4/27/21, 10:43:01 AM,C,24.084
4/27/21, 11:43:01 AM,C,25.584
4/27/21, 12:43:01 PM,C,26.084
4/27/21, 1:43:01 PM,C,25.084
4/27/21, 2:43:01 PM,C,27.584
4/27/21, 3:43:01 PM,C,26.584
4/27/21, 4:43:01 PM,C,20.582
4/27/21, 5:43:01 PM,C,18.08
4/27/21, 6:43:01 PM,C,17.079
4/27/21, 7:43:01 PM,C,15.577
4/27/21, 8:43:01 PM,C,14.075
4/27/21, 9:43:01 PM,C,14.576
4/27/21, 10:43:01 PM,C,14.576
4/27/21, 11:43:01 PM,C,14.576
4/28/21, 12:43:01 AM,C,13.073
4/28/21, 1:43:01 AM,C,12.573
4/28/21, 2:43:01 AM,C,12.072
4/28/21, 3:43:01 AM,C,16.078
4/28/21, 4:43:01 AM,C,16.579
4/28/21, 5:43:01 AM,C,14.075
4/28/21, 6:43:01 AM,C,15.577
4/28/21, 7:43:01 AM,C,27.584
4/28/21, 8:43:01 AM,C,30.582
4/28/21, 9:43:01 AM,C,32.081
4/28/21, 10:43:01 AM,C,33.08
4/28/21, 11:43:01 AM,C,32.58
4/28/21, 12:43:01 PM,C,32.58
4/28/21, 1:43:01 PM,C,33.579
4/28/21, 2:43:01 PM,C,35.576
4/28/21, 3:43:01 PM,C,31.581
4/28/21, 4:43:01 PM,C,27.584
4/28/21, 5:43:01 PM,C,26.584
4/28/21, 6:43:01 PM,C,24.084
4/28/21, 7:43:01 PM,C,21.583
4/28/21, 8:43:01 PM,C,18.08
4/28/21, 9:43:01 PM,C,20.582
4/28/21, 10:43:01 PM,C,18.08
4/28/21, 11:43:01 PM,C,17.58
4/29/21, 12:43:01 AM,C,15.577
4/29/21, 1:43:01 AM,C,14.075
4/29/21, 2:43:01 AM,C,10.068
4/29/21, 3:43:01 AM,C,12.573
4/29/21, 4:43:01 AM,C,10.068
4/29/21, 5:43:01 AM,C,12.072
4/29/21, 6:43:01 AM,C,11.07
4/29/21, 7:43:01 AM,C,29.583
4/29/21, 8:43:01 AM,C,35.077
4/29/21, 9:43:01 AM,C,40.068
4/29/21, 10:43:01 AM,C,40.068
4/29/21, 11:43:01 AM,C,40.567
4/29/21, 12:43:01 PM,C,38.571
4/29/21, 1:43:01 PM,C,40.567
4/29/21, 2:43:01 PM,C,40.567
4/29/21, 3:43:01 PM,C,38.072
4/29/21, 4:43:01 PM,C,33.579
4/29/21, 5:43:01 PM,C,29.583
4/29/21, 6:43:01 PM,C,26.084
4/29/21, 7:43:01 PM,C,22.083
4/29/21, 8:43:01 PM,C,19.582
4/29/21, 9:43:01 PM,C,17.58
4/29/21, 10:43:01 PM,C,13.574
4/29/21, 11:43:01 PM,C,13.574
4/30/21, 12:43:01 AM,C,13.574
4/30/21, 1:43:01 AM,C,14.576
4/30/21, 2:43:01 AM,C,14.576
4/30/21, 3:43:01 AM,C,12.072
4/30/21, 4:43:01 AM,C,12.573
4/30/21, 5:43:01 AM,C,13.574
4/30/21, 6:43:01 AM,C,12.573
4/30/21, 7:43:01 AM,C,28.583
4/30/21, 8:43:01 AM,C,37.074
4/30/21, 9:43:01 AM,C,41.066
4/30/21, 10:43:01 AM,C,43.061
4/30/21, 11:43:01 AM,C,42.563
4/30/21, 12:43:01 PM,C,41.565
4/30/21, 1:43:01 PM,C,42.064
4/30/21, 2:43:01 PM,C,40.567
4/30/21, 3:43:01 PM,C,37.573
4/30/21, 4:43:01 PM,C,32.081
4/30/21, 5:43:01 PM,C,30.082
4/30/21, 6:43:01 PM,C,27.584
4/30/21, 7:43:01 PM,C,24.084
4/30/21, 8:43:01 PM,C,20.582
4/30/21, 9:43:01 PM,C,16.078
4/30/21, 10:43:01 PM,C,15.077
4/30/21, 11:43:01 PM,C,16.078
5/1/21, 12:43:01 AM,C,14.576
5/1/21, 1:43:01 AM,C,15.577
5/1/21, 2:43:01 AM,C,13.073
5/1/21, 3:43:01 AM,C,15.077
5/1/21, 4:43:01 AM,C,11.571
5/1/21, 5:43:01 AM,C,10.068
5/1/21, 6:43:01 AM,C,11.07
5/1/21, 7:43:01 AM,C,19.081
5/1/21, 8:43:01 AM,C,29.083
5/1/21, 9:43:01 AM,C,34.578
5/1/21, 10:43:01 AM,C,31.581
5/1/21, 11:43:01 AM,C,35.077
5/1/21, 12:43:01 PM,C,35.576
5/1/21, 1:43:01 PM,C,33.579
5/1/21, 2:43:01 PM,C,33.579
5/1/21, 3:43:01 PM,C,30.582
5/1/21, 4:43:01 PM,C,26.584
5/1/21, 5:43:01 PM,C,22.083
5/1/21, 6:43:01 PM,C,20.082
5/1/21, 7:43:01 PM,C,17.58
5/1/21, 8:43:01 PM,C,14.576
5/1/21, 9:43:01 PM,C,11.571
5/1/21, 10:43:01 PM,C,9.567
5/1/21, 11:43:01 PM,C,9.065
5/2/21, 12:43:01 AM,C,8.564
5/2/21, 1:43:01 AM,C,8.564
5/2/21, 2:43:01 AM,C,6.559
5/2/21, 3:43:01 AM,C,7.061
5/2/21, 4:43:01 AM,C,7.061
5/2/21, 5:43:01 AM,C,6.559
5/2/21, 6:43:01 AM,C,9.065
5/2/21, 7:43:01 AM,C,15.077
5/2/21, 8:43:01 AM,C,27.584
5/2/21, 9:43:01 AM,C,27.584
5/2/21, 10:43:01 AM,C,29.583
5/2/21, 11:43:01 AM,C,30.082
5/2/21, 12:43:01 PM,C,31.082
5/2/21, 1:43:01 PM,C,33.08
5/2/21, 2:43:01 PM,C,29.583
5/2/21, 3:43:01 PM,C,27.084
5/2/21, 4:43:01 PM,C,23.084
5/2/21, 5:43:01 PM,C,19.582
5/2/21, 6:43:01 PM,C,18.08
5/2/21, 7:43:01 PM,C,15.577
5/2/21, 8:43:01 PM,C,12.573
5/2/21, 9:43:01 PM,C,11.07
5/2/21, 10:43:01 PM,C,12.072
5/2/21, 11:43:01 PM,C,11.571
5/3/21, 12:43:01 AM,C,12.072
5/3/21, 1:43:01 AM,C,12.072
5/3/21, 2:43:01 AM,C,10.569
5/3/21, 3:43:01 AM,C,9.567
5/3/21, 4:43:01 AM,C,9.065
5/3/21, 5:43:01 AM,C,9.065
5/3/21, 6:43:01 AM,C,8.063
5/3/21, 7:43:01 AM,C,23.584
5/3/21, 8:43:01 AM,C,35.077
5/3/21, 9:43:01 AM,C,38.072
5/3/21, 10:43:01 AM,C,36.575
5/3/21, 11:43:01 AM,C,36.575
5/3/21, 12:43:01 PM,C,38.571
5/3/21, 1:43:01 PM,C,40.567
5/3/21, 2:43:01 PM,C,36.575
5/3/21, 3:43:01 PM,C,33.08
5/3/21, 4:43:01 PM,C,29.083
5/3/21, 5:43:01 PM,C,26.584
5/3/21, 6:43:01 PM,C,24.584
5/3/21, 7:43:01 PM,C,20.582
5/3/21, 8:43:01 PM,C,17.58
5/3/21, 9:43:01 PM,C,13.574
5/3/21, 10:43:01 PM,C,12.072
5/3/21, 11:43:01 PM,C,11.571
5/4/21, 12:43:01 AM,C,11.571
5/4/21, 1:43:01 AM,C,9.065
5/4/21, 2:43:01 AM,C,8.564
5/4/21, 3:43:01 AM,C,8.063
5/4/21, 4:43:01 AM,C,8.063
5/4/21, 5:43:01 AM,C,7.562
5/4/21, 6:43:01 AM,C,6.058
5/4/21, 7:43:01 AM,C,25.584
5/4/21, 8:43:01 AM,C,32.081
5/4/21, 9:43:01 AM,C,37.074
5/4/21, 10:43:01 AM,C,37.074
5/4/21, 11:43:01 AM,C,36.575
5/4/21, 12:43:01 PM,C,38.072
5/4/21, 1:43:01 PM,C,37.573
5/4/21, 2:43:01 PM,C,38.072
5/4/21, 3:43:01 PM,C,36.076
5/4/21, 4:43:01 PM,C,30.582
5/4/21, 5:43:01 PM,C,27.584
5/4/21, 6:43:01 PM,C,25.584
5/4/21, 7:43:01 PM,C,21.083
5/4/21, 8:43:01 PM,C,16.579
5/4/21, 9:43:01 PM,C,14.576
5/4/21, 10:43:01 PM,C,13.574
5/4/21, 11:43:01 PM,C,14.576
5/5/21, 12:43:01 AM,C,14.075
5/5/21, 1:43:01 AM,C,13.073
5/5/21, 2:43:01 AM,C,11.07
5/5/21, 3:43:01 AM,C,11.571
5/5/21, 4:43:01 AM,C,10.569
5/5/21, 5:43:01 AM,C,8.063
5/5/21, 6:43:01 AM,C,9.567
5/5/21, 7:43:01 AM,C,27.584
5/5/21, 8:43:01 AM,C,34.078
5/5/21, 9:43:01 AM,C,39.07
5/5/21, 10:43:01 AM,C,39.569
5/5/21, 11:43:01 AM,C,38.571
5/5/21, 12:43:01 PM,C,39.07
5/5/21, 1:43:01 PM,C,38.072
5/5/21, 2:43:01 PM,C,38.072
5/5/21, 3:43:01 PM,C,37.074
5/5/21, 4:43:01 PM,C,31.082
5/5/21, 5:43:01 PM,C,28.583
5/5/21, 6:43:01 PM,C,25.584
5/5/21, 7:43:01 PM,C,22.083
5/5/21, 8:43:01 PM,C,16.579
5/5/21, 9:43:01 PM,C,13.574
5/5/21, 10:43:01 PM,C,13.574
5/5/21, 11:43:01 PM,C,10.569
5/6/21, 12:43:01 AM,C,12.072
5/6/21, 1:43:01 AM,C,11.07
5/6/21, 2:43:01 AM,C,11.07
5/6/21, 3:43:01 AM,C,11.07
5/6/21, 4:43:01 AM,C,10.569
5/6/21, 5:43:01 AM,C,6.559
5/6/21, 6:43:01 AM,C,7.562
5/6/21, 7:43:01 AM,C,24.084
5/6/21, 8:43:01 AM,C,29.583
5/6/21, 9:43:01 AM,C,32.081
5/6/21, 10:43:01 AM,C,32.58
5/6/21, 11:43:01 AM,C,30.582
5/6/21, 12:43:01 PM,C,33.08
5/6/21, 1:43:01 PM,C,33.08
5/6/21, 2:43:01 PM,C,34.578
5/6/21, 3:43:01 PM,C,30.582
5/6/21, 4:43:01 PM,C,24.084
5/6/21, 5:43:01 PM,C,20.582
5/6/21, 6:43:01 PM,C,18.581
5/6/21, 7:43:01 PM,C,16.078
5/6/21, 8:43:01 PM,C,14.075
5/6/21, 9:43:01 PM,C,11.571
5/6/21, 10:43:01 PM,C,10.569
5/6/21, 11:43:01 PM,C,10.068
5/7/21, 12:43:01 AM,C,9.567
5/7/21, 1:43:01 AM,C,11.571
5/7/21, 2:43:01 AM,C,11.571
5/7/21, 3:43:01 AM,C,11.571
5/7/21, 4:43:01 AM,C,11.571
5/7/21, 5:43:01 AM,C,11.571
5/7/21, 6:43:01 AM,C,11.571
5/7/21, 7:43:01 AM,C,12.573
5/7/21, 8:43:01 AM,C,14.576
5/7/21, 9:43:01 AM,C,17.58
5/7/21, 10:43:01 AM,C,25.084
5/7/21, 11:43:01 AM,C,28.083
5/7/21, 12:43:01 PM,C,29.583
5/7/21, 1:43:01 PM,C,30.082
5/7/21, 2:43:01 PM,C,29.583
5/7/21, 3:43:01 PM,C,29.083
5/7/21, 4:43:01 PM,C,23.084
5/7/21, 5:43:01 PM,C,20.082
5/7/21, 6:43:01 PM,C,18.581
5/7/21, 7:43:01 PM,C,15.577
5/7/21, 8:43:01 PM,C,13.073
5/7/21, 9:43:01 PM,C,11.07
5/7/21, 10:43:01 PM,C,10.068
5/7/21, 11:43:01 PM,C,8.564
5/8/21, 12:43:01 AM,C,7.562
5/8/21, 1:43:01 AM,C,7.061
5/8/21, 2:43:01 AM,C,6.559
5/8/21, 3:43:01 AM,C,7.061
5/8/21, 4:43:01 AM,C,8.063
5/8/21, 5:43:01 AM,C,6.058
5/8/21, 6:43:01 AM,C,7.061
5/8/21, 7:43:01 AM,C,20.082
5/8/21, 8:43:01 AM,C,26.584
5/8/21, 9:43:01 AM,C,30.582
5/8/21, 10:43:01 AM,C,30.082
5/8/21, 11:43:01 AM,C,31.082
5/8/21, 12:43:01 PM,C,31.581
5/8/21, 1:43:01 PM,C,33.08
5/8/21, 2:43:01 PM,C,33.08
5/8/21, 3:43:01 PM,C,30.082
5/8/21, 4:43:01 PM,C,25.084
5/8/21, 5:43:01 PM,C,22.583
5/8/21, 6:43:01 PM,C,20.082
5/8/21, 7:43:01 PM,C,17.58
5/8/21, 8:43:01 PM,C,15.077
5/8/21, 9:43:01 PM,C,11.571
5/8/21, 10:43:01 PM,C,9.567
5/8/21, 11:43:01 PM,C,10.068
5/9/21, 12:43:01 AM,C,6.559
5/9/21, 1:43:01 AM,C,7.562
5/9/21, 2:43:01 AM,C,7.562
5/9/21, 3:43:01 AM,C,6.559
5/9/21, 4:43:01 AM,C,5.055
5/9/21, 5:43:01 AM,C,5.055
5/9/21, 6:43:01 AM,C,7.061
5/9/21, 7:43:01 AM,C,20.082
5/9/21, 8:43:01 AM,C,28.083
5/9/21, 9:43:01 AM,C,29.583
5/9/21, 10:43:01 AM,C,30.582
5/9/21, 11:43:01 AM,C,30.082
5/9/21, 12:43:01 PM,C,31.082
5/9/21, 1:43:01 PM,C,31.082
5/9/21, 2:43:01 PM,C,32.081
5/9/21, 3:43:01 PM,C,28.583
5/9/21, 4:43:01 PM,C,23.584
5/9/21, 5:43:01 PM,C,21.083
5/9/21, 6:43:01 PM,C,19.081
5/9/21, 7:43:01 PM,C,16.579
5/9/21, 8:43:01 PM,C,14.075
5/9/21, 9:43:01 PM,C,12.072
5/9/21, 10:43:01 PM,C,10.569
5/9/21, 11:43:01 PM,C,9.567
5/10/21, 12:43:01 AM,C,8.564
5/10/21, 1:43:01 AM,C,12.072
5/10/21, 2:43:01 AM,C,12.573
5/10/21, 3:43:01 AM,C,13.073
5/10/21, 4:43:01 AM,C,13.073
5/10/21, 5:43:01 AM,C,13.073
5/10/21, 6:43:01 AM,C,13.574
5/10/21, 7:43:01 AM,C,16.579
5/10/21, 8:43:01 AM,C,19.582
5/10/21, 9:43:01 AM,C,29.083
5/10/21, 10:43:01 AM,C,31.082
5/10/21, 11:43:01 AM,C,30.582
