1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE00000069B68241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:12:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:12:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19784
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:12:01 AM,C,4.579
4/27/21, 1:12:01 AM,C,6.087
4/27/21, 2:12:01 AM,C,6.59
4/27/21, 3:12:01 AM,C,5.585
4/27/21, 4:12:01 AM,C,4.579
4/27/21, 5:12:01 AM,C,3.071
4/27/21, 6:12:01 AM,C,3.071
4/27/21, 7:12:01 AM,C,3.574
4/27/21, 8:12:01 AM,C,9.101
4/27/21, 9:12:01 AM,C,15.623
4/27/21, 10:12:01 AM,C,18.128
4/27/21, 11:12:01 AM,C,27.134
4/27/21, 12:12:01 PM,C,33.126
4/27/21, 1:12:01 PM,C,33.625
4/27/21, 2:12:01 PM,C,35.121
4/27/21, 3:12:01 PM,C,34.124
4/27/21, 4:12:01 PM,C,30.131
4/27/21, 5:12:01 PM,C,25.635
4/27/21, 6:12:01 PM,C,21.633
4/27/21, 7:12:01 PM,C,16.625
4/27/21, 8:12:01 PM,C,14.62
4/27/21, 9:12:01 PM,C,13.617
4/27/21, 10:12:01 PM,C,14.62
4/27/21, 11:12:01 PM,C,15.122
4/28/21, 12:12:01 AM,C,14.119
4/28/21, 1:12:01 AM,C,14.119
4/28/21, 2:12:01 AM,C,12.614
4/28/21, 3:12:01 AM,C,12.614
4/28/21, 4:12:01 AM,C,16.124
4/28/21, 5:12:01 AM,C,15.122
4/28/21, 6:12:01 AM,C,13.116
4/28/21, 7:12:01 AM,C,14.62
4/28/21, 8:12:01 AM,C,21.633
4/28/21, 9:12:01 AM,C,29.133
4/28/21, 10:12:01 AM,C,38.61
4/28/21, 11:12:01 AM,C,39.108
4/28/21, 12:12:01 PM,C,40.602
4/28/21, 1:12:01 PM,C,40.104
4/28/21, 2:12:01 PM,C,43.589
4/28/21, 3:12:01 PM,C,41.1
4/28/21, 4:12:01 PM,C,37.614
4/28/21, 5:12:01 PM,C,34.124
4/28/21, 6:12:01 PM,C,28.633
4/28/21, 7:12:01 PM,C,23.635
4/28/21, 8:12:01 PM,C,20.132
4/28/21, 9:12:01 PM,C,19.13
4/28/21, 10:12:01 PM,C,18.629
4/28/21, 11:12:01 PM,C,20.632
4/29/21, 12:12:01 AM,C,16.625
4/29/21, 1:12:01 AM,C,14.62
4/29/21, 2:12:01 AM,C,12.113
4/29/21, 3:12:01 AM,C,10.105
4/29/21, 4:12:01 AM,C,11.611
4/29/21, 5:12:01 AM,C,8.599
4/29/21, 6:12:01 AM,C,11.109
4/29/21, 7:12:01 AM,C,11.109
4/29/21, 8:12:01 AM,C,21.633
4/29/21, 9:12:01 AM,C,37.115
4/29/21, 10:12:01 AM,C,43.091
4/29/21, 11:12:01 AM,C,44.086
4/29/21, 12:12:01 PM,C,45.081
4/29/21, 1:12:01 PM,C,46.075
4/29/21, 2:12:01 PM,C,45.081
4/29/21, 3:12:01 PM,C,46.573
4/29/21, 4:12:01 PM,C,44.584
4/29/21, 5:12:01 PM,C,37.115
4/29/21, 6:12:01 PM,C,31.13
4/29/21, 7:12:01 PM,C,25.135
4/29/21, 8:12:01 PM,C,16.625
4/29/21, 9:12:01 PM,C,20.132
4/29/21, 10:12:01 PM,C,16.625
4/29/21, 11:12:01 PM,C,14.119
4/30/21, 12:12:01 AM,C,13.617
4/30/21, 1:12:01 AM,C,12.614
4/30/21, 2:12:01 AM,C,12.614
4/30/21, 3:12:01 AM,C,13.617
4/30/21, 4:12:01 AM,C,12.614
4/30/21, 5:12:01 AM,C,11.611
4/30/21, 6:12:01 AM,C,10.105
4/30/21, 7:12:01 AM,C,10.607
4/30/21, 8:12:01 AM,C,22.634
4/30/21, 9:12:01 AM,C,38.61
4/30/21, 10:12:01 AM,C,44.086
4/30/21, 11:12:01 AM,C,44.584
4/30/21, 12:12:01 PM,C,47.07
4/30/21, 1:12:01 PM,C,46.075
4/30/21, 2:12:01 PM,C,44.584
4/30/21, 3:12:01 PM,C,42.096
4/30/21, 4:12:01 PM,C,40.104
4/30/21, 5:12:01 PM,C,36.617
4/30/21, 6:12:01 PM,C,32.128
4/30/21, 7:12:01 PM,C,27.134
4/30/21, 8:12:01 PM,C,23.134
4/30/21, 9:12:01 PM,C,20.632
4/30/21, 10:12:01 PM,C,15.122
4/30/21, 11:12:01 PM,C,13.116
5/1/21, 12:12:01 AM,C,14.119
5/1/21, 1:12:01 AM,C,12.113
5/1/21, 2:12:01 AM,C,13.116
5/1/21, 3:12:01 AM,C,12.113
