1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C00000069B9B241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:22:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:22:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19796
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:22:01 AM,C,4.544
4/27/21, 1:22:01 AM,C,6.554
4/27/21, 2:22:01 AM,C,6.554
4/27/21, 3:22:01 AM,C,4.544
4/27/21, 4:22:01 AM,C,5.047
4/27/21, 5:22:01 AM,C,3.539
4/27/21, 6:22:01 AM,C,3.036
4/27/21, 7:22:01 AM,C,4.042
4/27/21, 8:22:01 AM,C,13.581
4/27/21, 9:22:01 AM,C,18.091
4/27/21, 10:22:01 AM,C,21.096
4/27/21, 11:22:01 AM,C,33.09
4/27/21, 12:22:01 PM,C,27.597
4/27/21, 1:22:01 PM,C,29.096
4/27/21, 2:22:01 PM,C,30.095
4/27/21, 3:22:01 PM,C,26.597
4/27/21, 4:22:01 PM,C,21.596
4/27/21, 5:22:01 PM,C,18.592
4/27/21, 6:22:01 PM,C,17.089
4/27/21, 7:22:01 PM,C,15.586
4/27/21, 8:22:01 PM,C,14.082
4/27/21, 9:22:01 PM,C,14.082
4/27/21, 10:22:01 PM,C,15.085
4/27/21, 11:22:01 PM,C,14.082
4/28/21, 12:22:01 AM,C,13.581
4/28/21, 1:22:01 AM,C,12.578
4/28/21, 2:22:01 AM,C,11.574
4/28/21, 3:22:01 AM,C,13.079
4/28/21, 4:22:01 AM,C,16.087
4/28/21, 5:22:01 AM,C,15.085
4/28/21, 6:22:01 AM,C,14.584
4/28/21, 7:22:01 AM,C,15.085
4/28/21, 8:22:01 AM,C,28.596
4/28/21, 9:22:01 AM,C,30.095
4/28/21, 10:22:01 AM,C,32.591
4/28/21, 11:22:01 AM,C,33.09
4/28/21, 12:22:01 PM,C,35.584
4/28/21, 1:22:01 PM,C,38.077
4/28/21, 2:22:01 PM,C,41.066
4/28/21, 3:22:01 PM,C,35.584
4/28/21, 4:22:01 PM,C,29.096
4/28/21, 5:22:01 PM,C,27.097
4/28/21, 6:22:01 PM,C,24.598
4/28/21, 7:22:01 PM,C,23.097
4/28/21, 8:22:01 PM,C,18.592
4/28/21, 9:22:01 PM,C,19.093
4/28/21, 10:22:01 PM,C,17.59
4/28/21, 11:22:01 PM,C,20.595
4/29/21, 12:22:01 AM,C,15.586
4/29/21, 1:22:01 AM,C,14.584
4/29/21, 2:22:01 AM,C,13.079
4/29/21, 3:22:01 AM,C,9.567
4/29/21, 4:22:01 AM,C,11.073
4/29/21, 5:22:01 AM,C,8.563
4/29/21, 6:22:01 AM,C,10.069
4/29/21, 7:22:01 AM,C,12.076
4/29/21, 8:22:01 AM,C,29.595
4/29/21, 9:22:01 AM,C,34.586
4/29/21, 10:22:01 AM,C,42.559
4/29/21, 11:22:01 AM,C,46.54
4/29/21, 12:22:01 PM,C,44.55
4/29/21, 1:22:01 PM,C,46.54
4/29/21, 2:22:01 PM,C,43.057
4/29/21, 3:22:01 PM,C,39.073
4/29/21, 4:22:01 PM,C,35.584
4/29/21, 5:22:01 PM,C,31.093
4/29/21, 6:22:01 PM,C,27.597
4/29/21, 7:22:01 PM,C,23.597
4/29/21, 8:22:01 PM,C,16.588
4/29/21, 9:22:01 PM,C,17.59
