1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 080000006D9F9941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:51:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:51:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  23756
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:51:01 AM,C,4.518
4/27/21, 1:51:01 AM,C,6.523
4/27/21, 2:51:01 AM,C,7.024
4/27/21, 3:51:01 AM,C,3.515
4/27/21, 4:51:01 AM,C,2.512
4/27/21, 5:51:01 AM,C,3.014
4/27/21, 6:51:01 AM,C,2.512
4/27/21, 7:51:01 AM,C,7.024
4/27/21, 8:51:01 AM,C,16.039
4/27/21, 9:51:01 AM,C,19.543
4/27/21, 10:51:01 AM,C,25.045
4/27/21, 11:51:01 AM,C,29.044
4/27/21, 12:51:01 PM,C,33.042
4/27/21, 1:51:01 PM,C,32.042
4/27/21, 2:51:01 PM,C,35.04
4/27/21, 3:51:01 PM,C,36.038
4/27/21, 4:51:01 PM,C,29.044
4/27/21, 5:51:01 PM,C,19.042
4/27/21, 6:51:01 PM,C,17.04
4/27/21, 7:51:01 PM,C,15.038
4/27/21, 8:51:01 PM,C,14.037
4/27/21, 9:51:01 PM,C,14.537
4/27/21, 10:51:01 PM,C,15.038
4/27/21, 11:51:01 PM,C,15.038
4/28/21, 12:51:01 AM,C,13.035
4/28/21, 1:51:01 AM,C,10.531
4/28/21, 2:51:01 AM,C,11.533
4/28/21, 3:51:01 AM,C,15.539
4/28/21, 4:51:01 AM,C,16.039
4/28/21, 5:51:01 AM,C,13.536
4/28/21, 6:51:01 AM,C,15.038
4/28/21, 7:51:01 AM,C,22.544
4/28/21, 8:51:01 AM,C,30.044
4/28/21, 9:51:01 AM,C,34.54
4/28/21, 10:51:01 AM,C,39.034
4/28/21, 11:51:01 AM,C,37.536
4/28/21, 12:51:01 PM,C,38.535
4/28/21, 1:51:01 PM,C,40.032
4/28/21, 2:51:01 PM,C,43.026
4/28/21, 3:51:01 PM,C,43.026
4/28/21, 4:51:01 PM,C,36.538
4/28/21, 5:51:01 PM,C,26.545
4/28/21, 6:51:01 PM,C,24.045
4/28/21, 7:51:01 PM,C,21.044
4/28/21, 8:51:01 PM,C,17.04
4/28/21, 9:51:01 PM,C,18.542
