1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:54:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:54:01 PDT 2021
Total Mission Samples:  14916
Total Device Samples:  23706
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:54:01 AM,C,5.071
4/27/21, 1:54:01 AM,C,6.576
4/27/21, 2:54:01 AM,C,7.077
4/27/21, 3:54:01 AM,C,5.071
4/27/21, 4:54:01 AM,C,3.064
4/27/21, 5:54:01 AM,C,4.569
4/27/21, 6:54:01 AM,C,4.569
4/27/21, 7:54:01 AM,C,9.584
4/27/21, 8:54:01 AM,C,17.099
4/27/21, 9:54:01 AM,C,20.103
4/27/21, 10:54:01 AM,C,29.105
4/27/21, 11:54:01 AM,C,29.105
4/27/21, 12:54:01 PM,C,34.1
4/27/21, 1:54:01 PM,C,31.103
4/27/21, 2:54:01 PM,C,31.603
4/27/21, 3:54:01 PM,C,30.104
4/27/21, 4:54:01 PM,C,23.605
4/27/21, 5:54:01 PM,C,18.601
4/27/21, 6:54:01 PM,C,16.599
4/27/21, 7:54:01 PM,C,15.096
4/27/21, 8:54:01 PM,C,14.094
4/27/21, 9:54:01 PM,C,14.595
4/27/21, 10:54:01 PM,C,15.597
4/27/21, 11:54:01 PM,C,15.096
4/28/21, 12:54:01 AM,C,14.595
4/28/21, 1:54:01 AM,C,13.092
4/28/21, 2:54:01 AM,C,12.591
4/28/21, 3:54:01 AM,C,16.098
4/28/21, 4:54:01 AM,C,16.599
4/28/21, 5:54:01 AM,C,15.597
4/28/21, 6:54:01 AM,C,15.597
4/28/21, 7:54:01 AM,C,26.105
4/28/21, 8:54:01 AM,C,30.603
4/28/21, 9:54:01 AM,C,31.103
4/28/21, 10:54:01 AM,C,35.597
4/28/21, 11:54:01 AM,C,35.597
4/28/21, 12:54:01 PM,C,39.091
4/28/21, 1:54:01 PM,C,40.088
4/28/21, 2:54:01 PM,C,38.093
4/28/21, 3:54:01 PM,C,35.597
4/28/21, 4:54:01 PM,C,30.603
4/28/21, 5:54:01 PM,C,26.105
4/28/21, 6:54:01 PM,C,24.605
4/28/21, 7:54:01 PM,C,22.104
4/28/21, 8:54:01 PM,C,20.603
4/28/21, 9:54:01 PM,C,20.103
4/28/21, 10:54:01 PM,C,20.103
4/28/21, 11:54:01 PM,C,19.102
4/29/21, 12:54:01 AM,C,18.601
4/29/21, 1:54:01 AM,C,13.593
4/29/21, 2:54:01 AM,C,10.587
4/29/21, 3:54:01 AM,C,15.096
4/29/21, 4:54:01 AM,C,12.591
4/29/21, 5:54:01 AM,C,14.094
4/29/21, 6:54:01 AM,C,13.092
4/29/21, 7:54:01 AM,C,25.605
4/29/21, 8:54:01 AM,C,32.602
4/29/21, 9:54:01 AM,C,39.589
4/29/21, 10:54:01 AM,C,40.088
4/29/21, 11:54:01 AM,C,42.582
4/29/21, 12:54:01 PM,C,42.582
4/29/21, 1:54:01 PM,C,45.573
4/29/21, 2:54:01 PM,C,44.576
4/29/21, 3:54:01 PM,C,43.08
4/29/21, 4:54:01 PM,C,36.596
4/29/21, 5:54:01 PM,C,29.604
4/29/21, 6:54:01 PM,C,25.605
4/29/21, 7:54:01 PM,C,21.604
4/29/21, 8:54:01 PM,C,18.601
4/29/21, 9:54:01 PM,C,17.099
4/29/21, 10:54:01 PM,C,15.096
4/29/21, 11:54:01 PM,C,17.6
4/30/21, 12:54:01 AM,C,17.099
4/30/21, 1:54:01 AM,C,20.103
4/30/21, 2:54:01 AM,C,17.099
4/30/21, 3:54:01 AM,C,14.595
4/30/21, 4:54:01 AM,C,15.096
4/30/21, 5:54:01 AM,C,14.595
4/30/21, 6:54:01 AM,C,14.094
4/30/21, 7:54:01 AM,C,27.605
4/30/21, 8:54:01 AM,C,38.093
4/30/21, 9:54:01 AM,C,42.582
4/30/21, 10:54:01 AM,C,47.068
4/30/21, 11:54:01 AM,C,47.068
4/30/21, 12:54:01 PM,C,48.064
4/30/21, 1:54:01 PM,C,47.068
4/30/21, 2:54:01 PM,C,44.576
4/30/21, 3:54:01 PM,C,42.083
4/30/21, 4:54:01 PM,C,36.596
4/30/21, 5:54:01 PM,C,30.603
4/30/21, 6:54:01 PM,C,28.105
4/30/21, 7:54:01 PM,C,23.605
4/30/21, 8:54:01 PM,C,20.603
4/30/21, 9:54:01 PM,C,16.098
4/30/21, 10:54:01 PM,C,14.595
4/30/21, 11:54:01 PM,C,17.099
5/1/21, 12:54:01 AM,C,14.094
5/1/21, 1:54:01 AM,C,15.597
5/1/21, 2:54:01 AM,C,15.597
5/1/21, 3:54:01 AM,C,15.597
5/1/21, 4:54:01 AM,C,12.09
5/1/21, 5:54:01 AM,C,10.587
5/1/21, 6:54:01 AM,C,10.587
5/1/21, 7:54:01 AM,C,21.104
5/1/21, 8:54:01 AM,C,32.102
5/1/21, 9:54:01 AM,C,34.1
5/1/21, 10:54:01 AM,C,33.101
5/1/21, 11:54:01 AM,C,40.587
5/1/21, 12:54:01 PM,C,38.592
5/1/21, 1:54:01 PM,C,34.1
5/1/21, 2:54:01 PM,C,35.597
5/1/21, 3:54:01 PM,C,31.103
5/1/21, 4:54:01 PM,C,27.605
5/1/21, 5:54:01 PM,C,22.605
5/1/21, 6:54:01 PM,C,19.602
5/1/21, 7:54:01 PM,C,17.099
5/1/21, 8:54:01 PM,C,14.094
5/1/21, 9:54:01 PM,C,11.589
5/1/21, 10:54:01 PM,C,10.086
5/1/21, 11:54:01 PM,C,8.581
5/2/21, 12:54:01 AM,C,8.581
5/2/21, 1:54:01 AM,C,8.08
5/2/21, 2:54:01 AM,C,6.576
5/2/21, 3:54:01 AM,C,7.077
5/2/21, 4:54:01 AM,C,6.074
5/2/21, 5:54:01 AM,C,6.576
5/2/21, 6:54:01 AM,C,10.086
5/2/21, 7:54:01 AM,C,14.595
5/2/21, 8:54:01 AM,C,25.105
5/2/21, 9:54:01 AM,C,30.603
5/2/21, 10:54:01 AM,C,31.603
5/2/21, 11:54:01 AM,C,33.6
5/2/21, 12:54:01 PM,C,33.6
5/2/21, 1:54:01 PM,C,34.1
5/2/21, 2:54:01 PM,C,31.603
5/2/21, 3:54:01 PM,C,29.105
5/2/21, 4:54:01 PM,C,25.605
5/2/21, 5:54:01 PM,C,20.103
5/2/21, 6:54:01 PM,C,17.6
5/2/21, 7:54:01 PM,C,15.096
5/2/21, 8:54:01 PM,C,12.591
5/2/21, 9:54:01 PM,C,11.088
5/2/21, 10:54:01 PM,C,11.589
5/2/21, 11:54:01 PM,C,11.589
5/3/21, 12:54:01 AM,C,11.589
5/3/21, 1:54:01 AM,C,11.088
5/3/21, 2:54:01 AM,C,10.086
5/3/21, 3:54:01 AM,C,9.083
