1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FD00000069B84041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:21:01 PDT 2020
Mission Sample Count:  2590
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:21:01 PDT 2020
Total Mission Samples:  2590
Total Device Samples:  9066
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:21:01 PM,%RH,93.793
4/10/20 6:21:01 PM,%RH,97.911
4/10/20 7:21:01 PM,%RH,99.395
4/10/20 8:21:01 PM,%RH,100.875
4/10/20 9:21:01 PM,%RH,99.884
4/10/20 10:21:01 PM,%RH,99.884
4/10/20 11:21:01 PM,%RH,99.39
4/11/20 12:21:01 AM,%RH,99.887
4/11/20 1:21:01 AM,%RH,100.885
4/11/20 2:21:01 AM,%RH,100.39
4/11/20 3:21:01 AM,%RH,100.399
4/11/20 4:21:01 AM,%RH,99.852
4/11/20 5:21:01 AM,%RH,98.234
4/11/20 6:21:01 AM,%RH,97.746
4/11/20 7:21:01 AM,%RH,98.641
4/11/20 8:21:01 AM,%RH,98.72
4/11/20 9:21:01 AM,%RH,100.39
4/11/20 10:21:01 AM,%RH,99.394
4/11/20 11:21:01 AM,%RH,99.456
4/11/20 12:21:01 PM,%RH,98.558
4/11/20 1:21:01 PM,%RH,98.159
4/11/20 2:21:01 PM,%RH,97.737
4/11/20 3:21:01 PM,%RH,96.822
4/11/20 4:21:01 PM,%RH,97.373
4/11/20 5:21:01 PM,%RH,97.373
4/11/20 6:21:01 PM,%RH,97.279
4/11/20 7:21:01 PM,%RH,96.654
4/11/20 8:21:01 PM,%RH,96.553
4/11/20 9:21:01 PM,%RH,95.968
4/11/20 10:21:01 PM,%RH,94.893
4/11/20 11:21:01 PM,%RH,95.376
4/12/20 12:21:01 AM,%RH,95.366
4/12/20 1:21:01 AM,%RH,93.822
4/12/20 2:21:01 AM,%RH,93.301
4/12/20 3:21:01 AM,%RH,92.779
4/12/20 4:21:01 AM,%RH,91.217
4/12/20 5:21:01 AM,%RH,91.214
4/12/20 6:21:01 AM,%RH,89.637
4/12/20 7:21:01 AM,%RH,88.575
4/12/20 8:21:01 AM,%RH,88.575
4/12/20 9:21:01 AM,%RH,86.437
4/12/20 10:21:01 AM,%RH,85.898
4/12/20 11:21:01 AM,%RH,85.898
4/12/20 12:21:01 PM,%RH,84.816
4/12/20 1:21:01 PM,%RH,83.735
4/12/20 2:21:01 PM,%RH,83.189
4/12/20 3:21:01 PM,%RH,82.085
4/12/20 4:21:01 PM,%RH,83.182
4/12/20 5:21:01 PM,%RH,82.085
4/12/20 6:21:01 PM,%RH,81.534
4/12/20 7:21:01 PM,%RH,80.975
4/12/20 8:21:01 PM,%RH,80.421
4/12/20 9:21:01 PM,%RH,80.975
4/12/20 10:21:01 PM,%RH,81.534
4/12/20 11:21:01 PM,%RH,81.534
4/13/20 12:21:01 AM,%RH,80.421
4/13/20 1:21:01 AM,%RH,78.804
4/13/20 2:21:01 AM,%RH,79.267
4/13/20 3:21:01 AM,%RH,77.631
4/13/20 4:21:01 AM,%RH,78.723
4/13/20 5:21:01 AM,%RH,77.083
4/13/20 6:21:01 AM,%RH,77.631
4/13/20 7:21:01 AM,%RH,78.099
4/13/20 8:21:01 AM,%RH,78.178
4/13/20 9:21:01 AM,%RH,78.757
4/13/20 10:21:01 AM,%RH,80.493
4/13/20 11:21:01 AM,%RH,81.633
4/13/20 12:21:01 PM,%RH,81.063
4/13/20 1:21:01 PM,%RH,81.633
4/13/20 2:21:01 PM,%RH,80.554
4/13/20 3:21:01 PM,%RH,80.002
4/13/20 4:21:01 PM,%RH,80.002
4/13/20 5:21:01 PM,%RH,78.868
4/13/20 6:21:01 PM,%RH,78.289
4/13/20 7:21:01 PM,%RH,77.709
4/13/20 8:21:01 PM,%RH,77.112
4/13/20 9:21:01 PM,%RH,77.083
4/13/20 10:21:01 PM,%RH,77.626
4/13/20 11:21:01 PM,%RH,74.955
4/14/20 12:21:01 AM,%RH,74.955
4/14/20 1:21:01 AM,%RH,74.319
4/14/20 2:21:01 AM,%RH,74.24
4/14/20 3:21:01 AM,%RH,73.683
4/14/20 4:21:01 AM,%RH,74.163
4/14/20 5:21:01 AM,%RH,74.088
4/14/20 6:21:01 AM,%RH,74.014
4/14/20 7:21:01 AM,%RH,74.014
4/14/20 8:21:01 AM,%RH,74.644
4/14/20 9:21:01 AM,%RH,75.51
4/14/20 10:21:01 AM,%RH,78.234
4/14/20 11:21:01 AM,%RH,80.026
4/14/20 12:21:01 PM,%RH,80.729
4/14/20 1:21:01 PM,%RH,80.884
4/14/20 2:21:01 PM,%RH,76.393
4/14/20 3:21:01 PM,%RH,70.978
4/14/20 4:21:01 PM,%RH,67.65
4/14/20 5:21:01 PM,%RH,67.594
4/14/20 6:21:01 PM,%RH,66.899
4/14/20 7:21:01 PM,%RH,66.797
4/14/20 8:21:01 PM,%RH,67.242
4/14/20 9:21:01 PM,%RH,66.526
4/14/20 10:21:01 PM,%RH,66.41
4/14/20 11:21:01 PM,%RH,66.374
4/15/20 12:21:01 AM,%RH,66.896
4/15/20 1:21:01 AM,%RH,67.453
4/15/20 2:21:01 AM,%RH,67.396
4/15/20 3:21:01 AM,%RH,67.932
4/15/20 4:21:01 AM,%RH,67.909
4/15/20 5:21:01 AM,%RH,68.474
4/15/20 6:21:01 AM,%RH,69.041
4/15/20 7:21:01 AM,%RH,68.455
4/15/20 8:21:01 AM,%RH,69.644
4/15/20 9:21:01 AM,%RH,70.896
4/15/20 10:21:01 AM,%RH,73.372
4/15/20 11:21:01 AM,%RH,73.034
4/15/20 12:21:01 PM,%RH,72.129
4/15/20 1:21:01 PM,%RH,69.403
4/15/20 2:21:01 PM,%RH,64.279
4/15/20 3:21:01 PM,%RH,57.752
4/15/20 4:21:01 PM,%RH,56.522
4/15/20 5:21:01 PM,%RH,58.913
4/15/20 6:21:01 PM,%RH,59.952
4/15/20 7:21:01 PM,%RH,59.177
4/15/20 8:21:01 PM,%RH,58.972
4/15/20 9:21:01 PM,%RH,58.785
4/15/20 10:21:01 PM,%RH,58.658
4/15/20 11:21:01 PM,%RH,59.15
4/16/20 12:21:01 AM,%RH,59.722
4/16/20 1:21:01 AM,%RH,60.866
4/16/20 2:21:01 AM,%RH,60.804
4/16/20 3:21:01 AM,%RH,62.585
4/16/20 4:21:01 AM,%RH,62.558
4/16/20 5:21:01 AM,%RH,63.71
4/16/20 6:21:01 AM,%RH,64.287
4/16/20 7:21:01 AM,%RH,64.267
4/16/20 8:21:01 AM,%RH,65.481
4/16/20 9:21:01 AM,%RH,66.095
4/16/20 10:21:01 AM,%RH,67.932
4/16/20 11:21:01 AM,%RH,70.371
4/16/20 12:21:01 PM,%RH,65.228
4/16/20 1:21:01 PM,%RH,60.839
4/16/20 2:21:01 PM,%RH,59.999
4/16/20 3:21:01 PM,%RH,59.914
4/16/20 4:21:01 PM,%RH,61.082
4/16/20 5:21:01 PM,%RH,61.646
4/16/20 6:21:01 PM,%RH,61.646
4/16/20 7:21:01 PM,%RH,61.608
4/16/20 8:21:01 PM,%RH,61.005
4/16/20 9:21:01 PM,%RH,62.247
4/16/20 10:21:01 PM,%RH,62.247
4/16/20 11:21:01 PM,%RH,62.247
4/17/20 12:21:01 AM,%RH,62.247
4/17/20 1:21:01 AM,%RH,62.209
4/17/20 2:21:01 AM,%RH,62.209
4/17/20 3:21:01 AM,%RH,62.773
4/17/20 4:21:01 AM,%RH,63.371
4/17/20 5:21:01 AM,%RH,63.337
4/17/20 6:21:01 AM,%RH,63.337
4/17/20 7:21:01 AM,%RH,62.738
4/17/20 8:21:01 AM,%RH,63.934
4/17/20 9:21:01 AM,%RH,64.466
4/17/20 10:21:01 AM,%RH,62.705
4/17/20 11:21:01 AM,%RH,55.912
4/17/20 12:21:01 PM,%RH,38.277
4/17/20 1:21:01 PM,%RH,46.124
4/17/20 2:21:01 PM,%RH,40.689
4/17/20 3:21:01 PM,%RH,56.015
4/17/20 4:21:01 PM,%RH,62.558
4/17/20 5:21:01 PM,%RH,64.356
4/17/20 6:21:01 PM,%RH,73.762
4/17/20 7:21:01 PM,%RH,89.374
4/17/20 8:21:01 PM,%RH,92.49
4/17/20 9:21:01 PM,%RH,91.986
4/17/20 10:21:01 PM,%RH,91.986
4/17/20 11:21:01 PM,%RH,92.422
4/18/20 12:21:01 AM,%RH,93.925
4/18/20 1:21:01 AM,%RH,96.4
4/18/20 2:21:01 AM,%RH,97.801
4/18/20 3:21:01 AM,%RH,97.801
4/18/20 4:21:01 AM,%RH,97.801
4/18/20 5:21:01 AM,%RH,99.254
4/18/20 6:21:01 AM,%RH,98.771
4/18/20 7:21:01 AM,%RH,96.959
4/18/20 8:21:01 AM,%RH,85.355
4/18/20 9:21:01 AM,%RH,73.748
4/18/20 10:21:01 AM,%RH,75.967
