1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 540000006CB59041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:53:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 22:53:01 PST 2020
Total Mission Samples:  4259
Total Device Samples:  12283
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 10:53:01 PM,%RH,96.265
2/7/20 11:53:01 PM,%RH,96.692
2/8/20 12:53:01 AM,%RH,97.655
2/8/20 1:53:01 AM,%RH,97.626
2/8/20 2:53:01 AM,%RH,96.63
2/8/20 3:53:01 AM,%RH,97.078
2/8/20 4:53:01 AM,%RH,88.014
2/8/20 5:53:01 AM,%RH,87.491
2/8/20 6:53:01 AM,%RH,82.724
2/8/20 7:53:01 AM,%RH,48.832
2/8/20 8:53:01 AM,%RH,35.713
2/8/20 9:53:01 AM,%RH,29.392
2/8/20 10:53:01 AM,%RH,29.039
2/8/20 11:53:01 AM,%RH,29.039
2/8/20 12:53:01 PM,%RH,33.431
2/8/20 1:53:01 PM,%RH,39.487
2/8/20 2:53:01 PM,%RH,49.533
2/8/20 3:53:01 PM,%RH,50.716
2/8/20 4:53:01 PM,%RH,66.243
2/8/20 5:53:01 PM,%RH,78.702
2/8/20 6:53:01 PM,%RH,91.54
2/8/20 7:53:01 PM,%RH,97.881
2/8/20 8:53:01 PM,%RH,99.807
2/8/20 9:53:01 PM,%RH,99.767
2/8/20 10:53:01 PM,%RH,100.706
2/8/20 11:53:01 PM,%RH,101.126
2/9/20 12:53:01 AM,%RH,101.582
2/9/20 1:53:01 AM,%RH,102.016
2/9/20 2:53:01 AM,%RH,102.55
2/9/20 3:53:01 AM,%RH,101.23
2/9/20 4:53:01 AM,%RH,98.291
2/9/20 5:53:01 AM,%RH,95.39
2/9/20 6:53:01 AM,%RH,96.391
2/9/20 7:53:01 AM,%RH,80.545
2/9/20 8:53:01 AM,%RH,36.881
2/9/20 9:53:01 AM,%RH,46.447
2/9/20 10:53:01 AM,%RH,31.653
2/9/20 11:53:01 AM,%RH,20.946
2/9/20 12:53:01 PM,%RH,21.834
2/9/20 1:53:01 PM,%RH,19.406
2/9/20 2:53:01 PM,%RH,20.984
2/9/20 3:53:01 PM,%RH,21.038
2/9/20 4:53:01 PM,%RH,22.407
2/9/20 5:53:01 PM,%RH,24.197
2/9/20 6:53:01 PM,%RH,22.857
2/9/20 7:53:01 PM,%RH,25.458
2/9/20 8:53:01 PM,%RH,25.384
2/9/20 9:53:01 PM,%RH,29.721
2/9/20 10:53:01 PM,%RH,37.155
2/9/20 11:53:01 PM,%RH,38.503
2/10/20 12:53:01 AM,%RH,30.96
2/10/20 1:53:01 AM,%RH,32.265
2/10/20 2:53:01 AM,%RH,26.64
2/10/20 3:53:01 AM,%RH,25.237
2/10/20 4:53:01 AM,%RH,27.229
2/10/20 5:53:01 AM,%RH,27.891
2/10/20 6:53:01 AM,%RH,26.714
2/10/20 7:53:01 AM,%RH,21.417
2/10/20 8:53:01 AM,%RH,20.348
2/10/20 9:53:01 AM,%RH,17.077
2/10/20 10:53:01 AM,%RH,18.04
2/10/20 11:53:01 AM,%RH,18.57
2/10/20 12:53:01 PM,%RH,17.77
2/10/20 1:53:01 PM,%RH,20.096
2/10/20 2:53:01 PM,%RH,25.303
2/10/20 3:53:01 PM,%RH,23.837
2/10/20 4:53:01 PM,%RH,23.1
2/10/20 5:53:01 PM,%RH,23.602
2/10/20 6:53:01 PM,%RH,19.546
2/10/20 7:53:01 PM,%RH,17.46
2/10/20 8:53:01 PM,%RH,17.589
2/10/20 9:53:01 PM,%RH,22.488
2/10/20 10:53:01 PM,%RH,24.35
2/10/20 11:53:01 PM,%RH,22.34
2/11/20 12:53:01 AM,%RH,27.454
2/11/20 1:53:01 AM,%RH,21.667
2/11/20 2:53:01 AM,%RH,22.414
2/11/20 3:53:01 AM,%RH,24.944
2/11/20 4:53:01 AM,%RH,33.074
2/11/20 5:53:01 AM,%RH,43.174
2/11/20 6:53:01 AM,%RH,38.937
2/11/20 7:53:01 AM,%RH,20.675
2/11/20 8:53:01 AM,%RH,15.577
2/11/20 9:53:01 AM,%RH,15.632
2/11/20 10:53:01 AM,%RH,15.904
2/11/20 11:53:01 AM,%RH,13.918
2/11/20 12:53:01 PM,%RH,14.346
2/11/20 1:53:01 PM,%RH,22.049
2/11/20 2:53:01 PM,%RH,20.512
2/11/20 3:53:01 PM,%RH,32.272
2/11/20 4:53:01 PM,%RH,32.124
2/11/20 5:53:01 PM,%RH,38.711
2/11/20 6:53:01 PM,%RH,45.375
2/11/20 7:53:01 PM,%RH,41.113
2/11/20 8:53:01 PM,%RH,47.729
