1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9B0000006D987C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:47:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 21:47:01 PST 2020
Total Mission Samples:  4258
Total Device Samples:  11903
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 9:47:01 PM,%RH,98.296
2/7/20 10:47:01 PM,%RH,92.993
2/7/20 11:47:01 PM,%RH,93.444
2/8/20 12:47:01 AM,%RH,94.837
2/8/20 1:47:01 AM,%RH,92.336
2/8/20 2:47:01 AM,%RH,90.373
2/8/20 3:47:01 AM,%RH,85.781
2/8/20 4:47:01 AM,%RH,83.698
2/8/20 5:47:01 AM,%RH,83.131
2/8/20 6:47:01 AM,%RH,83.091
2/8/20 7:47:01 AM,%RH,56.242
2/8/20 8:47:01 AM,%RH,38.813
2/8/20 9:47:01 AM,%RH,33.797
2/8/20 10:47:01 AM,%RH,30.227
2/8/20 11:47:01 AM,%RH,31.367
2/8/20 12:47:01 PM,%RH,37.025
2/8/20 1:47:01 PM,%RH,43.164
2/8/20 2:47:01 PM,%RH,49.529
2/8/20 3:47:01 PM,%RH,51.978
2/8/20 4:47:01 PM,%RH,68.012
2/8/20 5:47:01 PM,%RH,79.194
2/8/20 6:47:01 PM,%RH,95.154
2/8/20 7:47:01 PM,%RH,99.332
2/8/20 8:47:01 PM,%RH,100.233
2/8/20 9:47:01 PM,%RH,101.093
2/8/20 10:47:01 PM,%RH,101.093
2/8/20 11:47:01 PM,%RH,101.561
2/9/20 12:47:01 AM,%RH,101.96
2/9/20 1:47:01 AM,%RH,102.808
2/9/20 2:47:01 AM,%RH,101.96
2/9/20 3:47:01 AM,%RH,101.681
2/9/20 4:47:01 AM,%RH,102.063
2/9/20 5:47:01 AM,%RH,101.171
2/9/20 6:47:01 AM,%RH,101.681
2/9/20 7:47:01 AM,%RH,92.2
2/9/20 8:47:01 AM,%RH,44.498
2/9/20 9:47:01 AM,%RH,48.721
2/9/20 10:47:01 AM,%RH,29.908
2/9/20 11:47:01 AM,%RH,22.774
2/9/20 12:47:01 PM,%RH,22.78
2/9/20 1:47:01 PM,%RH,22.886
2/9/20 2:47:01 PM,%RH,22.621
2/9/20 3:47:01 PM,%RH,23.372
2/9/20 4:47:01 PM,%RH,22.655
2/9/20 5:47:01 PM,%RH,23.873
2/9/20 6:47:01 PM,%RH,23.191
2/9/20 7:47:01 PM,%RH,25.762
2/9/20 8:47:01 PM,%RH,25.762
2/9/20 9:47:01 PM,%RH,29.575
2/9/20 10:47:01 PM,%RH,35.234
2/9/20 11:47:01 PM,%RH,34.579
2/10/20 12:47:01 AM,%RH,28.907
2/10/20 1:47:01 AM,%RH,30.834
2/10/20 2:47:01 AM,%RH,26.966
2/10/20 3:47:01 AM,%RH,26.291
2/10/20 4:47:01 AM,%RH,26.291
2/10/20 5:47:01 AM,%RH,27.712
2/10/20 6:47:01 AM,%RH,27.712
2/10/20 7:47:01 AM,%RH,26.455
2/10/20 8:47:01 AM,%RH,21.974
2/10/20 9:47:01 AM,%RH,18.573
2/10/20 10:47:01 AM,%RH,17.54
2/10/20 11:47:01 AM,%RH,19.44
2/10/20 12:47:01 PM,%RH,19.98
2/10/20 1:47:01 PM,%RH,23.045
2/10/20 2:47:01 PM,%RH,25.714
2/10/20 3:47:01 PM,%RH,23.53
2/10/20 4:47:01 PM,%RH,24.121
2/10/20 5:47:01 PM,%RH,21.43
2/10/20 6:47:01 PM,%RH,19.359
2/10/20 7:47:01 PM,%RH,17.682
2/10/20 8:47:01 PM,%RH,19.064
2/10/20 9:47:01 PM,%RH,23.43
2/10/20 10:47:01 PM,%RH,26.071
2/10/20 11:47:01 PM,%RH,23.356
2/11/20 12:47:01 AM,%RH,24.497
2/11/20 1:47:01 AM,%RH,23.356
2/11/20 2:47:01 AM,%RH,23.356
2/11/20 3:47:01 AM,%RH,25.322
2/11/20 4:47:01 AM,%RH,26.673
2/11/20 5:47:01 AM,%RH,35.61
2/11/20 6:47:01 AM,%RH,38.923
2/11/20 7:47:01 AM,%RH,22.886
2/11/20 8:47:01 AM,%RH,19.169
2/11/20 9:47:01 AM,%RH,19.277
2/11/20 10:47:01 AM,%RH,17.378
2/11/20 11:47:01 AM,%RH,17.54
2/11/20 12:47:01 PM,%RH,16.451
2/11/20 1:47:01 PM,%RH,23.53
2/11/20 2:47:01 PM,%RH,24.121
2/11/20 3:47:01 PM,%RH,28.828
2/11/20 4:47:01 PM,%RH,35.23
2/11/20 5:47:01 PM,%RH,42.966
2/11/20 6:47:01 PM,%RH,41.693
2/11/20 7:47:01 PM,%RH,40.483
2/11/20 8:47:01 PM,%RH,45.922
2/11/20 9:47:01 PM,%RH,48.356
2/11/20 10:47:01 PM,%RH,46.548
2/11/20 11:47:01 PM,%RH,48.293
2/12/20 12:47:01 AM,%RH,53.764
2/12/20 1:47:01 AM,%RH,57.325
2/12/20 2:47:01 AM,%RH,63.659
2/12/20 3:47:01 AM,%RH,64.29
2/12/20 4:47:01 AM,%RH,65.974
2/12/20 5:47:01 AM,%RH,70.442
2/12/20 6:47:01 AM,%RH,68.788
2/12/20 7:47:01 AM,%RH,41.847
2/12/20 8:47:01 AM,%RH,35.315
2/12/20 9:47:01 AM,%RH,29.597
2/12/20 10:47:01 AM,%RH,27.812
2/12/20 11:47:01 AM,%RH,27.075
2/12/20 12:47:01 PM,%RH,31.528
2/12/20 1:47:01 PM,%RH,41.087
2/12/20 2:47:01 PM,%RH,43.578
2/12/20 3:47:01 PM,%RH,53.107
2/12/20 4:47:01 PM,%RH,55.897
2/12/20 5:47:01 PM,%RH,67.091
2/12/20 6:47:01 PM,%RH,81.833
2/12/20 7:47:01 PM,%RH,84.357
2/12/20 8:47:01 PM,%RH,79.013
2/12/20 9:47:01 PM,%RH,81.104
2/12/20 10:47:01 PM,%RH,82.119
2/12/20 11:47:01 PM,%RH,83.131
2/13/20 12:47:01 AM,%RH,85.183
2/13/20 1:47:01 AM,%RH,87.692
2/13/20 2:47:01 AM,%RH,88.204
2/13/20 3:47:01 AM,%RH,89.729
2/13/20 4:47:01 AM,%RH,88.746
2/13/20 5:47:01 AM,%RH,89.699
2/13/20 6:47:01 AM,%RH,89.192
2/13/20 7:47:01 AM,%RH,55.367
2/13/20 8:47:01 AM,%RH,40.601
2/13/20 9:47:01 AM,%RH,33.076
2/13/20 10:47:01 AM,%RH,30.066
2/13/20 11:47:01 AM,%RH,25.277
2/13/20 12:47:01 PM,%RH,31.004
2/13/20 1:47:01 PM,%RH,41.864
2/13/20 2:47:01 PM,%RH,44.339
2/13/20 3:47:01 PM,%RH,44.263
2/13/20 4:47:01 PM,%RH,56.277
2/13/20 5:47:01 PM,%RH,70.32
2/13/20 6:47:01 PM,%RH,79.28
2/13/20 7:47:01 PM,%RH,83.311
2/13/20 8:47:01 PM,%RH,86.854
2/13/20 9:47:01 PM,%RH,80.134
2/13/20 10:47:01 PM,%RH,80.038
2/13/20 11:47:01 PM,%RH,78.381
2/14/20 12:47:01 AM,%RH,80.975
2/14/20 1:47:01 AM,%RH,76.709
2/14/20 2:47:01 AM,%RH,80.936
2/14/20 3:47:01 AM,%RH,81.43
2/14/20 4:47:01 AM,%RH,83.017
2/14/20 5:47:01 AM,%RH,80.898
2/14/20 6:47:01 AM,%RH,83.543
2/14/20 7:47:01 AM,%RH,54.991
2/14/20 8:47:01 AM,%RH,41.298
2/14/20 9:47:01 AM,%RH,33.797
2/14/20 10:47:01 AM,%RH,28.706
2/14/20 11:47:01 AM,%RH,25.966
2/14/20 12:47:01 PM,%RH,28.39
2/14/20 1:47:01 PM,%RH,36.601
2/14/20 2:47:01 PM,%RH,39.817
2/14/20 3:47:01 PM,%RH,47.514
2/14/20 4:47:01 PM,%RH,62.067
2/14/20 5:47:01 PM,%RH,70.952
2/14/20 6:47:01 PM,%RH,82.942
2/14/20 7:47:01 PM,%RH,89.034
2/14/20 8:47:01 PM,%RH,91.915
2/14/20 9:47:01 PM,%RH,85.35
2/14/20 10:47:01 PM,%RH,86.34
2/14/20 11:47:01 PM,%RH,84.786
2/15/20 12:47:01 AM,%RH,90.265
2/15/20 1:47:01 AM,%RH,88.272
2/15/20 2:47:01 AM,%RH,92.21
2/15/20 3:47:01 AM,%RH,86.219
2/15/20 4:47:01 AM,%RH,86.633
2/15/20 5:47:01 AM,%RH,86.116
2/15/20 6:47:01 AM,%RH,90.177
2/15/20 7:47:01 AM,%RH,56.199
2/15/20 8:47:01 AM,%RH,40.689
2/15/20 9:47:01 AM,%RH,31.833
2/15/20 10:47:01 AM,%RH,27.286
2/15/20 11:47:01 AM,%RH,26.6
2/15/20 12:47:01 PM,%RH,29.648
2/15/20 1:47:01 PM,%RH,35.315
2/15/20 2:47:01 PM,%RH,46.346
2/15/20 3:47:01 PM,%RH,52.572
2/15/20 4:47:01 PM,%RH,63.898
2/15/20 5:47:01 PM,%RH,73.811
2/15/20 6:47:01 PM,%RH,87.72
2/15/20 7:47:01 PM,%RH,90.146
2/15/20 8:47:01 PM,%RH,96.416
2/15/20 9:47:01 PM,%RH,87.556
2/15/20 10:47:01 PM,%RH,89.54
2/15/20 11:47:01 PM,%RH,87.458
2/16/20 12:47:01 AM,%RH,86.945
2/16/20 1:47:01 AM,%RH,91.376
2/16/20 2:47:01 AM,%RH,91.339
2/16/20 3:47:01 AM,%RH,83.698
2/16/20 4:47:01 AM,%RH,75.81
2/16/20 5:47:01 AM,%RH,76.356
2/16/20 6:47:01 AM,%RH,79.502
2/16/20 7:47:01 AM,%RH,52.572
2/16/20 8:47:01 AM,%RH,40.779
2/16/20 9:47:01 AM,%RH,31.367
2/16/20 10:47:01 AM,%RH,30.905
2/16/20 11:47:01 AM,%RH,29.494
2/16/20 12:47:01 PM,%RH,31.833
2/16/20 1:47:01 PM,%RH,38.766
2/16/20 2:47:01 PM,%RH,47.064
2/16/20 3:47:01 PM,%RH,59.416
2/16/20 4:47:01 PM,%RH,66.519
2/16/20 5:47:01 PM,%RH,76.161
2/16/20 6:47:01 PM,%RH,85.912
2/16/20 7:47:01 PM,%RH,91.377
2/16/20 8:47:01 PM,%RH,93.304
2/16/20 9:47:01 PM,%RH,87.663
2/16/20 10:47:01 PM,%RH,94.515
2/16/20 11:47:01 PM,%RH,80.883
2/17/20 12:47:01 AM,%RH,43.121
2/17/20 1:47:01 AM,%RH,43.541
2/17/20 2:47:01 AM,%RH,46.983
2/17/20 3:47:01 AM,%RH,47.532
2/17/20 4:47:01 AM,%RH,52.181
2/17/20 5:47:01 AM,%RH,45.651
2/17/20 6:47:01 AM,%RH,48.628
2/17/20 7:47:01 AM,%RH,36.785
2/17/20 8:47:01 AM,%RH,29.387
2/17/20 9:47:01 AM,%RH,25.492
2/17/20 10:47:01 AM,%RH,24.801
2/17/20 11:47:01 AM,%RH,23.522
2/17/20 12:47:01 PM,%RH,26.654
2/17/20 1:47:01 PM,%RH,32.925
2/17/20 2:47:01 PM,%RH,28.081
2/17/20 3:47:01 PM,%RH,28.03
2/17/20 4:47:01 PM,%RH,37.309
2/17/20 5:47:01 PM,%RH,49.324
2/17/20 6:47:01 PM,%RH,51.853
2/17/20 7:47:01 PM,%RH,50.79
2/17/20 8:47:01 PM,%RH,48.31
2/17/20 9:47:01 PM,%RH,47.411
2/17/20 10:47:01 PM,%RH,43.274
2/17/20 11:47:01 PM,%RH,53.938
2/18/20 12:47:01 AM,%RH,52.181
2/18/20 1:47:01 AM,%RH,56.214
2/18/20 2:47:01 AM,%RH,57.278
2/18/20 3:47:01 AM,%RH,58.936
2/18/20 4:47:01 AM,%RH,67.374
2/18/20 5:47:01 AM,%RH,64.034
2/18/20 6:47:01 AM,%RH,62.346
2/18/20 7:47:01 AM,%RH,56.426
2/18/20 8:47:01 AM,%RH,26.389
2/18/20 9:47:01 AM,%RH,27.286
2/18/20 10:47:01 AM,%RH,27.127
2/18/20 11:47:01 AM,%RH,18.777
2/18/20 12:47:01 PM,%RH,21.163
2/18/20 1:47:01 PM,%RH,34.885
2/18/20 2:47:01 PM,%RH,50.274
2/18/20 3:47:01 PM,%RH,47.025
2/18/20 4:47:01 PM,%RH,63.576
2/18/20 5:47:01 PM,%RH,77.873
2/18/20 6:47:01 PM,%RH,86.565
2/18/20 7:47:01 PM,%RH,97.039
2/18/20 8:47:01 PM,%RH,98.952
2/18/20 9:47:01 PM,%RH,91.203
2/18/20 10:47:01 PM,%RH,91.549
2/18/20 11:47:01 PM,%RH,91.049
2/19/20 12:47:01 AM,%RH,88.017
2/19/20 1:47:01 AM,%RH,84.357
2/19/20 2:47:01 AM,%RH,91.339
2/19/20 3:47:01 AM,%RH,91.803
2/19/20 4:47:01 AM,%RH,96.146
2/19/20 5:47:01 AM,%RH,96.63
2/19/20 6:47:01 AM,%RH,98.099
2/19/20 7:47:01 AM,%RH,52.51
2/19/20 8:47:01 AM,%RH,41.477
2/19/20 9:47:01 AM,%RH,32.61
2/19/20 10:47:01 AM,%RH,30.173
2/19/20 11:47:01 AM,%RH,28.706
2/19/20 12:47:01 PM,%RH,28.39
2/19/20 1:47:01 PM,%RH,40.645
2/19/20 2:47:01 PM,%RH,46.346
2/19/20 3:47:01 PM,%RH,58.75
2/19/20 4:47:01 PM,%RH,61.708
2/19/20 5:47:01 PM,%RH,74.364
2/19/20 6:47:01 PM,%RH,95.208
2/19/20 7:47:01 PM,%RH,98.428
2/19/20 8:47:01 PM,%RH,88.526
2/19/20 9:47:01 PM,%RH,87.923
2/19/20 10:47:01 PM,%RH,67.031
2/19/20 11:47:01 PM,%RH,57.682
2/20/20 12:47:01 AM,%RH,55.821
2/20/20 1:47:01 AM,%RH,48.549
2/20/20 2:47:01 AM,%RH,47.927
2/20/20 3:47:01 AM,%RH,49.104
2/20/20 4:47:01 AM,%RH,49.04
2/20/20 5:47:01 AM,%RH,49.658
2/20/20 6:47:01 AM,%RH,56.24
2/20/20 7:47:01 AM,%RH,31.283
2/20/20 8:47:01 AM,%RH,27.864
2/20/20 9:47:01 AM,%RH,22.076
2/20/20 10:47:01 AM,%RH,17.859
2/20/20 11:47:01 AM,%RH,17.965
2/20/20 12:47:01 PM,%RH,21.11
2/20/20 1:47:01 PM,%RH,28.663
2/20/20 2:47:01 PM,%RH,34.554
2/20/20 3:47:01 PM,%RH,27.142
2/20/20 4:47:01 PM,%RH,35.713
2/20/20 5:47:01 PM,%RH,33.558
2/20/20 6:47:01 PM,%RH,43.532
2/20/20 7:47:01 PM,%RH,45.21
2/20/20 8:47:01 PM,%RH,41.477
2/20/20 9:47:01 PM,%RH,41.972
2/20/20 10:47:01 PM,%RH,45
2/20/20 11:47:01 PM,%RH,41.263
2/21/20 12:47:01 AM,%RH,44.3
2/21/20 1:47:01 AM,%RH,43.034
2/21/20 2:47:01 AM,%RH,43.668
2/21/20 3:47:01 AM,%RH,45
2/21/20 4:47:01 AM,%RH,52.181
2/21/20 5:47:01 AM,%RH,45.139
2/21/20 6:47:01 AM,%RH,52.443
2/21/20 7:47:01 AM,%RH,37.882
2/21/20 8:47:01 AM,%RH,33.025
2/21/20 9:47:01 AM,%RH,39.807
2/21/20 10:47:01 AM,%RH,25.065
2/21/20 11:47:01 AM,%RH,18.672
2/21/20 12:47:01 PM,%RH,20.517
2/21/20 1:47:01 PM,%RH,27.603
2/21/20 2:47:01 PM,%RH,26.97
2/21/20 3:47:01 PM,%RH,28.183
2/21/20 4:47:01 PM,%RH,31.331
2/21/20 5:47:01 PM,%RH,44.3
2/21/20 6:47:01 PM,%RH,73.006
2/21/20 7:47:01 PM,%RH,85.531
2/21/20 8:47:01 PM,%RH,92.5
2/21/20 9:47:01 PM,%RH,96.296
2/21/20 10:47:01 PM,%RH,98.161
2/21/20 11:47:01 PM,%RH,98.638
2/22/20 12:47:01 AM,%RH,100.003
2/22/20 1:47:01 AM,%RH,94.409
2/22/20 2:47:01 AM,%RH,97.091
2/22/20 3:47:01 AM,%RH,100.276
2/22/20 4:47:01 AM,%RH,102.288
