1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1600000069B95C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:20:01 PDT 2020
Mission Sample Count:  2590
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:20:01 PDT 2020
Total Mission Samples:  2590
Total Device Samples:  8823
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:20:01 PM,%RH,96.126
4/10/20 6:20:01 PM,%RH,97.144
4/10/20 7:20:01 PM,%RH,98.67
4/10/20 8:20:01 PM,%RH,97.646
4/10/20 9:20:01 PM,%RH,98.158
4/10/20 10:20:01 PM,%RH,98.158
4/10/20 11:20:01 PM,%RH,98.157
4/11/20 12:20:01 AM,%RH,98.157
4/11/20 1:20:01 AM,%RH,98.67
4/11/20 2:20:01 AM,%RH,97.651
4/11/20 3:20:01 AM,%RH,99.192
4/11/20 4:20:01 AM,%RH,96.209
4/11/20 5:20:01 AM,%RH,96.126
4/11/20 6:20:01 AM,%RH,96.045
4/11/20 7:20:01 AM,%RH,96.546
4/11/20 8:20:01 AM,%RH,95.623
4/11/20 9:20:01 AM,%RH,98.159
4/11/20 10:20:01 AM,%RH,97.664
4/11/20 11:20:01 AM,%RH,96.206
4/11/20 12:20:01 PM,%RH,97.85
4/11/20 1:20:01 PM,%RH,95.91
4/11/20 2:20:01 PM,%RH,95.994
4/11/20 3:20:01 PM,%RH,96.088
4/11/20 4:20:01 PM,%RH,96.138
4/11/20 5:20:01 PM,%RH,95.572
4/11/20 6:20:01 PM,%RH,95.524
4/11/20 7:20:01 PM,%RH,94.877
4/11/20 8:20:01 PM,%RH,94.25
4/11/20 9:20:01 PM,%RH,93.641
4/11/20 10:20:01 PM,%RH,93.05
4/11/20 11:20:01 PM,%RH,93.016
4/12/20 12:20:01 AM,%RH,92.466
4/12/20 1:20:01 AM,%RH,92.457
4/12/20 2:20:01 AM,%RH,90.869
4/12/20 3:20:01 AM,%RH,90.861
4/12/20 4:20:01 AM,%RH,89.789
4/12/20 5:20:01 AM,%RH,89.253
4/12/20 6:20:01 AM,%RH,88.171
4/12/20 7:20:01 AM,%RH,87.63
4/12/20 8:20:01 AM,%RH,87.088
4/12/20 9:20:01 AM,%RH,85.452
4/12/20 10:20:01 AM,%RH,84.353
4/12/20 11:20:01 AM,%RH,84.903
4/12/20 12:20:01 PM,%RH,83.249
4/12/20 1:20:01 PM,%RH,83.249
4/12/20 2:20:01 PM,%RH,82.694
4/12/20 3:20:01 PM,%RH,81.022
4/12/20 4:20:01 PM,%RH,81.581
4/12/20 5:20:01 PM,%RH,81.022
4/12/20 6:20:01 PM,%RH,79.899
4/12/20 7:20:01 PM,%RH,80.452
4/12/20 8:20:01 PM,%RH,79.889
4/12/20 9:20:01 PM,%RH,79.889
4/12/20 10:20:01 PM,%RH,79.325
4/12/20 11:20:01 PM,%RH,79.325
4/13/20 12:20:01 AM,%RH,78.193
4/13/20 1:20:01 AM,%RH,78.751
4/13/20 2:20:01 AM,%RH,76.607
4/13/20 3:20:01 AM,%RH,77.163
4/13/20 4:20:01 AM,%RH,76.607
4/13/20 5:20:01 AM,%RH,78.272
4/13/20 6:20:01 AM,%RH,75.968
4/13/20 7:20:01 AM,%RH,76.526
4/13/20 8:20:01 AM,%RH,77.083
4/13/20 9:20:01 AM,%RH,79.335
4/13/20 10:20:01 AM,%RH,81.075
4/13/20 11:20:01 AM,%RH,80.555
4/13/20 12:20:01 PM,%RH,81.113
4/13/20 1:20:01 PM,%RH,80.018
4/13/20 2:20:01 PM,%RH,79.481
4/13/20 3:20:01 PM,%RH,78.919
4/13/20 4:20:01 PM,%RH,77.764
4/13/20 5:20:01 PM,%RH,78.33
4/13/20 6:20:01 PM,%RH,77.74
4/13/20 7:20:01 PM,%RH,76.581
4/13/20 8:20:01 PM,%RH,76.541
4/13/20 9:20:01 PM,%RH,76.508
4/13/20 10:20:01 PM,%RH,77.054
4/13/20 11:20:01 PM,%RH,76.472
4/14/20 12:20:01 AM,%RH,74.365
4/14/20 1:20:01 AM,%RH,74.365
4/14/20 2:20:01 AM,%RH,73.721
4/14/20 3:20:01 AM,%RH,73.642
4/14/20 4:20:01 AM,%RH,74.206
4/14/20 5:20:01 AM,%RH,73.566
4/14/20 6:20:01 AM,%RH,73.49
4/14/20 7:20:01 AM,%RH,72.925
4/14/20 8:20:01 AM,%RH,74.129
4/14/20 9:20:01 AM,%RH,77.615
4/14/20 10:20:01 AM,%RH,77.68
4/14/20 11:20:01 AM,%RH,79.508
4/14/20 12:20:01 PM,%RH,79.67
