1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C00000069B9B241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:22:01 PDT 2020
Mission Sample Count:  2590
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:22:01 PDT 2020
Total Mission Samples:  2590
Total Device Samples:  9139
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:22:01 PM,%RH,90.878
4/10/20 6:22:01 PM,%RH,93.405
4/10/20 7:22:01 PM,%RH,93.401
4/10/20 8:22:01 PM,%RH,93.901
4/10/20 9:22:01 PM,%RH,94.391
4/10/20 10:22:01 PM,%RH,92.905
4/10/20 11:22:01 PM,%RH,94.391
4/11/20 12:22:01 AM,%RH,94.391
4/11/20 1:22:01 AM,%RH,94.391
4/11/20 2:22:01 AM,%RH,94.392
4/11/20 3:22:01 AM,%RH,94.397
4/11/20 4:22:01 AM,%RH,92.5
4/11/20 5:22:01 AM,%RH,93.383
4/11/20 6:22:01 AM,%RH,92.821
4/11/20 7:22:01 AM,%RH,92.743
4/11/20 8:22:01 AM,%RH,92.418
4/11/20 9:22:01 AM,%RH,94.391
4/11/20 10:22:01 AM,%RH,94.417
4/11/20 11:22:01 AM,%RH,94.503
4/11/20 12:22:01 PM,%RH,94.124
4/11/20 1:22:01 PM,%RH,93.741
4/11/20 2:22:01 PM,%RH,93.825
4/11/20 3:22:01 PM,%RH,92.434
4/11/20 4:22:01 PM,%RH,92.981
4/11/20 5:22:01 PM,%RH,92.931
4/11/20 6:22:01 PM,%RH,93.332
4/11/20 7:22:01 PM,%RH,92.255
4/11/20 8:22:01 PM,%RH,92.145
4/11/20 9:22:01 PM,%RH,91.53
4/11/20 10:22:01 PM,%RH,90.965
4/11/20 11:22:01 PM,%RH,90.934
4/12/20 12:22:01 AM,%RH,90.416
4/12/20 1:22:01 AM,%RH,89.39
4/12/20 2:22:01 AM,%RH,89.381
4/12/20 3:22:01 AM,%RH,88.87
4/12/20 4:22:01 AM,%RH,87.319
4/12/20 5:22:01 AM,%RH,86.8
4/12/20 6:22:01 AM,%RH,86.273
4/12/20 7:22:01 AM,%RH,85.227
4/12/20 8:22:01 AM,%RH,85.751
4/12/20 9:22:01 AM,%RH,83.643
4/12/20 10:22:01 AM,%RH,82.043
4/12/20 11:22:01 AM,%RH,82.043
4/12/20 12:22:01 PM,%RH,80.968
4/12/20 1:22:01 PM,%RH,81.507
4/12/20 2:22:01 PM,%RH,80.428
4/12/20 3:22:01 PM,%RH,80.428
4/12/20 4:22:01 PM,%RH,79.342
4/12/20 5:22:01 PM,%RH,79.332
4/12/20 6:22:01 PM,%RH,79.332
4/12/20 7:22:01 PM,%RH,78.238
4/12/20 8:22:01 PM,%RH,78.238
4/12/20 9:22:01 PM,%RH,77.137
4/12/20 10:22:01 PM,%RH,77.689
4/12/20 11:22:01 PM,%RH,77.689
4/13/20 12:22:01 AM,%RH,77.689
4/13/20 1:22:01 AM,%RH,77.128
4/13/20 2:22:01 AM,%RH,75.565
4/13/20 3:22:01 AM,%RH,75.565
4/13/20 4:22:01 AM,%RH,75.565
4/13/20 5:22:01 AM,%RH,75.022
4/13/20 6:22:01 AM,%RH,74.942
4/13/20 7:22:01 AM,%RH,74.863
4/13/20 8:22:01 AM,%RH,76.565
4/13/20 9:22:01 AM,%RH,78.796
4/13/20 10:22:01 AM,%RH,79.942
4/13/20 11:22:01 AM,%RH,80.521
4/13/20 12:22:01 PM,%RH,80.521
4/13/20 1:22:01 PM,%RH,80.004
4/13/20 2:22:01 PM,%RH,80.028
4/13/20 3:22:01 PM,%RH,79.487
4/13/20 4:22:01 PM,%RH,77.827
4/13/20 5:22:01 PM,%RH,77.803
4/13/20 6:22:01 PM,%RH,77.803
4/13/20 7:22:01 PM,%RH,76.661
4/13/20 8:22:01 PM,%RH,76.625
4/13/20 9:22:01 PM,%RH,76.596
4/13/20 10:22:01 PM,%RH,76.584
4/13/20 11:22:01 PM,%RH,76.019
4/14/20 12:22:01 AM,%RH,74.478
4/14/20 1:22:01 AM,%RH,73.851
4/14/20 2:22:01 AM,%RH,73.303
4/14/20 3:22:01 AM,%RH,73.224
4/14/20 4:22:01 AM,%RH,73.148
4/14/20 5:22:01 AM,%RH,73.621
4/14/20 6:22:01 AM,%RH,73.621
4/14/20 7:22:01 AM,%RH,73.547
4/14/20 8:22:01 AM,%RH,74.242
4/14/20 9:22:01 AM,%RH,75.022
4/14/20 10:22:01 AM,%RH,78.291
4/14/20 11:22:01 AM,%RH,79.487
4/14/20 12:22:01 PM,%RH,80.214
4/14/20 1:22:01 PM,%RH,79.837
4/14/20 2:22:01 PM,%RH,74.858
4/14/20 3:22:01 PM,%RH,70.02
4/14/20 4:22:01 PM,%RH,67.882
4/14/20 5:22:01 PM,%RH,67.302
4/14/20 6:22:01 PM,%RH,66.609
4/14/20 7:22:01 PM,%RH,66.455
4/14/20 8:22:01 PM,%RH,65.729
4/14/20 9:22:01 PM,%RH,66.185
4/14/20 10:22:01 PM,%RH,64.935
4/14/20 11:22:01 PM,%RH,66.616
4/15/20 12:22:01 AM,%RH,65.999
4/15/20 1:22:01 AM,%RH,65.934
4/15/20 2:22:01 AM,%RH,66.46
4/15/20 3:22:01 AM,%RH,67.017
4/15/20 4:22:01 AM,%RH,66.968
4/15/20 5:22:01 AM,%RH,67.55
4/15/20 6:22:01 AM,%RH,67.529
4/15/20 7:22:01 AM,%RH,68.09
4/15/20 8:22:01 AM,%RH,68.689
4/15/20 9:22:01 AM,%RH,69.958
4/15/20 10:22:01 AM,%RH,71.819
4/15/20 11:22:01 AM,%RH,72.054
4/15/20 12:22:01 PM,%RH,70.591
4/15/20 1:22:01 PM,%RH,68.517
4/15/20 2:22:01 PM,%RH,63.429
4/15/20 3:22:01 PM,%RH,57.466
4/15/20 4:22:01 PM,%RH,56.302
4/15/20 5:22:01 PM,%RH,58.624
4/15/20 6:22:01 PM,%RH,59.053
4/15/20 7:22:01 PM,%RH,58.28
4/15/20 8:22:01 PM,%RH,58.681
4/15/20 9:22:01 PM,%RH,58.54
4/15/20 10:22:01 PM,%RH,58.409
4/15/20 11:22:01 PM,%RH,58.289
4/16/20 12:22:01 AM,%RH,58.822
4/16/20 1:22:01 AM,%RH,60.598
4/16/20 2:22:01 AM,%RH,61.134
4/16/20 3:22:01 AM,%RH,61.104
4/16/20 4:22:01 AM,%RH,61.647
4/16/20 5:22:01 AM,%RH,62.22
4/16/20 6:22:01 AM,%RH,62.771
4/16/20 7:22:01 AM,%RH,63.367
4/16/20 8:22:01 AM,%RH,62.794
4/16/20 9:22:01 AM,%RH,64.006
4/16/20 10:22:01 AM,%RH,65.235
4/16/20 11:22:01 AM,%RH,67.101
4/16/20 12:22:01 PM,%RH,64.935
4/16/20 1:22:01 PM,%RH,59.889
4/16/20 2:22:01 PM,%RH,58.54
4/16/20 3:22:01 PM,%RH,60.821
4/16/20 4:22:01 PM,%RH,61.977
4/16/20 5:22:01 PM,%RH,61.38
4/16/20 6:22:01 PM,%RH,61.938
4/16/20 7:22:01 PM,%RH,61.341
4/16/20 8:22:01 PM,%RH,60.742
4/16/20 9:22:01 PM,%RH,60.781
4/16/20 10:22:01 PM,%RH,63.757
4/16/20 11:22:01 PM,%RH,61.938
4/17/20 12:22:01 AM,%RH,61.938
4/17/20 1:22:01 AM,%RH,61.901
4/17/20 2:22:01 AM,%RH,62.496
4/17/20 3:22:01 AM,%RH,62.46
4/17/20 4:22:01 AM,%RH,63.054
4/17/20 5:22:01 AM,%RH,62.46
4/17/20 6:22:01 AM,%RH,63.054
4/17/20 7:22:01 AM,%RH,63.02
4/17/20 8:22:01 AM,%RH,63.02
4/17/20 9:22:01 AM,%RH,64.761
4/17/20 10:22:01 AM,%RH,63.58
4/17/20 11:22:01 AM,%RH,51.188
4/17/20 12:22:01 PM,%RH,36.662
4/17/20 1:22:01 PM,%RH,31.65
4/17/20 2:22:01 PM,%RH,42.885
4/17/20 3:22:01 PM,%RH,55.733
4/17/20 4:22:01 PM,%RH,61.075
4/17/20 5:22:01 PM,%RH,61.075
4/17/20 6:22:01 PM,%RH,71.728
4/17/20 7:22:01 PM,%RH,90.09
4/17/20 8:22:01 PM,%RH,93.485
4/17/20 9:22:01 PM,%RH,90.161
4/17/20 10:22:01 PM,%RH,90.58
4/17/20 11:22:01 PM,%RH,91.069
4/18/20 12:22:01 AM,%RH,92.041
4/18/20 1:22:01 AM,%RH,95.79
4/18/20 2:22:01 AM,%RH,97.656
4/18/20 3:22:01 AM,%RH,96.726
4/18/20 4:22:01 AM,%RH,97.656
4/18/20 5:22:01 AM,%RH,97.656
4/18/20 6:22:01 AM,%RH,97.192
4/18/20 7:22:01 AM,%RH,95.458
4/18/20 8:22:01 AM,%RH,85.221
4/18/20 9:22:01 AM,%RH,73.363
4/18/20 10:22:01 AM,%RH,73.275
4/18/20 11:22:01 AM,%RH,62.987
4/18/20 12:22:01 PM,%RH,61.267
4/18/20 1:22:01 PM,%RH,64.204
4/18/20 2:22:01 PM,%RH,69.332
4/18/20 3:22:01 PM,%RH,66.46
4/18/20 4:22:01 PM,%RH,73.258
4/18/20 5:22:01 PM,%RH,75.472
4/18/20 6:22:01 PM,%RH,76.107
4/18/20 7:22:01 PM,%RH,84.725
4/18/20 8:22:01 PM,%RH,93.765
4/18/20 9:22:01 PM,%RH,97.408
4/18/20 10:22:01 PM,%RH,94.846
4/18/20 11:22:01 PM,%RH,93.895
4/19/20 12:22:01 AM,%RH,93.417
4/19/20 1:22:01 AM,%RH,95.318
4/19/20 2:22:01 AM,%RH,96.597
4/19/20 3:22:01 AM,%RH,98.39
4/19/20 4:22:01 AM,%RH,97.871
4/19/20 5:22:01 AM,%RH,98.514
4/19/20 6:22:01 AM,%RH,97.199
4/19/20 7:22:01 AM,%RH,97.192
4/19/20 8:22:01 AM,%RH,79.877
4/19/20 9:22:01 AM,%RH,53.635
4/19/20 10:22:01 AM,%RH,48.617
4/19/20 11:22:01 AM,%RH,39.483
4/19/20 12:22:01 PM,%RH,39.711
4/19/20 1:22:01 PM,%RH,35.77
4/19/20 2:22:01 PM,%RH,35.488
4/19/20 3:22:01 PM,%RH,58.858
4/19/20 4:22:01 PM,%RH,65.289
4/19/20 5:22:01 PM,%RH,72.693
4/19/20 6:22:01 PM,%RH,79.686
4/19/20 7:22:01 PM,%RH,86.68
4/19/20 8:22:01 PM,%RH,91.487
4/19/20 9:22:01 PM,%RH,91.069
4/19/20 10:22:01 PM,%RH,91.14
4/19/20 11:22:01 PM,%RH,93.963
4/20/20 12:22:01 AM,%RH,95.599
4/20/20 1:22:01 AM,%RH,97.815
4/20/20 2:22:01 AM,%RH,98.514
4/20/20 3:22:01 AM,%RH,96.726
4/20/20 4:22:01 AM,%RH,97.725
4/20/20 5:22:01 AM,%RH,97.591
4/20/20 6:22:01 AM,%RH,98.909
4/20/20 7:22:01 AM,%RH,93.225
4/20/20 8:22:01 AM,%RH,77.212
4/20/20 9:22:01 AM,%RH,49.882
4/20/20 10:22:01 AM,%RH,50.657
4/20/20 11:22:01 AM,%RH,51.492
4/20/20 12:22:01 PM,%RH,45.944
4/20/20 1:22:01 PM,%RH,44.007
4/20/20 2:22:01 PM,%RH,61.901
4/20/20 3:22:01 PM,%RH,64.793
4/20/20 4:22:01 PM,%RH,69.357
4/20/20 5:22:01 PM,%RH,72.731
4/20/20 6:22:01 PM,%RH,80.419
4/20/20 7:22:01 PM,%RH,85.388
4/20/20 8:22:01 PM,%RH,91.556
4/20/20 9:22:01 PM,%RH,96.661
4/20/20 10:22:01 PM,%RH,97.815
4/20/20 11:22:01 PM,%RH,98.682
4/21/20 12:22:01 AM,%RH,99.139
4/21/20 1:22:01 AM,%RH,99.545
4/21/20 2:22:01 AM,%RH,99.595
4/21/20 3:22:01 AM,%RH,100.359
4/21/20 4:22:01 AM,%RH,99.451
4/21/20 5:22:01 AM,%RH,99.951
