1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000006CB5D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:04:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 21:04:01 PST 2020
Total Mission Samples:  4257
Total Device Samples:  12232
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 9:04:01 PM,%RH,99.324
2/7/20 10:04:01 PM,%RH,100.009
2/7/20 11:04:01 PM,%RH,100.039
2/8/20 12:04:01 AM,%RH,99.543
2/8/20 1:04:01 AM,%RH,100.346
2/8/20 2:04:01 AM,%RH,101.096
2/8/20 3:04:01 AM,%RH,100.733
2/8/20 4:04:01 AM,%RH,100.733
2/8/20 5:04:01 AM,%RH,98.732
2/8/20 6:04:01 AM,%RH,99.149
2/8/20 7:04:01 AM,%RH,99.172
2/8/20 8:04:01 AM,%RH,58.391
2/8/20 9:04:01 AM,%RH,41.932
2/8/20 10:04:01 AM,%RH,42.75
2/8/20 11:04:01 AM,%RH,39.016
2/8/20 12:04:01 PM,%RH,42.818
2/8/20 1:04:01 PM,%RH,34.246
2/8/20 2:04:01 PM,%RH,33.844
2/8/20 3:04:01 PM,%RH,38.183
2/8/20 4:04:01 PM,%RH,53.923
2/8/20 5:04:01 PM,%RH,69.797
2/8/20 6:04:01 PM,%RH,82.085
2/8/20 7:04:01 PM,%RH,93.451
2/8/20 8:04:01 PM,%RH,98.171
2/8/20 9:04:01 PM,%RH,99.288
2/8/20 10:04:01 PM,%RH,99.648
2/8/20 11:04:01 PM,%RH,99.648
2/9/20 12:04:01 AM,%RH,99.591
2/9/20 1:04:01 AM,%RH,99.149
2/9/20 2:04:01 AM,%RH,99.111
2/9/20 3:04:01 AM,%RH,100.814
2/9/20 4:04:01 AM,%RH,100.957
2/9/20 5:04:01 AM,%RH,100.184
2/9/20 6:04:01 AM,%RH,100.271
2/9/20 7:04:01 AM,%RH,99.882
2/9/20 8:04:01 AM,%RH,92.621
2/9/20 9:04:01 AM,%RH,42.529
2/9/20 10:04:01 AM,%RH,73.464
2/9/20 11:04:01 AM,%RH,35.617
2/9/20 12:04:01 PM,%RH,35.492
2/9/20 1:04:01 PM,%RH,30.69
2/9/20 2:04:01 PM,%RH,22.396
2/9/20 3:04:01 PM,%RH,25.038
2/9/20 4:04:01 PM,%RH,26.803
2/9/20 5:04:01 PM,%RH,25.892
2/9/20 6:04:01 PM,%RH,30.323
2/9/20 7:04:01 PM,%RH,28.352
2/9/20 8:04:01 PM,%RH,29.717
2/9/20 9:04:01 PM,%RH,32.202
2/9/20 10:04:01 PM,%RH,44.158
2/9/20 11:04:01 PM,%RH,56.686
2/10/20 12:04:01 AM,%RH,47.284
2/10/20 1:04:01 AM,%RH,42.892
2/10/20 2:04:01 AM,%RH,41.043
2/10/20 3:04:01 AM,%RH,33.54
2/10/20 4:04:01 AM,%RH,34.064
2/10/20 5:04:01 AM,%RH,35.46
2/10/20 6:04:01 AM,%RH,35.46
2/10/20 7:04:01 AM,%RH,40.675
2/10/20 8:04:01 AM,%RH,37.631
2/10/20 9:04:01 AM,%RH,38.743
2/10/20 10:04:01 AM,%RH,38.433
2/10/20 11:04:01 AM,%RH,35.049
2/10/20 12:04:01 PM,%RH,30.741
2/10/20 1:04:01 PM,%RH,26.477
2/10/20 2:04:01 PM,%RH,25.495
2/10/20 3:04:01 PM,%RH,24.676
