1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 21:42:01 PST 2020
Total Mission Samples:  4258
Total Device Samples:  12299
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 9:42:01 PM,%RH,96.446
2/7/20 10:42:01 PM,%RH,99.238
2/7/20 11:42:01 PM,%RH,98.261
2/8/20 12:42:01 AM,%RH,98.665
2/8/20 1:42:01 AM,%RH,100.028
2/8/20 2:42:01 AM,%RH,100.479
2/8/20 3:42:01 AM,%RH,99.553
2/8/20 4:42:01 AM,%RH,97.312
2/8/20 5:42:01 AM,%RH,98.233
2/8/20 6:42:01 AM,%RH,96.849
2/8/20 7:42:01 AM,%RH,86.616
2/8/20 8:42:01 AM,%RH,52.549
2/8/20 9:42:01 AM,%RH,27.629
2/8/20 10:42:01 AM,%RH,19.081
2/8/20 11:42:01 AM,%RH,24.102
2/8/20 12:42:01 PM,%RH,29.188
2/8/20 1:42:01 PM,%RH,29.546
2/8/20 2:42:01 PM,%RH,42.324
2/8/20 3:42:01 PM,%RH,52.083
2/8/20 4:42:01 PM,%RH,68.764
2/8/20 5:42:01 PM,%RH,77.469
2/8/20 6:42:01 PM,%RH,89.88
2/8/20 7:42:01 PM,%RH,94.728
2/8/20 8:42:01 PM,%RH,98.362
2/8/20 9:42:01 PM,%RH,98.326
2/8/20 10:42:01 PM,%RH,98.261
2/8/20 11:42:01 PM,%RH,100.081
2/9/20 12:42:01 AM,%RH,100.561
2/9/20 1:42:01 AM,%RH,100.457
2/9/20 2:42:01 AM,%RH,100.953
2/9/20 3:42:01 AM,%RH,99.848
2/9/20 4:42:01 AM,%RH,98.485
2/9/20 5:42:01 AM,%RH,98.53
2/9/20 6:42:01 AM,%RH,98.986
2/9/20 7:42:01 AM,%RH,95.34
2/9/20 8:42:01 AM,%RH,61.346
2/9/20 9:42:01 AM,%RH,53.358
2/9/20 10:42:01 AM,%RH,35.492
2/9/20 11:42:01 AM,%RH,28.917
2/9/20 12:42:01 PM,%RH,22.222
2/9/20 1:42:01 PM,%RH,23.08
2/9/20 2:42:01 PM,%RH,28.427
2/9/20 3:42:01 PM,%RH,28.378
2/9/20 4:42:01 PM,%RH,30.84
2/9/20 5:42:01 PM,%RH,32.535
2/9/20 6:42:01 PM,%RH,31.873
2/9/20 7:42:01 PM,%RH,33.122
2/9/20 8:42:01 PM,%RH,34.365
2/9/20 9:42:01 PM,%RH,42.467
2/9/20 10:42:01 PM,%RH,49.694
2/9/20 11:42:01 PM,%RH,52.137
2/10/20 12:42:01 AM,%RH,36.762
2/10/20 1:42:01 AM,%RH,41.196
2/10/20 2:42:01 AM,%RH,37.41
2/10/20 3:42:01 AM,%RH,32.318
2/10/20 4:42:01 AM,%RH,34.877
2/10/20 5:42:01 AM,%RH,38.057
2/10/20 6:42:01 AM,%RH,35.673
2/10/20 7:42:01 AM,%RH,39.152
2/10/20 8:42:01 AM,%RH,25.384
2/10/20 9:42:01 AM,%RH,23.56
2/10/20 10:42:01 AM,%RH,18.002
2/10/20 11:42:01 AM,%RH,17.639
2/10/20 12:42:01 PM,%RH,20.055
2/10/20 1:42:01 PM,%RH,19.734
2/10/20 2:42:01 PM,%RH,28.974
2/10/20 3:42:01 PM,%RH,33.192
2/10/20 4:42:01 PM,%RH,29.058
2/10/20 5:42:01 PM,%RH,28.834
2/10/20 6:42:01 PM,%RH,28.76
2/10/20 7:42:01 PM,%RH,23.485
2/10/20 8:42:01 PM,%RH,24.556
2/10/20 9:42:01 PM,%RH,24.482
2/10/20 10:42:01 PM,%RH,24.408
2/10/20 11:42:01 PM,%RH,31.441
2/11/20 12:42:01 AM,%RH,46.414
2/11/20 1:42:01 AM,%RH,38.427
2/11/20 2:42:01 AM,%RH,26.153
2/11/20 3:42:01 AM,%RH,40.927
2/11/20 4:42:01 AM,%RH,39.139
2/11/20 5:42:01 AM,%RH,61.26
2/11/20 6:42:01 AM,%RH,64.72
2/11/20 7:42:01 AM,%RH,42.138
2/11/20 8:42:01 AM,%RH,29.076
2/11/20 9:42:01 AM,%RH,21.842
2/11/20 10:42:01 AM,%RH,16.976
2/11/20 11:42:01 AM,%RH,23.511
2/11/20 12:42:01 PM,%RH,21.73
2/11/20 1:42:01 PM,%RH,21.462
2/11/20 2:42:01 PM,%RH,33.612
2/11/20 3:42:01 PM,%RH,47.571
2/11/20 4:42:01 PM,%RH,36.763
2/11/20 5:42:01 PM,%RH,58.771
2/11/20 6:42:01 PM,%RH,71.084
2/11/20 7:42:01 PM,%RH,62.211
2/11/20 8:42:01 PM,%RH,59.185
2/11/20 9:42:01 PM,%RH,68.209
2/11/20 10:42:01 PM,%RH,64.866
2/11/20 11:42:01 PM,%RH,68.163
2/12/20 12:42:01 AM,%RH,73.641
2/12/20 1:42:01 AM,%RH,78.393
2/12/20 2:42:01 AM,%RH,84.05
2/12/20 3:42:01 AM,%RH,79.972
2/12/20 4:42:01 AM,%RH,80.495
2/12/20 5:42:01 AM,%RH,86.055
2/12/20 6:42:01 AM,%RH,82.539
2/12/20 7:42:01 AM,%RH,74.506
2/12/20 8:42:01 AM,%RH,45.451
2/12/20 9:42:01 AM,%RH,40.064
2/12/20 10:42:01 AM,%RH,21.944
2/12/20 11:42:01 AM,%RH,23.457
2/12/20 12:42:01 PM,%RH,25.589
2/12/20 1:42:01 PM,%RH,26.755
2/12/20 2:42:01 PM,%RH,36.236
2/12/20 3:42:01 PM,%RH,52.611
2/12/20 4:42:01 PM,%RH,58.987
2/12/20 5:42:01 PM,%RH,66.51
2/12/20 6:42:01 PM,%RH,79.98
2/12/20 7:42:01 PM,%RH,90.255
2/12/20 8:42:01 PM,%RH,88.864
2/12/20 9:42:01 PM,%RH,93.56
2/12/20 10:42:01 PM,%RH,94.952
2/12/20 11:42:01 PM,%RH,93.98
2/13/20 12:42:01 AM,%RH,95.865
2/13/20 1:42:01 AM,%RH,96.775
2/13/20 2:42:01 AM,%RH,98.162
2/13/20 3:42:01 AM,%RH,98.127
2/13/20 4:42:01 AM,%RH,99.059
2/13/20 5:42:01 AM,%RH,98.573
2/13/20 6:42:01 AM,%RH,99.059
2/13/20 7:42:01 AM,%RH,84.335
2/13/20 8:42:01 AM,%RH,60.889
2/13/20 9:42:01 AM,%RH,36.541
2/13/20 10:42:01 AM,%RH,32.36
2/13/20 11:42:01 AM,%RH,22.972
2/13/20 12:42:01 PM,%RH,23.239
2/13/20 1:42:01 PM,%RH,29.599
2/13/20 2:42:01 PM,%RH,38.36
2/13/20 3:42:01 PM,%RH,47.007
2/13/20 4:42:01 PM,%RH,56.925
2/13/20 5:42:01 PM,%RH,68.597
2/13/20 6:42:01 PM,%RH,80.095
2/13/20 7:42:01 PM,%RH,89.887
2/13/20 8:42:01 PM,%RH,92.191
2/13/20 9:42:01 PM,%RH,90.293
2/13/20 10:42:01 PM,%RH,93.054
2/13/20 11:42:01 PM,%RH,94.952
2/14/20 12:42:01 AM,%RH,93.054
2/14/20 1:42:01 AM,%RH,93.504
2/14/20 2:42:01 AM,%RH,93.48
2/14/20 3:42:01 AM,%RH,95.804
2/14/20 4:42:01 AM,%RH,96.257
2/14/20 5:42:01 AM,%RH,97.666
2/14/20 6:42:01 AM,%RH,97.652
2/14/20 7:42:01 AM,%RH,89.521
2/14/20 8:42:01 AM,%RH,56.716
2/14/20 9:42:01 AM,%RH,35.321
2/14/20 10:42:01 AM,%RH,27.573
2/14/20 11:42:01 AM,%RH,25.021
2/14/20 12:42:01 PM,%RH,22.755
2/14/20 1:42:01 PM,%RH,26.334
2/14/20 2:42:01 PM,%RH,35.096
2/14/20 3:42:01 PM,%RH,45.766
2/14/20 4:42:01 PM,%RH,60.389
2/14/20 5:42:01 PM,%RH,68.669
2/14/20 6:42:01 PM,%RH,79.572
2/14/20 7:42:01 PM,%RH,90.861
2/14/20 8:42:01 PM,%RH,93.625
2/14/20 9:42:01 PM,%RH,94.572
2/14/20 10:42:01 PM,%RH,97.341
2/14/20 11:42:01 PM,%RH,97.341
2/15/20 12:42:01 AM,%RH,97.723
2/15/20 1:42:01 AM,%RH,97.723
2/15/20 2:42:01 AM,%RH,98.62
2/15/20 3:42:01 AM,%RH,98.602
2/15/20 4:42:01 AM,%RH,98.586
2/15/20 5:42:01 AM,%RH,99.031
2/15/20 6:42:01 AM,%RH,97.64
2/15/20 7:42:01 AM,%RH,89.88
2/15/20 8:42:01 AM,%RH,62.041
2/15/20 9:42:01 AM,%RH,37.865
2/15/20 10:42:01 AM,%RH,26.245
2/15/20 11:42:01 AM,%RH,24.965
2/15/20 12:42:01 PM,%RH,22.485
2/15/20 1:42:01 PM,%RH,27.442
2/15/20 2:42:01 PM,%RH,41.025
2/15/20 3:42:01 PM,%RH,53.293
2/15/20 4:42:01 PM,%RH,65.093
2/15/20 5:42:01 PM,%RH,71.592
2/15/20 6:42:01 PM,%RH,84.722
2/15/20 7:42:01 PM,%RH,89.979
2/15/20 8:42:01 PM,%RH,95.625
2/15/20 9:42:01 PM,%RH,97.062
2/15/20 10:42:01 PM,%RH,95.548
2/15/20 11:42:01 PM,%RH,97.833
2/16/20 12:42:01 AM,%RH,98.261
2/16/20 1:42:01 AM,%RH,98.719
2/16/20 2:42:01 AM,%RH,97.773
2/16/20 3:42:01 AM,%RH,97.773
2/16/20 4:42:01 AM,%RH,95.48
2/16/20 5:42:01 AM,%RH,96.384
2/16/20 6:42:01 AM,%RH,95.45
2/16/20 7:42:01 AM,%RH,88.408
2/16/20 8:42:01 AM,%RH,58.455
2/16/20 9:42:01 AM,%RH,35.876
2/16/20 10:42:01 AM,%RH,26.995
2/16/20 11:42:01 AM,%RH,25.076
2/16/20 12:42:01 PM,%RH,21.998
2/16/20 1:42:01 PM,%RH,28.341
2/16/20 2:42:01 PM,%RH,42.465
2/16/20 3:42:01 PM,%RH,57.104
2/16/20 4:42:01 PM,%RH,69.371
2/16/20 5:42:01 PM,%RH,74.479
2/16/20 6:42:01 PM,%RH,83.069
