1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7A0000006D9B0D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:55:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 20:55:01 PST 2020
Total Mission Samples:  4257
Total Device Samples:  13052
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 8:55:01 PM,%RH,97.081
2/7/20 9:55:01 PM,%RH,97.381
2/7/20 10:55:01 PM,%RH,97.161
2/7/20 11:55:01 PM,%RH,97.69
2/8/20 12:55:01 AM,%RH,98.343
2/8/20 1:55:01 AM,%RH,98.676
2/8/20 2:55:01 AM,%RH,98.343
2/8/20 3:55:01 AM,%RH,98.337
2/8/20 4:55:01 AM,%RH,98.376
2/8/20 5:55:01 AM,%RH,98.411
2/8/20 6:55:01 AM,%RH,95.689
2/8/20 7:55:01 AM,%RH,55.147
2/8/20 8:55:01 AM,%RH,37.244
2/8/20 9:55:01 AM,%RH,25.716
2/8/20 10:55:01 AM,%RH,23.224
2/8/20 11:55:01 AM,%RH,26.866
2/8/20 12:55:01 PM,%RH,26.645
2/8/20 1:55:01 PM,%RH,25.824
2/8/20 2:55:01 PM,%RH,36.351
2/8/20 3:55:01 PM,%RH,60.402
2/8/20 4:55:01 PM,%RH,71.751
2/8/20 5:55:01 PM,%RH,80.06
2/8/20 6:55:01 PM,%RH,91.701
2/8/20 7:55:01 PM,%RH,95.388
2/8/20 8:55:01 PM,%RH,96.39
2/8/20 9:55:01 PM,%RH,97.4
2/8/20 10:55:01 PM,%RH,97.74
2/8/20 11:55:01 PM,%RH,98.041
2/9/20 12:55:01 AM,%RH,99.352
2/9/20 1:55:01 AM,%RH,98.343
2/9/20 2:55:01 AM,%RH,98.392
2/9/20 3:55:01 AM,%RH,97.942
2/9/20 4:55:01 AM,%RH,93.435
2/9/20 5:55:01 AM,%RH,94.893
2/9/20 6:55:01 AM,%RH,95.651
2/9/20 7:55:01 AM,%RH,83.667
2/9/20 8:55:01 AM,%RH,39.143
2/9/20 9:55:01 AM,%RH,53.903
2/9/20 10:55:01 AM,%RH,31.823
2/9/20 11:55:01 AM,%RH,16.504
2/9/20 12:55:01 PM,%RH,22.288
2/9/20 1:55:01 PM,%RH,14.426
2/9/20 2:55:01 PM,%RH,18.523
2/9/20 3:55:01 PM,%RH,22.074
2/9/20 4:55:01 PM,%RH,22.798
2/9/20 5:55:01 PM,%RH,24.761
2/9/20 6:55:01 PM,%RH,23.986
2/9/20 7:55:01 PM,%RH,25.312
2/9/20 8:55:01 PM,%RH,25.238
2/9/20 9:55:01 PM,%RH,32.466
2/9/20 10:55:01 PM,%RH,55.355
2/9/20 11:55:01 PM,%RH,46.251
2/10/20 12:55:01 AM,%RH,32.395
2/10/20 1:55:01 AM,%RH,34.322
2/10/20 2:55:01 AM,%RH,27.861
2/10/20 3:55:01 AM,%RH,25.787
2/10/20 4:55:01 AM,%RH,27.246
2/10/20 5:55:01 AM,%RH,28.62
2/10/20 6:55:01 AM,%RH,29.377
2/10/20 7:55:01 AM,%RH,23.011
2/10/20 8:55:01 AM,%RH,22.237
2/10/20 9:55:01 AM,%RH,16.029
2/10/20 10:55:01 AM,%RH,14.692
2/10/20 11:55:01 AM,%RH,18.519
2/10/20 12:55:01 PM,%RH,15.175
2/10/20 1:55:01 PM,%RH,15.121
2/10/20 2:55:01 PM,%RH,17.246
2/10/20 3:55:01 PM,%RH,29.159
2/10/20 4:55:01 PM,%RH,26.453
2/10/20 5:55:01 PM,%RH,28.081
2/10/20 6:55:01 PM,%RH,20.738
2/10/20 7:55:01 PM,%RH,18.58
2/10/20 8:55:01 PM,%RH,21.793
2/10/20 9:55:01 PM,%RH,34.182
2/10/20 10:55:01 PM,%RH,38.692
2/10/20 11:55:01 PM,%RH,48.321
2/11/20 12:55:01 AM,%RH,59.127
2/11/20 1:55:01 AM,%RH,24.944
2/11/20 2:55:01 AM,%RH,22.132
2/11/20 3:55:01 AM,%RH,26.189
2/11/20 4:55:01 AM,%RH,51.044
2/11/20 5:55:01 AM,%RH,71.644
2/11/20 6:55:01 AM,%RH,64.679
2/11/20 7:55:01 AM,%RH,22.395
2/11/20 8:55:01 AM,%RH,18.396
2/11/20 9:55:01 AM,%RH,16.082
2/11/20 10:55:01 AM,%RH,14.797
2/11/20 11:55:01 AM,%RH,14.252
2/11/20 12:55:01 PM,%RH,13.291
2/11/20 1:55:01 PM,%RH,14.797
2/11/20 2:55:01 PM,%RH,19.456
2/11/20 3:55:01 PM,%RH,37.674
2/11/20 4:55:01 PM,%RH,56.583
2/11/20 5:55:01 PM,%RH,74.903
2/11/20 6:55:01 PM,%RH,78.13
2/11/20 7:55:01 PM,%RH,58.535
2/11/20 8:55:01 PM,%RH,62.08
2/11/20 9:55:01 PM,%RH,66.835
2/11/20 10:55:01 PM,%RH,55.062
2/11/20 11:55:01 PM,%RH,72.8
2/12/20 12:55:01 AM,%RH,76.625
2/12/20 1:55:01 AM,%RH,81.166
2/12/20 2:55:01 AM,%RH,83.782
2/12/20 3:55:01 AM,%RH,77.162
2/12/20 4:55:01 AM,%RH,79.813
2/12/20 5:55:01 AM,%RH,84.641
2/12/20 6:55:01 AM,%RH,85.067
2/12/20 7:55:01 AM,%RH,38.756
2/12/20 8:55:01 AM,%RH,30.492
2/12/20 9:55:01 AM,%RH,25.394
2/12/20 10:55:01 AM,%RH,23.062
2/12/20 11:55:01 AM,%RH,23.838
2/12/20 12:55:01 PM,%RH,23.676
2/12/20 1:55:01 PM,%RH,26.319
2/12/20 2:55:01 PM,%RH,30.746
2/12/20 3:55:01 PM,%RH,58.504
2/12/20 4:55:01 PM,%RH,63.374
2/12/20 5:55:01 PM,%RH,79.346
2/12/20 6:55:01 PM,%RH,88.112
2/12/20 7:55:01 PM,%RH,93.867
2/12/20 8:55:01 PM,%RH,90.809
2/12/20 9:55:01 PM,%RH,95.645
2/12/20 10:55:01 PM,%RH,95.94
2/12/20 11:55:01 PM,%RH,96.278
2/13/20 12:55:01 AM,%RH,97.317
2/13/20 1:55:01 AM,%RH,97.35
2/13/20 2:55:01 AM,%RH,95.94
2/13/20 3:55:01 AM,%RH,97.35
2/13/20 4:55:01 AM,%RH,97.007
2/13/20 5:55:01 AM,%RH,97.659
2/13/20 6:55:01 AM,%RH,98.027
2/13/20 7:55:01 AM,%RH,55.648
2/13/20 8:55:01 AM,%RH,36.671
2/13/20 9:55:01 AM,%RH,26.373
2/13/20 10:55:01 AM,%RH,23.224
2/13/20 11:55:01 AM,%RH,23.387
2/13/20 12:55:01 PM,%RH,24.503
2/13/20 1:55:01 PM,%RH,24.612
2/13/20 2:55:01 PM,%RH,41.897
2/13/20 3:55:01 PM,%RH,52.705
2/13/20 4:55:01 PM,%RH,61.219
2/13/20 5:55:01 PM,%RH,73.721
2/13/20 6:55:01 PM,%RH,88.286
2/13/20 7:55:01 PM,%RH,92.029
2/13/20 8:55:01 PM,%RH,96.04
2/13/20 9:55:01 PM,%RH,93.477
2/13/20 10:55:01 PM,%RH,96.65
2/13/20 11:55:01 PM,%RH,96.64
2/14/20 12:55:01 AM,%RH,95.611
2/14/20 1:55:01 AM,%RH,95.611
2/14/20 2:55:01 AM,%RH,95.932
2/14/20 3:55:01 AM,%RH,97.315
