1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 250000006D981041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:45:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 19:45:01 PST 2020
Total Mission Samples:  4256
Total Device Samples:  11912
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 7:45:01 PM,%RH,90.225
2/7/20 8:45:01 PM,%RH,95.132
2/7/20 9:45:01 PM,%RH,97.642
2/7/20 10:45:01 PM,%RH,95.933
2/7/20 11:45:01 PM,%RH,97.174
2/8/20 12:45:01 AM,%RH,97.952
2/8/20 1:45:01 AM,%RH,96.268
2/8/20 2:45:01 AM,%RH,93.598
2/8/20 3:45:01 AM,%RH,94.465
2/8/20 4:45:01 AM,%RH,93.537
2/8/20 5:45:01 AM,%RH,95.257
2/8/20 6:45:01 AM,%RH,92.603
2/8/20 7:45:01 AM,%RH,63.356
2/8/20 8:45:01 AM,%RH,38.971
2/8/20 9:45:01 AM,%RH,26.86
2/8/20 10:45:01 AM,%RH,23.099
2/8/20 11:45:01 AM,%RH,29.376
2/8/20 12:45:01 PM,%RH,31.338
2/8/20 1:45:01 PM,%RH,27.824
2/8/20 2:45:01 PM,%RH,31.864
2/8/20 3:45:01 PM,%RH,35.005
2/8/20 4:45:01 PM,%RH,62.788
2/8/20 5:45:01 PM,%RH,75.021
2/8/20 6:45:01 PM,%RH,88.154
2/8/20 7:45:01 PM,%RH,93.485
2/8/20 8:45:01 PM,%RH,97.326
2/8/20 9:45:01 PM,%RH,98.11
2/8/20 10:45:01 PM,%RH,99.746
2/8/20 11:45:01 PM,%RH,99.322
2/9/20 12:45:01 AM,%RH,100.557
2/9/20 1:45:01 AM,%RH,100.137
2/9/20 2:45:01 AM,%RH,100.62
2/9/20 3:45:01 AM,%RH,99.982
2/9/20 4:45:01 AM,%RH,97.759
2/9/20 5:45:01 AM,%RH,97.37
2/9/20 6:45:01 AM,%RH,96.936
2/9/20 7:45:01 AM,%RH,86.97
2/9/20 8:45:01 AM,%RH,50.992
2/9/20 9:45:01 AM,%RH,46.201
2/9/20 10:45:01 AM,%RH,26.267
2/9/20 11:45:01 AM,%RH,20.461
2/9/20 12:45:01 PM,%RH,18.107
2/9/20 1:45:01 PM,%RH,15.32
2/9/20 2:45:01 PM,%RH,19.389
2/9/20 3:45:01 PM,%RH,19.28
2/9/20 4:45:01 PM,%RH,25.116
2/9/20 5:45:01 PM,%RH,28.864
2/9/20 6:45:01 PM,%RH,28.183
2/9/20 7:45:01 PM,%RH,28.109
2/9/20 8:45:01 PM,%RH,28.718
2/9/20 9:45:01 PM,%RH,34.547
