1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000069B5FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:10:01 PDT 2020
Mission Sample Count:  2586
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:10:01 PDT 2020
Total Mission Samples:  2586
Total Device Samples:  9124
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:10:01 PM,%RH,98.115
4/10/20 6:10:01 PM,%RH,95.672
4/10/20 7:10:01 PM,%RH,100.2
4/10/20 8:10:01 PM,%RH,99.2
4/10/20 9:10:01 PM,%RH,99.2
4/10/20 10:10:01 PM,%RH,99.696
4/10/20 11:10:01 PM,%RH,99.2
4/11/20 12:10:01 AM,%RH,100.194
4/11/20 1:10:01 AM,%RH,99.699
4/11/20 2:10:01 AM,%RH,99.705
4/11/20 3:10:01 AM,%RH,100.703
4/11/20 4:10:01 AM,%RH,98.198
4/11/20 5:10:01 AM,%RH,98.115
4/11/20 6:10:01 AM,%RH,97.549
4/11/20 7:10:01 AM,%RH,98.44
4/11/20 8:10:01 AM,%RH,98.034
4/11/20 9:10:01 AM,%RH,100.209
4/11/20 10:10:01 AM,%RH,99.697
4/11/20 11:10:01 AM,%RH,98.772
4/11/20 12:10:01 PM,%RH,98.867
4/11/20 1:10:01 PM,%RH,97.972
4/11/20 2:10:01 PM,%RH,98.547
4/11/20 3:10:01 PM,%RH,98.634
4/11/20 4:10:01 PM,%RH,97.688
4/11/20 5:10:01 PM,%RH,98.186
4/11/20 6:10:01 PM,%RH,97.595
4/11/20 7:10:01 PM,%RH,96.51
4/11/20 8:10:01 PM,%RH,95.395
4/11/20 9:10:01 PM,%RH,95.309
4/11/20 10:10:01 PM,%RH,94.737
4/11/20 11:10:01 PM,%RH,94.183
4/12/20 12:10:01 AM,%RH,93.661
4/12/20 1:10:01 AM,%RH,93.139
4/12/20 2:10:01 AM,%RH,92.617
4/12/20 3:10:01 AM,%RH,92.099
4/12/20 4:10:01 AM,%RH,90.532
4/12/20 5:10:01 AM,%RH,90.528
4/12/20 6:10:01 AM,%RH,90.004
4/12/20 7:10:01 AM,%RH,88.42
4/12/20 8:10:01 AM,%RH,87.889
4/12/20 9:10:01 AM,%RH,86.822
4/12/20 10:10:01 AM,%RH,85.749
4/12/20 11:10:01 AM,%RH,85.205
4/12/20 12:10:01 PM,%RH,85.21
4/12/20 1:10:01 PM,%RH,84.127
4/12/20 2:10:01 PM,%RH,84.127
4/12/20 3:10:01 PM,%RH,82.491
4/12/20 4:10:01 PM,%RH,82.484
4/12/20 5:10:01 PM,%RH,81.935
4/12/20 6:10:01 PM,%RH,81.935
4/12/20 7:10:01 PM,%RH,81.384
4/12/20 8:10:01 PM,%RH,81.378
4/12/20 9:10:01 PM,%RH,80.832
4/12/20 10:10:01 PM,%RH,80.278
4/12/20 11:10:01 PM,%RH,80.278
4/13/20 12:10:01 AM,%RH,80.278
4/13/20 1:10:01 AM,%RH,80.271
4/13/20 2:10:01 AM,%RH,78.101
4/13/20 3:10:01 AM,%RH,78.02
4/13/20 4:10:01 AM,%RH,76.926
4/13/20 5:10:01 AM,%RH,77.474
4/13/20 6:10:01 AM,%RH,76.376
4/13/20 7:10:01 AM,%RH,77.395
4/13/20 8:10:01 AM,%RH,78.02
4/13/20 9:10:01 AM,%RH,80.832
4/13/20 10:10:01 AM,%RH,80.325
4/13/20 11:10:01 AM,%RH,81.481
4/13/20 12:10:01 PM,%RH,80.932
4/13/20 1:10:01 PM,%RH,80.932
4/13/20 2:10:01 PM,%RH,80.403
4/13/20 3:10:01 PM,%RH,80.403
4/13/20 4:10:01 PM,%RH,79.85
4/13/20 5:10:01 PM,%RH,78.717
4/13/20 6:10:01 PM,%RH,78.138
4/13/20 7:10:01 PM,%RH,77.558
4/13/20 8:10:01 PM,%RH,76.415
4/13/20 9:10:01 PM,%RH,77.496
4/13/20 10:10:01 PM,%RH,77.485
4/13/20 11:10:01 PM,%RH,76.347
4/14/20 12:10:01 AM,%RH,74.242
4/14/20 1:10:01 AM,%RH,74.161
4/14/20 2:10:01 AM,%RH,74.717
4/14/20 3:10:01 AM,%RH,74.083
4/14/20 4:10:01 AM,%RH,75.117
4/14/20 5:10:01 AM,%RH,73.932
4/14/20 6:10:01 AM,%RH,74.487
4/14/20 7:10:01 AM,%RH,73.858
4/14/20 8:10:01 AM,%RH,74.487
4/14/20 9:10:01 AM,%RH,75.825
4/14/20 10:10:01 AM,%RH,78.629
4/14/20 11:10:01 AM,%RH,80.403
4/14/20 12:10:01 PM,%RH,80.542
4/14/20 1:10:01 PM,%RH,80.73
4/14/20 2:10:01 PM,%RH,76.8
4/14/20 3:10:01 PM,%RH,71.92
4/14/20 4:10:01 PM,%RH,67.429
4/14/20 5:10:01 PM,%RH,67.485
4/14/20 6:10:01 PM,%RH,67.375
4/14/20 7:10:01 PM,%RH,66.682
4/14/20 8:10:01 PM,%RH,66.537
4/14/20 9:10:01 PM,%RH,66.993
4/14/20 10:10:01 PM,%RH,66.284
4/14/20 11:10:01 PM,%RH,66.801
4/15/20 12:10:01 AM,%RH,66.767
4/15/20 1:10:01 AM,%RH,67.293
4/15/20 2:10:01 AM,%RH,67.824
4/15/20 3:10:01 AM,%RH,67.21
4/15/20 4:10:01 AM,%RH,68.924
4/15/20 5:10:01 AM,%RH,68.904
4/15/20 6:10:01 AM,%RH,69.488
4/15/20 7:10:01 AM,%RH,69.47
4/15/20 8:10:01 AM,%RH,69.488
4/15/20 9:10:01 AM,%RH,71.896
4/15/20 10:10:01 AM,%RH,72.612
4/15/20 11:10:01 AM,%RH,72.835
4/15/20 12:10:01 PM,%RH,71.344
4/15/20 1:10:01 PM,%RH,69.241
4/15/20 2:10:01 PM,%RH,64.108
4/15/20 3:10:01 PM,%RH,57.564
4/15/20 4:10:01 PM,%RH,55.775
4/15/20 5:10:01 PM,%RH,58.729
4/15/20 6:10:01 PM,%RH,59.829
4/15/20 7:10:01 PM,%RH,58.996
4/15/20 8:10:01 PM,%RH,58.84
4/15/20 9:10:01 PM,%RH,58.65
4/15/20 10:10:01 PM,%RH,59.129
4/15/20 11:10:01 PM,%RH,59.01
4/16/20 12:10:01 AM,%RH,59.546
4/16/20 1:10:01 AM,%RH,60.12
4/16/20 2:10:01 AM,%RH,61.871
4/16/20 3:10:01 AM,%RH,62.445
4/16/20 4:10:01 AM,%RH,62.992
4/16/20 5:10:01 AM,%RH,63.568
4/16/20 6:10:01 AM,%RH,63.523
4/16/20 7:10:01 AM,%RH,64.123
4/16/20 8:10:01 AM,%RH,65.319
4/16/20 9:10:01 AM,%RH,66.527
4/16/20 10:10:01 AM,%RH,67.774
4/16/20 11:10:01 AM,%RH,69.051
4/16/20 12:10:01 PM,%RH,65.693
4/16/20 1:10:01 PM,%RH,60.613
4/16/20 2:10:01 PM,%RH,60.429
4/16/20 3:10:01 PM,%RH,60.949
4/16/20 4:10:01 PM,%RH,62.114
4/16/20 5:10:01 PM,%RH,62.114
4/16/20 6:10:01 PM,%RH,62.076
4/16/20 7:10:01 PM,%RH,62.076
4/16/20 8:10:01 PM,%RH,60.87
4/16/20 9:10:01 PM,%RH,61.474
4/16/20 10:10:01 PM,%RH,62.676
4/16/20 11:10:01 PM,%RH,61.474
4/17/20 12:10:01 AM,%RH,62.076
4/17/20 1:10:01 AM,%RH,62.039
4/17/20 2:10:01 AM,%RH,63.239
4/17/20 3:10:01 AM,%RH,62.604
4/17/20 4:10:01 AM,%RH,62.604
4/17/20 5:10:01 AM,%RH,63.203
4/17/20 6:10:01 AM,%RH,63.169
4/17/20 7:10:01 AM,%RH,63.169
