1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1600000069B95C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:20:01 PDT 2020
Mission Sample Count:  2590
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:20:01 PDT 2020
Total Mission Samples:  2590
Total Device Samples:  8823
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:20:01 PM,F,57.416
4/10/20 6:20:01 PM,F,59.221
4/10/20 7:20:01 PM,F,61.026
4/10/20 8:20:01 PM,F,62.83
4/10/20 9:20:01 PM,F,62.83
4/10/20 10:20:01 PM,F,62.83
4/10/20 11:20:01 PM,F,61.928
4/11/20 12:20:01 AM,F,61.928
4/11/20 1:20:01 AM,F,61.026
4/11/20 2:20:01 AM,F,60.124
4/11/20 3:20:01 AM,F,59.221
4/11/20 4:20:01 AM,F,58.319
4/11/20 5:20:01 AM,F,57.416
4/11/20 6:20:01 AM,F,56.514
4/11/20 7:20:01 AM,F,56.514
4/11/20 8:20:01 AM,F,57.416
4/11/20 9:20:01 AM,F,61.026
4/11/20 10:20:01 AM,F,65.535
4/11/20 11:20:01 AM,F,70.042
4/11/20 12:20:01 PM,F,73.645
4/11/20 1:20:01 PM,F,76.346
4/11/20 2:20:01 PM,F,78.146
4/11/20 3:20:01 PM,F,79.946
4/11/20 4:20:01 PM,F,80.846
4/11/20 5:20:01 PM,F,79.946
4/11/20 6:20:01 PM,F,79.046
4/11/20 7:20:01 PM,F,76.346
4/11/20 8:20:01 PM,F,73.645
4/11/20 9:20:01 PM,F,70.943
4/11/20 10:20:01 PM,F,68.239
4/11/20 11:20:01 PM,F,66.437
4/12/20 12:20:01 AM,F,64.633
4/12/20 1:20:01 AM,F,63.732
4/12/20 2:20:01 AM,F,63.732
4/12/20 3:20:01 AM,F,62.83
4/12/20 4:20:01 AM,F,61.928
4/12/20 5:20:01 AM,F,61.928
4/12/20 6:20:01 AM,F,61.026
4/12/20 7:20:01 AM,F,61.026
4/12/20 8:20:01 AM,F,61.026
4/12/20 9:20:01 AM,F,61.026
4/12/20 10:20:01 AM,F,61.026
4/12/20 11:20:01 AM,F,61.026
4/12/20 12:20:01 PM,F,61.026
4/12/20 1:20:01 PM,F,61.026
4/12/20 2:20:01 PM,F,61.026
4/12/20 3:20:01 PM,F,61.026
4/12/20 4:20:01 PM,F,61.026
4/12/20 5:20:01 PM,F,61.026
4/12/20 6:20:01 PM,F,61.026
4/12/20 7:20:01 PM,F,60.124
4/12/20 8:20:01 PM,F,60.124
4/12/20 9:20:01 PM,F,60.124
4/12/20 10:20:01 PM,F,60.124
4/12/20 11:20:01 PM,F,60.124
4/13/20 12:20:01 AM,F,60.124
4/13/20 1:20:01 AM,F,59.221
4/13/20 2:20:01 AM,F,58.319
4/13/20 3:20:01 AM,F,58.319
4/13/20 4:20:01 AM,F,58.319
4/13/20 5:20:01 AM,F,58.319
4/13/20 6:20:01 AM,F,57.416
4/13/20 7:20:01 AM,F,57.416
4/13/20 8:20:01 AM,F,57.416
4/13/20 9:20:01 AM,F,61.026
4/13/20 10:20:01 AM,F,64.633
4/13/20 11:20:01 AM,F,66.437
4/13/20 12:20:01 PM,F,66.437
4/13/20 1:20:01 PM,F,67.338
4/13/20 2:20:01 PM,F,68.239
4/13/20 3:20:01 PM,F,68.239
4/13/20 4:20:01 PM,F,67.338
4/13/20 5:20:01 PM,F,67.338
4/13/20 6:20:01 PM,F,66.437
4/13/20 7:20:01 PM,F,65.535
4/13/20 8:20:01 PM,F,63.732
4/13/20 9:20:01 PM,F,61.928
4/13/20 10:20:01 PM,F,60.124
4/13/20 11:20:01 PM,F,59.221
4/14/20 12:20:01 AM,F,58.319
4/14/20 1:20:01 AM,F,58.319
4/14/20 2:20:01 AM,F,57.416
4/14/20 3:20:01 AM,F,56.514
4/14/20 4:20:01 AM,F,56.514
4/14/20 5:20:01 AM,F,55.611
4/14/20 6:20:01 AM,F,54.708
4/14/20 7:20:01 AM,F,54.708
4/14/20 8:20:01 AM,F,55.611
4/14/20 9:20:01 AM,F,59.221
4/14/20 10:20:01 AM,F,63.732
4/14/20 11:20:01 AM,F,69.141
4/14/20 12:20:01 PM,F,73.645
4/14/20 1:20:01 PM,F,77.246
4/14/20 2:20:01 PM,F,76.346
4/14/20 3:20:01 PM,F,80.846
4/14/20 4:20:01 PM,F,83.544
4/14/20 5:20:01 PM,F,83.544
4/14/20 6:20:01 PM,F,81.745
4/14/20 7:20:01 PM,F,79.046
4/14/20 8:20:01 PM,F,77.246
4/14/20 9:20:01 PM,F,74.545
4/14/20 10:20:01 PM,F,71.843
4/14/20 11:20:01 PM,F,70.042
4/15/20 12:20:01 AM,F,69.141
4/15/20 1:20:01 AM,F,67.338
4/15/20 2:20:01 AM,F,65.535
4/15/20 3:20:01 AM,F,64.633
4/15/20 4:20:01 AM,F,63.732
4/15/20 5:20:01 AM,F,62.83
4/15/20 6:20:01 AM,F,61.928
4/15/20 7:20:01 AM,F,61.026
4/15/20 8:20:01 AM,F,62.83
4/15/20 9:20:01 AM,F,66.437
4/15/20 10:20:01 AM,F,71.843
4/15/20 11:20:01 AM,F,76.346
4/15/20 12:20:01 PM,F,80.846
4/15/20 1:20:01 PM,F,84.443
4/15/20 2:20:01 PM,F,87.141
4/15/20 3:20:01 PM,F,88.938
4/15/20 4:20:01 PM,F,88.938
4/15/20 5:20:01 PM,F,87.141
4/15/20 6:20:01 PM,F,85.343
4/15/20 7:20:01 PM,F,81.745
4/15/20 8:20:01 PM,F,79.046
4/15/20 9:20:01 PM,F,75.446
4/15/20 10:20:01 PM,F,72.744
4/15/20 11:20:01 PM,F,70.042
4/16/20 12:20:01 AM,F,68.239
4/16/20 1:20:01 AM,F,67.338
4/16/20 2:20:01 AM,F,65.535
4/16/20 3:20:01 AM,F,64.633
4/16/20 4:20:01 AM,F,62.83
4/16/20 5:20:01 AM,F,61.928
4/16/20 6:20:01 AM,F,61.026
4/16/20 7:20:01 AM,F,60.124
4/16/20 8:20:01 AM,F,61.026
4/16/20 9:20:01 AM,F,61.928
4/16/20 10:20:01 AM,F,64.633
4/16/20 11:20:01 AM,F,68.239
4/16/20 12:20:01 PM,F,71.843
4/16/20 1:20:01 PM,F,79.046
4/16/20 2:20:01 PM,F,74.545
4/16/20 3:20:01 PM,F,73.645
4/16/20 4:20:01 PM,F,72.744
4/16/20 5:20:01 PM,F,71.843
4/16/20 6:20:01 PM,F,71.843
4/16/20 7:20:01 PM,F,70.943
4/16/20 8:20:01 PM,F,70.943
4/16/20 9:20:01 PM,F,71.843
4/16/20 10:20:01 PM,F,71.843
4/16/20 11:20:01 PM,F,71.843
4/17/20 12:20:01 AM,F,70.943
4/17/20 1:20:01 AM,F,70.943
4/17/20 2:20:01 AM,F,70.042
4/17/20 3:20:01 AM,F,70.042
4/17/20 4:20:01 AM,F,69.141
4/17/20 5:20:01 AM,F,69.141
4/17/20 6:20:01 AM,F,69.141
4/17/20 7:20:01 AM,F,69.141
4/17/20 8:20:01 AM,F,69.141
4/17/20 9:20:01 AM,F,67.338
4/17/20 10:20:01 AM,F,68.239
4/17/20 11:20:01 AM,F,77.246
4/17/20 12:20:01 PM,F,85.343
4/17/20 1:20:01 PM,F,87.141
4/17/20 2:20:01 PM,F,82.645
4/17/20 3:20:01 PM,F,83.544
4/17/20 4:20:01 PM,F,70.042
4/17/20 5:20:01 PM,F,63.732
4/17/20 6:20:01 PM,F,58.319
4/17/20 7:20:01 PM,F,52.902
4/17/20 8:20:01 PM,F,52.902
4/17/20 9:20:01 PM,F,53.805
4/17/20 10:20:01 PM,F,52.902
4/17/20 11:20:01 PM,F,52.902
4/18/20 12:20:01 AM,F,51.999
4/18/20 1:20:01 AM,F,51.999
4/18/20 2:20:01 AM,F,51.999
4/18/20 3:20:01 AM,F,51.999
4/18/20 4:20:01 AM,F,51.999
4/18/20 5:20:01 AM,F,51.095
4/18/20 6:20:01 AM,F,51.095
4/18/20 7:20:01 AM,F,53.805
4/18/20 8:20:01 AM,F,60.124
4/18/20 9:20:01 AM,F,66.437
4/18/20 10:20:01 AM,F,63.732
4/18/20 11:20:01 AM,F,66.437
4/18/20 12:20:01 PM,F,68.239
4/18/20 1:20:01 PM,F,68.239
4/18/20 2:20:01 PM,F,63.732
4/18/20 3:20:01 PM,F,68.239
4/18/20 4:20:01 PM,F,61.928
4/18/20 5:20:01 PM,F,60.124
4/18/20 6:20:01 PM,F,58.319
4/18/20 7:20:01 PM,F,54.708
4/18/20 8:20:01 PM,F,50.192
4/18/20 9:20:01 PM,F,48.385
4/18/20 10:20:01 PM,F,51.999
4/18/20 11:20:01 PM,F,51.999
4/19/20 12:20:01 AM,F,51.999
4/19/20 1:20:01 AM,F,51.999
4/19/20 2:20:01 AM,F,51.095
4/19/20 3:20:01 AM,F,48.385
4/19/20 4:20:01 AM,F,49.288
4/19/20 5:20:01 AM,F,50.192
4/19/20 6:20:01 AM,F,44.769
4/19/20 7:20:01 AM,F,51.999
4/19/20 8:20:01 AM,F,61.928
4/19/20 9:20:01 AM,F,70.943
4/19/20 10:20:01 AM,F,75.446
4/19/20 11:20:01 AM,F,85.343
4/19/20 12:20:01 PM,F,88.039
4/19/20 1:20:01 PM,F,83.544
4/19/20 2:20:01 PM,F,79.946
4/19/20 3:20:01 PM,F,79.046
4/19/20 4:20:01 PM,F,70.943
4/19/20 5:20:01 PM,F,63.732
4/19/20 6:20:01 PM,F,57.416
4/19/20 7:20:01 PM,F,54.708
4/19/20 8:20:01 PM,F,51.999
4/19/20 9:20:01 PM,F,52.902
4/19/20 10:20:01 PM,F,53.805
4/19/20 11:20:01 PM,F,52.902
4/20/20 12:20:01 AM,F,48.385
4/20/20 1:20:01 AM,F,46.577
4/20/20 2:20:01 AM,F,51.095
4/20/20 3:20:01 AM,F,51.999
4/20/20 4:20:01 AM,F,51.999
4/20/20 5:20:01 AM,F,50.192
4/20/20 6:20:01 AM,F,50.192
4/20/20 7:20:01 AM,F,55.611
4/20/20 8:20:01 AM,F,63.732
4/20/20 9:20:01 AM,F,75.446
4/20/20 10:20:01 AM,F,83.544
4/20/20 11:20:01 AM,F,80.846
4/20/20 12:20:01 PM,F,88.938
4/20/20 1:20:01 PM,F,79.046
4/20/20 2:20:01 PM,F,70.943
4/20/20 3:20:01 PM,F,68.239
4/20/20 4:20:01 PM,F,66.437
4/20/20 5:20:01 PM,F,63.732
4/20/20 6:20:01 PM,F,60.124
4/20/20 7:20:01 PM,F,56.514
4/20/20 8:20:01 PM,F,51.999
4/20/20 9:20:01 PM,F,50.192
4/20/20 10:20:01 PM,F,45.673
4/20/20 11:20:01 PM,F,44.769
4/21/20 12:20:01 AM,F,42.96
4/21/20 1:20:01 AM,F,44.769
4/21/20 2:20:01 AM,F,45.673
4/21/20 3:20:01 AM,F,41.151
4/21/20 4:20:01 AM,F,42.056
4/21/20 5:20:01 AM,F,42.96
4/21/20 6:20:01 AM,F,42.96
4/21/20 7:20:01 AM,F,62.83
4/21/20 8:20:01 AM,F,79.946
4/21/20 9:20:01 AM,F,78.146
4/21/20 10:20:01 AM,F,85.343
4/21/20 11:20:01 AM,F,88.039
4/21/20 12:20:01 PM,F,88.039
4/21/20 1:20:01 PM,F,93.43
4/21/20 2:20:01 PM,F,93.43
4/21/20 3:20:01 PM,F,95.226
4/21/20 4:20:01 PM,F,86.242
4/21/20 5:20:01 PM,F,68.239
4/21/20 6:20:01 PM,F,63.732
4/21/20 7:20:01 PM,F,60.124
4/21/20 8:20:01 PM,F,58.319
4/21/20 9:20:01 PM,F,59.221
4/21/20 10:20:01 PM,F,57.416
4/21/20 11:20:01 PM,F,55.611
4/22/20 12:20:01 AM,F,47.481
4/22/20 1:20:01 AM,F,50.192
4/22/20 2:20:01 AM,F,47.481
4/22/20 3:20:01 AM,F,56.514
4/22/20 4:20:01 AM,F,59.221
