1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C6000000697C7541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:13:01 PDT 2020
Mission Sample Count:  2587
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:13:01 PDT 2020
Total Mission Samples:  2587
Total Device Samples:  9069
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:13:01 PM,F,57.343
4/10/20 6:13:01 PM,F,58.246
4/10/20 7:13:01 PM,F,60.05
4/10/20 8:13:01 PM,F,61.854
4/10/20 9:13:01 PM,F,61.854
4/10/20 10:13:01 PM,F,61.854
4/10/20 11:13:01 PM,F,61.854
4/11/20 12:13:01 AM,F,60.952
4/11/20 1:13:01 AM,F,60.952
4/11/20 2:13:01 AM,F,60.05
4/11/20 3:13:01 AM,F,59.148
4/11/20 4:13:01 AM,F,58.246
4/11/20 5:13:01 AM,F,57.343
4/11/20 6:13:01 AM,F,56.441
4/11/20 7:13:01 AM,F,55.539
4/11/20 8:13:01 AM,F,56.441
4/11/20 9:13:01 AM,F,60.05
4/11/20 10:13:01 AM,F,64.559
4/11/20 11:13:01 AM,F,69.065
4/11/20 12:13:01 PM,F,72.668
4/11/20 1:13:01 PM,F,75.369
4/11/20 2:13:01 PM,F,78.069
4/11/20 3:13:01 PM,F,79.868
4/11/20 4:13:01 PM,F,80.768
4/11/20 5:13:01 PM,F,79.868
4/11/20 6:13:01 PM,F,78.069
4/11/20 7:13:01 PM,F,76.269
4/11/20 8:13:01 PM,F,73.568
4/11/20 9:13:01 PM,F,69.966
4/11/20 10:13:01 PM,F,67.263
4/11/20 11:13:01 PM,F,65.46
4/12/20 12:13:01 AM,F,64.559
4/12/20 1:13:01 AM,F,63.657
4/12/20 2:13:01 AM,F,62.755
4/12/20 3:13:01 AM,F,62.755
4/12/20 4:13:01 AM,F,61.854
4/12/20 5:13:01 AM,F,60.952
4/12/20 6:13:01 AM,F,60.952
4/12/20 7:13:01 AM,F,60.952
4/12/20 8:13:01 AM,F,60.05
4/12/20 9:13:01 AM,F,60.952
4/12/20 10:13:01 AM,F,60.952
4/12/20 11:13:01 AM,F,60.05
4/12/20 12:13:01 PM,F,60.952
4/12/20 1:13:01 PM,F,60.952
4/12/20 2:13:01 PM,F,60.952
4/12/20 3:13:01 PM,F,60.952
4/12/20 4:13:01 PM,F,60.05
4/12/20 5:13:01 PM,F,60.05
4/12/20 6:13:01 PM,F,60.05
4/12/20 7:13:01 PM,F,60.05
4/12/20 8:13:01 PM,F,59.148
4/12/20 9:13:01 PM,F,60.05
4/12/20 10:13:01 PM,F,60.05
4/12/20 11:13:01 PM,F,60.05
4/13/20 12:13:01 AM,F,60.05
4/13/20 1:13:01 AM,F,59.148
4/13/20 2:13:01 AM,F,58.246
4/13/20 3:13:01 AM,F,57.343
4/13/20 4:13:01 AM,F,57.343
4/13/20 5:13:01 AM,F,57.343
4/13/20 6:13:01 AM,F,57.343
4/13/20 7:13:01 AM,F,56.441
4/13/20 8:13:01 AM,F,57.343
4/13/20 9:13:01 AM,F,60.05
4/13/20 10:13:01 AM,F,64.559
4/13/20 11:13:01 AM,F,66.361
4/13/20 12:13:01 PM,F,66.361
4/13/20 1:13:01 PM,F,67.263
4/13/20 2:13:01 PM,F,68.164
4/13/20 3:13:01 PM,F,67.263
4/13/20 4:13:01 PM,F,67.263
4/13/20 5:13:01 PM,F,66.361
4/13/20 6:13:01 PM,F,65.46
4/13/20 7:13:01 PM,F,64.559
4/13/20 8:13:01 PM,F,62.755
4/13/20 9:13:01 PM,F,60.952
4/13/20 10:13:01 PM,F,59.148
4/13/20 11:13:01 PM,F,59.148
4/14/20 12:13:01 AM,F,58.246
4/14/20 1:13:01 AM,F,57.343
4/14/20 2:13:01 AM,F,56.441
4/14/20 3:13:01 AM,F,56.441
4/14/20 4:13:01 AM,F,55.539
4/14/20 5:13:01 AM,F,54.636
4/14/20 6:13:01 AM,F,54.636
4/14/20 7:13:01 AM,F,53.733
4/14/20 8:13:01 AM,F,54.636
4/14/20 9:13:01 AM,F,58.246
4/14/20 10:13:01 AM,F,62.755
4/14/20 11:13:01 AM,F,68.164
4/14/20 12:13:01 PM,F,72.668
4/14/20 1:13:01 PM,F,76.269
4/14/20 2:13:01 PM,F,75.369
4/14/20 3:13:01 PM,F,79.868
4/14/20 4:13:01 PM,F,83.466
4/14/20 5:13:01 PM,F,83.466
4/14/20 6:13:01 PM,F,81.667
4/14/20 7:13:01 PM,F,78.968
4/14/20 8:13:01 PM,F,76.269
