1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000006D9ABD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:53:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 20:53:01 PST 2020
Total Mission Samples:  4257
Total Device Samples:  13100
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 8:53:01 PM,F,42.986
2/7/20 9:53:01 PM,F,41.177
2/7/20 10:53:01 PM,F,43.891
2/7/20 11:53:01 PM,F,40.273
2/8/20 12:53:01 AM,F,38.463
2/8/20 1:53:01 AM,F,38.463
2/8/20 2:53:01 AM,F,38.463
2/8/20 3:53:01 AM,F,37.558
2/8/20 4:53:01 AM,F,41.177
2/8/20 5:53:01 AM,F,39.368
2/8/20 6:53:01 AM,F,41.177
2/8/20 7:53:01 AM,F,62.854
2/8/20 8:53:01 AM,F,73.669
2/8/20 9:53:01 AM,F,80.87
2/8/20 10:53:01 AM,F,91.659
2/8/20 11:53:01 AM,F,88.963
2/8/20 12:53:01 PM,F,79.971
2/8/20 1:53:01 PM,F,65.56
2/8/20 2:53:01 PM,F,63.756
2/8/20 3:53:01 PM,F,61.05
2/8/20 4:53:01 PM,F,56.539
2/8/20 5:53:01 PM,F,51.121
2/8/20 6:53:01 PM,F,45.699
2/8/20 7:53:01 PM,F,43.891
2/8/20 8:53:01 PM,F,42.986
2/8/20 9:53:01 PM,F,42.082
2/8/20 10:53:01 PM,F,40.273
2/8/20 11:53:01 PM,F,40.273
2/9/20 12:53:01 AM,F,39.368
2/9/20 1:53:01 AM,F,36.653
2/9/20 2:53:01 AM,F,38.463
2/9/20 3:53:01 AM,F,42.082
2/9/20 4:53:01 AM,F,42.986
2/9/20 5:53:01 AM,F,43.891
