1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E10000006CBCF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:42:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 21:42:01 PST 2020
Total Mission Samples:  4258
Total Device Samples:  12299
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 9:42:01 PM,F,39.335
2/7/20 10:42:01 PM,F,40.238
2/7/20 11:42:01 PM,F,38.432
2/8/20 12:42:01 AM,F,36.625
2/8/20 1:42:01 AM,F,36.625
2/8/20 2:42:01 AM,F,36.625
2/8/20 3:42:01 AM,F,35.722
2/8/20 4:42:01 AM,F,37.529
2/8/20 5:42:01 AM,F,37.529
2/8/20 6:42:01 AM,F,37.529
2/8/20 7:42:01 AM,F,52.873
2/8/20 8:42:01 AM,F,73.6
2/8/20 9:42:01 AM,F,94.289
2/8/20 10:42:01 AM,F,104.171
2/8/20 11:42:01 AM,F,93.39
2/8/20 12:42:01 PM,F,86.198
2/8/20 1:42:01 PM,F,80.8
2/8/20 2:42:01 PM,F,71.799
2/8/20 3:42:01 PM,F,62.79
2/8/20 4:42:01 PM,F,59.185
2/8/20 5:42:01 PM,F,54.676
2/8/20 6:42:01 PM,F,50.166
2/8/20 7:42:01 PM,F,42.946
2/8/20 8:42:01 PM,F,41.141
2/8/20 9:42:01 PM,F,40.238
2/8/20 10:42:01 PM,F,38.432
2/8/20 11:42:01 PM,F,38.432
2/9/20 12:42:01 AM,F,39.335
2/9/20 1:42:01 AM,F,35.722
2/9/20 2:42:01 AM,F,37.529
2/9/20 3:42:01 AM,F,43.849
2/9/20 4:42:01 AM,F,43.849
2/9/20 5:42:01 AM,F,44.752
2/9/20 6:42:01 AM,F,44.752
2/9/20 7:42:01 AM,F,45.654
2/9/20 8:42:01 AM,F,66.394
2/9/20 9:42:01 AM,F,63.691
2/9/20 10:42:01 AM,F,89.794
2/9/20 11:42:01 AM,F,81.7
2/9/20 12:42:01 PM,F,73.6
2/9/20 1:42:01 PM,F,76.3
2/9/20 2:42:01 PM,F,60.988
2/9/20 3:42:01 PM,F,60.086
2/9/20 4:42:01 PM,F,55.578
2/9/20 5:42:01 PM,F,51.971
2/9/20 6:42:01 PM,F,51.971
2/9/20 7:42:01 PM,F,51.068
2/9/20 8:42:01 PM,F,50.166
2/9/20 9:42:01 PM,F,46.557
2/9/20 10:42:01 PM,F,42.946
2/9/20 11:42:01 PM,F,42.946
2/10/20 12:42:01 AM,F,47.459
2/10/20 1:42:01 AM,F,46.557
2/10/20 2:42:01 AM,F,47.459
2/10/20 3:42:01 AM,F,49.264
2/10/20 4:42:01 AM,F,48.362
2/10/20 5:42:01 AM,F,47.459
2/10/20 6:42:01 AM,F,50.166
2/10/20 7:42:01 AM,F,60.086
2/10/20 8:42:01 AM,F,68.196
2/10/20 9:42:01 AM,F,84.399
2/10/20 10:42:01 AM,F,97.883
2/10/20 11:42:01 AM,F,91.592
2/10/20 12:42:01 PM,F,84.399
2/10/20 1:42:01 PM,F,79
2/10/20 2:42:01 PM,F,70.898
2/10/20 3:42:01 PM,F,60.988
2/10/20 4:42:01 PM,F,58.283
2/10/20 5:42:01 PM,F,55.578
2/10/20 6:42:01 PM,F,54.676
2/10/20 7:42:01 PM,F,56.48
2/10/20 8:42:01 PM,F,52.873
2/10/20 9:42:01 PM,F,51.971
2/10/20 10:42:01 PM,F,51.068
2/10/20 11:42:01 PM,F,46.557
2/11/20 12:42:01 AM,F,40.238
