1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E00000006D9B6E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:47:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 19:47:01 PST 2020
Total Mission Samples:  4256
Total Device Samples:  13074
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 7:47:01 PM,F,40.194
2/7/20 8:47:01 PM,F,39.29
2/7/20 9:47:01 PM,F,37.482
2/7/20 10:47:01 PM,F,39.29
2/7/20 11:47:01 PM,F,37.482
2/8/20 12:47:01 AM,F,35.673
2/8/20 1:47:01 AM,F,36.577
2/8/20 2:47:01 AM,F,37.482
2/8/20 3:47:01 AM,F,37.482
2/8/20 4:47:01 AM,F,37.482
2/8/20 5:47:01 AM,F,35.673
2/8/20 6:47:01 AM,F,37.482
2/8/20 7:47:01 AM,F,69.975
2/8/20 8:47:01 AM,F,84.377
2/8/20 9:47:01 AM,F,90.67
2/8/20 10:47:01 AM,F,94.264
2/8/20 11:47:01 AM,F,87.075
2/8/20 12:47:01 PM,F,84.377
2/8/20 1:47:01 PM,F,83.478
2/8/20 2:47:01 PM,F,74.478
2/8/20 3:47:01 PM,F,62.765
2/8/20 4:47:01 PM,F,59.158
2/8/20 5:47:01 PM,F,52.841
2/8/20 6:47:01 PM,F,47.423
2/8/20 7:47:01 PM,F,39.29
2/8/20 8:47:01 PM,F,39.29
2/8/20 9:47:01 PM,F,39.29
2/8/20 10:47:01 PM,F,37.482
2/8/20 11:47:01 PM,F,39.29
2/9/20 12:47:01 AM,F,38.386
2/9/20 1:47:01 AM,F,32.054
2/9/20 2:47:01 AM,F,37.482
2/9/20 3:47:01 AM,F,43.809
2/9/20 4:47:01 AM,F,42.002
2/9/20 5:47:01 AM,F,42.906
2/9/20 6:47:01 AM,F,42.906
2/9/20 7:47:01 AM,F,46.52
2/9/20 8:47:01 AM,F,78.079
2/9/20 9:47:01 AM,F,61.863
2/9/20 10:47:01 AM,F,89.772
2/9/20 11:47:01 AM,F,79.879
2/9/20 12:47:01 PM,F,64.568
2/9/20 1:47:01 PM,F,77.179
2/9/20 2:47:01 PM,F,60.962
2/9/20 3:47:01 PM,F,60.06
2/9/20 4:47:01 PM,F,56.451
2/9/20 5:47:01 PM,F,53.744
2/9/20 6:47:01 PM,F,53.744
2/9/20 7:47:01 PM,F,51.938
2/9/20 8:47:01 PM,F,51.938
2/9/20 9:47:01 PM,F,49.23
2/9/20 10:47:01 PM,F,43.809
2/9/20 11:47:01 PM,F,46.52
2/10/20 12:47:01 AM,F,48.327
2/10/20 1:47:01 AM,F,48.327
2/10/20 2:47:01 AM,F,49.23
2/10/20 3:47:01 AM,F,49.23
2/10/20 4:47:01 AM,F,49.23
2/10/20 5:47:01 AM,F,50.133
2/10/20 6:47:01 AM,F,51.036
2/10/20 7:47:01 AM,F,74.478
2/10/20 8:47:01 AM,F,61.863
2/10/20 9:47:01 AM,F,82.578
2/10/20 10:47:01 AM,F,87.075
2/10/20 11:47:01 AM,F,81.679
2/10/20 12:47:01 PM,F,78.979
2/10/20 1:47:01 PM,F,76.279
2/10/20 2:47:01 PM,F,78.979
2/10/20 3:47:01 PM,F,61.863
2/10/20 4:47:01 PM,F,60.06
2/10/20 5:47:01 PM,F,55.549
2/10/20 6:47:01 PM,F,57.353
2/10/20 7:47:01 PM,F,57.353
2/10/20 8:47:01 PM,F,52.841
2/10/20 9:47:01 PM,F,44.713
