1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000006D9DC141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 03:54:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 18:54:01 PST 2020
Total Mission Samples:  4255
Total Device Samples:  13045
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 6:54:01 PM,F,44.739
2/7/20 7:54:01 PM,F,42.933
2/7/20 8:54:01 PM,F,42.03
2/7/20 9:54:01 PM,F,40.224
2/7/20 10:54:01 PM,F,41.127
2/7/20 11:54:01 PM,F,38.418
2/8/20 12:54:01 AM,F,39.321
2/8/20 1:54:01 AM,F,38.418
2/8/20 2:54:01 AM,F,38.418
2/8/20 3:54:01 AM,F,39.321
2/8/20 4:54:01 AM,F,38.418
2/8/20 5:54:01 AM,F,35.708
2/8/20 6:54:01 AM,F,36.611
2/8/20 7:54:01 AM,F,70.887
2/8/20 8:54:01 AM,F,84.388
2/8/20 9:54:01 AM,F,92.481
2/8/20 10:54:01 AM,F,94.278
2/8/20 11:54:01 AM,F,87.086
2/8/20 12:54:01 PM,F,81.689
2/8/20 1:54:01 PM,F,81.689
2/8/20 2:54:01 PM,F,69.086
2/8/20 3:54:01 PM,F,64.581
2/8/20 4:54:01 PM,F,58.272
2/8/20 5:54:01 PM,F,52.861
2/8/20 6:54:01 PM,F,48.349
2/8/20 7:54:01 PM,F,42.03
2/8/20 8:54:01 PM,F,41.127
2/8/20 9:54:01 PM,F,41.127
2/8/20 10:54:01 PM,F,40.224
2/8/20 11:54:01 PM,F,39.321
2/9/20 12:54:01 AM,F,37.514
2/9/20 1:54:01 AM,F,35.708
2/9/20 2:54:01 AM,F,40.224
2/9/20 3:54:01 AM,F,44.739
2/9/20 4:54:01 AM,F,42.933
2/9/20 5:54:01 AM,F,43.836
2/9/20 6:54:01 AM,F,43.836
2/9/20 7:54:01 AM,F,46.544
2/9/20 8:54:01 AM,F,77.19
2/9/20 9:54:01 AM,F,59.173
2/9/20 10:54:01 AM,F,75.39
2/9/20 11:54:01 AM,F,78.09
2/9/20 12:54:01 PM,F,63.68
2/9/20 1:54:01 PM,F,78.99
2/9/20 2:54:01 PM,F,60.976
2/9/20 3:54:01 PM,F,60.976
2/9/20 4:54:01 PM,F,56.468
2/9/20 5:54:01 PM,F,52.861
2/9/20 6:54:01 PM,F,52.861
2/9/20 7:54:01 PM,F,51.958
2/9/20 8:54:01 PM,F,51.056
2/9/20 9:54:01 PM,F,47.447
2/9/20 10:54:01 PM,F,43.836
2/9/20 11:54:01 PM,F,46.544
2/10/20 12:54:01 AM,F,46.544
2/10/20 1:54:01 AM,F,47.447
2/10/20 2:54:01 AM,F,49.252
2/10/20 3:54:01 AM,F,49.252
2/10/20 4:54:01 AM,F,48.349
2/10/20 5:54:01 AM,F,49.252
2/10/20 6:54:01 AM,F,51.056
2/10/20 7:54:01 AM,F,69.086
2/10/20 8:54:01 AM,F,60.075
2/10/20 9:54:01 AM,F,87.986
2/10/20 10:54:01 AM,F,87.086
2/10/20 11:54:01 AM,F,85.288
2/10/20 12:54:01 PM,F,81.689
2/10/20 1:54:01 PM,F,79.89
2/10/20 2:54:01 PM,F,69.086
2/10/20 3:54:01 PM,F,62.779
2/10/20 4:54:01 PM,F,59.173
2/10/20 5:54:01 PM,F,56.468
2/10/20 6:54:01 PM,F,57.37
2/10/20 7:54:01 PM,F,54.665
2/10/20 8:54:01 PM,F,54.665
2/10/20 9:54:01 PM,F,48.349
2/10/20 10:54:01 PM,F,50.154
2/10/20 11:54:01 PM,F,43.836
2/11/20 12:54:01 AM,F,40.224
2/11/20 1:54:01 AM,F,47.447
2/11/20 2:54:01 AM,F,48.349
2/11/20 3:54:01 AM,F,47.447
2/11/20 4:54:01 AM,F,41.127
2/11/20 5:54:01 AM,F,38.418
2/11/20 6:54:01 AM,F,42.03
2/11/20 7:54:01 AM,F,72.688
2/11/20 8:54:01 AM,F,83.489
2/11/20 9:54:01 AM,F,89.784
2/11/20 10:54:01 AM,F,90.683
2/11/20 11:54:01 AM,F,89.784
2/11/20 12:54:01 PM,F,85.288
2/11/20 1:54:01 PM,F,85.288
2/11/20 2:54:01 PM,F,66.383
2/11/20 3:54:01 PM,F,59.173
2/11/20 4:54:01 PM,F,52.861
2/11/20 5:54:01 PM,F,43.836
