1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E0000006D97D541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:05:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 18:05:01 PST 2020
Total Mission Samples:  4254
Total Device Samples:  11889
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 6:05:01 PM,F,51.108
2/7/20 7:05:01 PM,F,44.784
2/7/20 8:05:01 PM,F,43.881
2/7/20 9:05:01 PM,F,42.977
2/7/20 10:05:01 PM,F,42.073
2/7/20 11:05:01 PM,F,41.168
2/8/20 12:05:01 AM,F,40.264
2/8/20 1:05:01 AM,F,41.168
2/8/20 2:05:01 AM,F,40.264
2/8/20 3:05:01 AM,F,38.455
2/8/20 4:05:01 AM,F,38.455
2/8/20 5:05:01 AM,F,38.455
2/8/20 6:05:01 AM,F,35.741
2/8/20 7:05:01 AM,F,38.455
2/8/20 8:05:01 AM,F,61.938
2/8/20 9:05:01 AM,F,75.453
2/8/20 10:05:01 AM,F,87.147
2/8/20 11:05:01 AM,F,96.131
2/8/20 12:05:01 PM,F,95.233
2/8/20 1:05:01 PM,F,94.335
2/8/20 2:05:01 PM,F,88.945
2/8/20 3:05:01 PM,F,84.45
2/8/20 4:05:01 PM,F,65.544
2/8/20 5:05:01 PM,F,57.427
2/8/20 6:05:01 PM,F,52.011
2/8/20 7:05:01 PM,F,47.495
2/8/20 8:05:01 PM,F,42.073
2/8/20 9:05:01 PM,F,41.168
2/8/20 10:05:01 PM,F,42.073
2/8/20 11:05:01 PM,F,39.36
2/9/20 12:05:01 AM,F,40.264
2/9/20 1:05:01 AM,F,38.455
2/9/20 2:05:01 AM,F,35.741
2/9/20 3:05:01 AM,F,42.977
2/9/20 4:05:01 AM,F,43.881
