Month,Year,precip
January,2020,0.39
February,2020,0.13
March,2020,5.11
April,2020,3.2
May,2020,0.1
June,2020,0
July,2020,0
August,2020,0
September,2020,0
October,2020,0
November,2020,0.16
December,2020,1.3
January,2021,1.36
February,2021,0
March,2021,0.95
April,2021,0
May,2021,0
June,2021,0
July,2021,0
August,2021,0.03
September,2021,0
October,2021,0.56
November,2021,0
December,2021,10.15
January,2022,0.84
February,2022,0
March,2022,1.49
April,2022,0.23
May,2022,0
June,2022,0
July,2022,0
August,2022,0
September,2022,0.11
October,2022,0.04
November,2022,1.35
December,2022,3.81
