"Plot Title: Hobo Station 1 (1,2,3,14,15)"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20310541, SEN S/N: 20316329, LBL: 434)","Water Content, m³/m³ (LGR S/N: 20310541, SEN S/N: 20316331, LBL: 1546)","Water Content, m³/m³ (LGR S/N: 20310541, SEN S/N: 20316335, LBL: 425)","Water Content, m³/m³ (LGR S/N: 20310541, SEN S/N: 20316336, LBL: 417)","Water Content, m³/m³ (LGR S/N: 20310541, SEN S/N: 20316338, LBL: 423)"
1,04/03/20 02:28:28 PM,0.2887,0.3095,0.3277,0.1816,0.2973
2,04/03/20 03:28:28 PM,0.2901,0.3106,0.3282,0.1836,0.2979
3,04/03/20 04:28:28 PM,0.2904,0.3110,0.3286,0.1849,0.2990
4,04/03/20 05:28:28 PM,0.2904,0.3113,0.3290,0.1859,0.2990
5,04/03/20 06:28:28 PM,0.2908,0.3118,0.3290,0.1862,0.2990
6,04/03/20 07:28:28 PM,0.2911,0.3113,0.3290,0.1859,0.2990
7,04/03/20 08:28:28 PM,0.2908,0.3110,0.3286,0.1862,0.2987
8,04/03/20 09:28:28 PM,0.2908,0.3110,0.3282,0.1859,0.2984
9,04/03/20 10:28:28 PM,0.2904,0.3102,0.3277,0.1859,0.2984
10,04/03/20 11:28:28 PM,0.2904,0.3098,0.3277,0.1853,0.2979
11,04/04/20 12:28:28 AM,0.2904,0.3095,0.3274,0.1853,0.2979
12,04/04/20 01:28:28 AM,0.2901,0.3095,0.3269,0.1853,0.2979
13,04/04/20 02:28:28 AM,0.2901,0.3092,0.3269,0.1859,0.2979
14,04/04/20 03:28:28 AM,0.2901,0.3095,0.3265,0.1859,0.2984
15,04/04/20 04:28:28 AM,0.2901,0.3092,0.3265,0.1859,0.2984
16,04/04/20 05:28:28 AM,0.2901,0.3095,0.3265,0.1862,0.2984
17,04/04/20 06:28:28 AM,0.2898,0.3092,0.3261,0.1866,0.2979
18,04/04/20 07:28:28 AM,0.2901,0.3095,0.3261,0.1872,0.2984
19,04/04/20 08:28:28 AM,0.2901,0.3095,0.3261,0.1876,0.2984
20,04/04/20 09:28:28 AM,0.2901,0.3095,0.3261,0.1881,0.2984
21,04/04/20 10:28:28 AM,0.2901,0.3095,0.3261,0.1881,0.2984
22,04/04/20 11:28:28 AM,0.2901,0.3095,0.3261,0.1885,0.2984
23,04/04/20 12:28:28 PM,0.2904,0.3098,0.3265,0.1885,0.2990
24,04/04/20 01:28:28 PM,0.2904,0.3095,0.3269,0.1881,0.2994
25,04/04/20 02:28:28 PM,0.2911,0.3102,0.3269,0.1885,0.3001
26,04/04/20 03:28:28 PM,0.2914,0.3102,0.3274,0.1891,0.3008
27,04/04/20 04:28:28 PM,0.2919,0.3106,0.3277,0.1895,0.3008
28,04/04/20 05:28:28 PM,0.2922,0.3106,0.3277,0.1898,0.3008
29,04/04/20 06:28:28 PM,0.2922,0.3106,0.3277,0.1904,0.3008
30,04/04/20 07:28:28 PM,0.2922,0.3106,0.3277,0.1898,0.3008
31,04/04/20 08:28:28 PM,0.2925,0.3106,0.3277,0.1895,0.3005
32,04/04/20 09:28:28 PM,0.2925,0.3102,0.3274,0.1895,0.3005
33,04/04/20 10:28:28 PM,0.2922,0.3102,0.3269,0.1898,0.3005
34,04/04/20 11:28:28 PM,0.2919,0.3095,0.3265,0.1895,0.3001
35,04/05/20 12:28:28 AM,0.2914,0.3092,0.3265,0.1895,0.3001
36,04/05/20 01:28:28 AM,0.2914,0.3092,0.3265,0.1895,0.2997
37,04/05/20 02:28:28 AM,0.2914,0.3092,0.3265,0.1891,0.2994
38,04/05/20 03:28:28 AM,0.2911,0.3084,0.3261,0.1885,0.2994
39,04/05/20 04:28:28 AM,0.2911,0.3087,0.3256,0.1885,0.2994
40,04/05/20 05:28:28 AM,0.2911,0.3080,0.3261,0.1885,0.2997
41,04/05/20 06:28:28 AM,0.2911,0.3084,0.3256,0.1885,0.2994
42,04/05/20 07:28:28 AM,0.2911,0.3080,0.3256,0.1885,0.2997
43,04/05/20 08:28:28 AM,0.2908,0.3084,0.3261,0.1881,0.2997
44,04/05/20 09:28:28 AM,0.2908,0.3080,0.3261,0.1881,0.2997
45,04/05/20 10:28:28 AM,0.2911,0.3080,0.3256,0.1891,0.3001
46,04/05/20 11:28:28 AM,0.2911,0.3084,0.3256,0.1885,0.3001
47,04/05/20 12:28:28 PM,0.2908,0.3084,0.3256,0.1885,0.2997
48,04/05/20 01:28:28 PM,0.2908,0.3077,0.3256,0.1885,0.2997
49,04/05/20 02:28:28 PM,0.2908,0.3080,0.3256,0.1885,0.2997
