"Plot Title: 20841601"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20841601, SEN S/N: 20841749, LBL: 1283)","Water Content, m³/m³ (LGR S/N: 20841601, SEN S/N: 20841750, LBL: 1294)","Water Content, m³/m³ (LGR S/N: 20841601, SEN S/N: 20841753, LBL: 1295)","Water Content, m³/m³ (LGR S/N: 20841601, SEN S/N: 20841755, LBL: 1296)","Water Content, m³/m³ (LGR S/N: 20841601, SEN S/N: 20841756, LBL: 1297)"
1,01/26/21 12:52:38 PM,0.2868,0.1009,0.2783,0.2579,0.2650
2,01/26/21 01:52:38 PM,0.2871,0.1014,0.2786,0.2579,0.2653
3,01/26/21 02:52:38 PM,0.2871,0.1020,0.2790,0.2579,0.2650
4,01/26/21 03:52:38 PM,0.2871,0.1020,0.2790,0.2579,0.2650
5,01/26/21 04:52:38 PM,0.2871,0.1025,0.2790,0.2579,0.2650
6,01/26/21 05:52:38 PM,0.2871,0.1025,0.2790,0.2579,0.2650
7,01/26/21 06:52:38 PM,0.2871,0.1025,0.2790,0.2575,0.2650
8,01/26/21 07:52:38 PM,0.2871,0.1025,0.2790,0.2575,0.2650
9,01/26/21 08:52:38 PM,0.2874,0.1025,0.2790,0.2579,0.2650
10,01/26/21 09:52:38 PM,0.2874,0.1025,0.2793,0.2575,0.2650
11,01/26/21 10:52:38 PM,0.2877,0.1025,0.2793,0.2575,0.2646
12,01/26/21 11:52:38 PM,0.2877,0.1025,0.2796,0.2571,0.2646
13,01/27/21 12:52:38 AM,0.2877,0.1025,0.2800,0.2575,0.2646
14,01/27/21 01:52:38 AM,0.2877,0.1025,0.2800,0.2575,0.2646
15,01/27/21 02:52:38 AM,0.2881,0.1036,0.2800,0.2579,0.2650
16,01/27/21 03:52:38 AM,0.2881,0.1036,0.2800,0.2579,0.2650
17,01/27/21 04:52:38 AM,0.2881,0.1036,0.2803,0.2582,0.2650
18,01/27/21 05:52:38 AM,0.2881,0.1042,0.2803,0.2582,0.2650
19,01/27/21 06:52:38 AM,0.2881,0.1042,0.2806,0.2582,0.2650
20,01/27/21 07:52:38 AM,0.2881,0.1047,0.2806,0.2582,0.2650
21,01/27/21 08:52:38 AM,0.2887,0.1053,0.2803,0.2596,0.2746
22,01/27/21 09:52:38 AM,0.2890,0.1064,0.2800,0.2600,0.2739
23,01/27/21 10:52:38 AM,0.2895,0.1069,0.2800,0.2618,0.2753
24,01/27/21 11:52:38 AM,0.2898,0.1069,0.2796,0.2666,0.2773
25,01/27/21 12:52:38 PM,0.2898,0.1075,0.2796,0.2664,0.2770
26,01/27/21 01:52:38 PM,0.2898,0.1075,0.2796,0.2660,0.2763
27,01/27/21 02:52:38 PM,0.2901,0.1080,0.2796,0.2660,0.2759
28,01/27/21 03:52:38 PM,0.2901,0.1085,0.2796,0.2664,0.2756
29,01/27/21 04:52:38 PM,0.2901,0.1085,0.2796,0.2660,0.2753
30,01/27/21 05:52:38 PM,0.2901,0.1085,0.2796,0.2657,0.2753
31,01/27/21 06:52:38 PM,0.2904,0.1085,0.2796,0.2657,0.2749
32,01/27/21 07:52:38 PM,0.2904,0.1085,0.2796,0.2653,0.2749
33,01/27/21 08:52:38 PM,0.2904,0.1085,0.2796,0.2653,0.2746
34,01/27/21 09:52:38 PM,0.2904,0.1085,0.2796,0.2653,0.2746
35,01/27/21 10:52:38 PM,0.2908,0.1085,0.2796,0.2650,0.2743
36,01/27/21 11:52:38 PM,0.2908,0.1085,0.2796,0.2650,0.2743
37,01/28/21 12:52:38 AM,0.2911,0.1085,0.2796,0.2653,0.2743
38,01/28/21 01:52:38 AM,0.2911,0.1085,0.2796,0.2650,0.2743
39,01/28/21 02:52:38 AM,0.2911,0.1085,0.2796,0.2650,0.2739
40,01/28/21 03:52:38 AM,0.2914,0.1085,0.2796,0.2650,0.2739
41,01/28/21 04:52:38 AM,0.2914,0.1085,0.2796,0.2650,0.2739
42,01/28/21 05:52:38 AM,0.2914,0.1091,0.2796,0.2646,0.2736
43,01/28/21 06:52:38 AM,0.2914,0.1085,0.2796,0.2650,0.2736
44,01/28/21 07:52:38 AM,0.2919,0.1091,0.2796,0.2646,0.2736
45,01/28/21 08:52:38 AM,0.2922,0.1091,0.2796,0.2646,0.2736
46,01/28/21 09:52:38 AM,0.2922,0.1091,0.2796,0.2646,0.2736
47,01/28/21 10:52:38 AM,0.2925,0.1096,0.2800,0.2650,0.2736
48,01/28/21 11:52:38 AM,0.2925,0.1091,0.2800,0.2650,0.2736
49,01/28/21 12:52:38 PM,0.2928,0.1091,0.2800,0.2646,0.2736
50,01/28/21 01:52:38 PM,0.2928,0.1096,0.2800,0.2650,0.2736
51,01/28/21 02:52:38 PM,0.2928,0.1096,0.2800,0.2650,0.2736
52,01/28/21 03:52:38 PM,0.2928,0.1096,0.2800,0.2646,0.2736
53,01/28/21 04:52:38 PM,0.2932,0.1096,0.2796,0.2646,0.2736
54,01/28/21 05:52:38 PM,0.3054,0.1122,0.2790,0.2684,0.2749
55,01/28/21 06:52:38 PM,0.3265,0.1656,0.2984,0.2938,0.3511
56,01/28/21 07:52:38 PM,0.3780,0.2452,0.3274,0.3008,0.3716
57,01/28/21 08:52:38 PM,0.3952,0.2650,0.3389,0.3058,0.3834
58,01/28/21 09:52:38 PM,0.3978,0.2756,0.3476,0.3098,0.3890
59,01/28/21 10:52:38 PM,0.3902,0.2803,0.3511,0.3113,0.3787
60,01/28/21 11:52:38 PM,0.3840,0.2824,0.3521,0.3125,0.3722
61,01/29/21 12:52:38 AM,0.3959,0.2911,0.3594,0.3163,0.3890
62,01/29/21 01:52:38 AM,0.3990,0.2946,0.3722,0.3187,0.3920
63,01/29/21 02:52:38 AM,0.3829,0.2922,0.3688,0.3175,0.3780
64,01/29/21 03:52:38 AM,0.3762,0.2901,0.3666,0.3183,0.3705
