date,plot,m1,m2,m3,m4,average,alive (yes or no),notes
1/7 - 1/13,4,8.2,8.9,7.6,,8.233333333,,
incomplete (battery issues),13,10.1,7.2,8.1,,8.466666667,y,
,34,14.4,18.1,8.2,14.9,13.9,n,
,37,9.8,10,10.5,,10.1,n,
,92,15.1,11.4,9.3,,11.93333333,n,
,97,10.9,13.2,8.6,,10.9,n,
,119,7.2,8.5,7.2,,7.633333333,n,
,133,9.2,8.7,10.2,,9.366666667,y,
,134,7.4,7.6,8.3,,7.766666667,n,
,138,9.4,8.9,9.8,,9.366666667,n,
,153,10.6,13.5,8.5,,10.86666667,n,
,155,13,11.6,10.4,,11.66666667,n,
,157,9.1,8.1,8.1,,8.433333333,n,
,166,7,7.7,15.2,15.5,11.35,n,
,190,14.3,15.7,9.7,,13.23333333,n,
,203,12.6,10.4,10.8,,11.26666667,n,
,205,10.6,15.4,8.3,8.3,10.65,n,
,223,9.4,7,10.1,,8.833333333,n,
,226,,,,,#DIV/0!,,
,241,,,,,#DIV/0!,,
,244,12.6,7.9,12.4,,10.96666667,y,
,253,,,,,#DIV/0!,,
,257,,,,,#DIV/0!,,
,270,9.2,10.8,9.6,,9.866666667,n,
,282,11.4,9.1,13.9,,11.46666667,,
,301,11.5,8.2,7.7,,9.133333333,n,
,332,17.4,15.4,15.6,,16.13333333,n,
,353,13.8,14.1,17.4,,15.1,n,
,371,16,16.2,9.8,16,14.5,n,
,403,9.6,14.1,9,16.4,12.275,n,
,417,8.8,9.8,8.6,,9.066666667,y,
,423,8.4,10.9,9.9,,9.733333333,y,
,425,14.9,17.7,16.6,,16.4,y,
,431,12.1,11,15.3,,12.8,,
,434,9.2,15.6,7.5,14,11.575,n,
,463,11.3,12.2,9.6,,11.03333333,n,
,475,16.5,9.8,14.5,14.8,13.9,n,
,493,10.7,10.3,8.9,,9.966666667,n,
,498,20.5,13.3,16.2,,16.66666667,n,
,519,8.4,9.3,9,,8.9,n,
,548,14.6,20.4,9.4,16.5,15.225,n,
,565,9.6,15.1,8.3,7.9,10.225,n,
,595,9.8,16.6,8.4,9,10.95,n,
,614,10,16.3,9.8,10.5,11.65,n,
,624,17,9.3,10.4,16.2,13.225,y,
,633,13.6,8.3,13,13.8,12.175,n,
,643,13.2,12.5,12.7,,12.8,n,
,672,15,14.4,10,,13.13333333,n,
,702,13,9.3,11.7,,11.33333333,y,
,726,10.6,17.1,10.9,14.5,13.275,n,
,740,10.8,11.1,10.6,,10.83333333,n,
,764,7.9,8.4,7.8,,8.033333333,n,
,783,14.8,15.9,18.4,,16.36666667,n,
,808,8.1,14.9,15,9.2,11.8,n,
,820,15.6,14.1,14.2,,14.63333333,n,
,839,12,12.2,10.7,,11.63333333,n,
,845,12.6,10,15.5,,12.7,n,
,857,14.4,9.6,13.7,,12.56666667,n,
,860,11.6,7.6,10.5,10.3,10,n,
,870,9,9.2,14.2,10.9,10.825,y,
,875,16.9,13.7,9.4,,13.33333333,y,
,878,9.7,10.8,9.6,,10.03333333,n,
,883,15,7.8,8.5,9,10.075,y,
,905,9,8.2,9,,8.733333333,n,
,918,17.4,14,16.4,,15.93333333,n,
,954,10.2,15.3,10.3,,11.93333333,n,
,971,7.6,9.6,16.2,15.4,12.2,n,
,979,11.2,8.2,17.5,9.5,11.6,n,
,990,15.9,11.1,10.7,,12.56666667,n,
,1015,,,,,#DIV/0!,,
,1026,,,,,#DIV/0!,,
,1033,,,,,#DIV/0!,,
,1040,,,,,#DIV/0!,,
,1064,,,,,#DIV/0!,,
,1087,,,,,#DIV/0!,,
,1096,,,,,#DIV/0!,,
,1110,,,,,#DIV/0!,,
,1113,,,,,#DIV/0!,,
,1124,,,,,#DIV/0!,,
,1130,,,,,#DIV/0!,,
,1131,,,,,#DIV/0!,,
,1132,,,,,#DIV/0!,,
,1140,,,,,#DIV/0!,,
,1155,,,,,#DIV/0!,,
,1161,,,,,#DIV/0!,,
,1164,,,,,#DIV/0!,,
,1167,,,,,#DIV/0!,,
,1177,,,,,#DIV/0!,,
,1182,,,,,#DIV/0!,,
,1188,,,,,#DIV/0!,,
,1190,,,,,#DIV/0!,,
,1195,,,,,#DIV/0!,,
,1219,7.4,8.4,10.3,,8.7,n,
,1232,,,,,#DIV/0!,,
,1234,,,,,#DIV/0!,,
,1242,,,,,#DIV/0!,,
,1257,,,,,#DIV/0!,,
,1265,,,,,#DIV/0!,,
,1280,16.3,14.6,18.2,,16.36666667,y,
,1297,14.5,16.2,16.3,,15.66666667,y,
,1309,,,,,#DIV/0!,,
,1313,,,,,#DIV/0!,,
,1327,,,,,#DIV/0!,,
,1346,,,,,#DIV/0!,,
,1349,,,,,#DIV/0!,,
,1353,,,,,#DIV/0!,,
,1356,,,,,#DIV/0!,,
,1367,,,,,#DIV/0!,,
,1385,,,,,#DIV/0!,,
,1388,,,,,#DIV/0!,,
,1390,8.2,7.8,7,,7.666666667,n,
,1413,,,,,#DIV/0!,,
,1415,,,,,#DIV/0!,,
,1546,9.3,16.7,14.6,8.8,12.35,n,
,1598,9.8,15.3,10.3,10.8,11.55,n,
,1647,,,,,#DIV/0!,,
