"","plot","soil_moisture","date"
"1",4,"8.233333333",2020-01-17
"2",13,"8.466666667",2020-01-17
"3",34,"13.9",2020-01-17
"4",37,"10.1",2020-01-17
"5",92,"11.93333333",2020-01-17
"6",97,"10.9",2020-01-17
"7",119,"7.633333333",2020-01-17
"8",133,"9.366666667",2020-01-17
"9",134,"7.766666667",2020-01-17
"10",138,"9.366666667",2020-01-17
"11",153,"10.86666667",2020-01-17
"12",155,"11.66666667",2020-01-17
"13",157,"8.433333333",2020-01-17
"14",166,"11.35",2020-01-17
"15",190,"13.23333333",2020-01-17
"16",203,"11.26666667",2020-01-17
"17",205,"10.65",2020-01-17
"18",223,"8.833333333",2020-01-17
"19",244,"10.96666667",2020-01-17
"20",270,"9.866666667",2020-01-17
"21",282,"11.46666667",2020-01-17
"22",301,"9.133333333",2020-01-17
"23",332,"16.13333333",2020-01-17
"24",353,"15.1",2020-01-17
"25",371,"14.5",2020-01-17
"26",403,"12.275",2020-01-17
"27",417,"9.066666667",2020-01-17
"28",423,"9.733333333",2020-01-17
"29",425,"16.4",2020-01-17
"30",431,"12.8",2020-01-17
"31",434,"11.575",2020-01-17
"32",463,"11.03333333",2020-01-17
"33",475,"13.9",2020-01-17
"34",493,"9.966666667",2020-01-17
"35",498,"16.66666667",2020-01-17
"36",519,"8.9",2020-01-17
"37",548,"15.225",2020-01-17
"38",565,"10.225",2020-01-17
"39",595,"10.95",2020-01-17
"40",614,"11.65",2020-01-17
"41",624,"13.225",2020-01-17
"42",633,"12.175",2020-01-17
"43",643,"12.8",2020-01-17
"44",672,"13.13333333",2020-01-17
"45",702,"11.33333333",2020-01-17
"46",726,"13.275",2020-01-17
"47",740,"10.83333333",2020-01-17
"48",764,"8.033333333",2020-01-17
"49",783,"16.36666667",2020-01-17
"50",808,"11.8",2020-01-17
"51",820,"14.63333333",2020-01-17
"52",839,"11.63333333",2020-01-17
"53",845,"12.7",2020-01-17
"54",857,"12.56666667",2020-01-17
"55",860,"10",2020-01-17
"56",870,"10.825",2020-01-17
"57",875,"13.33333333",2020-01-17
"58",878,"10.03333333",2020-01-17
"59",883,"10.075",2020-01-17
"60",905,"8.733333333",2020-01-17
"61",918,"15.93333333",2020-01-17
"62",954,"11.93333333",2020-01-17
"63",971,"12.2",2020-01-17
"64",979,"11.6",2020-01-17
"65",990,"12.56666667",2020-01-17
"66",1219,"8.7",2020-01-17
"67",1280,"16.36666667",2020-01-17
"68",1297,"15.66666667",2020-01-17
"69",1390,"7.666666667",2020-01-17
"70",1546,"12.35",2020-01-17
"71",1598,"11.55",2020-01-17
"72",4,"11.5666666666667",2020-04-10
"73",13,"13.2",2020-04-10
"74",34,"12.5333333333333",2020-04-10
"75",37,"12.7666666666667",2020-04-10
"76",92,"12.8",2020-04-10
"77",97,"16.2",2020-04-10
"78",119,"18.9666666666667",2020-04-10
"79",133,"11.4333333333333",2020-04-10
"80",138,"17.1666666666667",2020-04-10
"81",153,"11.7666666666667",2020-04-10
"82",155,"14.2",2020-04-10
"83",157,"13.8",2020-04-10
"84",166,"16.0333333333333",2020-04-10
"85",190,"15.2666666666667",2020-04-10
"86",203,"19.1333333333333",2020-04-10
"87",205,"9.83333333333333",2020-04-10
"88",223,"14.2",2020-04-10
"89",226,"13.4666666666667",2020-04-10
"90",241,"13.6666666666667",2020-04-10
"91",244,"14",2020-04-10
"92",253,"15.1666666666667",2020-04-10
"93",257,"16.5",2020-04-10
"94",270,"13.0333333333333",2020-04-10
"95",282,"17.075",2020-04-10
"96",301,"9.25",2020-04-10
"97",332,"13.6666666666667",2020-04-10
"98",353,"14.325",2020-04-10
"99",403,"10.8333333333333",2020-04-10
"100",417,"12.3666666666667",2020-04-10
"101",423,"11.3",2020-04-10
"102",425,"14.6",2020-04-10
"103",431,"13.3",2020-04-10
"104",434,"8.875",2020-04-10
"105",463,"8.3",2020-04-10
"106",475,"11.7",2020-04-10
"107",493,"9.13333333333333",2020-04-10
"108",498,"10.3333333333333",2020-04-10
"109",519,"11.2333333333333",2020-04-10
"110",548,"13.3666666666667",2020-04-10
"111",565,"8.1",2020-04-10
"112",595,"9.6",2020-04-10
"113",614,"11.1",2020-04-10
"114",624,"8.66666666666667",2020-04-10
"115",633,"11.1666666666667",2020-04-10
"116",643,"10.3333333333333",2020-04-10
"117",672,"12.9666666666667",2020-04-10
"118",702,"8.43333333333333",2020-04-10
"119",726,"10.6",2020-04-10
"120",740,"8.95",2020-04-10
"121",764,"9.26666666666667",2020-04-10
"122",783,"9.93333333333333",2020-04-10
"123",808,"10.8",2020-04-10
"124",820,"9.4",2020-04-10
"125",839,"5.33333333333333",2020-04-10
"126",845,"9.06666666666667",2020-04-10
"127",857,"8.33333333333333",2020-04-10
"128",860,"6.95",2020-04-10
"129",870,"11.1666666666667",2020-04-10
"130",878,"10.4333333333333",2020-04-10
"131",883,"16.2333333333333",2020-04-10
"132",918,"15.1",2020-04-10
"133",954,"15.3",2020-04-10
"134",971,"8.23333333333333",2020-04-10
"135",979,"5.56666666666667",2020-04-10
"136",990,"7.43333333333333",2020-04-10
"137",1026,"21.1",2020-04-10
"138",1033,"15.3666666666667",2020-04-10
"139",1040,"14.4666666666667",2020-04-10
"140",1064,"11.425",2020-04-10
"141",1087,"11.5",2020-04-10
"142",1096,"15.8",2020-04-10
"143",1155,"11.5",2020-04-10
"144",1164,"12.7333333333333",2020-04-10
"145",1167,"11.5333333333333",2020-04-10
"146",1177,"6.46666666666667",2020-04-10
"147",1182,"15.9",2020-04-10
"148",1188,"16.0666666666667",2020-04-10
"149",1190,"14.8",2020-04-10
"150",1195,"11.2333333333333",2020-04-10
"151",1219,"7.5",2020-04-10
"152",1232,"9.73333333333333",2020-04-10
"153",1234,"13.1",2020-04-10
"154",1257,"12.9666666666667",2020-04-10
"155",1349,"16.65",2020-04-10
"156",1367,"8.36666666666667",2020-04-10
"157",1388,"15.65",2020-04-10
"158",1446,"8.3",2020-04-10
"159",1546,"11.6",2020-04-10
"160",4,"23.6",2020-04-23
"161",13,"20.425",2020-04-23
"162",34,"23.6",2020-04-23
"163",37,"26.6",2020-04-23
"164",92,"24.4",2020-04-23
"165",97,"26.06666667",2020-04-23
"166",119,"21.675",2020-04-23
"167",133,"23.5",2020-04-23
"168",134,"22.53333333",2020-04-23
"169",138,"27.4",2020-04-23
"170",153,"26.76666667",2020-04-23
"171",155,"23.46666667",2020-04-23
"172",157,"23.46666667",2020-04-23
"173",166,"26.8",2020-04-23
"174",190,"24.83333333",2020-04-23
"175",203,"26.95",2020-04-23
"176",205,"29.56666667",2020-04-23
"177",223,"29.625",2020-04-23
"178",226,"20.825",2020-04-23
"179",241,"22.925",2020-04-23
"180",244,"24.7",2020-04-23
"181",253,"24.325",2020-04-23
"182",257,"20.975",2020-04-23
"183",270,"21.46666667",2020-04-23
"184",282,"29.83333333",2020-04-23
"185",301,"26.23333333",2020-04-23
"186",332,"25.13333333",2020-04-23
"187",353,"27.53333333",2020-04-23
"188",371,"30.4",2020-04-23
"189",403,"24.76666667",2020-04-23
"190",417,"22.9",2020-04-23
"191",423,"23.13333333",2020-04-23
"192",425,"21.125",2020-04-23
"193",431,"19.03333333",2020-04-23
"194",434,"23.03333333",2020-04-23
"195",463,"18.925",2020-04-23
"196",475,"20.925",2020-04-23
"197",493,"14.175",2020-04-23
"198",498,"23.46666667",2020-04-23
"199",519,"17.5",2020-04-23
"200",548,"19.2",2020-04-23
"201",565,"14.36666667",2020-04-23
"202",595,"21.8",2020-04-23
"203",614,"23.36666667",2020-04-23
"204",624,"22.5",2020-04-23
"205",633,"17.5",2020-04-23
"206",643,"24.33333333",2020-04-23
"207",672,"22.675",2020-04-23
"208",702,"18.2",2020-04-23
"209",726,"19.56666667",2020-04-23
"210",740,"14.25",2020-04-23
"211",764,"15.13333333",2020-04-23
"212",783,"20.2",2020-04-23
"213",808,"21.86666667",2020-04-23
"214",820,"21.56666667",2020-04-23
"215",839,"11.33333333",2020-04-23
"216",845,"22.6",2020-04-23
"217",857,"18.875",2020-04-23
"218",860,"12.76666667",2020-04-23
"219",870,"22.5",2020-04-23
"220",875,"16.375",2020-04-23
"221",878,"22.6",2020-04-23
"222",883,"29.53333333",2020-04-23
"223",905,"14.16666667",2020-04-23
"224",918,"26.26666667",2020-04-23
"225",954,"23.23333333",2020-04-23
"226",971,"13.26666667",2020-04-23
"227",979,"10.13333333",2020-04-23
"228",990,"17.225",2020-04-23
"229",1015,"29.525",2020-04-23
"230",1026,"31.86666667",2020-04-23
"231",1033,"28.75",2020-04-23
